Date,Close/Last,Volume,Open,High,Low
01/05/2024,$23.04,6391067,$22.60,$23.04,$22.60
01/04/2024,$22.54,4738307,$22.73,$22.88,$22.48
01/03/2024,$22.71,2147368,$22.91,$22.91,$22.68
01/02/2024,$22.83,7634968,$22.90,$23.00,$22.60
12/29/2023,$23.00,2616689,$22.90,$23.02,$22.83
12/28/2023,$22.99,2462151,$22.70,$23.00,$22.69
12/27/2023,$22.76,1621757,$22.69,$22.8683,$22.63
12/26/2023,$22.73,2342329,$22.52,$22.98,$22.4526
12/22/2023,$22.53,4507395,$22.63,$22.94,$22.50
12/21/2023,$22.79,2322651,$22.79,$22.85,$22.65
12/20/2023,$22.76,3705719,$22.56,$22.93,$22.51
12/19/2023,$22.62,7601518,$22.84,$22.88,$22.34
12/18/2023,$22.83,2552290,$22.65,$22.85,$22.59
12/15/2023,$22.66,6143862,$22.75,$22.92,$22.58
12/14/2023,$22.62,4387217,$22.53,$22.66,$22.465
12/13/2023,$22.43,3909091,$22.37,$22.54,$22.10
12/12/2023,$22.17,1434566,$22.37,$22.41,$22.03
12/11/2023,$22.35,3403919,$22.22,$22.36,$22.13
12/08/2023,$22.19,2348122,$22.12,$22.315,$22.11
12/07/2023,$22.04,2114676,$21.96,$22.18,$21.88
12/06/2023,$21.85,1189679,$21.80,$21.98,$21.80
12/05/2023,$21.79,1394115,$21.91,$21.91,$21.745
12/04/2023,$21.79,2722495,$21.99,$22.11,$21.75
12/01/2023,$21.98,3083454,$21.81,$21.99,$21.695
11/30/2023,$21.77,7522519,$21.30,$21.86,$21.27
11/29/2023,$21.30,1597398,$21.53,$21.555,$21.265
11/28/2023,$21.47,1299508,$21.49,$21.55,$21.42
11/27/2023,$21.50,1618732,$21.48,$21.5899,$21.34
11/24/2023,$21.47,1099093,$21.40,$21.5975,$21.40
11/22/2023,$21.40,1099750,$21.30,$21.47,$21.265
11/21/2023,$21.25,2498928,$21.00,$21.28,$20.94
11/20/2023,$20.96,1624093,$21.05,$21.055,$20.905
11/17/2023,$21.01,2614425,$20.98,$21.03,$20.84
11/16/2023,$20.97,2411783,$21.34,$21.375,$20.94
11/15/2023,$21.42,2283996,$21.50,$21.60,$21.33
11/14/2023,$21.38,1920495,$21.21,$21.47,$21.18
11/13/2023,$21.14,1906327,$21.09,$21.21,$21.08
11/10/2023,$21.18,1496170,$21.31,$21.415,$21.16
11/09/2023,$21.24,2226266,$21.39,$21.44,$21.07
11/08/2023,$21.39,2333144,$21.85,$21.90,$21.36
11/07/2023,$21.90,799016,$21.98,$22.12,$21.88
11/06/2023,$22.02,1413473,$21.97,$22.085,$21.95
11/03/2023,$21.95,1131120,$21.86,$21.99,$21.84
11/02/2023,$21.79,1867719,$21.80,$21.98,$21.78
11/01/2023,$21.76,2716344,$21.75,$21.83,$21.63
10/31/2023,$21.70,2008811,$21.70,$21.76,$21.66
10/30/2023,$21.72,1743556,$21.62,$21.775,$21.62
10/27/2023,$21.73,1847124,$21.85,$21.89,$21.65
10/26/2023,$21.80,1851377,$21.86,$21.88,$21.67
10/25/2023,$21.82,2233825,$21.72,$21.89,$21.72
10/24/2023,$21.77,3982082,$22.00,$22.02,$21.75
10/23/2023,$21.96,2573799,$22.20,$22.27,$21.90
10/20/2023,$22.27,1975060,$22.51,$22.51,$22.20
10/19/2023,$22.34,2976276,$22.41,$22.545,$22.30
10/18/2023,$22.55,2240789,$22.55,$22.69,$22.49
10/17/2023,$22.62,2933663,$22.46,$22.69,$22.20
10/16/2023,$22.50,3133537,$22.69,$22.73,$22.445
10/13/2023,$22.40,3265836,$22.67,$22.77,$22.40
10/12/2023,$22.73,1801338,$22.70,$22.83,$22.67
10/11/2023,$22.72,2266420,$22.77,$22.93,$22.66
10/10/2023,$22.89,2154407,$23.12,$23.1325,$22.86
10/09/2023,$23.00,4019539,$22.60,$23.00,$22.5517
10/06/2023,$22.62,3491610,$22.77,$22.91,$22.5109
10/05/2023,$22.82,2414078,$22.97,$23.03,$22.79
10/04/2023,$22.98,3036934,$22.76,$23.04,$22.67
10/03/2023,$22.70,2905732,$22.56,$22.75,$22.56
10/02/2023,$22.63,3790302,$22.71,$22.79,$22.61
09/29/2023,$22.75,4347598,$22.87,$22.96,$22.47
09/28/2023,$22.87,2893011,$22.82,$23.02,$22.76
09/27/2023,$22.82,6010566,$23.01,$23.01,$22.81
09/26/2023,$23.03,5607363,$23.22,$23.24,$22.98
09/25/2023,$23.26,1711619,$23.17,$23.2867,$23.15
09/22/2023,$23.21,4246584,$23.31,$23.38,$23.21
09/21/2023,$23.17,2475958,$23.36,$23.40,$23.13
09/20/2023,$23.38,4651075,$23.27,$23.53,$23.27
09/19/2023,$23.34,5558130,$23.45,$23.51,$23.32
09/18/2023,$23.43,2971108,$23.52,$23.62,$23.41
09/15/2023,$23.54,17073030,$23.48,$23.65,$23.48
09/14/2023,$23.50,4247263,$23.72,$23.77,$23.48
09/13/2023,$23.72,3500931,$23.65,$23.74,$23.595
09/12/2023,$23.69,4298018,$23.70,$23.75,$23.615
09/11/2023,$23.63,6731326,$23.67,$23.77,$23.59
09/08/2023,$23.63,12480750,$23.56,$23.88,$23.50
09/07/2023,$23.06,8551723,$23.10,$23.365,$23.04
09/06/2023,$23.04,12672030,$22.82,$23.19,$22.80
09/05/2023,$22.55,3546820,$22.40,$22.70,$22.39
09/01/2023,$22.46,2007863,$22.45,$22.54,$22.37
08/31/2023,$22.40,4525922,$22.41,$22.56,$22.38
08/30/2023,$22.47,2328803,$22.58,$22.71,$22.42
08/29/2023,$22.52,2347786,$22.21,$22.52,$22.14
08/28/2023,$22.24,3363646,$22.05,$22.27,$22.0366
08/25/2023,$22.08,1495711,$22.16,$22.16,$21.855
08/24/2023,$22.09,1637495,$22.09,$22.16,$22.01
08/23/2023,$22.16,4210345,$21.91,$22.21,$21.90
08/22/2023,$21.98,3560889,$21.69,$21.99,$21.59
08/21/2023,$21.67,2693658,$21.85,$21.875,$21.47
08/18/2023,$21.83,2106862,$21.64,$21.96,$21.64
08/17/2023,$21.75,2164494,$21.82,$22.08,$21.72
08/16/2023,$21.80,2164716,$21.92,$21.995,$21.79
08/15/2023,$21.85,2599160,$21.76,$21.92,$21.76
08/14/2023,$21.76,3106061,$21.76,$21.88,$21.72
08/11/2023,$21.67,1891601,$21.83,$21.93,$21.65
