Date,Close/Last,Volume,Open,High,Low
01/05/2024,$88.72,1252782,$88.59,$89.75,$88.11
01/04/2024,$88.79,457403,$89.20,$89.525,$88.665
01/03/2024,$89.17,471428,$90.45,$90.50,$88.99
01/02/2024,$91.58,552075,$91.75,$92.57,$91.075
12/29/2023,$92.43,338768,$92.82,$93.15,$92.25
12/28/2023,$92.91,337323,$92.34,$93.11,$92.17
12/27/2023,$92.55,360038,$92.15,$92.79,$92.15
12/26/2023,$92.24,515022,$92.38,$92.79,$92.095
12/22/2023,$92.09,459945,$92.74,$92.90,$91.99
12/21/2023,$92.65,464049,$92.10,$92.7865,$91.70
12/20/2023,$91.34,601450,$92.74,$93.725,$91.28
12/19/2023,$93.45,1177304,$93.15,$94.01,$92.506
12/18/2023,$92.91,715775,$92.29,$93.295,$91.87
12/15/2023,$92.28,1819704,$93.07,$93.305,$91.96
12/14/2023,$93.29,1318329,$92.79,$93.8787,$92.345
12/13/2023,$92.70,963238,$92.10,$92.97,$91.31
12/12/2023,$92.22,884721,$91.66,$93.07,$91.26
12/11/2023,$91.59,932156,$91.29,$91.61,$90.13
12/08/2023,$91.23,478472,$91.50,$92.38,$91.03
12/07/2023,$91.50,895606,$90.59,$91.99,$90.31
12/06/2023,$90.83,573214,$91.00,$91.80,$90.63
12/05/2023,$90.63,858726,$90.38,$90.98,$89.68
12/04/2023,$90.60,827603,$89.15,$90.63,$88.89
12/01/2023,$89.54,896581,$88.72,$89.97,$88.14
11/30/2023,$88.86,1970749,$88.01,$88.90,$87.53
11/29/2023,$87.80,940899,$88.05,$88.12,$87.51
11/28/2023,$87.40,720971,$88.19,$88.608,$87.225
11/27/2023,$88.62,830632,$87.33,$89.10,$87.01
11/24/2023,$87.59,283889,$87.21,$88.23,$87.21
11/22/2023,$87.47,676612,$87.05,$88.29,$86.55
11/21/2023,$86.87,635308,$86.81,$87.70,$86.75
11/20/2023,$86.86,556762,$86.67,$87.51,$86.29
11/17/2023,$86.98,671893,$87.25,$87.97,$86.79
11/16/2023,$86.99,767304,$86.76,$87.2575,$85.865
11/15/2023,$87.11,967063,$86.88,$88.1399,$86.40
11/14/2023,$86.40,1535439,$84.01,$86.66,$83.10
11/13/2023,$80.47,1352122,$80.37,$81.25,$79.95
11/10/2023,$80.31,994324,$79.00,$80.64,$78.55
11/09/2023,$78.14,649226,$78.96,$79.32,$78.11
11/08/2023,$78.27,621161,$78.50,$78.95,$77.84
11/07/2023,$78.34,639328,$78.50,$78.65,$77.78
11/06/2023,$78.90,475913,$78.85,$79.79,$78.075
11/03/2023,$79.01,591938,$78.99,$79.72,$78.95
11/02/2023,$77.80,522645,$77.22,$78.16,$76.95
11/01/2023,$76.17,637499,$76.58,$77.04,$75.19
10/31/2023,$76.55,434135,$75.65,$76.8499,$75.42
10/30/2023,$75.55,451775,$74.82,$75.83,$74.52
10/27/2023,$74.81,581906,$76.35,$76.47,$74.40
10/26/2023,$76.28,385728,$76.59,$77.06,$75.855
10/25/2023,$76.22,523182,$75.84,$76.30,$75.39
10/24/2023,$76.10,478400,$76.71,$77.51,$75.77
10/23/2023,$76.70,723354,$77.78,$78.13,$76.53
10/20/2023,$77.98,770571,$78.27,$78.33,$77.25
10/19/2023,$78.11,781802,$79.83,$80.46,$78.01
10/18/2023,$79.96,562723,$82.92,$82.92,$79.93
10/17/2023,$83.75,633947,$81.84,$83.97,$81.591
10/16/2023,$82.28,568798,$80.76,$82.475,$80.76
10/13/2023,$80.75,650774,$82.74,$82.84,$79.96
10/12/2023,$82.61,397247,$84.21,$84.21,$82.0387
10/11/2023,$83.78,355211,$82.94,$83.87,$82.30
10/10/2023,$82.87,512593,$82.67,$83.51,$82.35
10/09/2023,$82.58,255132,$81.76,$82.79,$81.675
10/06/2023,$82.04,374702,$80.31,$82.32,$80.31
10/05/2023,$80.70,481489,$80.92,$81.08,$80.29
10/04/2023,$80.89,806763,$79.18,$80.96,$79.01
10/03/2023,$79.58,546047,$80.56,$81.145,$79.43
10/02/2023,$81.06,492133,$82.73,$83.03,$80.69
09/29/2023,$83.04,681547,$84.15,$84.25,$82.71
09/28/2023,$83.61,499177,$83.68,$84.77,$83.48
09/27/2023,$83.56,797054,$82.22,$83.91,$82.03
09/26/2023,$81.75,730235,$81.53,$82.36,$81.53
09/25/2023,$81.98,792502,$81.66,$82.43,$81.59
09/22/2023,$82.01,782279,$81.80,$82.68,$81.80
09/21/2023,$81.79,709500,$83.11,$83.391,$81.78
09/20/2023,$83.57,972739,$83.62,$84.905,$83.315
09/19/2023,$83.61,1084393,$84.75,$85.35,$83.44
09/18/2023,$84.72,594743,$84.21,$85.70,$84.01
09/15/2023,$83.93,1749841,$83.52,$84.48,$83.09
09/14/2023,$84.00,761926,$83.25,$84.10,$83.01
09/13/2023,$82.58,1058249,$85.26,$85.56,$82.33
09/12/2023,$85.50,606173,$85.30,$86.30,$84.885
09/11/2023,$85.28,521828,$85.10,$85.64,$84.89
09/08/2023,$84.87,320160,$85.07,$85.24,$84.50
09/07/2023,$84.93,628607,$85.12,$85.55,$84.35
09/06/2023,$85.48,682888,$86.75,$87.175,$85.145
09/05/2023,$86.72,551631,$87.80,$87.8285,$85.945
09/01/2023,$88.57,476855,$88.15,$89.365,$88.09
08/31/2023,$87.75,1336263,$88.40,$88.69,$87.41
08/30/2023,$88.04,566578,$87.97,$88.555,$87.65
08/29/2023,$87.72,439032,$87.79,$87.93,$87.07
08/28/2023,$88.12,544369,$87.19,$88.36,$87.04
08/25/2023,$86.87,418828,$86.80,$87.59,$86.335
08/24/2023,$86.25,442380,$87.86,$88.43,$86.22
08/23/2023,$88.20,676177,$87.76,$88.80,$87.32
08/22/2023,$87.35,634509,$87.23,$87.85,$87.00
08/21/2023,$86.86,687100,$87.00,$87.315,$85.90
08/18/2023,$86.89,547505,$85.66,$87.27,$85.52
08/17/2023,$86.13,530819,$87.65,$88.18,$86.10
08/16/2023,$87.48,455687,$87.85,$88.67,$87.46
08/15/2023,$87.88,642020,$89.42,$89.42,$87.72
08/14/2023,$89.86,910523,$88.30,$89.93,$87.97
08/11/2023,$88.43,1077879,$87.37,$88.965,$86.97
08/10/2023,$87.38,782116,$85.59,$87.614,$85.50
08/09/2023,$85.57,582969,$85.56,$86.21,$84.36
08/08/2023,$85.40,1084920,$84.99,$85.64,$81.65
08/07/2023,$87.05,1140186,$86.85,$87.98,$86.85
08/04/2023,$86.52,601300,$87.26,$87.52,$85.315
08/03/2023,$86.82,689155,$86.97,$87.73,$86.37
08/02/2023,$87.35,521129,$87.11,$88.00,$86.85
08/01/2023,$87.50,443186,$86.98,$87.58,$86.50
07/31/2023,$87.00,436519,$87.28,$87.7699,$86.775
07/28/2023,$86.99,418919,$86.37,$87.13,$86.145
07/27/2023,$86.37,625075,$87.50,$87.57,$85.08
07/26/2023,$87.64,556664,$88.14,$88.88,$87.33
07/25/2023,$88.32,387007,$87.36,$88.815,$87.10
07/24/2023,$87.86,439336,$88.22,$88.49,$87.15
07/21/2023,$88.44,506501,$89.40,$89.40,$88.31
07/20/2023,$88.94,460606,$89.15,$89.15,$88.09
07/19/2023,$88.70,518075,$88.30,$88.88,$87.47
07/18/2023,$88.32,474860,$87.43,$88.65,$87.18
07/17/2023,$87.32,421007,$86.79,$87.4925,$86.52
07/14/2023,$86.64,427671,$87.73,$87.73,$85.86
