Date,Close/Last,Volume,Open,High,Low
01/05/2024,$70.81,2926152,$71.37,$72.00,$70.29
01/04/2024,$71.75,3442226,$73.15,$73.25,$71.72
01/03/2024,$73.13,3760862,$72.48,$74.02,$72.19
01/02/2024,$72.76,3072643,$72.35,$73.23,$72.18
12/29/2023,$72.22,2195895,$72.15,$72.41,$71.77
12/28/2023,$72.27,2389711,$71.99,$72.48,$71.93
12/27/2023,$72.17,2372946,$72.08,$72.36,$71.76
12/26/2023,$72.39,1892498,$71.55,$72.60,$71.55
12/22/2023,$71.46,3018564,$71.11,$72.135,$71.11
12/21/2023,$70.93,3827780,$70.70,$71.2226,$70.06
12/20/2023,$70.68,5051194,$73.34,$73.45,$70.60
12/19/2023,$73.94,3770412,$72.65,$74.17,$72.55
12/18/2023,$72.34,6458535,$75.40,$75.60,$72.17
12/15/2023,$75.75,11609690,$76.44,$76.62,$75.58
12/14/2023,$76.42,3863750,$75.48,$77.35,$75.48
12/13/2023,$75.26,4365154,$74.40,$75.43,$72.53
12/12/2023,$74.58,2588162,$75.00,$75.10,$74.01
12/11/2023,$75.08,2936763,$73.85,$75.20,$73.62
12/08/2023,$73.75,2903785,$74.13,$74.69,$73.70
12/07/2023,$73.83,3030820,$73.55,$74.56,$73.31
12/06/2023,$73.19,3188626,$73.96,$74.19,$73.08
12/05/2023,$74.14,2888840,$74.29,$74.70,$73.96
12/04/2023,$74.63,4183851,$74.58,$75.57,$74.42
12/01/2023,$75.08,2722417,$73.76,$75.29,$73.72
11/30/2023,$73.73,5546414,$73.47,$74.11,$73.27
11/29/2023,$73.19,2702613,$74.01,$74.12,$73.055
11/28/2023,$74.05,2834123,$73.19,$74.235,$72.86
11/27/2023,$73.19,2854226,$74.00,$74.07,$73.19
11/24/2023,$74.30,1171471,$74.48,$75.33,$74.11
11/22/2023,$74.33,2440647,$73.43,$74.405,$73.11
11/21/2023,$73.73,3146356,$73.78,$74.025,$73.40
11/20/2023,$73.61,3316571,$73.67,$74.20,$73.51
11/17/2023,$73.96,2859259,$74.36,$74.54,$73.57
11/16/2023,$73.92,2902273,$73.80,$74.125,$73.46
11/15/2023,$74.24,3112941,$74.27,$75.17,$74.18
11/14/2023,$73.86,3218530,$73.04,$74.46,$73.04
11/13/2023,$73.04,2854392,$72.48,$73.08,$72.36
11/10/2023,$72.50,8578331,$72.30,$73.2299,$71.99
11/09/2023,$72.16,2956005,$72.41,$72.58,$71.80
11/08/2023,$72.03,3073499,$72.06,$72.491,$71.58
11/07/2023,$72.11,2575380,$72.38,$72.64,$71.97
11/06/2023,$72.56,2911083,$72.91,$73.37,$72.445
11/03/2023,$72.91,2330758,$73.05,$73.70,$72.72
11/02/2023,$72.42,2547344,$71.43,$72.59,$71.12
11/01/2023,$71.37,2516335,$71.85,$72.235,$71.22
10/31/2023,$71.57,2627028,$71.53,$72.02,$71.30
10/30/2023,$71.42,2333266,$70.40,$71.75,$70.35
10/27/2023,$70.04,2915415,$71.61,$71.84,$69.69
10/26/2023,$71.85,3319356,$71.13,$72.47,$71.09
10/25/2023,$71.05,3672119,$69.73,$71.165,$69.31
10/24/2023,$69.47,5912145,$71.68,$72.63,$69.455
10/23/2023,$72.40,2718577,$72.74,$73.34,$72.37
10/20/2023,$72.85,2457327,$74.04,$74.24,$72.83
10/19/2023,$73.84,2164068,$74.49,$74.71,$73.61
10/18/2023,$74.52,1919179,$75.00,$76.06,$74.455
10/17/2023,$75.20,1916124,$73.67,$75.505,$73.59
10/16/2023,$74.52,2042130,$74.00,$74.555,$73.38
10/13/2023,$73.32,1699433,$72.70,$73.48,$72.69
10/12/2023,$72.77,1898172,$73.80,$73.88,$72.01
10/11/2023,$73.70,1981919,$74.28,$74.76,$73.29
10/10/2023,$74.15,2159088,$74.44,$74.88,$73.94
10/09/2023,$73.90,1845340,$72.86,$74.35,$72.86
10/06/2023,$72.86,2094446,$72.62,$73.059,$71.41
10/05/2023,$73.13,1555790,$73.43,$73.88,$72.99
10/04/2023,$73.47,1704626,$73.80,$73.82,$72.96
10/03/2023,$73.81,1870775,$73.98,$74.43,$73.56
10/02/2023,$74.20,2518755,$74.80,$75.17,$73.51
09/29/2023,$75.42,2366522,$76.28,$76.33,$74.92
09/28/2023,$76.04,2149403,$76.44,$77.14,$75.82
09/27/2023,$76.36,2272219,$76.15,$76.74,$75.42
09/26/2023,$76.07,2200183,$76.79,$77.13,$75.83
09/25/2023,$77.30,1634091,$76.66,$77.33,$76.655
09/22/2023,$76.98,2102718,$78.67,$78.9199,$76.87
09/21/2023,$78.88,2637750,$79.39,$79.515,$78.74
09/20/2023,$79.38,1961654,$79.45,$80.145,$79.28
09/19/2023,$79.10,3324461,$79.32,$79.49,$78.88
09/18/2023,$79.19,3062050,$79.69,$79.92,$79.05
09/15/2023,$79.35,10347030,$80.53,$80.71,$78.675
09/14/2023,$80.65,3454207,$80.09,$80.965,$80.00
09/13/2023,$79.64,2934621,$80.16,$80.335,$79.24
09/12/2023,$79.70,2910829,$79.13,$80.13,$79.13
09/11/2023,$78.74,2832182,$79.11,$79.57,$78.32
09/08/2023,$78.81,2984137,$78.80,$79.51,$78.575
09/07/2023,$78.53,3058794,$77.50,$78.60,$77.23
09/06/2023,$77.46,3563871,$78.80,$78.86,$77.04
09/05/2023,$78.88,3243841,$79.54,$80.00,$78.525
09/01/2023,$79.79,3572251,$79.84,$80.475,$79.22
08/31/2023,$79.30,4174920,$80.87,$80.87,$79.27
08/30/2023,$80.75,2969088,$81.57,$81.70,$80.74
08/29/2023,$81.61,2177986,$81.21,$81.66,$80.04
08/28/2023,$80.87,2269357,$81.13,$81.87,$80.60
08/25/2023,$80.83,3717567,$80.75,$81.10,$80.18
08/24/2023,$80.33,2282309,$81.07,$81.45,$80.23
08/23/2023,$81.13,2060280,$80.55,$81.16,$79.69
08/22/2023,$80.77,2012008,$82.52,$82.71,$80.70
08/21/2023,$82.51,2490128,$82.98,$83.00,$81.985
08/18/2023,$82.83,1738608,$82.09,$83.03,$82.00
08/17/2023,$82.54,1547336,$82.62,$83.15,$82.22
08/16/2023,$82.17,1908831,$82.26,$82.69,$82.02
08/15/2023,$82.43,2020759,$84.11,$84.385,$82.34
08/14/2023,$84.94,1859756,$84.73,$85.01,$84.32
08/11/2023,$84.82,2270699,$85.87,$85.89,$84.40
08/10/2023,$85.90,2023184,$85.97,$86.885,$85.4662
08/09/2023,$85.85,1836986,$86.85,$86.85,$85.69
08/08/2023,$86.44,2371468,$86.34,$86.785,$85.16
08/07/2023,$87.21,2750786,$85.55,$87.29,$85.40
08/04/2023,$85.55,3437566,$85.54,$87.00,$85.51
08/03/2023,$84.97,2134221,$84.49,$85.505,$84.29
08/02/2023,$84.79,2793546,$84.49,$85.875,$84.30
08/01/2023,$84.98,2293265,$84.43,$85.229,$83.89
07/31/2023,$84.96,5483671,$86.99,$87.00,$84.36
07/28/2023,$86.39,1621261,$86.28,$86.49,$85.91
07/27/2023,$85.79,2676496,$86.90,$87.29,$85.47
07/26/2023,$86.90,3134592,$86.80,$87.30,$86.33
07/25/2023,$86.05,4330529,$83.24,$86.295,$82.71
07/24/2023,$83.11,3059790,$82.55,$83.735,$82.31
07/21/2023,$82.14,2537899,$82.96,$82.99,$82.10
07/20/2023,$82.63,2934478,$81.88,$82.8773,$81.63
07/19/2023,$81.00,2329476,$81.03,$81.57,$80.31
07/18/2023,$80.75,2793932,$79.58,$81.62,$79.42
07/17/2023,$79.56,2441670,$78.63,$79.76,$78.27
07/14/2023,$78.20,1869822,$79.66,$79.66,$78.075
07/13/2023,$79.17,2194909,$79.03,$79.43,$78.39
07/12/2023,$78.73,2982551,$80.80,$80.88,$78.63
07/11/2023,$80.47,2769446,$78.93,$80.60,$78.8587
07/10/2023,$78.54,3159244,$78.07,$79.29,$78.07
07/07/2023,$78.01,3257142,$76.62,$78.4985,$76.56
07/06/2023,$77.04,3300997,$76.69,$77.28,$76.52
07/05/2023,$77.42,2412817,$76.46,$77.585,$76.28
07/03/2023,$76.73,1485077,$75.69,$77.17,$75.59
06/30/2023,$75.56,2942928,$74.90,$75.86,$74.06
06/29/2023,$74.62,2189989,$73.96,$75.73,$73.96
06/28/2023,$73.94,2473449,$73.76,$74.21,$73.21
06/27/2023,$73.89,2187971,$73.29,$74.045,$72.70
06/26/2023,$73.64,2512743,$72.99,$73.82,$72.95
06/23/2023,$72.90,3636747,$72.78,$73.155,$72.53
06/22/2023,$73.06,2472849,$74.20,$74.20,$72.512
06/21/2023,$73.46,3440991,$73.62,$74.77,$72.45
06/20/2023,$74.08,3379238,$75.00,$75.17,$73.465
06/16/2023,$75.48,5529649,$74.90,$76.00,$74.47
06/15/2023,$74.56,3366903,$73.19,$74.895,$73.07
06/14/2023,$73.15,3166134,$74.95,$75.17,$72.81
06/13/2023,$74.28,2601431,$73.25,$74.48,$73.25
06/12/2023,$73.17,2772787,$72.62,$73.57,$72.08
06/09/2023,$72.54,2281185,$72.15,$73.16,$71.79
06/08/2023,$72.20,2701603,$73.36,$73.36,$71.17
06/07/2023,$73.36,3023885,$72.22,$74.15,$71.64
06/06/2023,$72.39,1905650,$71.01,$72.50,$71.01
06/05/2023,$71.27,1907055,$72.19,$72.17,$71.24
06/02/2023,$71.97,2311297,$71.26,$72.04,$70.93
06/01/2023,$70.55,2613159,$70.97,$71.04,$69.92
05/31/2023,$70.65,5709511,$70.95,$71.3828,$70.3384
05/30/2023,$71.43,3055626,$72.22,$72.48,$70.96
05/26/2023,$72.73,2858609,$73.88,$74.22,$72.45
05/25/2023,$73.72,3812410,$72.20,$74.29,$71.93
05/24/2023,$72.85,2381926,$75.10,$75.21,$72.805
05/23/2023,$75.05,3076027,$73.50,$75.515,$73.33
05/22/2023,$73.44,2975404,$73.69,$73.8856,$72.84
05/19/2023,$73.23,2732195,$73.19,$73.505,$72.545
05/18/2023,$72.79,3053483,$72.72,$72.85,$71.745
05/17/2023,$73.05,2718992,$73.40,$73.54,$72.39
05/16/2023,$73.15,2659466,$75.25,$75.46,$73.13
05/15/2023,$76.06,2630468,$75.68,$76.23,$75.39
05/12/2023,$75.38,1913394,$74.99,$75.50,$74.6585
05/11/2023,$74.90,2640497,$74.26,$75.345,$74.08
05/10/2023,$74.64,3108159,$75.23,$75.62,$74.405
05/09/2023,$75.02,2464161,$75.00,$75.40,$74.29
05/08/2023,$75.40,2272842,$76.28,$76.53,$75.25
05/05/2023,$75.96,2507927,$74.84,$76.17,$74.73
05/04/2023,$74.22,3434901,$74.78,$75.47,$73.76
05/03/2023,$75.02,2590068,$75.82,$76.38,$74.93
05/02/2023,$75.52,3479628,$77.09,$77.09,$74.97
05/01/2023,$77.80,1872505,$78.24,$78.66,$77.58
04/28/2023,$78.08,3474652,$77.56,$78.18,$77.30
04/27/2023,$78.01,3294076,$76.70,$78.589,$76.585
04/26/2023,$77.03,3457720,$75.82,$77.69,$75.27
04/25/2023,$75.90,5777568,$78.50,$79.05,$75.62
04/24/2023,$80.80,2502094,$80.81,$81.47,$80.485
04/21/2023,$80.50,2160059,$81.48,$81.52,$80.47
04/20/2023,$81.00,1932330,$81.36,$81.71,$80.63
04/19/2023,$81.95,2168249,$82.86,$82.95,$81.405
04/18/2023,$82.55,1807095,$82.03,$82.70,$81.99
04/17/2023,$82.20,1654922,$81.99,$82.29,$81.63
04/14/2023,$81.79,2548907,$81.90,$82.85,$81.58
04/13/2023,$81.22,2154793,$80.92,$81.59,$80.35
04/12/2023,$81.11,2432018,$81.39,$81.80,$80.99
04/11/2023,$81.39,2521976,$80.23,$81.84,$80.21
04/10/2023,$80.05,2108630,$78.83,$80.235,$78.83
04/06/2023,$78.74,2413943,$79.45,$79.48,$78.13
04/05/2023,$79.41,2281538,$79.16,$79.56,$78.65
04/04/2023,$79.38,1962618,$80.37,$80.77,$78.97
04/03/2023,$80.42,2094556,$79.60,$81.23,$79.60
03/31/2023,$79.66,3416555,$79.96,$80.4537,$79.15
03/30/2023,$79.47,2526053,$79.25,$79.70,$78.96
03/29/2023,$78.99,2011807,$79.47,$79.68,$78.75
03/28/2023,$78.55,2037041,$77.89,$79.05,$77.875
03/27/2023,$77.75,2406481,$77.76,$78.27,$76.93
03/24/2023,$76.61,2329495,$74.71,$76.755,$74.17
03/23/2023,$75.13,3030936,$77.22,$77.748,$74.63
03/22/2023,$76.97,2721637,$77.95,$78.55,$76.96
03/21/2023,$77.69,2506340,$77.79,$77.94,$77.00
03/20/2023,$76.93,3646463,$74.79,$77.47,$74.50
03/17/2023,$74.26,6452405,$76.44,$76.44,$73.98
03/16/2023,$76.47,3314115,$76.01,$76.52,$75.21
03/15/2023,$76.81,3395636,$77.61,$77.82,$76.01
03/14/2023,$78.95,3257804,$78.36,$79.35,$78.01
03/13/2023,$77.22,3608223,$76.00,$77.84,$75.355
03/10/2023,$76.66,4202018,$77.50,$78.21,$76.39
03/09/2023,$77.99,2704901,$80.08,$80.37,$77.71
03/08/2023,$79.91,1667310,$79.82,$80.045,$79.21
03/07/2023,$79.73,2400989,$81.12,$81.31,$79.30
03/06/2023,$81.40,2764587,$80.96,$81.42,$80.53
03/03/2023,$81.06,1866882,$80.31,$81.30,$80.11
03/02/2023,$80.57,2772562,$79.26,$80.995,$79.02
03/01/2023,$79.24,2987589,$79.64,$79.85,$78.81
02/28/2023,$79.60,5926223,$80.91,$80.91,$78.95
02/27/2023,$81.19,2279811,$81.60,$81.99,$81.055
02/24/2023,$81.44,2870639,$82.04,$82.04,$81.03
02/23/2023,$82.05,3186204,$82.26,$83.00,$81.45
02/22/2023,$81.61,3531894,$81.94,$82.35,$81.45
02/21/2023,$81.40,2261102,$81.24,$81.92,$81.16
02/17/2023,$81.59,2364086,$81.28,$81.64,$80.885
02/16/2023,$81.42,2409701,$81.32,$82.14,$81.28
02/15/2023,$81.74,3077796,$81.50,$82.00,$81.0471
02/14/2023,$81.78,2379642,$82.30,$82.4552,$81.39
02/13/2023,$81.90,3888583,$82.11,$82.21,$81.16
02/10/2023,$82.09,3444448,$81.43,$82.32,$81.17
02/09/2023,$80.60,3743348,$81.74,$86.14,$80.3038
02/08/2023,$81.60,3082890,$81.99,$82.99,$81.22
02/07/2023,$82.66,3326389,$82.35,$82.75,$81.71
02/06/2023,$82.56,2881388,$82.30,$82.93,$82.00
02/03/2023,$82.28,2702855,$83.00,$83.69,$82.065
02/02/2023,$82.31,5729365,$82.37,$83.00,$81.09
02/01/2023,$83.37,5673931,$82.74,$83.84,$82.53
01/31/2023,$82.85,5008056,$81.56,$82.98,$81.11
01/30/2023,$82.25,4036494,$83.13,$83.33,$81.93
01/27/2023,$83.63,3527733,$85.30,$85.67,$83.34
01/26/2023,$84.90,4499614,$86.09,$86.26,$82.81
01/25/2023,$85.57,3000432,$84.83,$85.60,$84.14
01/24/2023,$85.77,2458202,$84.65,$85.91,$83.10
01/23/2023,$84.35,4333122,$84.70,$84.72,$83.24
01/20/2023,$84.75,10151390,$85.39,$85.625,$83.96
01/19/2023,$85.31,3148538,$85.18,$87.00,$85.09
01/18/2023,$85.00,3522700,$88.00,$88.3075,$84.89
01/17/2023,$88.09,2744575,$88.56,$89.315,$88.08
01/13/2023,$88.40,2488273,$87.00,$88.71,$87.00
01/12/2023,$87.39,2813154,$86.80,$87.64,$86.16
01/11/2023,$86.68,2692749,$86.76,$86.84,$86.02
01/10/2023,$86.23,2614994,$85.68,$86.40,$85.17
01/09/2023,$85.37,3936106,$86.00,$87.05,$85.31
01/06/2023,$85.95,4058687,$84.89,$86.39,$84.44
01/05/2023,$84.23,5359004,$86.17,$86.39,$83.55
01/04/2023,$86.39,5116497,$89.41,$89.41,$86.06
01/03/2023,$89.65,2286020,$92.75,$92.85,$89.02
12/30/2022,$92.85,1659294,$92.37,$93.08,$92.05
12/29/2022,$93.12,1497263,$93.88,$94.21,$93.03
12/28/2022,$93.62,1576641,$95.90,$95.90,$93.155
12/27/2022,$95.91,1465612,$94.99,$96.16,$94.95
12/23/2022,$94.62,1106755,$93.92,$94.65,$93.6466
12/22/2022,$93.49,1378415,$94.12,$94.26,$91.96
12/21/2022,$94.27,1497233,$93.23,$94.49,$92.61
12/20/2022,$92.94,1993272,$92.72,$93.91,$92.30
12/19/2022,$92.65,1965671,$93.00,$94.1749,$91.775
12/16/2022,$92.31,8366202,$91.57,$92.79,$90.5281
12/15/2022,$92.42,2661647,$92.10,$93.27,$91.97
12/14/2022,$92.80,2777178,$94.28,$94.605,$92.59
12/13/2022,$93.23,2333344,$94.40,$94.70,$92.62
12/12/2022,$93.33,2011106,$92.04,$93.51,$91.22
12/09/2022,$91.88,2764088,$92.50,$93.38,$91.83
12/08/2022,$92.40,1955974,$94.00,$94.145,$91.76
12/07/2022,$93.17,3130873,$91.22,$93.37,$91.20
12/06/2022,$90.85,2664401,$90.67,$92.09,$89.84
12/05/2022,$90.77,3663645,$90.72,$92.46,$89.95
12/02/2022,$91.71,3558362,$91.01,$92.15,$90.16
12/01/2022,$91.32,5141188,$97.70,$97.90,$91.21
11/30/2022,$97.50,4193514,$96.96,$97.85,$95.05
11/29/2022,$96.45,1661365,$96.69,$97.8099,$96.03
11/28/2022,$96.25,2120974,$96.93,$97.45,$95.97
11/25/2022,$97.40,748773,$97.27,$97.55,$96.8512
11/23/2022,$96.78,1657781,$97.39,$98.12,$96.67
11/22/2022,$97.67,2354671,$96.80,$97.7799,$96.31
11/21/2022,$96.11,3572401,$95.25,$97.39,$94.17
11/18/2022,$95.15,1983766,$95.03,$95.6062,$94.11
11/17/2022,$94.60,1803671,$94.42,$95.13,$93.8368
11/16/2022,$95.19,2010234,$94.01,$95.70,$93.80
11/15/2022,$94.53,2778894,$94.68,$94.85,$92.96
11/14/2022,$94.28,2871696,$93.39,$96.08,$93.10
11/11/2022,$93.07,2537863,$94.72,$95.22,$91.74
11/10/2022,$94.28,2526530,$95.40,$95.90,$93.44
11/09/2022,$93.06,2478303,$95.79,$96.20,$92.62
11/08/2022,$96.39,2132866,$95.81,$96.7904,$95.21
11/07/2022,$95.60,2821912,$95.20,$95.66,$94.27
11/04/2022,$95.19,2787144,$97.88,$98.28,$94.98
11/03/2022,$96.28,1992866,$95.48,$97.23,$94.36
11/02/2022,$95.80,2797291,$95.95,$97.89,$94.89
