Date,Close/Last,Volume,Open,High,Low
01/05/2024,$52.63,2257754,$52.42,$53.71,$52.17
01/04/2024,$52.58,3452983,$52.52,$52.855,$51.96
01/03/2024,$52.56,3085976,$52.75,$53.04,$52.18
01/02/2024,$54.05,2315127,$54.58,$55.10,$53.92
12/29/2023,$54.85,1813242,$54.79,$55.10,$54.14
12/28/2023,$54.98,2042281,$55.74,$56.13,$54.91
12/27/2023,$56.04,2178006,$55.43,$56.29,$55.40
12/26/2023,$55.44,1397776,$55.50,$55.778,$55.07
12/22/2023,$55.30,2588336,$55.89,$56.43,$55.23
12/21/2023,$54.63,1815073,$55.05,$55.38,$54.34
12/20/2023,$54.07,2253713,$55.44,$55.58,$54.06
12/19/2023,$55.44,2543182,$54.70,$55.96,$54.55
12/18/2023,$54.47,2564828,$54.28,$54.60,$53.70
12/15/2023,$54.01,4819089,$54.34,$54.59,$53.94
12/14/2023,$54.53,4113396,$54.27,$55.83,$54.10
12/13/2023,$53.56,4072676,$50.39,$53.61,$50.0238
12/12/2023,$50.30,2345141,$51.24,$51.29,$50.085
12/11/2023,$51.16,2652760,$50.59,$51.265,$49.96
12/08/2023,$51.24,3092947,$51.51,$52.29,$50.96
12/07/2023,$52.51,2079522,$53.25,$53.25,$52.33
12/06/2023,$52.93,1980901,$53.21,$53.68,$52.74
12/05/2023,$52.90,3060107,$53.10,$53.35,$52.36
12/04/2023,$53.51,4179674,$53.50,$53.885,$52.95
12/01/2023,$54.39,4516997,$53.67,$54.70,$53.44
11/30/2023,$53.70,5371736,$52.70,$53.75,$52.1615
11/29/2023,$53.41,3480911,$53.69,$53.69,$52.65
11/28/2023,$53.41,5349679,$51.15,$53.42,$51.15
11/27/2023,$50.79,3216384,$50.57,$50.97,$50.17
11/24/2023,$49.82,1139741,$49.65,$50.15,$49.58
11/22/2023,$49.58,2225919,$49.75,$49.99,$49.25
11/21/2023,$49.53,2648878,$49.49,$50.36,$49.34
11/20/2023,$48.59,1565384,$47.90,$48.80,$47.89
11/17/2023,$48.38,1647677,$49.19,$49.29,$48.28
11/16/2023,$48.71,2471016,$48.20,$49.49,$48.08
11/15/2023,$47.81,1596047,$47.96,$48.44,$47.54
11/14/2023,$48.23,2120990,$47.71,$48.4075,$47.4308
11/13/2023,$46.67,1657406,$46.80,$47.39,$46.49
11/10/2023,$47.06,1892376,$46.90,$47.13,$46.58
11/09/2023,$47.31,2177034,$47.09,$48.20,$46.53
11/08/2023,$46.92,3263375,$47.76,$48.17,$46.69
11/07/2023,$48.17,2873266,$48.43,$48.62,$47.33
11/06/2023,$49.16,1943216,$49.00,$49.64,$49.00
11/03/2023,$49.46,3484394,$48.46,$49.74,$48.23
11/02/2023,$47.59,2721044,$47.68,$47.70,$46.91
11/01/2023,$47.01,2631502,$47.15,$47.56,$46.42
10/31/2023,$46.91,3592761,$47.41,$47.765,$46.37
10/30/2023,$47.62,3345296,$48.79,$49.15,$47.39
10/27/2023,$48.79,3628960,$47.60,$48.84,$47.04
10/26/2023,$47.40,4849064,$48.77,$48.98,$46.47
10/25/2023,$48.81,3147431,$49.30,$50.13,$48.80
10/24/2023,$49.44,1549805,$48.89,$49.6999,$48.78
10/23/2023,$49.39,3051775,$49.32,$49.92,$48.20
10/20/2023,$49.80,4497299,$49.76,$50.68,$49.70
10/19/2023,$49.62,2789144,$49.24,$49.855,$48.82
10/18/2023,$49.28,2736955,$50.12,$50.45,$49.12
10/17/2023,$49.32,2489271,$48.20,$49.39,$48.10
10/16/2023,$48.19,1711481,$48.30,$48.65,$47.92
10/13/2023,$48.60,3528595,$48.31,$48.93,$47.63
10/12/2023,$46.74,1677292,$47.55,$47.75,$46.581
10/11/2023,$47.55,2542583,$47.30,$47.65,$46.77
10/10/2023,$46.75,2016246,$46.34,$46.83,$45.83
10/09/2023,$46.34,2857362,$45.91,$46.49,$45.72
10/06/2023,$45.10,2687288,$44.66,$45.3499,$44.22
10/05/2023,$44.36,1779488,$43.36,$44.37,$43.29
10/04/2023,$43.39,3675154,$44.36,$44.40,$43.22
10/03/2023,$44.25,3720972,$43.65,$44.45,$43.25
10/02/2023,$43.79,2882202,$44.59,$44.66,$43.4595
09/29/2023,$45.45,2338495,$46.30,$46.45,$45.01
09/28/2023,$45.59,2449892,$45.31,$45.64,$44.9314
09/27/2023,$45.18,3709379,$46.80,$46.80,$44.71
09/26/2023,$47.01,2882706,$48.18,$48.36,$47.00
09/25/2023,$48.58,1937992,$48.87,$48.98,$48.18
09/22/2023,$49.05,1840586,$49.62,$49.90,$48.79
09/21/2023,$49.08,2805758,$49.15,$49.56,$48.85
09/20/2023,$50.24,2427826,$49.55,$50.84,$49.45
09/19/2023,$49.30,2802768,$49.91,$49.99,$48.93
09/18/2023,$49.79,1885338,$49.13,$49.87,$48.9375
09/15/2023,$49.08,4420282,$48.51,$49.265,$48.38
09/14/2023,$48.09,1782681,$47.31,$48.45,$47.31
09/13/2023,$47.34,1557677,$48.01,$48.15,$47.26
09/12/2023,$47.93,1905157,$47.59,$48.2697,$47.41
09/11/2023,$48.04,1362737,$47.99,$48.23,$47.57
09/08/2023,$47.37,1461785,$47.22,$47.97,$47.1114
09/07/2023,$47.15,1952178,$46.92,$47.445,$46.79
09/06/2023,$47.05,2542929,$47.11,$47.52,$46.64
09/05/2023,$47.27,3188686,$47.60,$48.31,$46.84
09/01/2023,$48.13,1305968,$49.14,$49.20,$48.11
08/31/2023,$48.51,2029593,$48.72,$49.08,$47.98
08/30/2023,$49.14,1780699,$49.50,$49.85,$48.98
08/29/2023,$49.06,2042780,$48.10,$49.19,$48.09
08/28/2023,$48.37,1663599,$47.65,$48.53,$47.50
08/25/2023,$47.31,1999735,$47.84,$48.32,$46.78
08/24/2023,$47.84,1789738,$47.49,$48.161,$47.19
08/23/2023,$47.90,1990799,$47.19,$48.3472,$47.08
08/22/2023,$46.81,1608801,$46.89,$46.91,$46.43
08/21/2023,$46.58,1445227,$46.48,$46.70,$45.835
08/18/2023,$46.22,1790423,$46.30,$46.42,$45.81
08/17/2023,$46.47,2499578,$46.12,$46.49,$45.8893
08/16/2023,$45.93,2531871,$46.60,$46.919,$45.79
08/15/2023,$46.88,2593484,$47.92,$48.05,$46.75
08/14/2023,$48.12,1658407,$48.43,$48.67,$48.01
08/11/2023,$49.05,1192955,$48.18,$49.12,$48.13
08/10/2023,$48.41,1558045,$48.95,$49.20,$48.19
08/09/2023,$48.43,1310468,$48.49,$48.65,$47.9523
08/08/2023,$48.20,2072997,$47.85,$48.33,$47.60
08/07/2023,$48.47,1202161,$48.56,$48.68,$48.06
08/04/2023,$48.56,2306018,$48.81,$49.47,$48.46
08/03/2023,$48.35,2652324,$48.65,$48.98,$47.95
08/02/2023,$48.62,3414023,$50.55,$50.57,$48.55
08/01/2023,$50.61,2073530,$51.47,$51.74,$50.59
07/31/2023,$52.41,1829511,$51.79,$52.66,$51.62
07/28/2023,$51.32,1832424,$51.00,$51.60,$50.74
07/27/2023,$50.59,2943962,$52.70,$52.70,$50.5104
07/26/2023,$52.21,2100703,$52.17,$52.39,$51.665
07/25/2023,$52.31,1841436,$52.00,$52.615,$51.65
07/24/2023,$51.79,1553360,$52.00,$52.27,$51.50
07/21/2023,$52.09,1807008,$51.64,$52.155,$51.39
07/20/2023,$51.92,2422307,$53.42,$53.50,$51.91
07/19/2023,$53.57,1641576,$53.77,$54.22,$53.38
07/18/2023,$53.84,2121260,$53.10,$54.305,$52.86
07/17/2023,$52.63,1142091,$52.15,$52.98,$51.97
07/14/2023,$52.60,1754651,$52.87,$53.18,$52.27
07/13/2023,$52.96,2104678,$52.95,$53.30,$52.83
07/12/2023,$52.68,3137818,$50.60,$52.98,$50.60
07/11/2023,$49.93,1705898,$49.69,$50.20,$49.42
07/10/2023,$49.46,2218080,$48.30,$49.60,$48.15
07/07/2023,$48.39,2509317,$48.53,$49.22,$48.35
07/06/2023,$48.21,2326373,$48.98,$49.07,$48.02
07/05/2023,$49.31,2318162,$50.31,$50.50,$49.29
07/03/2023,$50.52,1202695,$49.98,$50.62,$49.715
06/30/2023,$49.98,2128263,$49.39,$49.99,$49.16
06/29/2023,$49.23,2100391,$48.00,$49.245,$47.84
06/28/2023,$48.48,1752542,$48.55,$48.68,$48.17
06/27/2023,$49.01,1759177,$49.32,$49.52,$48.20
06/26/2023,$49.19,2166627,$49.39,$49.62,$48.56
06/23/2023,$49.11,1734185,$49.55,$49.73,$48.795
06/22/2023,$49.09,2358123,$48.50,$49.12,$48.295
06/21/2023,$49.16,1991879,$48.60,$49.36,$47.86
06/20/2023,$48.73,3110520,$50.20,$50.36,$48.73
06/16/2023,$51.00,3138796,$50.76,$51.41,$50.23
06/15/2023,$50.42,2402090,$49.99,$50.605,$49.61
06/14/2023,$50.14,1965452,$50.82,$50.98,$49.65
06/13/2023,$50.06,2247105,$51.36,$51.56,$49.90
06/12/2023,$50.88,1827631,$50.77,$51.01,$50.27
06/09/2023,$50.97,1884859,$51.28,$51.52,$50.74
06/08/2023,$51.55,2662650,$51.45,$52.08,$51.21
06/07/2023,$50.75,3020424,$52.34,$52.70,$50.635
06/06/2023,$52.02,1833890,$51.95,$52.14,$51.455
06/05/2023,$52.09,1627108,$51.60,$52.345,$51.63
06/02/2023,$51.95,2482986,$52.39,$52.94,$51.46
06/01/2023,$52.35,3179474,$50.92,$52.67,$50.86
05/31/2023,$50.78,6278803,$49.90,$51.49,$49.88
05/30/2023,$50.26,6524210,$51.14,$51.31,$49.80
05/26/2023,$51.01,2030755,$51.86,$52.09,$50.91
05/25/2023,$51.11,2204858,$51.69,$51.82,$50.89
05/24/2023,$52.02,2450989,$53.56,$53.7223,$51.98
05/23/2023,$53.42,1940016,$53.10,$53.875,$52.93
05/22/2023,$53.47,1360240,$53.90,$54.175,$53.46
05/19/2023,$54.03,2544236,$53.79,$54.64,$53.09
05/18/2023,$53.74,2886024,$54.12,$54.22,$53.12
05/17/2023,$55.11,2691521,$55.87,$55.95,$54.725
05/16/2023,$55.87,2165146,$57.17,$57.59,$55.61
05/15/2023,$57.33,1627088,$57.08,$57.67,$56.93
05/12/2023,$56.75,2099708,$56.58,$57.06,$56.17
05/11/2023,$56.78,3032369,$58.38,$58.96,$56.695
05/10/2023,$59.25,1876871,$60.13,$60.19,$58.75
05/09/2023,$59.95,1795258,$59.26,$60.085,$59.09
05/08/2023,$59.37,1745040,$60.05,$60.20,$59.13
05/05/2023,$59.81,3025752,$59.02,$60.645,$58.68
05/04/2023,$60.40,5894289,$58.53,$61.15,$58.53
05/03/2023,$58.06,2632421,$58.24,$58.58,$57.54
05/02/2023,$58.13,3431430,$55.92,$58.15,$55.70
05/01/2023,$55.92,1973575,$57.65,$57.80,$55.91
04/28/2023,$56.73,3431470,$57.00,$58.93,$56.70
04/27/2023,$56.59,1996707,$55.59,$56.62,$55.30
04/26/2023,$55.89,1873387,$56.93,$57.12,$55.845
04/25/2023,$56.32,2290497,$55.90,$56.55,$55.46
04/24/2023,$56.15,2014724,$56.27,$56.33,$55.65
04/21/2023,$56.27,2277616,$56.60,$56.92,$55.62
04/20/2023,$56.74,2062759,$56.86,$57.45,$56.53
04/19/2023,$56.33,2240235,$56.27,$56.9499,$55.94
04/18/2023,$57.27,2341100,$57.69,$58.79,$57.23
04/17/2023,$57.49,2407668,$57.92,$58.00,$56.89
04/14/2023,$58.36,3311770,$58.25,$58.84,$57.185
04/13/2023,$59.28,4421375,$58.49,$59.53,$58.105
04/12/2023,$57.72,3467469,$57.92,$58.21,$56.90
04/11/2023,$56.79,3086728,$56.32,$57.765,$56.27
04/10/2023,$56.20,2518162,$55.65,$56.32,$55.08
04/06/2023,$56.54,2573006,$55.49,$56.61,$55.24
04/05/2023,$55.92,4230882,$55.76,$56.35,$55.03
04/04/2023,$55.38,6261749,$52.56,$55.54,$52.36
04/03/2023,$52.53,5376515,$51.21,$53.00,$50.77
03/31/2023,$50.97,3694430,$51.42,$51.70,$50.70
03/30/2023,$51.39,3446741,$52.05,$52.28,$51.12
03/29/2023,$51.71,2387878,$51.74,$52.27,$51.33
03/28/2023,$52.24,1811440,$51.87,$52.27,$51.15
03/27/2023,$51.52,1932246,$50.55,$51.65,$50.28
03/24/2023,$51.68,3164882,$51.46,$52.095,$50.70
03/23/2023,$51.13,3240478,$50.74,$51.745,$50.41
03/22/2023,$50.26,3610494,$49.73,$51.02,$49.55
03/21/2023,$49.47,3106905,$49.93,$50.04,$49.00
03/20/2023,$50.87,3980028,$51.48,$51.73,$50.545
03/17/2023,$50.84,9434554,$48.79,$51.225,$48.49
03/16/2023,$48.17,3154634,$48.25,$48.32,$47.145
03/15/2023,$48.17,5517497,$48.65,$48.90,$47.41
03/14/2023,$47.86,2815152,$47.88,$48.20,$47.28
03/13/2023,$47.74,5235003,$47.45,$48.34,$47.11
03/10/2023,$45.42,3283581,$45.84,$47.00,$45.19
03/09/2023,$44.96,2331945,$45.30,$45.67,$44.711
03/08/2023,$44.77,2837082,$45.65,$45.98,$44.49
03/07/2023,$45.48,2719733,$46.77,$46.92,$45.39
03/06/2023,$47.32,2092167,$47.22,$47.71,$47.1001
03/03/2023,$47.72,2321234,$47.53,$47.765,$47.175
03/02/2023,$47.12,2235187,$46.42,$47.13,$46.33
03/01/2023,$46.90,3210301,$46.82,$47.37,$46.38
02/28/2023,$46.03,2855214,$45.76,$46.41,$45.25
02/27/2023,$45.94,2704485,$45.59,$46.31,$45.59
02/24/2023,$45.42,3035777,$44.76,$45.445,$44.49
02/23/2023,$45.39,3157133,$45.32,$46.11,$45.24
02/22/2023,$45.40,3719960,$46.30,$46.30,$45.01
02/21/2023,$46.50,5017298,$46.05,$47.115,$45.91
02/17/2023,$46.23,10374420,$46.79,$46.90,$44.54
02/16/2023,$49.30,3164260,$48.55,$49.5492,$47.60
02/15/2023,$49.15,3727701,$49.97,$50.01,$48.60
02/14/2023,$51.04,1907682,$50.89,$51.75,$50.40
02/13/2023,$51.27,1252868,$50.90,$51.52,$50.54
02/10/2023,$51.23,1920668,$51.91,$51.91,$50.835
02/09/2023,$51.54,2361520,$53.35,$53.62,$51.36
02/08/2023,$52.69,1538942,$52.99,$53.08,$52.38
02/07/2023,$52.79,2162484,$52.58,$53.40,$52.16
02/06/2023,$52.44,3246359,$52.22,$52.68,$51.60
02/03/2023,$52.44,4036054,$53.49,$53.77,$52.10
02/02/2023,$54.96,3050860,$57.08,$57.2003,$54.87
02/01/2023,$57.20,3264065,$56.40,$57.59,$55.581
01/31/2023,$56.48,3436283,$55.75,$56.49,$55.57
01/30/2023,$55.98,2458795,$56.66,$57.14,$55.92
01/27/2023,$56.87,2025942,$56.81,$57.16,$56.32
01/26/2023,$57.10,1770487,$57.80,$57.84,$56.68
01/25/2023,$57.91,2072163,$56.94,$58.075,$56.71
01/24/2023,$57.32,2611943,$55.99,$57.37,$55.73
01/23/2023,$56.39,2533920,$55.65,$56.44,$55.45
01/20/2023,$56.24,2096534,$55.17,$56.287,$54.81
01/19/2023,$55.51,2782171,$54.49,$55.94,$54.37
01/18/2023,$54.37,2450185,$55.13,$55.45,$54.21
01/17/2023,$54.58,2631534,$55.50,$55.60,$54.28
01/13/2023,$55.95,2917595,$55.19,$56.135,$55.06
01/12/2023,$55.19,2846227,$55.40,$55.59,$54.11
01/11/2023,$54.54,3262090,$55.26,$55.45,$54.07
01/10/2023,$55.24,2408970,$54.74,$55.27,$54.41
01/09/2023,$54.71,2508217,$55.60,$56.11,$54.59
01/06/2023,$55.28,2986107,$55.15,$55.84,$54.53
01/05/2023,$54.53,3138775,$54.66,$54.80,$53.74
01/04/2023,$55.48,4250891,$54.56,$55.7653,$54.40
01/03/2023,$53.56,2857955,$52.82,$54.14,$52.77
12/30/2022,$51.99,1856691,$52.17,$52.405,$51.55
12/29/2022,$52.15,1808069,$52.36,$52.76,$52.075
12/28/2022,$52.03,1819279,$53.19,$53.37,$51.93
12/27/2022,$53.54,2087391,$52.80,$54.09,$52.58
12/23/2022,$52.62,2074348,$52.02,$52.93,$51.30
12/22/2022,$51.77,2316732,$51.60,$52.25,$51.13
12/21/2022,$52.30,2001834,$52.41,$52.935,$52.11
12/20/2022,$52.03,2843086,$51.02,$52.43,$50.97
12/19/2022,$50.30,2157129,$51.04,$51.42,$49.99
12/16/2022,$51.06,4443313,$50.29,$51.67,$50.11
12/15/2022,$50.47,2543303,$51.25,$51.44,$50.43
12/14/2022,$52.62,2359832,$52.56,$53.34,$51.94
12/13/2022,$52.86,3497012,$52.85,$53.43,$51.60
12/12/2022,$51.29,2321285,$50.31,$51.32,$50.15
12/09/2022,$50.92,2126169,$52.00,$52.42,$50.885
12/08/2022,$51.77,2111608,$52.35,$52.61,$51.59
12/07/2022,$51.89,3760258,$51.30,$52.26,$51.16
12/06/2022,$50.79,3983822,$51.03,$51.1894,$50.30
12/05/2022,$50.35,2470910,$51.47,$51.53,$50.05
12/02/2022,$51.77,2125894,$51.06,$52.03,$50.60
12/01/2022,$52.17,4908873,$51.71,$52.54,$51.21
11/30/2022,$50.37,3207453,$50.26,$51.00,$49.17
11/29/2022,$49.89,4600952,$49.05,$50.07,$48.92
11/28/2022,$48.42,2658551,$49.54,$50.27,$48.40
11/25/2022,$49.87,940420,$49.92,$50.39,$49.74
11/23/2022,$49.81,2352820,$49.08,$49.995,$48.61
11/22/2022,$49.13,2846185,$47.90,$49.16,$47.63
11/21/2022,$47.36,1730949,$47.44,$47.90,$46.41
11/18/2022,$47.73,2527249,$47.21,$47.88,$46.89
11/17/2022,$47.22,2135347,$46.70,$47.29,$46.55
11/16/2022,$47.76,2085443,$47.92,$48.50,$47.60
11/15/2022,$48.10,2730690,$49.00,$49.20,$47.705
11/14/2022,$48.62,2690893,$48.33,$49.25,$48.33
11/11/2022,$48.70,4572267,$47.76,$48.88,$47.22
11/10/2022,$47.64,4920888,$46.19,$47.87,$46.00
11/09/2022,$44.18,6690771,$45.50,$46.04,$43.875
11/08/2022,$45.62,6550739,$43.16,$46.75,$42.68
11/07/2022,$43.08,3642479,$43.89,$43.98,$42.205
11/04/2022,$43.41,7163286,$43.17,$43.54,$40.81
11/03/2022,$41.08,3326040,$41.71,$42.43,$41.02
11/02/2022,$42.30,4237744,$46.00,$46.24,$42.15
11/01/2022,$45.76,4041533,$45.34,$45.84,$45.045
10/31/2022,$43.96,2031272,$44.50,$45.045,$43.88
10/28/2022,$45.17,2005997,$44.31,$45.18,$44.04
10/27/2022,$44.93,3566736,$44.25,$45.77,$44.10
10/26/2022,$44.81,3447132,$43.76,$45.30,$43.60
10/25/2022,$43.02,1868288,$42.41,$43.195,$42.28
10/24/2022,$42.34,2220525,$42.38,$42.74,$41.55
10/21/2022,$43.07,2637896,$41.14,$43.19,$40.99
10/20/2022,$40.98,2484864,$40.48,$41.87,$40.09
10/19/2022,$40.40,1909527,$40.91,$41.00,$40.24
10/18/2022,$41.78,2102534,$41.97,$42.11,$41.16
10/17/2022,$41.37,2432070,$41.21,$42.16,$41.20
10/14/2022,$40.12,2141084,$41.54,$41.57,$40.0778
10/13/2022,$41.84,3187742,$40.51,$42.02,$39.24
10/12/2022,$41.95,1860580,$41.45,$42.21,$41.17
10/11/2022,$41.49,3014406,$42.07,$42.69,$41.44
10/10/2022,$42.09,2447002,$42.45,$43.11,$41.95
10/07/2022,$42.64,3326281,$44.43,$44.79,$42.565
10/06/2022,$45.13,2573049,$44.08,$45.205,$44.00
10/05/2022,$44.43,4233682,$44.28,$44.60,$43.30
10/04/2022,$45.41,3909249,$44.96,$46.0931,$44.75
10/03/2022,$44.08,3463834,$43.16,$44.12,$42.86
09/30/2022,$42.23,3742848,$41.75,$43.26,$41.44
09/29/2022,$41.43,3989226,$40.22,$41.60,$39.99
09/28/2022,$40.72,4469574,$38.82,$40.73,$38.75
09/27/2022,$37.65,2796988,$38.11,$38.73,$37.41
09/26/2022,$37.54,4806900,$38.77,$39.07,$36.685
09/23/2022,$39.07,4053568,$40.11,$40.15,$38.20
09/22/2022,$41.13,2116930,$41.33,$41.95,$40.86
09/21/2022,$41.11,2827210,$41.50,$42.19,$40.22
09/20/2022,$41.13,2336078,$41.11,$41.21,$40.26
09/19/2022,$41.90,2636802,$40.88,$41.92,$40.52
09/16/2022,$41.68,3676331,$40.56,$42.11,$40.22
09/15/2022,$41.08,4425631,$42.64,$42.70,$40.35
09/14/2022,$43.00,1744804,$43.06,$43.705,$42.80
09/13/2022,$42.81,3003561,$43.28,$44.17,$42.67
09/12/2022,$44.83,2254853,$45.31,$45.33,$44.56
09/09/2022,$44.11,2125406,$43.68,$44.24,$43.50
09/08/2022,$42.95,2314759,$41.92,$43.05,$41.82
09/07/2022,$42.42,2559045,$40.86,$42.72,$40.54
09/06/2022,$41.02,2140071,$41.62,$42.41,$40.97
09/02/2022,$41.56,2566564,$41.11,$42.20,$40.57
09/01/2022,$40.19,3458230,$40.41,$40.93,$40.02
08/31/2022,$41.21,2856429,$41.84,$42.13,$41.12
08/30/2022,$42.30,2179402,$43.40,$43.485,$42.13
