Date,Close/Last,Volume,Open,High,Low
01/05/2024,$82.72,1920560,$82.46,$82.825,$82.205
01/04/2024,$82.30,2470502,$82.73,$83.53,$82.145
01/03/2024,$83.19,2042344,$83.37,$83.925,$82.66
01/02/2024,$83.28,1888056,$82.55,$83.2999,$82.29
12/29/2023,$82.50,1390646,$82.23,$82.64,$82.00
12/28/2023,$82.11,1412069,$81.86,$82.59,$81.58
12/27/2023,$81.91,1149853,$81.47,$81.96,$81.29
12/26/2023,$81.72,878900,$81.22,$81.965,$80.96
12/22/2023,$81.45,1135317,$81.51,$81.85,$80.60
12/21/2023,$81.21,1632392,$80.84,$81.465,$80.61
12/20/2023,$80.72,2133702,$81.59,$81.99,$80.66
12/19/2023,$82.10,2032271,$81.31,$82.24,$80.81
12/18/2023,$81.29,2282834,$80.96,$81.552,$80.419
12/15/2023,$80.57,6747539,$80.85,$81.03,$79.972
12/14/2023,$81.28,3841619,$84.07,$84.17,$80.71
12/13/2023,$84.03,2512904,$84.02,$84.64,$83.722
12/12/2023,$84.35,2814564,$83.10,$84.38,$82.93
12/11/2023,$83.11,1571571,$82.70,$83.39,$82.50
12/08/2023,$82.55,1729341,$82.00,$82.61,$81.82
12/07/2023,$82.00,1798359,$82.02,$82.46,$81.82
12/06/2023,$81.73,1827881,$82.80,$83.09,$81.50
12/05/2023,$82.61,3017906,$82.60,$83.205,$82.353
12/04/2023,$82.73,2217251,$82.31,$83.33,$82.09
12/01/2023,$82.61,2016215,$82.26,$83.09,$82.01
11/30/2023,$82.71,6219359,$81.82,$83.0275,$81.31
11/29/2023,$81.63,2158180,$82.24,$82.51,$81.61
11/28/2023,$82.18,2181327,$82.84,$83.025,$82.17
11/27/2023,$82.97,2021538,$82.87,$83.10,$82.465
11/24/2023,$82.94,895077,$82.65,$83.45,$82.49
11/22/2023,$82.43,1621293,$82.02,$82.72,$81.65
11/21/2023,$81.90,1924849,$81.32,$82.42,$81.00
11/20/2023,$81.17,2403238,$81.23,$81.62,$80.80
11/17/2023,$81.77,1831089,$81.29,$81.96,$81.10
11/16/2023,$81.11,2325987,$80.55,$81.58,$80.43
11/15/2023,$80.42,2900059,$81.72,$82.09,$80.41
11/14/2023,$81.82,2680621,$81.50,$82.16,$81.065
11/13/2023,$81.43,1831232,$81.13,$81.87,$80.66
11/10/2023,$81.48,1626351,$81.23,$81.695,$81.13
11/09/2023,$80.90,1601234,$80.32,$81.28,$80.24
11/08/2023,$80.32,2189330,$80.96,$81.42,$80.15
11/07/2023,$80.98,2258225,$81.36,$81.36,$80.505
11/06/2023,$81.40,2404392,$82.23,$82.48,$80.68
11/03/2023,$82.23,2707150,$81.97,$82.715,$81.22
11/02/2023,$81.73,3220429,$79.05,$81.75,$78.68
11/01/2023,$79.05,3770129,$78.30,$79.29,$77.72
10/31/2023,$78.11,6776099,$77.56,$78.35,$77.09
10/30/2023,$77.40,2081375,$77.00,$77.73,$76.89
10/27/2023,$76.49,2508163,$77.32,$77.57,$75.928
10/26/2023,$77.52,2450828,$78.49,$79.24,$77.46
10/25/2023,$78.26,2306968,$77.97,$78.93,$77.47
10/24/2023,$77.76,1636682,$77.67,$78.23,$77.40
10/23/2023,$77.16,1963857,$77.75,$77.9407,$77.145
10/20/2023,$77.58,3527133,$79.31,$79.32,$76.78
10/19/2023,$79.55,2173004,$80.20,$80.74,$79.415
10/18/2023,$80.35,2047303,$81.26,$81.63,$80.282
10/17/2023,$81.40,1910615,$80.89,$82.03,$80.71
10/16/2023,$81.09,2096344,$80.57,$81.75,$80.25
10/13/2023,$80.25,1938138,$80.26,$81.01,$79.975
10/12/2023,$79.86,2704746,$80.00,$80.50,$79.32
10/11/2023,$79.80,3089837,$79.01,$79.845,$78.70
10/10/2023,$78.82,3145509,$78.19,$79.025,$78.07
10/09/2023,$78.19,1844997,$77.60,$78.27,$77.41
10/06/2023,$77.60,2842651,$76.44,$77.715,$76.10
10/05/2023,$76.44,1946248,$75.94,$76.94,$75.66
10/04/2023,$76.07,2019547,$75.36,$76.14,$74.89
10/03/2023,$75.43,2157576,$75.65,$76.43,$75.15
10/02/2023,$76.47,2333305,$76.63,$76.84,$75.72
09/29/2023,$76.75,2916953,$77.70,$77.70,$76.34
09/28/2023,$77.67,2008950,$77.12,$77.77,$76.51
09/27/2023,$77.03,2345690,$76.57,$77.165,$75.93
09/26/2023,$76.44,1793881,$77.23,$77.3922,$76.25
09/25/2023,$76.79,1559244,$76.10,$76.985,$76.02
09/22/2023,$76.31,1456807,$76.14,$76.75,$75.66
09/21/2023,$76.16,2337033,$76.99,$77.14,$76.02
09/20/2023,$77.15,1668396,$77.53,$78.00,$77.03
09/19/2023,$77.37,2100332,$77.10,$77.53,$76.42
09/18/2023,$76.92,2089049,$76.49,$77.00,$75.64
09/15/2023,$76.51,5220708,$76.80,$77.09,$76.15
09/14/2023,$77.31,2854957,$77.00,$77.42,$76.53
09/13/2023,$76.39,2334672,$76.52,$76.595,$76.10
09/12/2023,$76.27,1894276,$75.67,$76.72,$75.60
09/11/2023,$75.59,1880579,$75.13,$75.93,$75.005
09/08/2023,$74.83,2035427,$74.74,$74.94,$74.27
09/07/2023,$74.65,3171086,$73.79,$75.285,$73.79
09/06/2023,$74.23,2240851,$74.03,$74.44,$73.6248
09/05/2023,$74.20,2680208,$74.61,$75.48,$74.17
