Date,Close/Last,Volume,Open,High,Low
10/23/2023,$121.83,1004932,$122.53,$123.295,$121.70
10/20/2023,$123.19,1511731,$125.06,$125.78,$123.15
10/19/2023,$124.74,1863331,$126.91,$129.10,$124.44
10/18/2023,$127.41,1647483,$128.13,$128.915,$126.99
10/17/2023,$127.92,3391660,$125.15,$129.25,$125.14
10/16/2023,$124.92,3982949,$121.00,$127.87,$119.61
10/13/2023,$120.32,2897434,$115.64,$120.885,$115.64
10/12/2023,$113.98,1125158,$115.28,$115.285,$113.04
10/11/2023,$114.77,941397,$114.76,$115.65,$114.02
10/10/2023,$114.72,1247868,$114.44,$115.46,$113.941
10/09/2023,$114.17,831773,$112.75,$114.40,$112.42
10/06/2023,$113.15,1186083,$112.18,$113.97,$111.8431
10/05/2023,$112.37,1014719,$111.42,$112.83,$110.74
10/04/2023,$111.45,1009792,$110.12,$111.63,$109.01
10/03/2023,$109.91,1192783,$110.29,$111.28,$109.33
10/02/2023,$110.91,1337990,$110.93,$111.48,$110.03
09/29/2023,$111.41,1206851,$112.41,$112.69,$111.25
09/28/2023,$112.49,909994,$113.16,$113.62,$112.34
09/27/2023,$113.02,1262144,$112.75,$113.45,$111.42
09/26/2023,$113.27,1247195,$114.83,$115.36,$112.725
09/25/2023,$115.24,1983386,$113.71,$116.12,$113.03
09/22/2023,$114.09,1741097,$114.40,$114.87,$113.52
09/21/2023,$113.85,1935419,$114.07,$115.06,$112.505
09/20/2023,$114.15,2142152,$113.97,$115.79,$113.39
09/19/2023,$113.38,2654544,$111.51,$114.45,$111.1228
09/18/2023,$111.04,2140551,$109.24,$111.35,$108.16
09/15/2023,$108.78,2901875,$109.96,$110.04,$108.66
09/14/2023,$110.55,2585296,$109.77,$111.03,$109.05
09/13/2023,$108.90,2446789,$110.00,$110.49,$108.12
09/12/2023,$109.49,1305354,$108.06,$109.93,$107.85
09/11/2023,$107.78,1386738,$107.04,$108.47,$106.74
09/08/2023,$106.20,1707484,$107.65,$107.75,$105.85
09/07/2023,$107.73,1493794,$108.06,$109.055,$107.50
09/06/2023,$107.93,1360291,$107.32,$108.925,$106.88
