Date,Close/Last,Volume,Open,High,Low
01/05/2024,$104.04,430904,$103.86,$105.62,$103.40
01/04/2024,$103.80,890301,$102.67,$104.80,$102.645
01/03/2024,$104.74,531589,$108.40,$108.40,$104.57
01/02/2024,$109.90,425445,$108.95,$110.50,$108.88
12/29/2023,$110.19,358120,$110.91,$111.12,$109.56
12/28/2023,$111.09,338487,$110.26,$111.17,$110.01
12/27/2023,$110.98,212862,$110.86,$111.30,$110.44
12/26/2023,$110.49,306567,$109.81,$111.04,$109.77
12/22/2023,$109.40,445255,$108.63,$109.64,$108.56
12/21/2023,$108.49,498686,$107.21,$108.52,$107.10
12/20/2023,$105.54,496162,$106.03,$107.71,$105.54
12/19/2023,$105.56,435165,$104.42,$105.86,$104.15
12/18/2023,$104.13,462218,$103.98,$104.79,$103.17
12/15/2023,$103.33,1231076,$105.11,$105.63,$102.79
12/14/2023,$105.67,1003843,$103.24,$106.61,$103.20
12/13/2023,$102.51,716405,$100.38,$103.16,$99.76
12/12/2023,$101.29,552426,$101.55,$102.08,$100.88
12/11/2023,$101.41,773083,$100.70,$101.96,$100.15
12/08/2023,$101.41,734476,$101.52,$102.6299,$101.38
12/07/2023,$101.59,671242,$101.28,$101.99,$100.78
12/06/2023,$102.11,665736,$103.90,$103.95,$101.785
12/05/2023,$102.31,530697,$103.70,$103.70,$102.17
12/04/2023,$105.32,533304,$104.44,$105.89,$104.44
12/01/2023,$105.04,598419,$103.69,$105.04,$103.58
11/30/2023,$103.62,553057,$103.70,$104.06,$103.07
11/29/2023,$103.30,830465,$103.02,$104.05,$103.02
11/28/2023,$100.92,669290,$101.19,$101.91,$100.295
11/27/2023,$101.56,380653,$101.49,$102.19,$101.4765
11/24/2023,$102.47,288384,$102.28,$103.5997,$102.28
11/22/2023,$101.67,357450,$102.31,$102.53,$101.52
11/21/2023,$101.57,424092,$102.00,$102.46,$101.27
11/20/2023,$102.78,1132737,$102.28,$102.93,$101.81
11/17/2023,$102.42,590810,$101.07,$102.775,$101.07
11/16/2023,$99.85,1122785,$101.32,$102.05,$99.48
11/15/2023,$102.14,628629,$101.02,$102.55,$100.831
11/14/2023,$100.63,973519,$99.16,$101.30,$99.00
11/13/2023,$97.10,727494,$97.23,$97.72,$96.72
11/10/2023,$96.66,715098,$95.12,$96.66,$94.68
11/09/2023,$94.64,1110642,$96.82,$97.44,$94.59
11/08/2023,$96.92,857566,$97.46,$97.73,$96.62
11/07/2023,$97.31,715236,$96.39,$97.315,$95.60
11/06/2023,$97.10,1085680,$96.29,$97.76,$96.045
11/03/2023,$96.50,1133579,$94.83,$96.69,$94.47
11/02/2023,$93.13,1844099,$93.12,$93.80,$89.37
11/01/2023,$92.92,1194099,$92.05,$92.99,$90.71
10/31/2023,$91.65,1097459,$91.12,$92.675,$90.68
10/30/2023,$91.23,1790614,$93.63,$93.685,$90.55
10/27/2023,$92.41,886933,$94.75,$94.84,$92.17
10/26/2023,$95.28,1269774,$97.40,$97.59,$94.29
10/25/2023,$97.09,1437690,$95.59,$97.37,$94.77
10/24/2023,$96.00,1589557,$95.90,$97.05,$95.27
10/23/2023,$96.03,1457355,$95.51,$97.6899,$95.44
10/20/2023,$96.49,2889922,$92.22,$97.53,$92.22
10/19/2023,$90.17,1513152,$92.14,$92.99,$90.00
10/18/2023,$93.10,1468975,$93.54,$93.92,$92.69
10/17/2023,$94.97,915488,$94.35,$96.185,$94.04
10/16/2023,$95.05,629860,$95.38,$96.10,$94.49
10/13/2023,$94.33,593327,$95.88,$96.02,$93.88
10/12/2023,$95.78,1006696,$96.93,$96.93,$94.92
10/11/2023,$97.23,688826,$97.41,$97.82,$96.62
10/10/2023,$96.77,739503,$96.97,$97.38,$96.12
10/09/2023,$94.72,593519,$94.72,$95.10,$93.41
10/06/2023,$95.81,1069384,$92.37,$96.62,$91.79
10/05/2023,$92.83,1222107,$93.38,$93.73,$90.43
10/04/2023,$93.78,805932,$92.49,$94.08,$92.41
10/03/2023,$92.77,710695,$94.55,$95.27,$92.38
10/02/2023,$95.31,732850,$96.50,$96.74,$94.88
09/29/2023,$96.48,670023,$98.31,$98.65,$96.245
09/28/2023,$97.32,1104117,$95.88,$97.90,$95.75
09/27/2023,$95.73,493526,$96.81,$97.25,$95.25
09/26/2023,$95.16,377870,$97.34,$97.44,$95.11
09/25/2023,$97.49,458467,$95.00,$97.55,$95.00
