Date,Close/Last,Volume,Open,High,Low
01/05/2024,$18.28,736918,$18.28,$18.33,$18.07
01/04/2024,$18.18,866240,$18.26,$18.26,$18.06
01/03/2024,$18.21,870331,$18.40,$18.54,$18.16
01/02/2024,$18.47,767218,$18.41,$18.66,$18.40
12/29/2023,$18.52,1296162,$18.35,$18.57,$18.31
12/28/2023,$18.36,651761,$18.46,$18.58,$18.359
12/27/2023,$18.50,1321815,$18.55,$18.57,$18.43
12/26/2023,$18.58,532456,$18.63,$18.715,$18.43
12/22/2023,$18.52,750564,$18.81,$18.825,$18.49
12/21/2023,$18.70,839897,$18.44,$18.79,$18.44
12/20/2023,$18.37,1394930,$18.69,$18.91,$18.34
12/19/2023,$18.71,1169230,$19.15,$19.215,$18.59
12/18/2023,$18.96,1170608,$18.80,$19.03,$18.635
12/15/2023,$18.73,1915246,$18.76,$18.93,$18.67
12/14/2023,$18.91,1754800,$18.30,$18.96,$18.30
12/13/2023,$18.35,1076209,$18.12,$18.415,$18.00
12/12/2023,$18.10,698639,$18.27,$18.30,$18.01
12/11/2023,$18.26,1214174,$18.29,$18.43,$18.095
12/08/2023,$18.32,851072,$18.30,$18.48,$18.23
12/07/2023,$18.36,1283926,$18.79,$18.81,$18.36
12/06/2023,$18.65,2463594,$18.46,$18.77,$18.44
12/05/2023,$18.38,1113406,$18.39,$18.45,$18.0306
12/04/2023,$18.35,1860035,$18.55,$18.62,$18.22
12/01/2023,$18.61,1176660,$18.09,$18.64,$18.07
11/30/2023,$18.17,1930919,$17.89,$18.30,$17.80
11/29/2023,$17.89,1012555,$17.81,$18.05,$17.755
11/28/2023,$17.80,985431,$17.66,$17.8795,$17.625
11/27/2023,$17.74,1298145,$18.05,$18.10,$17.70
11/24/2023,$18.08,613332,$17.62,$18.14,$17.62
11/22/2023,$17.63,592512,$17.60,$17.75,$17.60
11/21/2023,$17.65,1146829,$17.77,$17.835,$17.59
11/20/2023,$17.71,943364,$17.76,$17.88,$17.68
11/17/2023,$17.70,859789,$17.77,$17.845,$17.64
11/16/2023,$17.70,1304795,$17.71,$17.84,$17.61
11/15/2023,$17.73,1993355,$17.74,$17.87,$17.65
11/14/2023,$17.81,2949748,$17.50,$17.985,$17.495
11/13/2023,$17.34,2344001,$17.16,$17.43,$17.13
11/10/2023,$17.28,2000864,$17.00,$17.29,$16.945
11/09/2023,$16.93,1354520,$16.78,$17.25,$16.78
11/08/2023,$17.11,724336,$17.19,$17.325,$17.06
11/07/2023,$17.17,1390743,$17.41,$17.47,$17.13
11/06/2023,$17.40,1556618,$17.26,$17.81,$17.26
11/03/2023,$17.31,1565474,$17.37,$17.73,$17.16
11/02/2023,$17.08,1349921,$16.83,$17.14,$16.83
11/01/2023,$16.68,1962866,$16.67,$16.73,$16.465
10/31/2023,$16.60,1994441,$16.65,$16.665,$16.445
10/30/2023,$16.67,1921095,$16.83,$16.95,$16.67
10/27/2023,$16.71,2309943,$16.95,$17.03,$16.70
10/26/2023,$16.79,1847322,$16.52,$16.94,$16.52
10/25/2023,$16.67,2674544,$16.80,$16.835,$16.595
10/24/2023,$16.84,3621081,$16.70,$16.96,$16.68
10/23/2023,$16.79,3023853,$16.68,$16.89,$16.62
10/20/2023,$16.83,4566280,$16.75,$17.105,$16.52
10/19/2023,$16.54,3844708,$16.48,$16.625,$16.18
10/18/2023,$16.38,4080797,$16.79,$16.94,$15.995
10/17/2023,$17.14,1839880,$16.99,$17.20,$16.97
10/16/2023,$17.13,2514128,$16.60,$17.13,$16.60
10/13/2023,$16.77,1274896,$16.82,$16.93,$16.69
10/12/2023,$16.82,1990152,$16.98,$16.98,$16.72
10/11/2023,$17.03,1819331,$17.00,$17.12,$16.89
10/10/2023,$16.96,3316868,$16.82,$17.18,$16.76
10/09/2023,$16.71,1692197,$16.47,$16.8275,$16.25
10/06/2023,$16.60,2051570,$16.76,$16.765,$16.30
10/05/2023,$16.78,4889418,$16.66,$17.02,$16.50
10/04/2023,$16.89,1974307,$16.59,$16.96,$16.465
10/03/2023,$16.43,2484130,$16.99,$17.20,$16.365
10/02/2023,$17.06,974873,$17.30,$17.30,$16.96
09/29/2023,$17.32,2096694,$17.37,$17.59,$17.295
09/28/2023,$17.22,1988177,$16.85,$17.33,$16.765
09/27/2023,$16.85,2284460,$16.75,$16.85,$16.655
09/26/2023,$16.79,2021844,$16.99,$17.195,$16.79
09/25/2023,$17.09,2225537,$17.53,$17.5447,$17.08
09/22/2023,$17.68,2355825,$17.82,$17.99,$17.6647
09/21/2023,$17.77,3078311,$18.07,$18.25,$17.69
09/20/2023,$18.27,1974076,$18.57,$18.59,$18.26
09/19/2023,$18.39,1817584,$18.15,$18.48,$18.07
09/18/2023,$18.30,1646898,$18.18,$18.37,$17.94
09/15/2023,$18.15,3224667,$18.33,$18.44,$18.03
09/14/2023,$18.29,1547159,$18.23,$18.46,$18.175
09/13/2023,$18.21,2024294,$18.53,$18.53,$18.21
09/12/2023,$18.39,2886780,$18.15,$18.455,$18.03
09/11/2023,$18.13,2818716,$18.21,$18.37,$18.04
09/08/2023,$18.09,3817460,$18.00,$18.21,$17.96
09/07/2023,$18.04,1978466,$18.44,$18.44,$17.99
09/06/2023,$18.30,4889637,$18.25,$18.54,$18.20
09/05/2023,$18.38,2599343,$18.50,$18.73,$18.29
09/01/2023,$18.83,3146219,$19.14,$19.26,$18.74
08/31/2023,$19.17,11382690,$19.45,$19.67,$18.61
08/30/2023,$19.47,5184150,$19.14,$19.57,$18.84
08/29/2023,$19.06,1623418,$18.91,$19.18,$18.70
08/28/2023,$18.90,1410622,$19.12,$19.13,$18.855
08/25/2023,$18.99,1927149,$19.39,$19.39,$18.95
08/24/2023,$19.26,2127622,$19.20,$19.27,$18.95
08/23/2023,$19.33,2309693,$19.18,$19.505,$19.145
08/22/2023,$19.11,2571704,$19.36,$19.52,$18.99
08/21/2023,$19.25,3907519,$19.36,$19.475,$19.03
08/18/2023,$19.53,2895663,$19.34,$19.73,$19.24
08/17/2023,$19.48,4130264,$18.82,$19.61,$18.66
08/16/2023,$18.63,3294465,$18.76,$18.855,$18.318
08/15/2023,$18.79,2060135,$18.92,$19.04,$18.69
08/14/2023,$19.00,3200394,$19.29,$19.34,$18.745
08/11/2023,$19.30,3494195,$19.73,$20.08,$19.20
08/10/2023,$20.15,1697739,$20.63,$20.64,$20.10
08/09/2023,$20.54,891985,$20.08,$20.60,$19.95
08/08/2023,$19.97,1755527,$20.04,$20.09,$19.493
08/07/2023,$20.07,1677388,$19.84,$20.135,$19.63
08/04/2023,$19.91,2176191,$19.69,$20.00,$19.69
08/03/2023,$19.62,1769339,$19.69,$19.84,$19.435
08/02/2023,$19.85,1752934,$20.28,$20.36,$19.80
08/01/2023,$20.40,1795044,$20.99,$20.99,$20.365
07/31/2023,$20.92,1513610,$21.43,$21.505,$20.86
07/28/2023,$21.45,777863,$21.32,$21.61,$21.32
