Date,Close/Last,Volume,Open,High,Low
10/23/2023,$59.97,993303,$60.69,$60.84,$59.26
10/20/2023,$60.90,1227157,$60.34,$61.385,$59.7386
10/19/2023,$60.66,1538349,$63.36,$63.375,$60.50
10/18/2023,$63.24,1124884,$62.80,$63.80,$62.20
10/17/2023,$62.98,1407564,$62.30,$64.85,$62.06
10/16/2023,$62.72,1575067,$61.25,$63.225,$60.82
10/13/2023,$60.39,1440291,$61.44,$61.55,$60.0106
10/12/2023,$61.74,1801102,$61.83,$63.04,$60.58
10/11/2023,$61.50,1680663,$59.80,$61.59,$59.54
10/10/2023,$59.77,1775466,$56.91,$59.88,$56.91
10/09/2023,$56.88,1588963,$55.01,$57.49,$54.47
10/06/2023,$55.01,1494533,$54.10,$55.45,$53.21
10/05/2023,$54.54,1507502,$54.84,$54.935,$53.16
10/04/2023,$55.13,2104466,$55.69,$55.89,$53.65
10/03/2023,$55.49,2408606,$58.00,$58.21,$55.06
10/02/2023,$58.31,2068136,$56.95,$58.40,$56.94
09/29/2023,$56.37,1495697,$56.79,$56.79,$55.61
09/28/2023,$56.05,1460826,$55.55,$56.14,$54.6801
09/27/2023,$54.56,1667547,$53.27,$54.70,$53.15
09/26/2023,$52.84,1629667,$51.20,$53.07,$51.05
09/25/2023,$51.76,1596947,$50.25,$52.83,$50.03
09/22/2023,$50.63,1418686,$49.62,$51.35,$49.55
09/21/2023,$49.32,1162846,$50.05,$50.195,$49.24
09/20/2023,$50.25,1192321,$50.78,$51.71,$50.23
09/19/2023,$50.58,1503725,$50.95,$51.28,$50.14
09/18/2023,$50.89,1631735,$52.15,$52.52,$50.80
09/15/2023,$52.40,2848954,$50.84,$52.40,$50.66
09/14/2023,$51.26,1342577,$50.99,$51.98,$50.99
09/13/2023,$50.64,1592845,$52.08,$52.30,$50.58
09/12/2023,$52.26,1719315,$53.09,$53.51,$52.10
09/11/2023,$53.40,1740916,$53.89,$54.6751,$53.37
09/08/2023,$53.32,1215852,$54.37,$54.795,$53.24
09/07/2023,$54.61,1061024,$55.52,$55.52,$54.0775
09/06/2023,$54.98,1389699,$55.07,$55.435,$54.01
09/05/2023,$54.85,1618108,$54.14,$55.275,$53.71
09/01/2023,$54.50,1419962,$53.95,$54.69,$53.32
08/31/2023,$53.75,1508118,$52.24,$53.79,$52.12
08/30/2023,$52.29,2249711,$51.36,$53.98,$51.25
08/29/2023,$51.32,1469863,$49.74,$51.32,$49.715
08/28/2023,$49.51,2654591,$49.80,$50.86,$49.11
08/25/2023,$50.16,2841825,$51.38,$51.48,$49.76
08/24/2023,$50.46,3875358,$51.20,$53.0208,$50.38
08/23/2023,$50.86,12120550,$49.72,$51.90,$47.13
08/22/2023,$41.17,3415058,$40.52,$41.66,$40.50
08/21/2023,$41.76,2400344,$42.88,$43.475,$41.75
08/18/2023,$43.20,2235077,$40.85,$43.335,$40.802
08/17/2023,$41.11,1281350,$42.00,$42.50,$41.10
08/16/2023,$41.96,1784887,$42.15,$42.70,$41.44
08/15/2023,$41.43,1220413,$41.28,$41.725,$41.05
08/14/2023,$41.36,1764145,$39.57,$41.55,$39.30
08/11/2023,$39.44,1150141,$39.93,$40.12,$39.36
08/10/2023,$40.29,1291529,$40.03,$40.85,$39.61
08/09/2023,$39.93,1050914,$39.64,$40.24,$39.24
08/08/2023,$39.66,1361549,$39.25,$39.76,$38.62
08/07/2023,$39.45,1002519,$39.49,$39.66,$39.11
08/04/2023,$39.23,1242930,$39.00,$39.34,$38.68
08/03/2023,$39.00,1541602,$39.59,$39.68,$38.5401
08/02/2023,$38.92,2091431,$38.89,$39.265,$38.53
08/01/2023,$39.50,1528798,$39.64,$39.805,$39.25
07/31/2023,$39.61,1710995,$40.39,$40.47,$39.41
07/28/2023,$39.98,1864065,$39.14,$40.50,$39.02
07/27/2023,$38.96,1799644,$38.97,$39.70,$38.66
07/26/2023,$38.71,1600182,$37.91,$38.78,$37.75
07/25/2023,$37.70,1412739,$37.17,$37.99,$36.782
07/24/2023,$37.21,1734999,$35.99,$37.24,$35.87
07/21/2023,$36.06,1400613,$36.57,$36.71,$35.69
07/20/2023,$36.33,1696261,$37.12,$37.35,$36.28
07/19/2023,$37.03,2314945,$37.28,$37.50,$36.88
07/18/2023,$37.16,2213798,$37.23,$37.99,$37.07
07/17/2023,$37.42,2821880,$35.66,$37.57,$35.35
07/14/2023,$34.91,2539757,$33.79,$34.99,$33.38
07/13/2023,$33.98,2439069,$35.20,$35.215,$33.76
07/12/2023,$35.30,1335394,$36.26,$36.44,$35.29
07/11/2023,$35.80,1454776,$35.54,$36.03,$35.22
07/10/2023,$35.32,1852740,$35.47,$35.955,$35.02
07/07/2023,$35.54,1068967,$35.40,$35.76,$35.25
07/06/2023,$35.52,1525157,$35.72,$36.00,$35.07
07/05/2023,$36.12,1558938,$37.39,$37.39,$36.09
07/03/2023,$37.29,733761,$37.61,$38.15,$37.2002
06/30/2023,$37.68,1469359,$38.10,$38.205,$37.15
06/29/2023,$37.85,1643487,$37.356,$38.20,$37.19
06/28/2023,$36.70,1144915,$37.27,$37.47,$36.33
06/27/2023,$37.47,1401418,$37.06,$37.74,$37.06
06/26/2023,$37.18,1516832,$37.01,$37.76,$36.8675
06/23/2023,$36.93,2624996,$37.05,$37.51,$36.58
06/22/2023,$37.21,1150406,$37.20,$37.45,$36.68
06/21/2023,$36.90,1861084,$36.28,$37.955,$36.205
06/20/2023,$36.24,1355782,$36.16,$36.50,$35.9077
06/16/2023,$36.08,1507043,$36.48,$36.60,$35.55
06/15/2023,$36.24,1179930,$35.10,$36.26,$35.10
06/14/2023,$35.59,1351924,$35.02,$35.70,$34.69
06/13/2023,$34.99,1586240,$34.76,$35.27,$34.11
06/12/2023,$34.39,1541347,$34.70,$34.70,$33.625
06/09/2023,$34.24,1688616,$35.25,$35.375,$34.09
06/08/2023,$34.95,2120552,$33.61,$35.02,$33.11
06/07/2023,$33.75,1963629,$33.07,$34.30,$33.07
06/06/2023,$32.73,1839028,$31.59,$33.32,$31.515
06/05/2023,$31.60,1289904,$31.65,$31.83,$31.062
06/02/2023,$31.80,2289203,$30.83,$31.99,$30.40
06/01/2023,$30.31,2453773,$30.73,$30.79,$29.88
05/31/2023,$31.03,1850419,$31.25,$31.46,$30.69
05/30/2023,$31.40,2571122,$30.00,$31.425,$29.7001
05/26/2023,$29.95,2361517,$29.11,$30.64,$28.965
05/25/2023,$28.56,5173049,$30.20,$30.88,$28.43
05/24/2023,$30.16,13645170,$27.35,$30.288,$26.61
05/23/2023,$23.01,2486645,$22.69,$23.43,$22.65
05/22/2023,$22.76,2428727,$23.01,$23.01,$22.21
05/19/2023,$22.86,2698397,$23.79,$23.885,$22.35
05/18/2023,$24.13,1314371,$23.92,$24.37,$23.72
05/17/2023,$24.23,1820956,$23.17,$24.45,$22.90
05/16/2023,$23.07,1480737,$24.25,$24.26,$23.045
05/15/2023,$24.45,1272664,$23.97,$24.48,$23.76
05/12/2023,$23.96,835571,$23.40,$23.98,$23.32
05/11/2023,$23.34,936235,$22.91,$23.44,$22.90
05/10/2023,$22.95,1217547,$23.90,$24.07,$22.86
05/09/2023,$23.44,1019117,$23.02,$23.60,$22.815
05/08/2023,$23.29,1148537,$22.94,$23.405,$22.56
05/05/2023,$22.72,883577,$22.24,$22.745,$22.24
05/04/2023,$21.83,1535741,$22.59,$22.81,$21.735
05/03/2023,$22.77,809571,$23.07,$23.40,$22.73
05/02/2023,$23.06,1526625,$23.17,$23.17,$22.26
05/01/2023,$23.30,819070,$23.58,$23.9086,$23.135
04/28/2023,$23.54,822773,$23.26,$23.65,$23.14
04/27/2023,$23.39,769013,$23.16,$23.43,$22.78
04/26/2023,$23.00,1174410,$22.94,$23.23,$22.82
04/25/2023,$22.96,1211042,$23.80,$23.9622,$22.82
04/24/2023,$24.20,1381790,$24.21,$24.33,$23.73
04/21/2023,$24.24,1192072,$24.23,$24.45,$23.96
04/20/2023,$24.35,1881654,$24.55,$25.1373,$23.992
04/19/2023,$24.67,1307335,$24.98,$24.99,$24.52
04/18/2023,$25.15,1523640,$24.96,$25.34,$24.48
04/17/2023,$24.89,1501572,$25.75,$25.75,$24.775
04/14/2023,$25.56,1459221,$25.68,$26.51,$25.375
04/13/2023,$25.49,1625484,$25.71,$25.71,$24.96
04/12/2023,$25.60,1539164,$26.85,$27.295,$25.57
04/11/2023,$27.43,823207,$27.35,$27.61,$27.07
04/10/2023,$27.28,1110337,$26.20,$27.50,$26.02
