Date,Close/Last,Volume,Open,High,Low
01/05/2024,$94.93,2415616,$94.80,$95.45,$94.07
01/04/2024,$94.80,4026805,$93.32,$96.41,$92.925
01/03/2024,$92.17,2465072,$90.35,$92.62,$89.76
01/02/2024,$91.33,1955421,$92.49,$92.58,$90.84
12/29/2023,$93.19,2329732,$94.11,$94.64,$93.14
12/28/2023,$94.27,2004622,$93.21,$94.605,$93.12
12/27/2023,$93.16,957624,$92.70,$93.57,$92.26
12/26/2023,$92.59,1474028,$91.66,$93.17,$91.43
12/22/2023,$91.58,1282778,$91.90,$92.30,$91.16
12/21/2023,$91.80,1849098,$92.24,$92.39,$90.79
12/20/2023,$91.67,2139460,$94.20,$94.67,$91.45
12/19/2023,$94.76,2125473,$94.76,$96.23,$94.25
12/18/2023,$94.08,1356688,$94.59,$94.96,$93.49
12/15/2023,$94.48,3978904,$93.16,$94.68,$92.99
12/14/2023,$93.13,4297714,$92.76,$94.23,$91.065
12/13/2023,$92.26,3732858,$93.21,$93.6431,$91.71
12/12/2023,$93.23,1323025,$92.10,$93.29,$91.7925
12/11/2023,$91.94,1309433,$92.27,$93.0619,$91.51
12/08/2023,$92.09,1715540,$90.68,$92.265,$90.535
12/07/2023,$90.80,2006752,$90.80,$91.0583,$89.45
12/06/2023,$90.57,2151106,$92.01,$92.53,$90.37
12/05/2023,$90.73,1848165,$89.46,$91.01,$89.115
12/04/2023,$89.86,3531248,$90.67,$91.249,$88.585
12/01/2023,$92.70,3094883,$91.63,$92.845,$91.22
11/30/2023,$92.00,4157043,$89.28,$92.44,$89.28
11/29/2023,$92.27,4269884,$90.81,$93.44,$90.78
11/28/2023,$90.63,3714680,$90.31,$91.79,$90.31
11/27/2023,$90.51,2714954,$91.31,$91.55,$90.06
11/24/2023,$91.14,1738595,$90.25,$92.16,$90.25
11/22/2023,$90.20,2820940,$88.95,$90.41,$88.18
11/21/2023,$87.96,2848307,$87.90,$88.2758,$87.85
11/20/2023,$88.32,2698390,$86.84,$88.75,$86.21
11/17/2023,$86.84,1819074,$86.52,$87.52,$85.84
11/16/2023,$86.40,1319553,$86.35,$87.57,$85.97
11/15/2023,$86.97,1701015,$87.68,$88.05,$86.53
11/14/2023,$87.68,2551748,$87.44,$88.91,$87.00
11/13/2023,$85.72,2338035,$84.52,$86.66,$84.23
11/10/2023,$84.96,1883570,$84.97,$85.29,$83.93
11/09/2023,$84.25,2064967,$85.15,$85.71,$83.88
11/08/2023,$84.77,1858647,$84.36,$85.64,$84.03
11/07/2023,$84.35,2282923,$82.95,$84.51,$82.71
11/06/2023,$83.15,2289851,$85.00,$85.18,$82.30
11/03/2023,$85.03,3591955,$84.97,$86.25,$83.59
11/02/2023,$84.12,2855925,$84.39,$85.50,$83.61
11/01/2023,$83.65,5799042,$83.49,$86.46,$80.50
10/31/2023,$77.44,5741407,$80.10,$80.10,$77.11
10/30/2023,$80.16,2732802,$81.25,$81.46,$79.72
10/27/2023,$80.35,1653512,$81.06,$81.615,$79.84
10/26/2023,$81.02,2024448,$81.20,$83.21,$80.662
10/25/2023,$81.40,1743426,$83.51,$83.935,$81.25
10/24/2023,$84.00,1597355,$83.46,$84.56,$83.45
10/23/2023,$82.82,1804377,$82.36,$83.58,$81.57
10/20/2023,$82.36,3004620,$83.23,$83.52,$81.31
10/19/2023,$83.38,2938075,$86.74,$87.12,$83.05
10/18/2023,$87.25,3103087,$87.37,$87.74,$86.02
10/17/2023,$88.11,2678574,$86.85,$89.10,$86.85
10/16/2023,$87.25,3045429,$88.01,$88.30,$85.08
10/13/2023,$87.56,2762345,$88.03,$88.82,$86.25
10/12/2023,$87.95,2120050,$89.50,$89.605,$87.61
10/11/2023,$89.29,2362115,$90.97,$91.09,$88.79
10/10/2023,$89.79,2793561,$89.30,$90.86,$89.26
10/09/2023,$89.18,2247324,$88.80,$89.875,$88.36
10/06/2023,$90.57,2627593,$88.12,$91.11,$88.00
10/05/2023,$88.58,2300383,$87.50,$88.935,$87.385
10/04/2023,$87.97,2016007,$86.96,$88.55,$86.71
10/03/2023,$86.56,2270749,$89.17,$89.645,$86.09
10/02/2023,$89.60,1727596,$90.04,$90.40,$89.19
09/29/2023,$89.76,1740691,$91.50,$91.67,$89.55
09/28/2023,$91.10,1276323,$89.61,$91.70,$89.61
09/27/2023,$89.55,2076009,$90.22,$90.50,$88.76
09/26/2023,$89.88,1650955,$91.18,$92.00,$89.81
09/25/2023,$92.48,1382840,$90.43,$92.59,$90.20
09/22/2023,$90.81,1832962,$91.04,$92.0985,$90.40
09/21/2023,$90.41,2044102,$90.97,$91.755,$90.145
09/20/2023,$92.02,2841418,$91.66,$93.18,$91.445
09/19/2023,$91.66,2069208,$92.42,$92.70,$90.67
09/18/2023,$92.06,2075229,$91.44,$92.33,$90.87
09/15/2023,$91.78,3258821,$91.17,$92.40,$90.96
09/14/2023,$91.17,2576599,$91.00,$91.385,$89.86
09/13/2023,$90.60,3088672,$90.19,$91.70,$89.955
09/12/2023,$90.16,2054447,$88.23,$90.52,$88.1871
09/11/2023,$88.60,886875,$88.84,$88.9499,$88.22
09/08/2023,$87.86,1539218,$87.00,$88.98,$86.955
09/07/2023,$87.12,2024338,$86.34,$87.42,$85.54
09/06/2023,$87.06,1725833,$88.10,$88.28,$86.99
09/05/2023,$88.77,3557098,$86.58,$88.88,$86.55
09/01/2023,$86.44,2685529,$87.68,$88.20,$85.87
08/31/2023,$87.34,3618838,$85.49,$87.68,$85.1635
08/30/2023,$85.10,1656293,$85.02,$85.24,$84.69
08/29/2023,$84.96,2434916,$83.41,$85.36,$83.36
08/28/2023,$83.64,1451849,$84.00,$84.33,$83.24
08/25/2023,$83.15,1278105,$82.75,$83.62,$82.04
08/24/2023,$82.52,1493798,$83.70,$84.47,$82.35
08/23/2023,$83.06,2545164,$81.51,$83.48,$81.32
08/22/2023,$81.53,1605624,$82.40,$82.56,$81.385
08/21/2023,$81.55,1956580,$80.97,$81.95,$80.64
08/18/2023,$81.16,1634129,$78.42,$81.41,$78.3886
08/17/2023,$79.20,2088941,$80.23,$80.455,$78.73
08/16/2023,$80.26,1380374,$80.38,$81.00,$80.21
08/15/2023,$80.52,1786109,$81.49,$81.62,$80.49
08/14/2023,$81.96,1626980,$81.02,$82.05,$80.29
08/11/2023,$81.41,2047913,$81.06,$82.00,$80.68
08/10/2023,$81.60,3135244,$81.67,$82.50,$80.775
08/09/2023,$81.70,6487218,$82.30,$82.60,$80.98
08/08/2023,$82.48,7026187,$82.48,$83.99,$82.30
08/07/2023,$86.27,1960005,$86.00,$86.92,$85.6701
08/04/2023,$86.14,2341334,$86.82,$87.82,$85.50
08/03/2023,$85.93,3102806,$82.00,$86.47,$81.97
08/02/2023,$81.33,2328270,$81.17,$81.50,$80.33
08/01/2023,$81.96,1979324,$81.02,$82.11,$80.8762
07/31/2023,$81.71,1735747,$81.76,$82.16,$81.15
07/28/2023,$81.81,1766208,$81.69,$82.10,$81.23
07/27/2023,$80.71,1593621,$82.23,$82.28,$80.39
07/26/2023,$81.44,1689324,$81.16,$81.85,$80.74
07/25/2023,$81.16,2644123,$80.91,$81.66,$80.815
07/24/2023,$80.84,1448663,$80.50,$81.261,$79.99
07/21/2023,$80.79,2069753,$81.81,$82.22,$80.68
07/20/2023,$81.58,1508062,$81.20,$82.38,$81.20
07/19/2023,$81.87,1996426,$83.28,$83.37,$81.33
07/18/2023,$82.46,2215892,$81.44,$82.56,$81.07
07/17/2023,$80.94,1965420,$79.14,$81.42,$79.10
07/14/2023,$80.29,1547716,$81.11,$81.24,$79.27
07/13/2023,$80.55,2252702,$78.82,$80.97,$78.46
07/12/2023,$77.99,1328377,$79.29,$79.41,$77.55
07/11/2023,$77.96,1914176,$76.50,$78.25,$75.998
07/10/2023,$75.80,1541353,$75.84,$76.42,$75.39
07/07/2023,$76.01,1675913,$74.00,$76.25,$73.80
07/06/2023,$74.51,2298220,$74.61,$75.08,$73.77
07/05/2023,$76.03,1869940,$76.39,$76.70,$75.21
07/03/2023,$77.07,1282734,$76.75,$77.55,$76.75
06/30/2023,$76.81,2042017,$76.75,$77.60,$76.36
06/29/2023,$75.81,2232352,$75.63,$76.33,$75.12
06/28/2023,$75.14,2001928,$74.53,$75.37,$74.06
06/27/2023,$74.76,2483454,$73.69,$75.50,$73.485
06/26/2023,$73.67,1691473,$72.81,$74.00,$72.7646
06/23/2023,$73.00,8221369,$74.23,$74.315,$72.44
06/22/2023,$74.87,2019291,$75.98,$76.27,$74.79
06/21/2023,$76.41,1402818,$76.40,$76.75,$76.00
06/20/2023,$76.40,2908005,$76.15,$76.58,$75.86
06/16/2023,$77.08,4105657,$77.59,$77.59,$76.7339
06/15/2023,$77.39,2936558,$76.14,$77.50,$76.036
06/14/2023,$76.15,2397416,$75.84,$76.52,$75.51
06/13/2023,$76.01,4201056,$73.82,$76.06,$73.72
06/12/2023,$73.64,2104327,$72.89,$73.84,$72.69
06/09/2023,$72.98,2397349,$72.72,$73.23,$72.61
06/08/2023,$72.75,3179136,$71.53,$72.84,$71.30
06/07/2023,$71.58,2611468,$71.33,$71.82,$70.93
06/06/2023,$70.93,3338687,$70.20,$71.3432,$70.155
06/05/2023,$70.50,3116226,$69.37,$70.68,$69.25
06/02/2023,$69.70,2887047,$68.69,$70.27,$68.38
06/01/2023,$68.00,3013037,$66.93,$68.49,$66.60
05/31/2023,$66.85,3728821,$67.25,$67.67,$66.38
05/30/2023,$66.78,3637011,$66.20,$67.145,$65.85
05/26/2023,$65.42,2207811,$64.74,$66.26,$64.74
05/25/2023,$64.23,2299504,$63.29,$64.565,$62.975
05/24/2023,$62.97,1626536,$63.52,$63.54,$62.63
05/23/2023,$64.32,1451571,$65.67,$66.28,$64.31
05/22/2023,$66.00,3488797,$64.17,$66.30,$64.17
05/19/2023,$63.85,1736763,$63.92,$64.24,$62.98
05/18/2023,$63.74,1963575,$63.31,$63.91,$62.83
05/17/2023,$63.42,2674278,$62.74,$64.18,$62.30
05/16/2023,$62.04,1723090,$62.81,$63.42,$62.00
05/15/2023,$63.18,1631500,$62.82,$63.79,$62.24
05/12/2023,$62.51,1848684,$63.99,$64.19,$61.98
05/11/2023,$63.72,2252433,$63.36,$64.48,$63.09
05/10/2023,$63.64,3859686,$63.65,$64.82,$63.115
05/09/2023,$62.26,4202683,$61.22,$63.3843,$59.8925
05/08/2023,$61.83,2431111,$61.08,$62.04,$60.96
05/05/2023,$60.53,2208674,$58.03,$60.58,$58.03
05/04/2023,$58.04,4077699,$60.77,$60.8361,$57.50
05/03/2023,$60.93,2453102,$61.10,$62.61,$60.81
05/02/2023,$61.26,3064658,$63.25,$63.45,$60.29
05/01/2023,$63.72,2064020,$63.32,$64.395,$63.02
04/28/2023,$63.39,2238861,$62.37,$63.70,$62.115
04/27/2023,$62.69,1078365,$61.96,$62.79,$61.12
04/26/2023,$61.38,1445005,$61.51,$62.07,$61.065
04/25/2023,$61.63,1901694,$62.70,$62.91,$61.58
04/24/2023,$63.30,1635510,$63.50,$63.69,$62.67
04/21/2023,$63.54,1896247,$64.12,$64.2204,$63.28
04/20/2023,$64.29,2001513,$64.65,$65.31,$64.01
04/19/2023,$65.80,1356288,$64.92,$66.07,$64.65
04/18/2023,$65.34,3168018,$65.71,$66.065,$64.94
04/17/2023,$65.25,1986304,$64.72,$65.37,$64.26
04/14/2023,$65.01,1618961,$65.38,$65.46,$64.05
04/13/2023,$64.80,1884892,$63.14,$64.93,$62.98
04/12/2023,$62.58,1374538,$63.57,$63.87,$62.36
04/11/2023,$63.13,1702172,$62.20,$63.62,$61.7588
04/10/2023,$61.85,1530075,$60.71,$61.92,$60.37
04/06/2023,$60.87,1417202,$61.12,$61.63,$60.625
04/05/2023,$61.40,2731719,$61.47,$62.16,$60.07
04/04/2023,$62.14,2567817,$62.62,$63.17,$61.105
04/03/2023,$62.40,1798658,$63.09,$63.28,$61.67
03/31/2023,$63.16,2414449,$62.08,$63.33,$61.86
03/30/2023,$61.45,2559829,$61.43,$61.74,$60.71
03/29/2023,$60.66,2869685,$60.03,$60.70,$59.46
03/28/2023,$59.10,1269154,$58.92,$59.4047,$58.42
03/27/2023,$58.95,2479207,$58.05,$59.47,$57.31
03/24/2023,$57.54,3389548,$56.59,$57.56,$55.16
03/23/2023,$57.70,3621449,$59.11,$60.065,$57.26
03/22/2023,$58.93,3235275,$60.55,$61.68,$58.77
03/21/2023,$60.71,5075081,$59.44,$61.76,$58.94
03/20/2023,$56.81,4269042,$57.43,$57.92,$55.88
