Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.11,1955574,$37.79,$38.69,$37.68
01/04/2024,$38.12,2131449,$38.04,$38.42,$37.40
01/03/2024,$38.21,1942383,$37.94,$38.43,$37.58
01/02/2024,$38.78,2371617,$39.41,$39.41,$38.30
12/29/2023,$39.85,2260496,$40.70,$40.75,$39.275
12/28/2023,$40.76,1130889,$40.35,$40.93,$40.35
12/27/2023,$40.65,2234110,$40.50,$40.69,$39.88
12/26/2023,$40.40,2617256,$41.16,$41.39,$40.31
12/22/2023,$41.21,1898110,$42.38,$42.48,$41.14
12/21/2023,$43.00,1590184,$43.92,$44.11,$42.3209
12/20/2023,$43.10,2132609,$43.61,$44.57,$43.03
12/19/2023,$43.59,3942374,$41.46,$44.41,$41.26
12/18/2023,$40.87,2922715,$40.57,$41.05,$39.92
12/15/2023,$39.95,4500286,$38.79,$40.24,$38.72
12/14/2023,$38.69,4068395,$38.25,$39.59,$38.14
12/13/2023,$37.93,3158259,$36.37,$38.03,$36.33
12/12/2023,$36.26,4006763,$36.56,$36.75,$35.79
12/11/2023,$36.74,3843113,$37.27,$37.91,$36.5801
12/08/2023,$37.36,1631409,$36.53,$37.615,$36.53
12/07/2023,$36.84,1931984,$36.52,$37.06,$36.37
12/06/2023,$36.60,1929521,$37.13,$37.80,$36.30
12/05/2023,$37.07,2456668,$36.98,$37.38,$36.61
12/04/2023,$37.37,3051163,$37.57,$37.93,$36.95
12/01/2023,$38.25,2907921,$37.65,$38.77,$36.81
11/30/2023,$37.48,4034516,$38.93,$39.50,$37.0437
11/29/2023,$39.03,2246045,$38.88,$39.27,$38.28
11/28/2023,$38.40,3391639,$39.43,$40.09,$37.95
11/27/2023,$39.39,3201623,$39.25,$40.42,$38.79
11/24/2023,$39.49,811897,$39.21,$39.638,$38.73
11/22/2023,$39.24,1329399,$39.00,$39.54,$38.61
11/21/2023,$38.77,1830018,$39.02,$39.65,$38.66
11/20/2023,$39.50,1991372,$39.16,$40.11,$39.16
11/17/2023,$39.10,2328844,$39.19,$39.42,$38.57
11/16/2023,$38.93,2850283,$40.20,$40.40,$38.90
11/15/2023,$40.45,5182338,$42.44,$42.70,$39.87
11/14/2023,$42.80,3557946,$42.58,$43.81,$42.57
11/13/2023,$41.41,3429941,$43.65,$44.52,$41.325
11/10/2023,$43.79,5899335,$39.87,$44.06,$39.13
11/09/2023,$39.68,14358820,$45.105,$45.105,$37.14
11/08/2023,$40.12,5230839,$41.10,$41.91,$39.8184
11/07/2023,$40.89,5125564,$40.00,$41.50,$39.665
11/06/2023,$39.42,3293937,$39.36,$39.48,$38.42
11/03/2023,$39.27,2235528,$37.26,$39.51,$37.26
11/02/2023,$37.36,2093839,$37.63,$38.92,$37.28
11/01/2023,$36.70,2246595,$36.57,$36.7662,$36.045
10/31/2023,$36.44,1023836,$36.88,$37.28,$36.265
10/30/2023,$36.73,1631017,$36.82,$37.16,$35.87
10/27/2023,$36.22,2358265,$36.77,$37.00,$36.1334
10/26/2023,$36.37,3996684,$36.40,$36.65,$34.45
10/25/2023,$36.15,1709881,$38.32,$38.38,$36.06
10/24/2023,$38.47,1352194,$38.18,$38.95,$37.7168
10/23/2023,$37.64,1440720,$37.05,$38.23,$36.83
10/20/2023,$37.58,1993561,$38.34,$38.56,$37.39
10/19/2023,$38.54,2165939,$39.37,$39.68,$38.45
10/18/2023,$38.95,1546504,$39.36,$39.98,$38.63
10/17/2023,$39.64,2237114,$38.89,$40.25,$38.815
10/16/2023,$38.89,2298882,$38.69,$39.43,$37.91
10/13/2023,$38.52,2091588,$39.68,$39.83,$38.21
10/12/2023,$39.69,2033178,$40.16,$40.21,$38.98
10/11/2023,$40.28,2003712,$40.50,$40.64,$39.80
10/10/2023,$40.53,3160809,$41.50,$42.22,$40.4224
10/09/2023,$40.85,1542962,$39.71,$40.94,$39.57
10/06/2023,$40.38,1828512,$38.99,$41.06,$38.79
10/05/2023,$39.70,1230612,$40.29,$40.34,$39.32
10/04/2023,$40.33,2205803,$39.30,$40.47,$39.24
10/03/2023,$39.13,2126860,$40.32,$40.96,$39.00
10/02/2023,$40.82,1356697,$40.15,$41.0499,$39.97
09/29/2023,$39.96,1539213,$40.38,$40.53,$39.61
09/28/2023,$39.74,1486025,$39.24,$40.35,$38.90
09/27/2023,$39.56,1734848,$38.96,$39.56,$38.39
09/26/2023,$38.59,2239987,$37.65,$39.05,$37.37
09/25/2023,$38.20,2219645,$37.35,$38.34,$37.12
09/22/2023,$37.76,2103852,$38.82,$38.97,$37.482
09/21/2023,$38.44,2582358,$38.38,$39.30,$38.24
09/20/2023,$39.33,3766858,$39.67,$40.56,$39.31
09/19/2023,$39.73,5803233,$43.60,$43.79,$39.02
09/18/2023,$44.01,5615416,$42.49,$44.89,$42.085
09/15/2023,$42.82,6482767,$42.12,$42.84,$41.09
09/14/2023,$42.60,3400457,$41.72,$42.97,$41.305
09/13/2023,$40.81,2640220,$41.41,$41.85,$40.70
09/12/2023,$41.70,3087177,$41.96,$42.34,$41.31
09/11/2023,$42.40,1798960,$42.62,$43.64,$42.28
09/08/2023,$42.12,1284707,$42.34,$42.6151,$41.725
09/07/2023,$42.48,1468821,$41.72,$42.90,$41.5034
09/06/2023,$42.23,1971711,$42.26,$42.70,$41.78
09/05/2023,$42.54,2090014,$42.71,$43.46,$42.13
09/01/2023,$43.19,1467612,$43.49,$43.76,$42.85
08/31/2023,$43.22,2226555,$43.10,$43.2357,$42.54
