Date,Close/Last,Volume,Open,High,Low
10/23/2023,$27.86,4079900,$27.65,$28.20,$27.37
10/20/2023,$27.97,5008347,$28.15,$28.36,$27.81
10/19/2023,$28.36,4537588,$28.41,$29.00,$28.21
10/18/2023,$28.50,3989316,$28.91,$29.01,$28.2987
10/17/2023,$28.72,6519850,$27.78,$28.845,$27.7305
10/16/2023,$27.79,2981856,$27.84,$27.95,$27.19
10/13/2023,$27.83,4252769,$27.78,$27.99,$27.38
10/12/2023,$27.34,4783688,$27.33,$27.60,$26.97
10/11/2023,$27.15,2601605,$26.50,$27.21,$26.46
10/10/2023,$27.13,3200430,$27.41,$27.525,$27.04
10/09/2023,$27.38,6056009,$26.16,$27.50,$26.16
10/06/2023,$25.65,6643436,$24.82,$25.99,$24.67
10/05/2023,$24.56,7250343,$23.80,$24.665,$23.77
10/04/2023,$23.90,4527989,$24.30,$24.30,$23.58
10/03/2023,$24.27,5568649,$24.21,$24.35,$23.74
10/02/2023,$24.19,4484867,$25.29,$25.33,$23.855
09/29/2023,$25.38,4016907,$25.46,$25.755,$25.22
09/28/2023,$25.45,4823267,$24.88,$25.735,$24.58
09/27/2023,$24.93,4847099,$24.78,$25.26,$24.59
09/26/2023,$24.27,5393002,$23.73,$24.74,$23.67
09/25/2023,$24.08,4151306,$23.73,$24.19,$23.65
09/22/2023,$23.82,2651179,$24.18,$24.46,$23.81
09/21/2023,$24.05,4869108,$25.11,$25.11,$23.92
09/20/2023,$24.96,5368114,$25.48,$25.99,$24.92
09/19/2023,$25.92,3482594,$26.52,$26.595,$25.92
09/18/2023,$26.20,3255911,$26.65,$26.85,$26.10
09/15/2023,$26.50,9399919,$26.94,$27.28,$26.29
09/14/2023,$27.34,3369277,$27.58,$27.64,$26.80
09/13/2023,$27.10,2785375,$27.07,$27.35,$26.775
09/12/2023,$27.05,3493172,$26.60,$27.105,$26.35
09/11/2023,$26.09,4563219,$27.06,$27.22,$25.8775
09/08/2023,$26.80,3891869,$27.01,$27.48,$26.775
