Date,Close/Last,Volume,Open,High,Low
10/20/2023,$20.18,209701,$20.66,$21.05,$20.18
10/19/2023,$20.60,256539,$21.50,$21.50,$20.35
10/18/2023,$21.39,320098,$22.04,$22.42,$21.06
10/17/2023,$22.47,282542,$22.47,$23.64,$22.30
10/16/2023,$22.66,344454,$22.84,$23.25,$22.29
10/13/2023,$22.92,314365,$23.52,$23.88,$22.615
10/12/2023,$23.38,284862,$24.02,$24.16,$22.75
10/11/2023,$24.15,221834,$24.80,$25.475,$23.95
10/10/2023,$24.80,248932,$24.58,$25.52,$24.51
10/09/2023,$24.52,230938,$24.71,$24.805,$24.02
10/06/2023,$25.10,184809,$24.93,$25.36,$24.51
10/05/2023,$25.41,285681,$25.07,$25.71,$24.38
10/04/2023,$25.13,297104,$24.57,$25.43,$24.35
10/03/2023,$24.49,255916,$25.60,$25.60,$24.37
10/02/2023,$25.66,348654,$25.53,$26.445,$25.22
09/29/2023,$25.55,468455,$25.71,$26.17,$25.125
09/28/2023,$25.44,389638,$27.11,$27.11,$25.12
09/27/2023,$27.20,241070,$26.93,$27.72,$26.85
09/26/2023,$26.73,282467,$26.73,$27.89,$26.18
09/25/2023,$26.25,333862,$27.09,$27.38,$26.2001
09/22/2023,$27.24,336287,$27.13,$27.70,$26.62
09/21/2023,$26.92,311934,$26.18,$27.26,$25.95
09/20/2023,$26.51,287999,$28.14,$28.265,$26.49
09/19/2023,$27.87,481378,$27.08,$28.65,$26.75
09/18/2023,$27.13,514355,$28.76,$29.12,$27.00
09/15/2023,$28.54,1081311,$29.43,$29.43,$28.00
09/14/2023,$29.39,266176,$29.38,$29.86,$28.93
09/13/2023,$29.19,450748,$30.41,$30.69,$29.08
09/12/2023,$30.43,311971,$31.32,$31.625,$30.04
09/11/2023,$31.53,377225,$31.66,$32.535,$31.26
09/08/2023,$31.56,337531,$30.97,$32.98,$30.68
09/07/2023,$31.00,398411,$31.69,$31.90,$30.13
09/06/2023,$32.08,334996,$31.01,$32.11,$30.51
09/05/2023,$31.05,411716,$32.00,$33.13,$30.935
09/01/2023,$31.74,316352,$30.70,$32.00,$30.56
08/31/2023,$30.35,262123,$31.40,$31.47,$30.32
08/30/2023,$31.49,392300,$31.89,$32.03,$31.35
08/29/2023,$31.65,316541,$31.44,$31.82,$31.00
08/28/2023,$31.54,156906,$31.69,$32.49,$31.2501
08/25/2023,$31.42,224836,$31.05,$31.61,$30.32
08/24/2023,$30.85,292530,$33.03,$33.03,$30.74
08/23/2023,$32.67,379597,$32.70,$33.98,$32.54
08/22/2023,$32.61,459616,$31.29,$33.34,$31.2131
08/21/2023,$31.14,433493,$29.66,$31.255,$29.2023
08/18/2023,$29.57,530929,$27.07,$29.80,$26.99
08/17/2023,$28.02,477345,$28.72,$28.88,$27.69
08/16/2023,$28.17,427662,$29.63,$29.79,$28.02
08/15/2023,$29.94,498272,$29.30,$30.205,$28.65
08/14/2023,$29.54,825898,$27.05,$29.59,$26.76
08/11/2023,$27.77,355111,$28.90,$29.19,$27.66
08/10/2023,$29.30,716729,$28.50,$29.98,$27.9658
08/09/2023,$28.42,599589,$25.72,$29.34,$25.54
08/08/2023,$25.73,1275965,$28.27,$28.48,$25.06
08/07/2023,$31.85,801336,$32.09,$32.2394,$31.30
08/04/2023,$32.15,324412,$32.91,$33.15,$31.90
08/03/2023,$32.77,315211,$33.86,$34.44,$32.76
08/02/2023,$34.14,333991,$34.28,$34.51,$33.52
08/01/2023,$34.92,380160,$35.36,$35.99,$34.32
07/31/2023,$34.96,246725,$34.30,$35.345,$33.955
07/28/2023,$34.34,383358,$34.33,$35.34,$34.13
07/27/2023,$33.51,338205,$34.92,$34.92,$33.1145
