Date,Close/Last,Volume,Open,High,Low
01/05/2024,$28.22,2268781,$27.64,$28.225,$27.615
01/04/2024,$27.78,2411537,$27.80,$28.11,$27.74
01/03/2024,$27.68,1931359,$27.81,$28.01,$27.465
01/02/2024,$27.94,2682122,$27.84,$28.24,$27.84
12/29/2023,$28.10,1846068,$27.97,$28.17,$27.785
12/28/2023,$28.00,1498774,$27.82,$28.10,$27.73
12/27/2023,$27.87,1373094,$27.82,$27.90,$27.63
12/26/2023,$27.73,2000537,$27.71,$27.83,$27.605
12/22/2023,$27.74,1662997,$27.80,$28.08,$27.615
12/21/2023,$27.88,2208605,$27.67,$27.975,$27.555
12/20/2023,$27.39,3103708,$27.86,$28.25,$27.39
12/19/2023,$28.02,2850460,$27.90,$28.04,$27.77
12/18/2023,$27.72,6329027,$27.22,$27.865,$27.05
12/15/2023,$27.20,6803956,$27.59,$27.59,$27.075
12/14/2023,$27.58,3582337,$27.39,$27.905,$27.39
12/13/2023,$27.15,3985864,$26.98,$27.25,$26.58
12/12/2023,$26.87,2356993,$26.98,$27.22,$26.59
12/11/2023,$27.09,2691352,$27.16,$27.35,$26.965
12/08/2023,$27.16,2032846,$27.21,$27.39,$27.03
12/07/2023,$27.17,2979447,$27.42,$27.51,$26.89
12/06/2023,$27.41,2914569,$27.38,$27.60,$27.16
12/05/2023,$27.24,3242804,$27.99,$28.12,$27.23
12/04/2023,$28.18,3343858,$28.23,$28.37,$28.01
12/01/2023,$28.29,2484361,$28.07,$28.42,$27.95
11/30/2023,$28.01,17491350,$27.83,$28.32,$27.72
11/29/2023,$27.78,3713640,$27.67,$28.04,$27.54
11/28/2023,$27.56,5092304,$27.95,$28.05,$27.4975
11/27/2023,$28.05,3353254,$27.85,$28.158,$27.745
11/24/2023,$28.05,1024183,$27.98,$28.16,$27.88
11/22/2023,$28.13,2662553,$28.02,$28.40,$27.97
11/21/2023,$27.88,2966684,$27.74,$27.98,$27.53
11/20/2023,$27.86,3304912,$27.65,$28.155,$27.64
11/17/2023,$27.71,3619915,$27.75,$27.84,$27.52
11/16/2023,$27.65,4046187,$26.99,$27.66,$26.88
11/15/2023,$27.04,5092092,$26.33,$27.12,$26.27
11/14/2023,$26.19,7409311,$28.20,$28.35,$25.925
11/13/2023,$28.52,4240427,$28.36,$28.715,$28.22
11/10/2023,$28.52,4786502,$27.92,$28.53,$27.73
11/09/2023,$27.85,1776120,$28.12,$28.245,$27.715
11/08/2023,$27.91,2979528,$28.08,$28.23,$27.77
11/07/2023,$28.02,1530496,$27.77,$28.13,$27.645
11/06/2023,$28.00,2353656,$28.30,$28.39,$27.99
11/03/2023,$28.35,3694421,$28.20,$28.56,$28.12
11/02/2023,$27.87,3037447,$27.55,$28.10,$27.44
11/01/2023,$27.23,2760842,$27.15,$27.36,$26.635
10/31/2023,$26.93,2428254,$26.80,$27.08,$26.63
10/30/2023,$26.76,3907744,$26.87,$26.96,$26.435
10/27/2023,$26.67,2712838,$26.81,$27.055,$26.545
10/26/2023,$26.71,3956044,$26.44,$27.025,$26.44
10/25/2023,$26.31,3007765,$26.35,$26.51,$26.10
10/24/2023,$26.51,2737453,$26.43,$26.58,$26.17
10/23/2023,$26.35,2690446,$26.11,$26.655,$26.01
10/20/2023,$26.33,2351297,$26.37,$26.665,$26.28
10/19/2023,$26.42,2711581,$26.71,$26.895,$26.28
10/18/2023,$26.73,2839831,$26.75,$26.93,$26.555
10/17/2023,$26.94,3842658,$26.62,$27.07,$26.57
10/16/2023,$26.59,4390291,$25.71,$26.72,$25.71
10/13/2023,$25.35,3598150,$25.59,$25.70,$25.28
10/12/2023,$25.70,2987619,$26.43,$26.71,$25.565
10/11/2023,$26.32,4554001,$25.70,$26.42,$25.70
10/10/2023,$25.79,4152796,$25.20,$25.81,$24.94
10/09/2023,$25.01,2910343,$24.66,$25.105,$24.46
10/06/2023,$24.60,3639620,$24.70,$24.91,$24.13
10/05/2023,$24.76,4714988,$24.58,$25.02,$24.40
10/04/2023,$24.85,4394348,$24.33,$24.87,$24.16
10/03/2023,$24.32,8687574,$24.79,$25.075,$23.95
10/02/2023,$25.02,6372510,$25.38,$25.47,$24.45
09/29/2023,$25.38,3946565,$25.7896,$25.8554,$25.2703
09/28/2023,$25.5775,6699109,$25.4824,$25.9212,$25.4678
09/27/2023,$25.3873,4195924,$25.5702,$25.6579,$25.2483
09/26/2023,$25.4605,3604906,$25.8481,$26.1187,$25.4458
