Date,Close/Last,Volume,Open,High,Low
01/05/2024,$79.76,553917,$78.99,$80.955,$78.99
01/04/2024,$79.42,500551,$81.15,$81.19,$79.37
01/03/2024,$81.17,427296,$82.90,$83.15,$80.995
01/02/2024,$83.70,778630,$83.53,$85.09,$83.03
12/29/2023,$84.31,410837,$84.40,$84.93,$83.93
12/28/2023,$84.90,360915,$84.79,$85.155,$84.73
12/27/2023,$84.94,529208,$85.20,$85.335,$84.72
12/26/2023,$85.27,376953,$85.42,$85.68,$84.95
12/22/2023,$85.39,414734,$85.78,$86.51,$85.17
12/21/2023,$85.25,370969,$85.34,$85.66,$84.59
12/20/2023,$84.70,476047,$86.21,$86.595,$84.63
12/19/2023,$86.13,298153,$85.78,$86.38,$85.78
12/18/2023,$85.16,513443,$85.89,$85.89,$84.955
12/15/2023,$85.25,1206830,$87.42,$87.54,$84.93
12/14/2023,$87.24,762339,$87.45,$89.535,$86.92
12/13/2023,$86.38,649605,$81.79,$86.56,$81.79
12/12/2023,$82.12,300160,$82.81,$82.81,$81.84
12/11/2023,$82.79,312977,$83.19,$83.50,$82.41
12/08/2023,$83.47,437041,$83.85,$84.735,$83.24
12/07/2023,$83.51,500832,$82.38,$83.78,$82.02
12/06/2023,$82.14,421473,$82.21,$83.19,$82.06
12/05/2023,$81.71,636925,$81.79,$82.615,$81.39
12/04/2023,$82.31,382013,$82.04,$82.84,$81.96
12/01/2023,$82.26,560592,$80.08,$82.33,$80.02
11/30/2023,$79.92,647739,$78.15,$79.98,$77.76
11/29/2023,$78.30,374620,$78.63,$79.245,$78.22
11/28/2023,$78.25,275887,$78.43,$78.77,$77.85
11/27/2023,$78.41,494355,$78.74,$79.23,$78.17
11/24/2023,$79.27,354991,$78.19,$79.69,$78.02
11/22/2023,$78.07,270787,$78.14,$78.425,$77.7128
11/21/2023,$77.92,536360,$78.29,$79.32,$77.72
11/20/2023,$78.32,645462,$76.87,$78.34,$76.33
11/17/2023,$76.90,356445,$76.93,$77.21,$76.71
11/16/2023,$76.45,418216,$76.96,$77.17,$75.905
11/15/2023,$76.81,519644,$75.51,$77.80,$75.445
11/14/2023,$76.15,442773,$74.48,$76.37,$74.05
11/13/2023,$73.15,436336,$72.36,$73.76,$72.08
11/10/2023,$72.45,726037,$72.77,$72.90,$71.55
11/09/2023,$72.84,1019646,$75.51,$76.48,$72.80
11/08/2023,$76.55,445607,$76.68,$77.165,$76.10
11/07/2023,$76.54,454521,$76.70,$77.245,$76.18
11/06/2023,$77.26,476573,$77.68,$78.03,$76.53
11/03/2023,$77.60,491577,$77.51,$78.35,$77.19
11/02/2023,$76.18,999171,$71.00,$76.38,$70.8204
11/01/2023,$75.80,475500,$76.74,$76.74,$74.86
10/31/2023,$76.63,399210,$75.64,$77.21,$75.0673
10/30/2023,$75.38,250596,$76.04,$76.235,$74.57
10/27/2023,$75.31,246402,$76.17,$76.17,$75.06
10/26/2023,$75.83,255154,$75.41,$76.23,$75.18
10/25/2023,$74.80,334288,$75.42,$75.555,$74.48
10/24/2023,$75.97,450361,$75.79,$76.59,$75.47
10/23/2023,$75.62,597725,$75.71,$76.87,$74.87
10/20/2023,$76.70,465890,$76.16,$76.97,$75.99
10/19/2023,$76.00,468846,$76.05,$76.83,$75.79
10/18/2023,$76.41,515586,$76.62,$76.925,$76.06
10/17/2023,$77.45,699971,$76.53,$78.40,$76.53
10/16/2023,$77.18,381989,$76.57,$77.53,$76.07
10/13/2023,$75.93,338137,$76.78,$76.89,$75.65
10/12/2023,$76.58,285700,$78.93,$78.93,$76.3178
10/11/2023,$78.45,364015,$78.82,$79.24,$77.46
10/10/2023,$78.92,408556,$77.23,$79.49,$76.895
10/09/2023,$76.70,585072,$78.71,$78.71,$76.50
10/06/2023,$79.04,300447,$79.13,$80.31,$78.03
10/05/2023,$79.70,748493,$79.20,$79.82,$78.73
10/04/2023,$79.51,531794,$79.53,$80.035,$78.91
10/03/2023,$79.07,439359,$79.26,$80.44,$79.00
10/02/2023,$79.72,583975,$81.50,$81.50,$79.215
09/29/2023,$81.68,348894,$82.17,$82.85,$81.49
09/28/2023,$81.53,542304,$81.68,$82.19,$80.92
09/27/2023,$81.55,413186,$81.80,$82.69,$81.10
