Date,Close/Last,Volume,Open,High,Low
10/20/2023,$853.63,2695307,$874.90,$874.90,$851.84
10/19/2023,$867.83,2661970,$887.02,$889.49,$865.67
10/18/2023,$887.03,2040434,$879.945,$895.63,$875.20
10/17/2023,$884.40,3300834,$885.15,$892.98,$866.00
10/16/2023,$902.57,2115048,$890.97,$915.785,$890.97
10/13/2023,$883.18,2833352,$909.00,$925.91,$882.09
10/12/2023,$905.60,4387055,$876.43,$917.93,$876.43
10/11/2023,$874.56,1433412,$859.71,$875.34,$856.55
10/10/2023,$858.41,1471807,$857.15,$872.545,$855.72
10/09/2023,$855.88,1575985,$840.46,$856.61,$837.83
10/06/2023,$845.26,2110319,$819.40,$848.385,$811.72
10/05/2023,$823.86,1147424,$820.11,$828.63,$815.4801
10/04/2023,$823.81,1641706,$820.33,$830.58,$816.3025
10/03/2023,$814.83,1876086,$827.00,$835.75,$808.91
10/02/2023,$834.95,1467578,$829.06,$838.56,$823.50
09/29/2023,$830.58,1648104,$836.45,$844.04,$822.91
09/28/2023,$832.00,1617994,$820.17,$838.86,$814.68
09/27/2023,$816.81,1535268,$819.26,$823.68,$804.3801
09/26/2023,$816.19,1764138,$829.17,$830.265,$811.21
09/25/2023,$833.89,1564758,$828.00,$838.5599,$823.01
09/22/2023,$829.08,2779501,$811.24,$830.5799,$810.38
09/21/2023,$808.36,5367165,$795.11,$822.50,$795.09
09/20/2023,$830.57,1370171,$849.99,$849.99,$830.35
09/19/2023,$849.20,1313196,$845.99,$851.03,$838.50
09/18/2023,$850.00,1654086,$842.58,$856.33,$840.00
09/15/2023,$851.68,5018958,$868.16,$868.16,$842.90
09/14/2023,$871.64,1964828,$859.03,$876.67,$855.00
09/13/2023,$852.93,1741263,$847.19,$859.11,$844.24
09/12/2023,$844.52,1668027,$850.24,$858.265,$841.66
09/11/2023,$859.14,1571039,$868.77,$869.00,$845.65
09/08/2023,$857.55,1681900,$855.00,$860.83,$850.12
09/07/2023,$857.03,2778920,$859.50,$861.69,$840.52
09/06/2023,$872.27,2014246,$872.50,$877.37,$866.74
09/05/2023,$872.17,2480807,$869.51,$883.00,$867.00
09/01/2023,$872.52,6501716,$901.87,$901.87,$864.66
08/31/2023,$922.89,5520285,$898.01,$923.67,$893.77
08/30/2023,$892.28,2323424,$892.39,$898.71,$879.11
08/29/2023,$889.93,2782239,$858.40,$892.835,$856.4199
08/28/2023,$861.08,1430596,$856.39,$864.1299,$847.11
08/25/2023,$851.82,2418053,$857.02,$869.44,$837.67
08/24/2023,$854.46,3093431,$902.35,$909.855,$852.46
08/23/2023,$876.58,1969205,$850.77,$878.19,$850.00
08/22/2023,$855.79,1708164,$873.41,$874.75,$850.88
08/21/2023,$865.14,3001163,$834.06,$867.34,$831.77
08/18/2023,$825.84,1775869,$820.00,$828.17,$812.00
08/17/2023,$827.10,1922777,$836.51,$839.42,$827.01
08/16/2023,$832.99,1600301,$847.79,$854.50,$831.96
08/15/2023,$842.52,1403635,$849.21,$854.62,$836.46
08/14/2023,$854.10,1768800,$831.13,$854.18,$827.38
08/11/2023,$829.76,2033126,$834.01,$836.40,$823.48
08/10/2023,$842.90,2018613,$853.12,$861.50,$837.07
08/09/2023,$850.73,2467248,$882.72,$883.53,$848.7201
08/08/2023,$883.16,1408091,$890.09,$890.60,$873.40
08/07/2023,$897.06,1114565,$887.68,$897.37,$885.266
08/04/2023,$881.65,2115785,$884.98,$893.62,$873.3715
08/03/2023,$884.98,1829264,$886.62,$895.33,$881.08
08/02/2023,$892.30,2688957,$912.30,$913.00,$890.29
08/01/2023,$920.00,1970675,$898.98,$920.62,$897.7008
07/31/2023,$898.65,1496692,$897.50,$901.00,$891.00
07/28/2023,$899.79,1879426,$899.32,$903.56,$893.95
07/27/2023,$893.53,2192178,$908.50,$909.85,$886.00
07/26/2023,$893.09,1987667,$909.00,$910.62,$887.65
07/25/2023,$917.99,2004161,$900.62,$923.18,$900.62
07/24/2023,$901.59,1999382,$900.80,$905.44,$894.23
07/21/2023,$896.75,7428676,$904.49,$911.15,$893.83
07/20/2023,$888.34,2826831,$892.54,$906.9999,$886.00
07/19/2023,$901.37,2411756,$897.27,$905.965,$885.63
07/18/2023,$903.43,2451835,$905.98,$909.90,$898.2601
