Date,Close/Last,Volume,Open,High,Low
01/05/2024,$21.79,6860070,$21.74,$22.01,$21.51
01/04/2024,$21.88,7201914,$22.08,$22.43,$21.87
01/03/2024,$22.00,8093368,$22.67,$22.70,$21.99
01/02/2024,$22.75,5794325,$22.68,$23.28,$22.466
12/29/2023,$22.83,3220900,$23.03,$23.205,$22.83
12/28/2023,$23.08,2615706,$22.94,$23.26,$22.94
12/27/2023,$23.02,3357187,$23.05,$23.295,$22.94
12/26/2023,$23.08,2018850,$22.94,$23.18,$22.86
12/22/2023,$22.94,6046507,$23.04,$23.285,$22.79
12/21/2023,$22.89,3652774,$22.89,$23.005,$22.75
12/20/2023,$22.72,5043588,$23.14,$23.365,$22.71
12/19/2023,$23.08,3856814,$22.70,$23.16,$22.55
12/18/2023,$22.56,6836041,$23.10,$23.18,$22.435
12/15/2023,$23.01,14935260,$22.30,$23.17,$22.1144
12/14/2023,$22.42,8776473,$22.38,$22.76,$22.205
12/13/2023,$21.99,9130131,$21.11,$22.03,$21.04
12/12/2023,$21.26,7109223,$21.065,$21.54,$20.80
12/11/2023,$21.17,5834823,$21.43,$21.535,$20.99
12/08/2023,$20.98,15305200,$21.25,$22.58,$20.62
12/07/2023,$20.89,5796714,$20.82,$21.08,$20.69
12/06/2023,$20.85,4374653,$20.80,$21.12,$20.70
12/05/2023,$20.71,6219553,$21.31,$21.36,$20.555
12/04/2023,$21.44,8306477,$21.24,$21.55,$20.91
12/01/2023,$21.38,7229011,$21.07,$21.44,$20.84
11/30/2023,$21.18,8135822,$20.84,$21.205,$20.75
11/29/2023,$20.86,7907215,$20.56,$21.155,$20.56
11/28/2023,$20.44,12004150,$19.96,$20.74,$19.86
11/27/2023,$20.05,5589041,$20.24,$20.45,$19.92
11/24/2023,$20.32,1872397,$19.98,$20.37,$19.98
11/22/2023,$20.09,4923897,$19.82,$20.22,$19.78
11/21/2023,$19.80,7076461,$19.65,$20.23,$19.49
11/20/2023,$19.44,4969326,$19.34,$19.70,$19.23
11/17/2023,$19.34,4525972,$19.43,$19.48,$19.14
11/16/2023,$19.29,4689333,$19.32,$19.55,$19.115
11/15/2023,$19.29,6107607,$18.89,$19.57,$18.87
11/14/2023,$18.84,5813982,$18.98,$19.265,$18.82
11/13/2023,$18.61,7217488,$18.54,$18.72,$18.41
11/10/2023,$18.56,6025697,$18.39,$18.665,$18.08
11/09/2023,$18.39,8269970,$18.39,$18.535,$18.26
11/08/2023,$18.32,5889037,$18.39,$18.54,$18.23
11/07/2023,$18.39,7033456,$18.26,$18.45,$18.155
11/06/2023,$18.27,5962711,$18.32,$18.44,$18.02
11/03/2023,$18.37,8100827,$18.50,$18.77,$18.305
11/02/2023,$18.20,8149452,$17.59,$18.36,$17.46
11/01/2023,$17.41,13196290,$17.37,$17.52,$17.06
10/31/2023,$17.43,14645040,$17.20,$17.89,$17.17
10/30/2023,$17.15,21571980,$17.93,$18.06,$16.63
10/27/2023,$17.83,25750800,$20.56,$20.62,$17.60
10/26/2023,$19.52,15949140,$19.37,$19.66,$19.22
10/25/2023,$19.35,24939860,$19.78,$19.78,$18.855
10/24/2023,$20.18,6646008,$20.36,$20.49,$20.07
10/23/2023,$20.56,6238253,$20.36,$20.79,$20.26
10/20/2023,$20.54,11138580,$20.75,$20.88,$20.415
10/19/2023,$20.83,11498730,$21.25,$21.30,$20.77
