Date,Close/Last,Volume,Open,High,Low
01/05/2024,$56.37,851155,$56.11,$56.9939,$55.98
01/04/2024,$56.08,748260,$56.01,$57.125,$56.01
01/03/2024,$55.84,681810,$55.18,$56.62,$55.06
01/02/2024,$55.28,569087,$55.40,$56.155,$55.12
12/29/2023,$55.37,468991,$54.84,$55.47,$54.84
12/28/2023,$55.14,508971,$54.67,$55.15,$54.5001
12/27/2023,$54.69,326577,$54.50,$54.81,$54.27
12/26/2023,$54.56,218786,$54.77,$54.77,$54.32
12/22/2023,$54.63,299677,$54.61,$55.065,$54.455
12/21/2023,$54.50,312491,$54.12,$54.50,$53.49
12/20/2023,$54.17,474949,$55.08,$55.33,$54.12
12/19/2023,$55.15,515123,$54.76,$55.2485,$54.41
12/18/2023,$54.80,804687,$54.20,$54.81,$54.00
12/15/2023,$54.20,901968,$54.42,$54.98,$53.90
12/14/2023,$54.70,746902,$56.03,$56.03,$53.91
12/13/2023,$55.98,391054,$55.78,$56.21,$55.72
12/12/2023,$55.93,468747,$55.47,$56.54,$55.0801
12/11/2023,$55.34,450223,$55.49,$56.00,$55.17
12/08/2023,$55.43,400220,$55.30,$55.525,$55.01
12/07/2023,$55.35,417535,$56.26,$56.30,$55.17
12/06/2023,$56.16,532183,$56.56,$57.04,$55.95
12/05/2023,$56.47,564554,$56.37,$56.96,$56.295
12/04/2023,$56.62,750521,$57.21,$57.51,$56.37
12/01/2023,$57.28,758778,$55.98,$57.69,$55.98
11/30/2023,$56.34,699267,$55.30,$56.38,$55.1874
11/29/2023,$55.22,382935,$55.32,$55.75,$54.77
11/28/2023,$55.45,522611,$56.23,$56.39,$55.365
11/27/2023,$56.22,697792,$55.60,$56.23,$55.445
11/24/2023,$55.70,103075,$55.55,$56.06,$55.55
11/22/2023,$55.36,427013,$55.06,$55.45,$54.82
11/21/2023,$55.04,648890,$54.37,$55.49,$54.37
11/20/2023,$54.33,436511,$53.99,$54.49,$53.745
11/17/2023,$54.17,388919,$53.87,$54.50,$53.62
11/16/2023,$53.51,475286,$54.57,$54.9587,$53.48
11/15/2023,$54.36,454392,$54.87,$55.24,$54.2425
11/14/2023,$55.02,400543,$54.70,$55.27,$54.41
11/13/2023,$54.59,473354,$54.52,$54.825,$53.90
11/10/2023,$53.82,706197,$53.32,$53.96,$53.32
11/09/2023,$53.35,556635,$53.98,$54.13,$53.14
11/08/2023,$53.78,586690,$54.78,$55.15,$53.77
11/07/2023,$54.91,595058,$53.79,$54.94,$53.48
11/06/2023,$53.82,490418,$54.61,$55.02,$53.775
11/03/2023,$54.51,889088,$54.52,$54.98,$53.47
11/02/2023,$54.00,1193446,$57.72,$58.89,$52.90
11/01/2023,$57.92,1044821,$57.21,$58.15,$57.00
10/31/2023,$57.10,782572,$56.11,$57.485,$56.05
10/30/2023,$56.23,550668,$55.30,$56.44,$55.04
10/27/2023,$55.03,472122,$56.04,$56.33,$54.80
10/26/2023,$56.11,445943,$56.13,$56.75,$55.86
10/25/2023,$55.81,528417,$56.10,$56.905,$55.78
10/24/2023,$56.34,363899,$56.09,$56.68,$56.06
10/23/2023,$55.93,471107,$56.07,$56.095,$55.40
10/20/2023,$56.19,652352,$57.80,$57.9664,$56.18
10/19/2023,$57.62,532773,$58.54,$58.69,$57.56
10/18/2023,$58.54,405069,$59.37,$59.64,$58.50
10/17/2023,$59.32,472134,$58.29,$59.64,$58.29
10/16/2023,$58.36,446950,$58.00,$58.89,$57.88
10/13/2023,$57.79,580417,$57.74,$58.2199,$57.27
10/12/2023,$57.01,600508,$56.15,$57.02,$55.60
10/11/2023,$55.88,299617,$55.88,$56.285,$55.42
10/10/2023,$55.71,319720,$56.85,$57.25,$55.66
10/09/2023,$56.69,439590,$56.23,$57.11,$55.97
10/06/2023,$56.44,275842,$56.19,$56.915,$56.17
10/05/2023,$56.64,325257,$55.73,$56.91,$55.73
10/04/2023,$55.89,569779,$54.88,$56.20,$54.60
10/03/2023,$54.55,417473,$55.38,$55.79,$54.49
10/02/2023,$55.80,282392,$56.38,$56.70,$55.63
09/29/2023,$56.37,435116,$56.97,$57.59,$56.34
09/28/2023,$57.61,260455,$57.34,$57.88,$57.23
09/27/2023,$57.18,276846,$57.65,$57.65,$56.78
09/26/2023,$57.49,382092,$57.95,$58.47,$57.28
09/25/2023,$57.98,301725,$57.84,$58.11,$57.66
09/22/2023,$57.95,373212,$57.72,$58.26,$57.63
09/21/2023,$57.72,389099,$57.80,$58.28,$57.43
09/20/2023,$57.85,491328,$57.98,$58.50,$57.70
09/19/2023,$57.85,360561,$57.22,$57.92,$57.22
09/18/2023,$57.07,491140,$57.36,$57.45,$56.42
09/15/2023,$57.41,728776,$57.01,$58.11,$56.77
09/14/2023,$55.66,295192,$56.02,$56.02,$55.513
09/13/2023,$55.54,327538,$56.58,$56.58,$55.485
09/12/2023,$56.41,524441,$54.88,$56.46,$54.50
09/11/2023,$54.72,486020,$54.15,$54.84,$53.75
09/08/2023,$53.72,457403,$54.60,$55.00,$53.61
09/07/2023,$55.16,760105,$55.20,$55.79,$55.15
09/06/2023,$55.25,273750,$54.77,$55.31,$54.70
09/05/2023,$54.95,341483,$55.69,$55.81,$54.94
09/01/2023,$55.82,370616,$55.41,$56.245,$55.335
08/31/2023,$54.86,426853,$55.63,$55.63,$54.75
08/30/2023,$55.41,348994,$55.19,$55.91,$55.19
08/29/2023,$55.27,309032,$54.81,$55.30,$54.34
08/28/2023,$54.56,234478,$54.54,$54.8125,$54.13
08/25/2023,$54.42,238208,$55.02,$55.25,$54.26
08/24/2023,$55.03,310641,$54.10,$55.04,$53.92
08/23/2023,$54.31,226406,$54.01,$54.36,$53.81
08/22/2023,$54.09,247952,$54.51,$54.72,$53.88
08/21/2023,$54.66,248703,$54.73,$54.90,$54.09
08/18/2023,$54.67,252044,$54.30,$54.88,$54.02
08/17/2023,$54.46,416375,$56.11,$56.11,$54.27
08/16/2023,$55.70,372734,$54.93,$55.87,$54.93
08/15/2023,$55.14,323308,$55.42,$55.90,$55.10
08/14/2023,$55.71,400975,$56.04,$56.04,$55.24
08/11/2023,$55.96,386575,$55.00,$56.06,$55.00
08/10/2023,$55.30,693950,$55.23,$55.52,$54.87
08/09/2023,$54.67,508134,$55.02,$55.56,$54.65
08/08/2023,$54.96,813697,$55.75,$55.77,$54.79
08/07/2023,$56.19,654743,$55.50,$56.58,$55.50
08/04/2023,$55.52,546984,$56.11,$56.28,$54.98
08/03/2023,$56.28,643095,$56.40,$56.655,$55.94
08/02/2023,$56.31,934469,$57.39,$57.88,$55.84
08/01/2023,$55.13,544428,$55.30,$55.37,$54.69
07/31/2023,$55.12,566399,$55.00,$55.36,$54.806
07/28/2023,$54.95,324516,$55.66,$55.66,$54.79
07/27/2023,$55.28,534691,$55.61,$55.78,$55.195
07/26/2023,$55.23,737147,$54.57,$55.47,$54.57
07/25/2023,$54.34,374091,$54.43,$54.53,$54.03
07/24/2023,$54.43,459708,$54.85,$54.90,$54.11
07/21/2023,$54.75,451850,$54.94,$55.00,$54.43
07/20/2023,$54.55,641675,$54.30,$54.73,$54.19
07/19/2023,$53.90,446565,$54.09,$54.34,$53.8101
07/18/2023,$53.75,704377,$53.21,$53.94,$53.21
07/17/2023,$53.35,406223,$52.37,$54.03,$52.07
07/14/2023,$52.64,368711,$53.08,$53.08,$52.02
07/13/2023,$52.96,409000,$52.55,$53.125,$52.55
07/12/2023,$53.02,368863,$53.75,$53.7575,$52.80
07/11/2023,$53.60,749618,$53.23,$53.815,$53.23
07/10/2023,$53.37,342210,$53.88,$54.60,$53.18
07/07/2023,$53.94,607371,$52.50,$54.28,$52.50
07/06/2023,$52.74,373685,$52.85,$53.08,$52.45
07/05/2023,$53.07,419704,$53.18,$53.41,$52.30
07/03/2023,$53.76,141308,$53.55,$54.11,$53.44
06/30/2023,$53.83,342630,$53.69,$54.25,$53.49
06/29/2023,$53.49,302683,$52.19,$53.56,$52.19
06/28/2023,$52.35,357408,$53.43,$53.43,$52.10
06/27/2023,$53.66,263386,$53.45,$54.08,$53.16
06/26/2023,$53.53,319149,$53.72,$54.0981,$53.16
06/23/2023,$53.66,593575,$54.41,$54.94,$53.36
06/22/2023,$54.84,275522,$54.74,$54.84,$54.06
06/21/2023,$54.57,243097,$54.60,$54.86,$54.25
06/20/2023,$54.54,261220,$54.90,$55.06,$54.13
06/16/2023,$54.94,580344,$54.53,$55.06,$54.34
06/15/2023,$54.13,238409,$53.58,$54.21,$53.58
06/14/2023,$53.63,405938,$54.32,$54.74,$53.37
06/13/2023,$54.53,369568,$53.69,$54.71,$53.69
06/12/2023,$53.53,330991,$53.87,$54.27,$53.33
06/09/2023,$53.88,280273,$54.27,$54.56,$53.71
06/08/2023,$54.26,243995,$54.71,$54.72,$53.88
06/07/2023,$54.78,633475,$54.01,$54.89,$53.79
06/06/2023,$54.09,251294,$52.96,$54.14,$52.8883
06/05/2023,$52.96,230401,$53.32,$53.56,$52.54
06/02/2023,$53.36,416776,$52.05,$53.46,$52.05
06/01/2023,$51.68,295929,$51.86,$52.20,$51.61
05/31/2023,$51.90,503527,$52.42,$52.67,$51.635
05/30/2023,$52.76,259972,$52.90,$52.98,$51.91
05/26/2023,$52.69,293836,$52.50,$52.91,$52.2046
05/25/2023,$52.60,331979,$53.54,$53.67,$52.55
05/24/2023,$53.76,331797,$54.46,$54.505,$53.71
05/23/2023,$54.80,384165,$56.12,$56.32,$54.78
05/22/2023,$56.13,625438,$56.00,$56.21,$55.17
05/19/2023,$56.11,484443,$56.31,$56.46,$55.75
05/18/2023,$55.82,639213,$53.99,$55.87,$53.805
05/17/2023,$54.29,592673,$54.82,$55.135,$54.14
05/16/2023,$54.72,269334,$54.90,$55.12,$54.34
05/15/2023,$55.03,413913,$54.95,$55.08,$54.035
05/12/2023,$54.73,246177,$55.49,$55.50,$54.42
05/11/2023,$55.09,274434,$54.64,$55.38,$54.515
05/10/2023,$55.01,290109,$55.66,$55.66,$54.71
05/09/2023,$55.43,321986,$54.88,$55.835,$54.85
05/08/2023,$55.04,259619,$54.64,$55.31,$54.30
05/05/2023,$54.60,448247,$54.13,$55.06,$54.13
05/04/2023,$53.41,580793,$54.51,$54.665,$53.35
05/03/2023,$54.99,396302,$55.92,$56.17,$54.97
05/02/2023,$55.83,626404,$56.64,$56.75,$55.41
05/01/2023,$57.00,466422,$56.83,$58.29,$56.79
04/28/2023,$56.54,725311,$55.93,$57.50,$55.75
04/27/2023,$55.80,1406469,$56.42,$57.19,$54.51
04/26/2023,$57.19,1286185,$56.05,$57.49,$56.05
04/25/2023,$56.40,669248,$55.85,$56.72,$55.85
04/24/2023,$56.23,586159,$56.14,$56.49,$55.74
04/21/2023,$56.05,848402,$56.70,$56.84,$55.63
04/20/2023,$56.70,454209,$57.51,$57.605,$56.33
04/19/2023,$57.66,377470,$57.08,$57.78,$56.97
04/18/2023,$56.92,468947,$56.62,$57.17,$56.33
04/17/2023,$56.39,519658,$55.16,$56.40,$55.00
04/14/2023,$55.26,445186,$55.54,$55.54,$54.81
04/13/2023,$55.30,538569,$55.00,$55.80,$54.65
04/12/2023,$55.46,609036,$55.00,$55.725,$54.89
04/11/2023,$54.92,412820,$54.81,$55.21,$54.575
04/10/2023,$54.68,638728,$53.63,$54.83,$53.63
04/06/2023,$53.44,424221,$53.69,$54.07,$53.225
04/05/2023,$53.74,563701,$53.59,$54.31,$53.54
04/04/2023,$53.86,292772,$54.81,$54.81,$53.20
04/03/2023,$54.53,318774,$54.46,$55.0325,$54.40
03/31/2023,$54.52,374268,$54.35,$54.75,$54.155
03/30/2023,$54.05,364460,$54.36,$54.667,$53.89
03/29/2023,$54.42,1977095,$54.26,$54.61,$53.82
03/28/2023,$53.53,564970,$52.24,$53.70,$52.24
03/27/2023,$52.56,762094,$53.16,$53.66,$52.29
03/24/2023,$52.37,915269,$51.74,$52.37,$51.25
03/23/2023,$52.06,1121316,$53.51,$53.525,$51.67
03/22/2023,$53.49,450200,$55.00,$55.00,$53.33
03/21/2023,$54.84,528410,$54.41,$55.10,$53.78
03/20/2023,$53.22,631658,$52.23,$54.26,$51.73
03/17/2023,$51.70,1211124,$54.49,$54.49,$51.53
03/16/2023,$54.96,806095,$52.75,$55.85,$52.44
03/15/2023,$52.86,819209,$53.49,$53.83,$51.65
03/14/2023,$54.98,1117310,$55.14,$55.48,$54.18
03/13/2023,$54.00,835932,$55.33,$55.84,$53.48
03/10/2023,$56.39,634896,$56.84,$57.15,$55.99
03/09/2023,$57.10,499738,$57.85,$58.08,$56.90
03/08/2023,$57.67,569030,$58.88,$58.88,$57.4715
03/07/2023,$58.76,417605,$59.81,$59.9056,$58.59
03/06/2023,$59.87,612375,$60.58,$60.65,$59.64
03/03/2023,$60.58,372616,$60.08,$60.61,$59.89
03/02/2023,$60.12,357840,$60.43,$60.541,$60.11
03/01/2023,$60.84,504097,$60.38,$60.99,$60.25
02/28/2023,$60.72,720560,$60.60,$61.42,$60.20
02/27/2023,$60.67,533606,$60.95,$61.39,$60.24
02/24/2023,$60.71,405940,$60.56,$60.82,$60.09
02/23/2023,$60.80,827297,$61.41,$61.8125,$59.875
02/22/2023,$61.20,559760,$61.71,$62.09,$61.05
02/21/2023,$61.84,360699,$62.35,$62.725,$61.42
02/17/2023,$62.77,495105,$61.94,$62.84,$61.86
02/16/2023,$61.98,376821,$62.24,$62.85,$61.97
02/15/2023,$62.58,451100,$62.35,$62.65,$62.26
02/14/2023,$62.54,807702,$63.21,$63.21,$62.38
02/13/2023,$63.18,406897,$62.59,$63.21,$62.48
02/10/2023,$62.61,730200,$62.81,$62.83,$62.155
02/09/2023,$62.81,1082910,$62.62,$63.93,$62.56
02/08/2023,$62.19,500531,$61.91,$62.72,$61.57
02/07/2023,$62.13,422301,$60.60,$62.19,$60.5874
02/06/2023,$60.85,452409,$60.15,$61.01,$59.84
