Date,Close/Last,Volume,Open,High,Low
01/05/2024,$56.56,210946,$56.50,$57.30,$56.35
01/04/2024,$56.97,188700,$56.36,$57.7999,$56.36
01/03/2024,$56.06,104910,$57.10,$57.265,$55.86
01/02/2024,$57.42,113574,$57.36,$58.18,$56.7013
12/29/2023,$58.09,124098,$58.24,$58.75,$58.0329
12/28/2023,$58.49,65740,$58.31,$58.54,$57.53
12/27/2023,$58.35,99304,$57.69,$58.37,$57.43
12/26/2023,$57.63,104063,$57.03,$58.08,$56.77
12/22/2023,$57.02,130146,$56.62,$57.68,$56.1485
12/21/2023,$56.17,136642,$54.77,$56.28,$54.67
12/20/2023,$54.38,151148,$54.48,$55.30,$53.92
12/19/2023,$54.65,90099,$54.14,$54.855,$53.91
12/18/2023,$53.66,79925,$53.87,$54.063,$53.12
12/15/2023,$53.50,803178,$54.17,$54.2299,$52.98
12/14/2023,$53.88,135358,$53.01,$54.11,$52.895
12/13/2023,$52.12,175126,$51.40,$52.53,$50.27
12/12/2023,$51.28,122383,$51.96,$52.30,$51.25
12/11/2023,$51.72,95929,$51.28,$51.83,$51.16
12/08/2023,$51.51,63939,$51.44,$52.01,$51.15
12/07/2023,$51.52,90342,$51.28,$51.53,$50.40
12/06/2023,$51.13,81898,$51.43,$51.95,$50.93
12/05/2023,$51.13,63992,$51.57,$51.57,$50.7401
12/04/2023,$51.64,100876,$50.14,$51.64,$50.0401
12/01/2023,$50.48,110603,$49.13,$50.79,$49.13
11/30/2023,$49.17,143831,$48.65,$49.43,$48.1862
11/29/2023,$48.50,81188,$48.34,$48.9399,$48.34
11/28/2023,$48.06,51031,$48.84,$48.905,$48.03
11/27/2023,$48.91,51432,$48.52,$49.07,$48.3456
11/24/2023,$49.02,23977,$48.27,$49.02,$48.27
11/22/2023,$48.63,44565,$48.97,$49.20,$48.52
11/21/2023,$48.60,89183,$48.95,$49.00,$48.49
11/20/2023,$49.11,60854,$49.30,$49.50,$48.8701
11/17/2023,$49.37,199558,$48.92,$49.535,$48.75
11/16/2023,$48.37,70450,$49.01,$49.37,$48.125
11/15/2023,$48.89,75011,$49.33,$49.99,$48.68
11/14/2023,$49.52,102212,$48.07,$49.54,$47.77
11/13/2023,$46.74,61944,$46.41,$46.90,$46.208
11/10/2023,$46.65,78171,$46.02,$46.90,$46.02
11/09/2023,$45.95,60474,$46.63,$46.82,$45.85
11/08/2023,$46.35,99954,$47.09,$47.18,$45.85
11/07/2023,$47.15,59523,$47.77,$47.77,$47.05
11/06/2023,$47.80,100923,$47.66,$47.85,$47.12
11/03/2023,$47.91,107303,$48.03,$48.6337,$47.66
11/02/2023,$47.25,134257,$47.44,$48.1299,$47.025
11/01/2023,$46.86,121606,$47.12,$47.12,$46.125
10/31/2023,$47.27,163224,$46.98,$47.77,$46.95
10/30/2023,$47.15,114400,$47.12,$47.3899,$46.34
10/27/2023,$46.46,179124,$46.58,$47.07,$45.62
10/26/2023,$46.57,103802,$45.87,$47.06,$45.675
10/25/2023,$45.65,117868,$44.98,$45.65,$44.91
10/24/2023,$45.31,94113,$45.36,$45.86,$44.99
10/23/2023,$44.89,215824,$44.94,$45.67,$44.83
10/20/2023,$45.12,188228,$45.10,$45.6725,$44.8808
10/19/2023,$44.92,105995,$45.70,$46.135,$44.90
10/18/2023,$45.95,82240,$46.83,$46.83,$45.82
10/17/2023,$47.25,135590,$47.25,$48.15,$47.24
10/16/2023,$47.78,102510,$47.58,$48.515,$47.425
10/13/2023,$47.06,161449,$48.89,$49.09,$46.715
10/12/2023,$48.79,208053,$48.94,$49.21,$48.13
10/11/2023,$48.52,434820,$49.50,$50.3013,$47.37
10/10/2023,$45.90,297091,$45.60,$46.41,$45.46
10/09/2023,$45.49,88498,$44.78,$45.53,$44.227
10/06/2023,$44.77,205309,$43.88,$44.83,$43.48
10/05/2023,$44.08,155853,$44.07,$44.375,$43.75
10/04/2023,$44.05,149573,$44.16,$44.35,$43.75
10/03/2023,$44.16,132833,$44.53,$44.62,$44.02
10/02/2023,$44.66,138572,$45.41,$45.52,$44.485
09/29/2023,$45.58,121090,$46.45,$46.45,$45.57
09/28/2023,$46.22,164729,$45.99,$46.50,$45.94
09/27/2023,$45.84,95795,$45.92,$46.32,$45.50
09/26/2023,$45.51,104373,$45.99,$46.275,$45.50
09/25/2023,$46.36,82391,$45.76,$46.45,$45.76
09/22/2023,$46.07,60232,$46.55,$46.87,$46.05
09/21/2023,$46.59,59856,$46.71,$47.0239,$46.44
09/20/2023,$47.12,88885,$47.62,$48.09,$47.00
09/19/2023,$47.35,90712,$47.36,$47.559,$46.94
09/18/2023,$47.25,60021,$47.41,$47.69,$47.10
09/15/2023,$47.37,448573,$47.76,$47.85,$47.24
09/14/2023,$47.84,96598,$47.06,$47.93,$47.06
09/13/2023,$46.58,125017,$46.61,$46.89,$46.18
09/12/2023,$46.68,97106,$46.34,$46.74,$46.0821
09/11/2023,$46.44,88641,$46.35,$46.69,$46.13
09/08/2023,$46.28,91473,$46.36,$46.46,$45.61
09/07/2023,$46.39,141637,$47.26,$47.26,$46.17
09/06/2023,$47.26,83263,$47.78,$48.15,$47.00
09/05/2023,$47.63,134885,$48.40,$48.40,$46.54
09/01/2023,$48.95,109429,$49.27,$49.75,$48.8901
08/31/2023,$49.10,133086,$49.24,$49.62,$49.02
08/30/2023,$49.35,128925,$50.02,$50.86,$49.22
08/29/2023,$49.68,89495,$48.82,$49.76,$48.805
08/28/2023,$48.83,127539,$48.38,$49.02,$48.38
08/25/2023,$47.98,85280,$47.91,$48.325,$47.44
08/24/2023,$47.90,145465,$47.53,$48.20,$47.53
08/23/2023,$47.88,88022,$47.28,$47.91,$47.045
08/22/2023,$47.28,126839,$47.17,$47.74,$46.7501
08/21/2023,$47.03,114407,$46.42,$47.25,$46.08
08/18/2023,$46.10,119435,$46.33,$46.785,$45.81
08/17/2023,$46.57,84431,$46.73,$46.91,$46.455
08/16/2023,$46.67,96650,$47.15,$47.635,$46.62
08/15/2023,$47.42,63950,$46.83,$47.48,$46.72
08/14/2023,$47.15,75958,$46.82,$47.20,$46.42
08/11/2023,$47.03,83546,$46.33,$47.23,$45.50
08/10/2023,$46.57,84297,$46.50,$46.9976,$46.305
08/09/2023,$46.44,80885,$46.12,$46.66,$45.97
08/08/2023,$46.17,81933,$45.55,$46.21,$45.35
08/07/2023,$45.88,87072,$45.39,$46.07,$45.39
08/04/2023,$45.35,84780,$44.71,$45.42,$44.60
08/03/2023,$44.78,97092,$44.29,$44.87,$43.94
08/02/2023,$44.34,84868,$44.38,$44.77,$44.26
08/01/2023,$44.73,117505,$44.14,$44.92,$44.08
07/31/2023,$44.33,94756,$44.26,$44.435,$43.88
07/28/2023,$44.09,50339,$44.85,$44.98,$44.07
07/27/2023,$44.33,83857,$44.95,$44.95,$44.165
07/26/2023,$44.59,64761,$44.20,$44.965,$44.20
07/25/2023,$44.39,87461,$43.54,$44.49,$43.48
07/24/2023,$43.80,180338,$43.63,$44.35,$43.20
07/21/2023,$43.54,91882,$43.83,$43.83,$43.39
07/20/2023,$43.59,169303,$43.79,$43.79,$42.91
07/19/2023,$43.63,119192,$43.72,$43.75,$43.25
07/18/2023,$43.74,103314,$43.31,$44.175,$43.31
07/17/2023,$43.48,92958,$43.27,$43.91,$43.25
