Date,Close/Last,Volume,Open,High,Low
01/05/2024,$57.39,1587058,$56.61,$57.44,$56.29
01/04/2024,$56.65,1790264,$55.81,$56.87,$55.66
01/03/2024,$55.85,2755586,$56.02,$56.27,$55.16
01/02/2024,$56.98,2129493,$56.30,$57.40,$56.00
12/29/2023,$57.52,936023,$57.89,$58.28,$57.47
12/28/2023,$57.95,1066350,$57.91,$58.54,$57.72
12/27/2023,$57.91,803565,$57.61,$57.97,$57.405
12/26/2023,$57.61,686214,$56.99,$57.92,$56.945
12/22/2023,$57.20,1014706,$56.81,$57.619,$56.81
12/21/2023,$56.73,1337430,$56.10,$56.80,$55.76
12/20/2023,$55.70,2998439,$57.21,$57.21,$55.61
12/19/2023,$57.39,2361452,$57.84,$58.12,$57.10
12/18/2023,$57.46,3236643,$58.51,$58.87,$57.26
12/15/2023,$58.43,4433411,$58.98,$59.67,$58.22
12/14/2023,$59.14,2870248,$59.75,$60.76,$59.015
12/13/2023,$58.95,1741066,$56.96,$59.29,$56.82
12/12/2023,$57.22,1738994,$57.53,$57.53,$56.38
12/11/2023,$57.58,1257611,$57.35,$57.77,$57.00
12/08/2023,$57.51,2048798,$57.04,$57.69,$57.00
12/07/2023,$57.21,2495403,$57.46,$57.61,$56.3503
12/06/2023,$57.36,2354676,$56.49,$57.645,$56.49
12/05/2023,$56.26,2291058,$56.50,$56.66,$55.58
12/04/2023,$56.67,2430481,$56.14,$57.21,$55.94
12/01/2023,$56.34,1784757,$55.14,$56.49,$55.01
11/30/2023,$55.29,2378471,$54.81,$55.54,$54.48
11/29/2023,$54.82,2148309,$53.90,$54.98,$53.79
11/28/2023,$53.71,1456058,$54.41,$54.41,$53.69
11/27/2023,$54.15,1589491,$53.87,$54.3597,$53.57
11/24/2023,$54.28,573858,$53.75,$54.65,$53.69
11/22/2023,$53.59,1191134,$53.75,$53.97,$53.23
11/21/2023,$53.75,2948760,$52.92,$54.16,$52.92
11/20/2023,$52.96,1938217,$52.26,$53.44,$51.65
11/17/2023,$52.36,2168149,$52.21,$52.50,$51.79
11/16/2023,$51.87,2100742,$51.71,$52.32,$51.615
11/15/2023,$51.97,1796922,$51.15,$52.11,$51.15
11/14/2023,$50.94,1500114,$49.56,$51.00,$48.96
11/13/2023,$48.60,1296484,$48.69,$49.17,$48.35
11/10/2023,$48.81,1519368,$48.64,$48.92,$48.05
11/09/2023,$48.64,2008129,$50.36,$50.50,$48.47
11/08/2023,$49.99,1485329,$50.24,$50.27,$49.67
11/07/2023,$50.10,1866672,$50.25,$50.81,$49.86
11/06/2023,$50.49,1707041,$51.20,$51.25,$50.245
11/03/2023,$51.22,3138370,$49.30,$51.57,$48.58
11/02/2023,$48.84,3733213,$48.13,$50.64,$47.56
11/01/2023,$47.55,4647486,$48.46,$48.63,$46.95
10/31/2023,$48.15,2687302,$47.88,$48.56,$47.66
10/30/2023,$47.91,3094155,$47.50,$48.27,$47.10
10/27/2023,$47.06,3928395,$47.02,$47.24,$46.315
10/26/2023,$47.00,3368165,$45.54,$47.47,$45.495
10/25/2023,$45.46,3112513,$45.57,$46.38,$45.41
10/24/2023,$45.97,3637153,$43.42,$46.06,$43.295
10/23/2023,$42.82,1943987,$44.07,$44.15,$42.81
10/20/2023,$44.14,1633131,$45.22,$45.3206,$44.12
10/19/2023,$45.16,2344318,$45.22,$46.17,$45.05
10/18/2023,$45.16,2317111,$45.09,$45.57,$44.66
10/17/2023,$45.57,1844937,$44.56,$45.90,$44.42
10/16/2023,$44.99,2151711,$44.31,$45.41,$43.38
10/13/2023,$44.08,2352644,$44.28,$44.67,$43.58
10/12/2023,$43.85,3236375,$45.80,$46.01,$43.635
10/11/2023,$45.99,2201088,$47.20,$47.87,$45.585
10/10/2023,$46.25,2114276,$45.99,$46.505,$45.72
10/09/2023,$45.94,2713480,$45.94,$46.11,$45.13
10/06/2023,$46.13,2956725,$47.57,$47.7576,$46.0875
10/05/2023,$47.72,1984307,$49.05,$49.30,$47.25
10/04/2023,$49.27,1776400,$49.24,$49.655,$48.65
10/03/2023,$48.73,1727818,$48.64,$49.92,$48.6375
10/02/2023,$49.26,1812455,$49.74,$50.36,$49.005
09/29/2023,$49.78,3288274,$49.82,$50.35,$49.50
09/28/2023,$48.17,2821849,$48.03,$48.555,$47.63
09/27/2023,$48.23,1394416,$48.21,$48.60,$47.715
09/26/2023,$48.15,1341406,$49.08,$49.33,$47.98
09/25/2023,$49.29,1324071,$49.46,$49.85,$48.95
09/22/2023,$49.54,2156334,$50.50,$50.88,$49.475
09/21/2023,$50.40,1637917,$51.51,$51.72,$50.31
09/20/2023,$51.96,2486003,$50.82,$52.47,$50.55
09/19/2023,$50.55,2019408,$51.33,$51.40,$50.47
09/18/2023,$51.46,1342117,$51.47,$52.00,$51.00
09/15/2023,$51.68,2445082,$52.42,$52.59,$51.53
09/14/2023,$52.58,1990346,$51.49,$52.94,$51.20
09/13/2023,$50.88,1660527,$51.26,$51.61,$50.74
09/12/2023,$51.88,1196924,$52.00,$52.17,$51.605
09/11/2023,$52.01,1330151,$52.50,$52.78,$52.00
09/08/2023,$52.09,2309983,$51.26,$52.185,$50.813
09/07/2023,$51.29,1820622,$52.15,$52.50,$51.19
09/06/2023,$52.93,1595762,$53.53,$53.95,$52.80
09/05/2023,$53.69,1281589,$54.51,$54.5249,$53.46
09/01/2023,$54.93,1097974,$54.68,$55.58,$54.34
08/31/2023,$54.45,1387557,$54.41,$54.69,$54.11
08/30/2023,$54.41,1237061,$53.94,$54.44,$53.64
08/29/2023,$53.85,1170624,$52.61,$53.88,$52.20
08/28/2023,$52.48,1051254,$52.48,$53.19,$52.13
08/25/2023,$52.62,1106802,$52.86,$53.135,$52.23
08/24/2023,$52.76,1105020,$52.12,$53.02,$51.94
08/23/2023,$52.38,1358003,$52.47,$52.65,$52.27
08/22/2023,$52.51,1634052,$52.97,$53.125,$52.05
08/21/2023,$53.04,1552772,$54.58,$54.91,$52.76
08/18/2023,$54.57,1796633,$54.90,$55.49,$54.49
08/17/2023,$55.40,2378282,$55.06,$56.56,$54.90
08/16/2023,$54.51,4073557,$55.50,$57.68,$53.94
08/15/2023,$55.51,1111644,$56.25,$56.35,$55.45
08/14/2023,$56.66,1200829,$57.12,$57.12,$56.40
08/11/2023,$57.41,1493187,$57.00,$57.57,$56.44
08/10/2023,$56.85,1666093,$55.69,$56.90,$55.55
08/09/2023,$55.24,1397132,$56.27,$56.27,$55.05
08/08/2023,$56.27,1165005,$56.44,$56.53,$55.56
08/07/2023,$57.09,1396807,$57.94,$58.03,$56.69
08/04/2023,$57.82,2112736,$58.82,$59.67,$57.66
08/03/2023,$59.07,3953895,$57.825,$60.90,$57.825
08/02/2023,$57.08,1652522,$57.58,$57.89,$56.975
08/01/2023,$58.08,1414763,$58.22,$58.48,$57.90
07/31/2023,$58.69,1261496,$58.98,$59.35,$58.41
07/28/2023,$58.75,981465,$59.06,$59.29,$58.28
07/27/2023,$58.03,1500955,$59.69,$59.88,$57.96
07/26/2023,$59.46,1232980,$58.86,$59.99,$58.5311
07/25/2023,$59.21,1491310,$57.94,$59.47,$57.73
07/24/2023,$57.95,947734,$57.53,$58.13,$57.35
07/21/2023,$57.59,908696,$57.39,$57.73,$56.85
07/20/2023,$57.43,911750,$57.26,$57.5784,$56.87
07/19/2023,$57.00,1383117,$56.00,$57.03,$55.95
07/18/2023,$56.18,1405665,$55.93,$56.58,$55.52
07/17/2023,$55.97,1109992,$56.10,$56.28,$55.53
