Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.33,1241753,$38.15,$38.90,$38.15
01/04/2024,$38.47,1404823,$37.90,$38.68,$37.695
01/03/2024,$37.97,1051887,$38.14,$38.31,$37.775
01/02/2024,$38.83,958640,$39.26,$39.64,$38.65
12/29/2023,$40.17,590893,$40.17,$40.4394,$39.84
12/28/2023,$40.32,665521,$40.27,$40.59,$40.21
12/27/2023,$40.43,2118528,$40.22,$40.85,$39.92
12/26/2023,$40.08,728054,$39.85,$40.21,$39.655
12/22/2023,$39.80,1962744,$39.47,$40.01,$39.47
12/21/2023,$39.39,1041964,$39.23,$39.55,$39.10
12/20/2023,$38.90,2091445,$38.95,$39.75,$38.90
12/19/2023,$39.12,2612268,$38.64,$39.29,$38.51
12/18/2023,$38.43,1980585,$38.62,$38.72,$38.11
12/15/2023,$37.98,2674808,$38.90,$38.95,$37.975
12/14/2023,$38.95,5343528,$38.21,$39.21,$38.00
12/13/2023,$37.51,1897442,$36.32,$37.62,$35.82
12/12/2023,$36.16,1178243,$35.98,$36.23,$35.89
12/11/2023,$35.98,624210,$35.90,$36.07,$35.655
12/08/2023,$35.90,1305127,$36.00,$36.30,$35.66
12/07/2023,$36.04,2018156,$35.72,$36.11,$35.455
12/06/2023,$35.57,875595,$35.52,$36.04,$35.47
12/05/2023,$35.16,1276712,$35.18,$35.403,$34.94
12/04/2023,$35.46,1241919,$35.57,$36.01,$35.15
12/01/2023,$36.06,1884449,$34.87,$36.09,$34.80
11/30/2023,$35.03,1989885,$35.81,$35.89,$34.82
11/29/2023,$35.68,3081129,$34.02,$35.87,$33.98
11/28/2023,$34.29,1393758,$33.69,$34.38,$33.45
11/27/2023,$33.72,1091660,$33.80,$33.95,$33.58
11/24/2023,$33.97,385456,$34.13,$34.28,$33.895
11/22/2023,$33.97,907685,$33.38,$34.05,$33.13
11/21/2023,$33.36,1290680,$33.53,$33.74,$33.06
11/20/2023,$33.65,1274117,$33.40,$33.79,$33.25
11/17/2023,$33.57,1612817,$33.73,$33.77,$33.22
11/16/2023,$33.47,1222138,$33.39,$33.71,$33.26
11/15/2023,$33.57,2129343,$32.77,$33.73,$32.76
11/14/2023,$32.69,1860992,$32.03,$32.835,$31.59
11/13/2023,$31.20,832115,$30.87,$31.35,$30.82
11/10/2023,$31.05,1488504,$30.99,$31.20,$30.68
11/09/2023,$30.89,2487580,$31.15,$31.405,$30.87
11/08/2023,$30.75,1013102,$30.76,$31.04,$30.60
11/07/2023,$30.76,1195540,$31.07,$31.25,$30.59
11/06/2023,$31.19,1340914,$31.67,$32.30,$30.86
11/03/2023,$31.66,1909164,$31.48,$32.04,$31.48
11/02/2023,$31.06,1738852,$29.86,$31.14,$29.83
11/01/2023,$29.43,2436115,$28.87,$29.68,$28.80
10/31/2023,$28.67,2236067,$29.09,$29.09,$28.35
10/30/2023,$29.09,2168257,$29.01,$29.37,$28.65
10/27/2023,$28.95,1719895,$29.88,$29.9112,$28.84
10/26/2023,$29.65,1749712,$29.66,$30.05,$29.46
10/25/2023,$29.80,1809411,$30.42,$30.505,$29.77
10/24/2023,$30.70,1017127,$30.43,$31.035,$30.37
10/23/2023,$30.42,1171629,$30.25,$30.80,$30.11
10/20/2023,$30.41,1455924,$30.55,$30.97,$30.17
10/19/2023,$30.74,2058400,$31.55,$31.59,$30.66
10/18/2023,$31.53,1117187,$32.33,$32.37,$31.50
10/17/2023,$32.71,1357842,$32.41,$33.06,$32.35
10/16/2023,$32.80,1284758,$32.70,$33.145,$32.50
10/13/2023,$32.40,1001998,$32.96,$33.07,$32.30
10/12/2023,$32.84,1104230,$33.51,$33.61,$32.76
10/11/2023,$33.52,1324331,$33.04,$33.61,$32.91
10/10/2023,$32.98,1245065,$32.37,$33.045,$32.28
10/09/2023,$32.22,618046,$31.60,$32.365,$31.51
10/06/2023,$31.98,1497397,$31.17,$32.20,$30.65
10/05/2023,$31.20,1127535,$31.00,$31.33,$30.845
10/04/2023,$31.21,1628061,$31.40,$31.47,$30.615
10/03/2023,$31.32,1971411,$31.50,$31.91,$30.955
10/02/2023,$32.10,2483665,$33.18,$33.30,$31.965
09/29/2023,$33.34,1305786,$34.08,$34.14,$33.28
09/28/2023,$33.77,1197608,$33.46,$33.92,$33.43
09/27/2023,$33.48,1048397,$33.90,$33.90,$33.27
09/26/2023,$33.67,1670451,$33.65,$33.85,$33.29
09/25/2023,$34.03,1438440,$33.96,$34.109,$33.61
09/22/2023,$34.10,1506652,$34.28,$34.57,$34.02
09/21/2023,$34.08,1745045,$35.16,$35.18,$34.05
09/20/2023,$35.42,926602,$35.81,$36.14,$35.395
09/19/2023,$35.59,1646613,$35.95,$36.22,$35.29
09/18/2023,$35.86,723402,$36.04,$36.225,$35.81
09/15/2023,$36.05,1282593,$35.87,$36.13,$35.68
09/14/2023,$35.82,1217896,$35.28,$36.14,$35.26
09/13/2023,$34.94,916907,$35.25,$35.34,$34.72
09/12/2023,$35.05,1151995,$35.74,$36.08,$34.991
09/11/2023,$35.78,777030,$35.32,$35.80,$35.31
09/08/2023,$34.98,993614,$34.46,$35.09,$34.35
09/07/2023,$34.42,932058,$33.78,$34.67,$33.78
09/06/2023,$34.24,457417,$34.26,$34.505,$33.82
09/05/2023,$34.39,596331,$34.86,$35.06,$34.375
09/01/2023,$34.89,856255,$34.82,$35.20,$34.62
08/31/2023,$34.55,836926,$34.56,$34.95,$34.2601
08/30/2023,$34.58,872972,$34.45,$34.825,$34.25
