Date,Close/Last,Volume,Open,High,Low
12/15/2023,$8.95,1074502,$8.98,$9.035,$8.95
12/14/2023,$9.18,785850,$9.14,$9.22,$9.09
12/13/2023,$9.21,826252,$9.08,$9.2387,$9.04
12/12/2023,$9.08,678670,$9.05,$9.10,$9.03
12/11/2023,$9.11,813227,$9.09,$9.12,$9.06
12/08/2023,$9.14,683517,$9.08,$9.16,$9.07
12/07/2023,$9.13,899196,$9.05,$9.14,$9.02
12/06/2023,$9.20,706836,$9.31,$9.325,$9.19
12/05/2023,$9.26,836468,$9.33,$9.345,$9.25
12/04/2023,$9.39,1799861,$9.35,$9.41,$9.33
12/01/2023,$9.28,1319628,$9.29,$9.33,$9.235
11/30/2023,$9.29,2202712,$9.26,$9.31,$9.21
11/29/2023,$9.45,2838826,$9.50,$9.52,$9.45
11/28/2023,$9.34,1350114,$9.37,$9.395,$9.315
11/27/2023,$9.17,677530,$9.14,$9.17,$9.115
11/24/2023,$9.12,773951,$9.19,$9.215,$9.115
11/22/2023,$9.07,648977,$9.06,$9.07,$9.015
11/21/2023,$9.02,816410,$9.04,$9.0503,$8.99
11/20/2023,$9.03,1296415,$9.03,$9.05,$8.99
11/17/2023,$9.01,1885729,$8.97,$9.02,$8.95
11/16/2023,$8.87,2946359,$8.86,$8.89,$8.80
11/15/2023,$8.84,3073392,$8.91,$8.955,$8.82
11/14/2023,$8.89,1305051,$8.76,$8.91,$8.76
11/13/2023,$8.53,656189,$8.49,$8.54,$8.465
11/10/2023,$8.48,832894,$8.45,$8.48,$8.4001
11/09/2023,$8.41,926954,$8.45,$8.52,$8.39
11/08/2023,$8.33,881201,$8.33,$8.385,$8.305
11/07/2023,$8.21,565301,$8.18,$8.25,$8.175
11/06/2023,$8.25,1455292,$8.30,$8.31,$8.23
11/03/2023,$8.26,1007053,$8.19,$8.29,$8.19
11/02/2023,$8.13,1080297,$8.03,$8.14,$8.03
11/01/2023,$7.99,1025395,$8.00,$8.0469,$7.945
10/31/2023,$7.83,1417555,$7.79,$7.841,$7.765
10/30/2023,$7.91,1255127,$7.91,$7.965,$7.90
10/27/2023,$7.79,797182,$7.92,$7.92,$7.77
10/26/2023,$7.82,796861,$7.83,$7.85,$7.7825
10/25/2023,$7.78,1883744,$7.86,$7.87,$7.76
10/24/2023,$7.79,751261,$7.82,$7.845,$7.77
10/23/2023,$7.93,729233,$7.93,$8.02,$7.90
10/20/2023,$7.95,1443682,$8.02,$8.03,$7.935
10/19/2023,$8.03,2113231,$8.03,$8.12,$8.01
10/18/2023,$8.01,729040,$8.13,$8.135,$8.01
10/17/2023,$8.20,1566340,$8.07,$8.22,$8.07
10/16/2023,$8.12,799467,$8.12,$8.13,$8.06
10/13/2023,$8.01,944301,$8.10,$8.14,$8.00
10/12/2023,$8.16,792872,$8.23,$8.23,$8.13
10/11/2023,$8.24,1295661,$8.21,$8.2788,$8.21
10/10/2023,$8.09,932744,$8.13,$8.175,$8.06
10/09/2023,$7.87,726276,$7.81,$7.88,$7.80
10/06/2023,$8.00,1041710,$7.87,$8.04,$7.8116
10/05/2023,$8.11,1326700,$8.11,$8.15,$8.03
10/04/2023,$8.04,1181597,$8.04,$8.045,$7.955
10/03/2023,$8.03,1542047,$8.10,$8.11,$8.02
10/02/2023,$8.02,1077759,$8.16,$8.175,$8.00
09/29/2023,$8.05,922553,$8.17,$8.19,$8.03
09/28/2023,$8.06,3330986,$8.00,$8.12,$7.995
09/27/2023,$7.82,1512091,$7.86,$7.86,$7.77
09/26/2023,$7.72,781200,$7.77,$7.84,$7.72
09/25/2023,$7.84,759123,$7.84,$7.85,$7.775
09/22/2023,$7.93,636413,$7.99,$7.995,$7.91
09/21/2023,$7.93,1018303,$7.92,$8.00,$7.91
09/20/2023,$7.93,1048915,$8.00,$8.05,$7.93
09/19/2023,$7.80,600092,$7.75,$7.82,$7.73
09/18/2023,$7.63,762460,$7.69,$7.69,$7.5919
09/15/2023,$7.67,837015,$7.68,$7.71,$7.66
09/14/2023,$7.73,594965,$7.72,$7.76,$7.715
09/13/2023,$7.62,598992,$7.70,$7.71,$7.60
