Date,Close/Last,Volume,Open,High,Low
01/05/2024,$40.79,1368976,$40.64,$41.06,$40.44
01/04/2024,$40.65,2480382,$40.74,$40.845,$40.33
01/03/2024,$40.63,1799360,$40.59,$40.81,$40.44
01/02/2024,$40.38,2080126,$39.21,$40.42,$39.18
12/29/2023,$39.38,1863251,$39.05,$39.42,$38.91
12/28/2023,$39.15,1450250,$38.94,$39.27,$38.94
12/27/2023,$38.97,2040255,$38.80,$39.14,$38.80
12/26/2023,$38.95,1018801,$38.70,$38.975,$38.56
12/22/2023,$38.77,2136675,$38.83,$39.20,$38.6175
12/21/2023,$38.73,2544985,$38.65,$38.84,$38.395
12/20/2023,$38.30,2218355,$38.51,$38.765,$38.1899
12/19/2023,$38.51,2291691,$38.65,$38.85,$38.42
12/18/2023,$38.55,2743898,$38.91,$39.04,$38.52
12/15/2023,$38.69,2860947,$40.27,$40.37,$38.649
12/14/2023,$40.07,3022772,$40.42,$40.66,$39.95
12/13/2023,$40.98,1946089,$40.24,$41.0628,$40.01
12/12/2023,$40.23,1704748,$40.37,$40.47,$39.975
12/11/2023,$40.39,1793891,$40.68,$40.81,$40.269
12/08/2023,$40.61,1326875,$40.76,$40.85,$40.545
12/07/2023,$40.76,1694762,$40.75,$40.915,$40.405
12/06/2023,$40.69,1441038,$40.71,$41.33,$40.67
12/05/2023,$40.47,1557853,$40.47,$40.83,$40.40
12/04/2023,$40.60,1665278,$40.00,$40.64,$39.985
12/01/2023,$40.31,1830591,$39.53,$40.42,$39.50
11/30/2023,$39.39,1572056,$39.18,$39.44,$38.94
11/29/2023,$39.10,1332788,$39.27,$39.39,$39.01
11/28/2023,$39.24,1194378,$39.30,$39.51,$39.15
11/27/2023,$39.33,1860670,$39.53,$39.62,$39.32
11/24/2023,$39.68,609616,$39.52,$39.70,$39.36
11/22/2023,$39.28,1503838,$39.41,$39.44,$39.22
11/21/2023,$39.37,1227284,$39.43,$39.725,$39.282
11/20/2023,$39.47,1346169,$39.42,$39.575,$39.25
11/17/2023,$39.50,1501789,$39.59,$39.70,$39.32
11/16/2023,$39.39,1126277,$39.42,$39.56,$39.255
11/15/2023,$39.50,1258315,$39.62,$39.76,$39.46
11/14/2023,$39.49,1572265,$39.00,$39.665,$39.00
11/13/2023,$38.55,1201831,$38.35,$38.8562,$38.13
11/10/2023,$38.50,1336255,$38.77,$38.77,$38.20
11/09/2023,$38.65,1160277,$38.80,$39.03,$38.555
11/08/2023,$38.64,1267550,$38.84,$39.03,$38.51
11/07/2023,$38.94,1404821,$39.32,$39.355,$38.895
11/06/2023,$39.57,1207221,$39.80,$39.97,$39.485
11/03/2023,$39.88,1902377,$39.50,$40.025,$39.18
11/02/2023,$39.06,2213995,$38.40,$39.145,$37.76
11/01/2023,$37.86,2419741,$37.32,$37.99,$37.10
10/31/2023,$37.13,1603879,$37.26,$37.4503,$37.105
10/30/2023,$37.28,1993338,$36.91,$37.42,$36.84
10/27/2023,$36.65,1919270,$37.22,$37.22,$36.59
10/26/2023,$37.13,1881293,$36.91,$37.2529,$36.85
10/25/2023,$37.12,1860654,$37.41,$37.60,$37.0908
10/24/2023,$37.54,1783433,$37.54,$37.76,$37.34
10/23/2023,$37.37,2096196,$36.77,$37.7019,$36.62
10/20/2023,$36.93,1531006,$37.52,$37.65,$36.93
10/19/2023,$37.54,1788368,$37.40,$37.96,$37.36
10/18/2023,$37.40,1281341,$38.13,$38.17,$37.40
10/17/2023,$38.39,2207347,$38.49,$38.7101,$38.22
10/16/2023,$38.58,2161026,$37.99,$38.72,$37.755
10/13/2023,$37.84,1561351,$38.07,$38.26,$37.755
10/12/2023,$37.87,1827299,$38.33,$38.46,$37.564
10/11/2023,$38.40,1979786,$38.13,$38.425,$37.985
10/10/2023,$38.02,2138517,$37.69,$38.255,$37.575
10/09/2023,$37.67,1757223,$37.12,$37.74,$37.12
10/06/2023,$37.32,3011857,$37.16,$37.55,$36.54
10/05/2023,$37.38,2908656,$36.53,$37.41,$36.47
10/04/2023,$36.50,2599697,$36.41,$36.76,$36.21
10/03/2023,$36.39,2814853,$36.39,$36.78,$36.15
10/02/2023,$36.63,3082273,$38.09,$38.21,$36.4715
09/29/2023,$38.17,3182225,$38.52,$38.67,$38.17
09/28/2023,$38.20,1699490,$38.13,$38.435,$37.9356
09/27/2023,$38.17,4391903,$38.51,$38.58,$37.70
09/26/2023,$38.51,2391505,$39.25,$39.28,$38.505
09/25/2023,$39.44,2060841,$39.69,$39.81,$39.37
09/22/2023,$39.83,1891436,$39.80,$40.055,$39.77
09/21/2023,$39.69,2007333,$40.35,$40.48,$39.69
09/20/2023,$40.55,1001796,$40.75,$40.955,$40.54
09/19/2023,$40.57,1344355,$40.85,$41.03,$40.545
09/18/2023,$40.78,1181782,$40.82,$40.905,$40.555
09/15/2023,$40.78,2786430,$40.66,$41.085,$40.66
09/14/2023,$40.99,2205760,$40.82,$41.0947,$40.67
09/13/2023,$41.25,1038294,$41.18,$41.43,$41.055
09/12/2023,$41.16,814409,$41.10,$41.28,$40.905
09/11/2023,$40.96,1113094,$40.81,$41.13,$40.635
09/08/2023,$40.52,900467,$40.57,$40.61,$40.36
09/07/2023,$40.38,1058327,$40.70,$40.91,$40.34
09/06/2023,$40.62,938713,$40.80,$40.86,$40.53
09/05/2023,$41.04,1229123,$41.45,$41.52,$41.02
09/01/2023,$41.45,2380190,$41.98,$42.16,$41.39
08/31/2023,$42.35,908490,$42.61,$42.85,$42.32
08/30/2023,$42.61,798192,$42.73,$42.96,$42.58
08/29/2023,$42.55,960719,$42.09,$42.58,$42.09
08/28/2023,$42.09,1248650,$41.52,$42.17,$41.48
08/25/2023,$41.41,1412923,$41.50,$41.68,$41.12
08/24/2023,$41.37,2626249,$40.41,$41.46,$40.36
08/23/2023,$40.55,2510003,$40.53,$40.57,$40.31
08/22/2023,$40.40,1350052,$40.62,$40.63,$40.315
08/21/2023,$40.50,2054124,$40.78,$40.78,$40.2689
08/18/2023,$40.69,844321,$40.53,$40.75,$40.48
