Date,Close/Last,Volume,Open,High,Low
01/05/2024,$66.82,1052666,$65.31,$67.00,$65.23
01/04/2024,$65.57,628773,$65.21,$65.895,$65.02
01/03/2024,$65.29,955470,$66.23,$66.23,$64.925
01/02/2024,$66.84,858262,$67.00,$67.72,$66.65
12/29/2023,$67.39,519906,$67.79,$68.12,$67.35
12/28/2023,$68.11,421617,$67.86,$68.385,$67.75
12/27/2023,$67.89,422006,$68.05,$68.28,$67.69
12/26/2023,$68.00,450277,$68.19,$68.39,$67.85
12/22/2023,$68.21,553748,$68.12,$68.60,$67.57
12/21/2023,$67.90,1088300,$67.91,$68.02,$67.26
12/20/2023,$67.33,1127575,$68.56,$68.59,$66.975
12/19/2023,$68.77,1015185,$69.01,$69.165,$68.62
12/18/2023,$68.44,653110,$69.28,$69.28,$68.3502
12/15/2023,$68.93,1715085,$68.91,$69.58,$68.74
12/14/2023,$69.00,1238751,$68.14,$69.935,$68.14
12/13/2023,$67.87,1209367,$65.22,$67.92,$65.1913
12/12/2023,$65.46,586649,$65.65,$65.68,$64.9375
12/11/2023,$65.55,566337,$65.48,$65.80,$65.18
12/08/2023,$65.42,734169,$65.25,$65.7855,$64.59
12/07/2023,$65.41,1059829,$64.91,$65.605,$64.435
12/06/2023,$64.89,1151988,$65.74,$66.34,$64.42
12/05/2023,$65.25,896208,$66.00,$66.30,$64.71
12/04/2023,$66.39,803490,$66.74,$67.325,$65.99
12/01/2023,$66.99,1075461,$66.12,$67.05,$65.965
11/30/2023,$66.12,1249927,$64.85,$66.33,$64.48
11/29/2023,$64.91,765736,$64.71,$65.14,$64.45
11/28/2023,$64.23,700243,$64.59,$64.59,$63.90
11/27/2023,$64.54,1236489,$64.15,$64.665,$63.96
11/24/2023,$64.64,467604,$63.92,$64.91,$63.845
11/22/2023,$64.09,736002,$64.53,$64.75,$63.76
11/21/2023,$64.30,899858,$64.44,$65.12,$63.99
11/20/2023,$64.62,1067640,$63.47,$64.95,$63.02
11/17/2023,$63.73,1449417,$63.23,$64.47,$63.15
11/16/2023,$63.58,2521303,$61.50,$63.69,$61.05
11/15/2023,$61.24,994046,$60.66,$61.79,$60.66
11/14/2023,$60.57,859280,$58.73,$60.65,$58.73
11/13/2023,$57.49,482439,$57.74,$57.88,$57.28
11/10/2023,$57.91,512755,$57.44,$57.92,$57.13
11/09/2023,$57.34,652831,$58.07,$58.28,$57.23
11/08/2023,$57.52,463005,$57.57,$57.79,$57.27
11/07/2023,$57.38,518244,$57.39,$57.52,$57.045
11/06/2023,$57.72,488263,$58.87,$58.87,$57.39
11/03/2023,$58.80,633957,$58.16,$59.23,$58.1001
11/02/2023,$57.23,688237,$56.50,$57.34,$56.50
11/01/2023,$55.77,780249,$54.97,$55.80,$54.79
10/31/2023,$55.00,732120,$55.13,$55.72,$54.78
10/30/2023,$55.03,829415,$55.00,$55.38,$54.44
10/27/2023,$54.48,788608,$54.96,$55.19,$54.22
10/26/2023,$54.98,833941,$54.18,$55.57,$53.92
10/25/2023,$54.17,1079821,$55.37,$55.53,$54.08
10/24/2023,$55.72,873572,$55.21,$56.04,$55.01
10/23/2023,$54.54,1277345,$54.98,$55.28,$54.23
10/20/2023,$55.39,930312,$55.84,$56.225,$55.145
10/19/2023,$55.89,627875,$56.32,$56.94,$55.73
10/18/2023,$56.91,509825,$57.61,$58.02,$56.82
10/17/2023,$58.20,909579,$56.61,$58.50,$56.61
10/16/2023,$57.15,723937,$56.68,$57.3975,$56.025
10/13/2023,$55.64,881885,$55.85,$56.10,$55.08
10/12/2023,$55.62,804588,$56.96,$56.96,$55.17
10/11/2023,$57.22,902695,$57.89,$58.48,$56.45
10/10/2023,$57.75,760265,$56.90,$58.42,$56.84
10/09/2023,$56.58,1227877,$55.73,$56.86,$55.34
10/06/2023,$55.91,1696689,$57.59,$57.76,$55.71
10/05/2023,$57.64,1073222,$59.88,$60.375,$57.51
10/04/2023,$59.63,788552,$59.31,$60.09,$58.42
10/03/2023,$58.99,993861,$60.91,$61.19,$58.735
10/02/2023,$61.48,551404,$61.69,$61.975,$61.22
09/29/2023,$61.91,527575,$62.55,$62.92,$61.88
09/28/2023,$62.01,641169,$60.69,$62.38,$60.69
09/27/2023,$60.57,540412,$61.19,$61.48,$60.42
09/26/2023,$60.77,577417,$61.43,$61.79,$60.74
09/25/2023,$61.77,460295,$61.38,$62.19,$61.38
09/22/2023,$61.47,468118,$62.00,$62.51,$61.445
