Date,Close/Last,Volume,Open,High,Low
10/23/2023,$26.85,1269120,$27.10,$27.5995,$26.65
10/20/2023,$27.37,1264139,$26.84,$27.9997,$26.29
10/19/2023,$26.94,904651,$27.59,$27.93,$26.82
10/18/2023,$27.51,879599,$27.83,$28.26,$27.24
10/17/2023,$27.92,1102209,$26.94,$28.85,$26.8693
10/16/2023,$27.39,1306770,$27.19,$28.49,$26.5601
10/13/2023,$27.14,1226842,$26.94,$27.67,$26.10
10/12/2023,$26.13,1795243,$27.66,$27.94,$25.38
10/11/2023,$27.70,1380915,$26.48,$27.70,$26.31
10/10/2023,$26.13,1117603,$25.41,$26.5299,$24.60
10/09/2023,$24.85,1067501,$23.96,$25.29,$23.73
10/06/2023,$24.02,1307139,$24.65,$24.65,$23.51
10/05/2023,$24.15,1541910,$22.81,$24.4076,$22.38
10/04/2023,$22.93,2059138,$23.16,$23.52,$22.12
10/03/2023,$23.22,2833099,$23.20,$23.76,$22.58
10/02/2023,$24.07,1143069,$26.10,$26.48,$24.06
09/29/2023,$26.01,2555643,$26.32,$27.40,$25.65
09/28/2023,$26.01,2675075,$23.52,$26.09,$23.2123
09/27/2023,$23.53,6454708,$20.80,$25.48,$20.80
09/26/2023,$17.65,942711,$17.32,$18.145,$17.17
09/25/2023,$17.24,635137,$16.72,$17.45,$16.48
09/22/2023,$16.93,406108,$17.14,$17.18,$16.69
09/21/2023,$17.19,555209,$17.00,$17.24,$16.45
09/20/2023,$17.06,671691,$18.08,$18.0882,$17.03
09/19/2023,$18.07,405925,$18.40,$18.58,$17.98
09/18/2023,$18.28,544763,$18.86,$18.95,$17.82
09/15/2023,$19.10,2827195,$19.38,$19.50,$18.73
09/14/2023,$19.41,627387,$19.16,$19.525,$18.72
09/13/2023,$19.02,508935,$19.27,$19.52,$18.99
09/12/2023,$19.21,555879,$18.47,$19.29,$18.41
09/11/2023,$18.73,683929,$18.93,$19.48,$18.6813
09/08/2023,$18.53,810971,$19.25,$19.627,$18.25
09/07/2023,$19.45,815461,$18.55,$19.95,$18.24
09/06/2023,$18.40,893192,$17.95,$18.49,$17.8879
09/05/2023,$17.77,1454434,$18.57,$18.76,$17.32
09/01/2023,$18.94,507744,$18.42,$19.06,$18.42
08/31/2023,$18.29,1221416,$18.96,$19.35,$18.23
08/30/2023,$18.42,925866,$18.87,$18.885,$18.18
08/29/2023,$19.05,263051,$19.21,$19.545,$18.97
08/28/2023,$19.23,271093,$19.25,$19.73,$18.788
08/25/2023,$19.25,412411,$19.05,$19.685,$18.97
08/24/2023,$18.82,420193,$19.71,$19.71,$18.79
08/23/2023,$19.77,423640,$19.91,$20.395,$19.6179
08/22/2023,$19.96,1331624,$19.60,$20.24,$19.43
08/21/2023,$19.46,480735,$19.33,$19.645,$19.08
08/18/2023,$19.27,528306,$18.98,$19.59,$18.53
08/17/2023,$19.22,578378,$20.24,$20.45,$19.09
08/16/2023,$19.88,577408,$20.65,$20.71,$19.52
08/15/2023,$20.75,410185,$20.54,$21.07,$20.25
08/14/2023,$20.52,581290,$20.64,$20.73,$20.18
08/11/2023,$20.84,360350,$21.19,$21.8085,$20.80
08/10/2023,$21.20,330633,$21.00,$21.66,$20.93
08/09/2023,$21.25,580100,$20.20,$21.27,$20.12
08/08/2023,$20.28,688386,$19.43,$20.65,$19.2515
08/07/2023,$19.23,904729,$20.75,$20.94,$19.00
08/04/2023,$19.69,714443,$19.22,$19.96,$18.97
08/03/2023,$19.15,718084,$19.15,$19.75,$18.89
08/02/2023,$19.28,862659,$19.43,$20.20,$18.80
08/01/2023,$19.65,1255354,$19.71,$20.17,$19.13
07/31/2023,$19.88,1418332,$19.27,$20.425,$19.0315
07/28/2023,$19.05,1532237,$18.50,$19.08,$18.17
07/27/2023,$18.42,5537307,$19.67,$20.16,$17.10
07/26/2023,$23.80,1293051,$23.74,$24.05,$23.2918
07/25/2023,$23.70,1359478,$23.90,$24.38,$23.31
07/24/2023,$23.83,1675257,$25.39,$25.59,$23.13
07/21/2023,$25.44,894786,$24.98,$25.75,$24.9001
07/20/2023,$24.75,650712,$25.77,$25.77,$24.5801
07/19/2023,$25.53,618976,$26.24,$26.35,$25.32
07/18/2023,$26.24,462133,$26.20,$26.585,$25.95
07/17/2023,$26.41,1333790,$24.22,$26.64,$24.12
07/14/2023,$24.07,447749,$24.26,$24.48,$23.93
07/13/2023,$24.50,505225,$25.22,$25.3589,$24.26
07/12/2023,$25.00,890661,$24.87,$25.1299,$23.74
07/11/2023,$24.60,968057,$23.25,$24.62,$23.00
07/10/2023,$23.22,498417,$22.65,$23.40,$22.65
07/07/2023,$22.74,573091,$22.91,$23.53,$22.62
07/06/2023,$22.91,796003,$22.75,$23.02,$22.48
07/05/2023,$23.14,725167,$23.12,$23.525,$22.54
07/03/2023,$23.17,360881,$23.92,$24.39,$23.02
06/30/2023,$23.92,1136221,$24.46,$24.94,$23.89
06/29/2023,$23.93,579315,$24.56,$24.69,$23.58
06/28/2023,$24.50,1229215,$23.12,$24.94,$22.82
06/27/2023,$23.22,733991,$22.65,$23.43,$22.01
06/26/2023,$22.60,641974,$23.10,$23.47,$22.34
06/23/2023,$23.20,2450032,$23.46,$23.58,$22.58
06/22/2023,$23.88,744541,$22.66,$24.11,$22.65
06/21/2023,$22.94,842432,$23.82,$24.34,$22.60
06/20/2023,$23.82,881597,$23.60,$24.10,$23.16
06/16/2023,$23.65,4753754,$24.73,$24.73,$23.57
06/15/2023,$24.44,683753,$24.11,$24.54,$23.78
06/14/2023,$24.38,1251311,$24.41,$25.84,$23.91
06/13/2023,$24.25,970252,$24.07,$24.88,$23.28
06/12/2023,$23.96,1431923,$23.83,$25.11,$23.31
06/09/2023,$23.85,989389,$23.36,$24.2999,$23.14
06/08/2023,$23.13,968058,$22.49,$23.46,$22.42
06/07/2023,$22.57,967498,$22.705,$23.08,$22.03
06/06/2023,$22.63,1501925,$21.90,$22.86,$21.36
06/05/2023,$21.65,1311345,$22.00,$22.05,$21.22
06/02/2023,$21.72,2045530,$21.15,$22.05,$20.03
06/01/2023,$20.73,4452223,$18.20,$21.245,$17.86
05/31/2023,$17.51,2737426,$16.31,$17.58,$16.30
05/30/2023,$16.28,1148081,$15.56,$16.31,$15.56
05/26/2023,$15.52,900524,$15.05,$15.81,$15.05
05/25/2023,$15.07,774347,$15.91,$15.918,$14.96
05/24/2023,$15.78,1120172,$16.62,$16.89,$15.36
05/23/2023,$16.67,1796399,$15.85,$17.11,$15.745
05/22/2023,$15.94,1949921,$14.19,$15.97,$14.19
05/19/2023,$14.10,660238,$14.04,$14.24,$13.59
05/18/2023,$13.87,646115,$14.07,$14.07,$13.53
05/17/2023,$14.12,457164,$14.16,$14.37,$13.7144
05/16/2023,$13.87,648128,$14.25,$14.33,$13.66
05/15/2023,$14.55,815224,$13.81,$15.24,$13.73
05/12/2023,$13.61,337319,$13.82,$13.96,$13.46
05/11/2023,$13.82,633924,$14.15,$14.27,$13.51
05/10/2023,$14.33,435436,$14.70,$14.86,$14.0133
05/09/2023,$14.52,390805,$14.10,$14.63,$13.97
05/08/2023,$14.21,578777,$14.25,$14.55,$14.03
05/05/2023,$14.24,831487,$13.90,$14.55,$13.8426
05/04/2023,$13.74,678114,$13.57,$13.91,$13.03
05/03/2023,$13.75,667166,$13.37,$13.99,$13.20
05/02/2023,$13.20,661328,$13.51,$13.57,$12.96
05/01/2023,$13.58,704359,$13.08,$13.73,$13.045
04/28/2023,$13.08,812265,$13.00,$13.24,$12.35
04/27/2023,$13.00,751414,$13.17,$13.19,$12.53
04/26/2023,$13.13,483917,$13.42,$13.57,$13.12
04/25/2023,$13.41,669433,$13.55,$14.13,$13.175
04/24/2023,$13.87,428130,$14.24,$14.355,$13.73
04/21/2023,$14.34,783617,$14.20,$14.61,$13.86
04/20/2023,$14.10,633259,$14.07,$14.41,$13.97
04/19/2023,$14.22,458292,$13.94,$14.50,$13.84
04/18/2023,$14.10,749293,$14.37,$14.79,$13.80
04/17/2023,$14.27,978297,$13.11,$14.45,$13.11
04/14/2023,$13.09,745585,$13.52,$13.65,$12.83
04/13/2023,$13.45,869495,$13.08,$13.84,$12.98
04/12/2023,$12.96,441201,$13.09,$13.35,$12.91
04/11/2023,$12.98,572931,$12.66,$13.12,$12.63
04/10/2023,$12.64,811137,$12.75,$12.86,$12.5673
04/06/2023,$12.84,1249129,$12.88,$13.02,$12.45
04/05/2023,$12.97,1351394,$13.50,$13.65,$12.67
04/04/2023,$13.67,1037661,$14.43,$14.858,$13.525
04/03/2023,$13.90,851937,$13.60,$14.16,$13.48
03/31/2023,$13.66,1061477,$13.79,$14.01,$13.32
03/30/2023,$13.68,1054862,$14.25,$14.26,$13.27
03/29/2023,$14.03,1005097,$13.84,$14.115,$13.55
03/28/2023,$13.64,674671,$13.98,$14.16,$13.51
03/27/2023,$14.06,1001319,$14.39,$14.80,$14.02
03/24/2023,$14.29,1202930,$13.46,$14.44,$13.1663
03/23/2023,$13.40,791935,$13.35,$13.55,$12.78
03/22/2023,$12.94,856184,$13.90,$13.90,$12.92
03/21/2023,$13.75,506375,$14.13,$14.376,$13.70
03/20/2023,$13.94,490179,$13.88,$14.3749,$13.50
03/17/2023,$13.77,1848227,$14.30,$14.455,$13.03
03/16/2023,$14.45,783578,$13.58,$15.075,$13.235
03/15/2023,$13.82,1520249,$14.32,$14.78,$13.68
03/14/2023,$14.61,1145573,$14.46,$14.85,$14.07
03/13/2023,$14.23,1152321,$12.91,$14.37,$12.72
03/10/2023,$13.24,1588894,$13.44,$13.72,$12.49
03/09/2023,$13.52,1176079,$14.13,$14.32,$13.32
03/08/2023,$14.07,1619979,$13.63,$14.07,$13.38
03/07/2023,$13.70,555730,$14.20,$14.26,$13.68
03/06/2023,$14.22,923678,$14.37,$14.37,$13.7601
03/03/2023,$14.36,1045166,$14.40,$14.90,$14.05
03/02/2023,$14.40,1198328,$15.02,$15.06,$14.135
03/01/2023,$15.24,1053572,$15.25,$15.69,$15.05
02/28/2023,$15.28,2025162,$15.41,$15.58,$14.98
02/27/2023,$15.21,743084,$15.28,$15.455,$14.92
02/24/2023,$15.18,676285,$15.36,$15.59,$15.06
02/23/2023,$15.59,912589,$15.24,$15.87,$15.19
02/22/2023,$15.19,1111307,$15.44,$15.97,$14.90
02/21/2023,$15.24,1126400,$16.23,$16.55,$15.19
02/17/2023,$16.51,659315,$16.38,$16.75,$16.00
02/16/2023,$16.34,731818,$16.79,$17.25,$16.32
02/15/2023,$17.38,531864,$17.74,$17.91,$16.99
02/14/2023,$18.03,650290,$17.67,$18.22,$17.315
02/13/2023,$17.75,650884,$16.98,$17.75,$16.61
02/10/2023,$16.98,1014827,$17.23,$17.51,$16.43
02/09/2023,$17.38,981148,$18.26,$18.30,$17.17
02/08/2023,$18.09,687568,$18.46,$18.67,$17.95
02/07/2023,$18.56,914378,$18.06,$18.57,$17.55
02/06/2023,$18.08,534294,$18.19,$18.60,$17.93
02/03/2023,$18.19,704152,$18.89,$19.66,$18.15
02/02/2023,$19.17,1495014,$19.19,$20.57,$18.36
02/01/2023,$18.82,814222,$19.07,$19.38,$18.51
01/31/2023,$19.09,798635,$18.49,$19.32,$18.40
01/30/2023,$18.58,871782,$18.38,$19.1489,$18.32
01/27/2023,$18.81,743054,$18.54,$20.07,$18.22
01/26/2023,$18.54,493045,$19.50,$19.6299,$17.92
01/25/2023,$19.14,617865,$18.30,$19.29,$18.01
01/24/2023,$18.73,923115,$19.51,$19.95,$17.65
01/23/2023,$19.20,1526397,$18.44,$20.00,$18.27
01/20/2023,$18.44,1233284,$17.96,$18.57,$17.31
01/19/2023,$17.71,662035,$16.68,$18.14,$16.19
01/18/2023,$16.83,835768,$17.50,$17.50,$16.01
01/17/2023,$17.22,850328,$18.67,$18.685,$17.02
01/13/2023,$18.70,1530818,$17.51,$18.78,$17.501
01/12/2023,$17.86,2071713,$16.90,$18.19,$16.86
01/11/2023,$16.90,2105227,$15.78,$17.2499,$15.45
01/10/2023,$15.74,819928,$14.96,$15.74,$14.70
01/09/2023,$14.95,1272579,$14.48,$15.88,$14.45
01/06/2023,$14.43,713669,$13.80,$14.545,$13.3401
01/05/2023,$13.78,955387,$14.34,$14.6499,$13.5801
01/04/2023,$14.65,1125741,$14.19,$15.08,$13.88
01/03/2023,$13.50,946818,$14.05,$14.29,$13.10
12/30/2022,$13.88,956322,$14.43,$14.60,$13.32
12/29/2022,$14.37,1054935,$13.22,$14.65,$13.01
12/28/2022,$13.07,891034,$12.60,$13.20,$12.41
12/27/2022,$12.61,1067673,$13.69,$13.85,$12.505
12/23/2022,$13.71,1072920,$12.79,$13.85,$12.78
12/22/2022,$12.88,875565,$13.39,$13.41,$12.65
12/21/2022,$13.53,687412,$14.24,$14.395,$13.51
12/20/2022,$14.11,631892,$13.95,$14.51,$13.83
12/19/2022,$14.04,1398102,$15.05,$15.18,$13.70
12/16/2022,$15.09,9979827,$15.09,$15.24,$14.02
12/15/2022,$14.82,1240390,$15.65,$15.81,$14.31
12/14/2022,$15.71,673000,$15.19,$16.14,$15.19
12/13/2022,$15.44,964295,$16.50,$16.54,$14.9127
12/12/2022,$16.24,766652,$15.50,$16.4699,$15.30
12/09/2022,$15.43,789964,$15.00,$15.74,$14.80
12/08/2022,$15.03,902148,$16.71,$16.79,$15.015
12/07/2022,$16.41,578344,$16.00,$16.56,$15.52
12/06/2022,$15.97,584122,$16.14,$16.62,$15.55
12/05/2022,$16.32,780629,$16.91,$17.48,$15.91
12/02/2022,$16.74,1572462,$16.60,$17.86,$15.95
12/01/2022,$16.53,868287,$15.90,$16.61,$15.37
11/30/2022,$15.82,863200,$15.45,$16.00,$14.82
11/29/2022,$15.40,765225,$14.27,$15.475,$14.27
11/28/2022,$14.41,988544,$15.77,$16.495,$13.95
11/25/2022,$15.85,430081,$15.28,$16.10,$15.11
11/23/2022,$15.41,938554,$15.55,$16.48,$15.15
11/22/2022,$15.34,828844,$14.75,$15.76,$14.60
11/21/2022,$14.34,1346553,$14.34,$15.27,$14.07
11/18/2022,$14.10,839721,$14.49,$14.49,$13.52
11/17/2022,$14.30,1033588,$14.34,$14.8082,$14.19
11/16/2022,$14.57,596036,$15.61,$15.81,$14.53
11/15/2022,$15.74,972622,$16.00,$16.605,$15.68
11/14/2022,$15.92,638686,$16.28,$16.62,$15.65
11/11/2022,$16.27,1082140,$15.31,$17.38,$15.18
