Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.30,488138,$30.10,$31.01,$30.08
01/04/2024,$30.44,362393,$30.58,$30.70,$30.27
01/03/2024,$30.70,329651,$31.08,$31.17,$30.58
01/02/2024,$31.11,594969,$31.00,$31.75,$30.85
12/29/2023,$31.49,398767,$31.37,$31.61,$31.16
12/28/2023,$31.47,190359,$31.77,$31.95,$31.20
12/27/2023,$31.77,467119,$31.75,$32.19,$31.62
12/26/2023,$31.84,351179,$31.74,$31.97,$31.51
12/22/2023,$31.68,551760,$31.46,$31.915,$31.36
12/21/2023,$31.41,703636,$30.31,$31.43,$30.2635
12/20/2023,$30.13,702694,$30.42,$31.16,$30.01
12/19/2023,$30.58,526707,$30.56,$31.12,$30.005
12/18/2023,$30.14,421508,$30.11,$30.67,$29.96
12/15/2023,$30.11,1164012,$30.70,$31.01,$29.94
12/14/2023,$30.79,1328506,$29.83,$30.90,$29.83
12/13/2023,$29.49,610087,$28.18,$29.61,$27.88
12/12/2023,$28.12,333028,$28.59,$28.59,$27.80
12/11/2023,$28.56,671719,$28.26,$28.76,$27.61
12/08/2023,$28.16,488123,$28.18,$28.58,$27.93
12/07/2023,$28.07,561583,$27.40,$28.25,$27.00
12/06/2023,$27.40,629895,$27.08,$27.79,$27.00
12/05/2023,$26.98,459604,$27.22,$27.69,$26.73
12/04/2023,$27.32,617979,$27.25,$27.8884,$27.05
12/01/2023,$27.75,1001951,$26.25,$27.915,$26.19
11/30/2023,$26.20,816026,$25.87,$26.36,$25.40
11/29/2023,$25.87,555367,$26.26,$26.81,$25.75
11/28/2023,$26.49,626044,$26.48,$26.63,$26.20
11/27/2023,$26.34,499193,$27.08,$27.155,$26.305
11/24/2023,$27.19,161831,$26.90,$27.245,$26.72
11/22/2023,$26.92,407615,$26.62,$27.065,$26.42
11/21/2023,$26.58,394927,$27.10,$27.30,$26.58
11/20/2023,$27.04,495085,$27.49,$27.49,$26.73
11/17/2023,$27.36,266180,$28.10,$28.10,$27.35
11/16/2023,$27.51,474797,$27.66,$27.80,$27.42
11/15/2023,$27.63,518383,$26.79,$27.7451,$26.75
11/14/2023,$26.68,382404,$26.02,$26.70,$25.80
11/13/2023,$25.34,470846,$25.17,$26.14,$25.17
11/10/2023,$25.53,514254,$25.94,$25.98,$25.14
11/09/2023,$25.88,1245370,$26.03,$26.26,$25.63
11/08/2023,$25.89,895591,$25.635,$26.46,$25.334
11/07/2023,$25.59,953897,$26.75,$26.79,$25.545
11/06/2023,$27.02,702979,$27.00,$27.34,$26.62
11/03/2023,$27.04,971730,$27.55,$28.10,$26.91
11/02/2023,$27.19,1008040,$25.69,$27.33,$25.69
11/01/2023,$25.09,1866484,$22.90,$25.21,$22.78
10/31/2023,$22.64,1372711,$22.21,$22.92,$22.21
10/30/2023,$22.20,1356860,$21.56,$22.2347,$21.0287
10/27/2023,$21.39,1781754,$22.51,$22.51,$21.305
10/26/2023,$22.50,980409,$22.38,$22.86,$22.03
10/25/2023,$22.42,1522366,$22.69,$23.17,$22.38
10/24/2023,$22.80,2092605,$23.10,$23.39,$22.72
10/23/2023,$23.00,2269740,$23.21,$24.0017,$22.96
10/20/2023,$23.22,1394701,$23.45,$23.88,$23.15
10/19/2023,$23.67,1412153,$24.56,$24.6758,$23.57
10/18/2023,$24.46,1661118,$26.02,$26.02,$24.45
10/17/2023,$25.69,1105103,$25.15,$25.96,$25.03
10/16/2023,$25.07,1154171,$26.11,$26.32,$24.951
10/13/2023,$25.98,2342587,$27.59,$27.70,$25.87
10/12/2023,$27.48,1468541,$29.08,$29.2838,$27.26
10/11/2023,$29.25,683196,$29.19,$29.49,$28.46
10/10/2023,$28.85,740523,$27.94,$28.87,$27.94
10/09/2023,$27.93,409596,$27.92,$28.40,$27.79
10/06/2023,$28.03,589264,$27.88,$28.13,$26.8757
10/05/2023,$28.00,900623,$27.50,$28.19,$27.50
10/04/2023,$27.52,1261145,$26.57,$27.62,$26.37
10/03/2023,$26.59,942628,$27.00,$27.30,$26.52
10/02/2023,$27.23,646910,$29.53,$29.53,$27.17
09/29/2023,$29.40,824036,$30.21,$30.34,$29.35
09/28/2023,$29.87,395117,$29.15,$29.99,$29.04
09/27/2023,$29.16,486382,$30.41,$30.70,$29.13
09/26/2023,$30.36,586584,$31.03,$31.3599,$30.35
09/25/2023,$31.36,345290,$31.29,$31.54,$30.675
09/22/2023,$30.71,541882,$30.84,$31.23,$30.45
09/21/2023,$30.30,338539,$31.48,$31.69,$30.25
09/20/2023,$31.74,231325,$31.67,$32.20,$31.67
09/19/2023,$31.47,164839,$32.18,$32.39,$31.46
09/18/2023,$32.08,301226,$32.48,$32.69,$31.92
09/15/2023,$32.72,702513,$32.94,$33.00,$32.43
09/14/2023,$32.80,493969,$32.04,$32.92,$32.04
09/13/2023,$32.04,554906,$31.49,$32.09,$31.49
09/12/2023,$31.61,263246,$31.67,$31.8855,$31.31
09/11/2023,$31.75,433635,$31.68,$32.02,$31.3201
09/08/2023,$31.56,260347,$31.97,$32.00,$31.43
09/07/2023,$31.60,324925,$31.00,$31.86,$30.89
09/06/2023,$31.06,335777,$31.63,$31.63,$31.03
09/05/2023,$31.64,316356,$32.29,$32.335,$31.52
09/01/2023,$32.25,335292,$32.00,$32.49,$31.8862
08/31/2023,$31.91,399296,$31.89,$32.13,$31.75
08/30/2023,$31.84,171205,$31.87,$32.4774,$31.785
08/29/2023,$32.28,181238,$31.94,$32.39,$31.80
08/28/2023,$31.79,320941,$31.85,$32.2845,$31.71
08/25/2023,$31.86,193984,$32.00,$32.05,$31.38
08/24/2023,$31.73,252171,$31.72,$32.04,$31.54
08/23/2023,$31.87,213706,$31.31,$32.00,$31.31
08/22/2023,$31.31,172978,$31.49,$31.85,$31.30
08/21/2023,$31.67,376584,$32.13,$32.13,$31.20
08/18/2023,$32.01,339102,$31.47,$32.18,$31.47
08/17/2023,$31.64,382955,$31.92,$32.25,$31.48
08/16/2023,$31.88,206818,$31.76,$32.22,$31.76
08/15/2023,$31.93,237508,$32.79,$32.93,$31.92
08/14/2023,$32.91,129481,$33.26,$33.50,$32.87
08/11/2023,$33.31,369570,$32.88,$33.50,$32.88
08/10/2023,$33.13,685201,$33.01,$33.52,$32.78
08/09/2023,$32.68,275284,$32.72,$33.07,$32.46
08/08/2023,$32.67,371234,$32.31,$32.79,$32.03
08/07/2023,$32.51,536161,$32.98,$32.9974,$32.2607
08/04/2023,$32.51,780944,$32.98,$32.9974,$32.2607
08/03/2023,$31.86,1682695,$33.47,$33.47,$31.81
08/02/2023,$33.46,495732,$34.55,$34.56,$33.35
08/01/2023,$34.93,249891,$35.25,$35.50,$34.62
07/31/2023,$35.69,199865,$35.22,$35.95,$35.22
07/28/2023,$35.28,144137,$35.46,$35.87,$35.21
07/27/2023,$35.44,179860,$35.97,$36.02,$35.35
07/26/2023,$36.02,118727,$35.75,$36.20,$35.6871
07/25/2023,$36.02,199417,$35.92,$36.17,$35.72
07/24/2023,$35.99,160340,$35.68,$36.1594,$35.64
07/21/2023,$35.69,139682,$35.72,$36.0599,$35.61
07/20/2023,$35.70,135859,$35.72,$36.03,$35.64
07/19/2023,$35.93,162139,$36.18,$36.23,$35.71
07/18/2023,$35.83,161273,$35.94,$36.17,$35.48
07/17/2023,$35.78,188033,$36.14,$36.19,$35.71
07/14/2023,$36.19,228973,$36.30,$36.48,$35.99
07/13/2023,$36.29,257055,$35.90,$36.58,$35.80
07/12/2023,$35.85,193032,$34.99,$35.93,$34.95
07/11/2023,$34.80,308526,$35.00,$35.08,$34.63
07/10/2023,$35.03,296884,$35.50,$35.6072,$34.99
07/07/2023,$35.65,182425,$35.39,$35.85,$35.22
07/06/2023,$35.40,278526,$36.23,$36.44,$35.18
07/05/2023,$36.56,357128,$36.77,$36.77,$36.28
07/03/2023,$36.72,129863,$36.35,$37.15,$36.35
06/30/2023,$36.50,489391,$35.57,$36.665,$35.57
06/29/2023,$35.52,607702,$35.22,$35.75,$35.06
06/28/2023,$35.34,747413,$35.06,$35.64,$34.77
06/27/2023,$35.42,461142,$35.24,$35.5741,$35.10
06/26/2023,$35.27,204146,$35.00,$35.442,$34.99
06/23/2023,$35.06,305976,$35.54,$35.84,$35.06
06/22/2023,$35.75,295178,$35.82,$35.91,$35.56
06/21/2023,$35.73,221747,$35.00,$36.04,$35.00
06/20/2023,$35.24,201291,$35.38,$35.68,$35.10
06/16/2023,$35.41,499308,$36.62,$36.85,$35.38
06/15/2023,$36.62,312543,$36.65,$37.02,$36.54
06/14/2023,$36.76,192999,$37.02,$37.29,$36.38
06/13/2023,$37.02,204993,$36.90,$37.32,$36.75
06/12/2023,$36.90,304600,$37.04,$37.12,$36.58
06/09/2023,$36.93,213348,$36.81,$37.25,$36.7899
06/08/2023,$36.84,160925,$36.51,$36.86,$36.47
06/07/2023,$36.71,190314,$36.61,$36.84,$36.54
06/06/2023,$36.56,326415,$36.45,$36.88,$36.24
06/05/2023,$36.54,194797,$36.78,$36.78,$36.14
06/02/2023,$36.78,277051,$36.26,$37.00,$36.13
06/01/2023,$36.14,318520,$35.99,$36.38,$35.57
05/31/2023,$35.89,261871,$35.35,$36.09,$35.12
05/30/2023,$35.74,476740,$36.15,$36.30,$35.55
05/26/2023,$36.28,239452,$35.70,$36.43,$35.39
05/25/2023,$35.52,212436,$35.91,$35.97,$35.37
05/24/2023,$36.00,178020,$36.35,$36.35,$35.61
05/23/2023,$36.63,147953,$36.88,$37.10,$36.43
05/22/2023,$36.99,77097,$37.17,$37.22,$36.82
05/19/2023,$37.07,261731,$37.12,$37.28,$36.6708
05/18/2023,$36.91,207723,$36.71,$36.92,$36.34
05/17/2023,$36.63,282967,$36.77,$36.78,$36.30
05/16/2023,$36.50,416757,$36.81,$37.00,$36.33
