Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.52,1483602,$38.23,$39.18,$38.21
01/04/2024,$38.52,2421040,$38.08,$38.705,$37.955
01/03/2024,$38.17,1783467,$38.28,$38.46,$37.77
01/02/2024,$38.85,2378293,$39.56,$39.70,$38.69
12/29/2023,$40.12,1686096,$39.92,$40.22,$39.76
12/28/2023,$40.22,1860227,$40.24,$40.82,$40.11
12/27/2023,$40.74,1642612,$40.47,$41.05,$40.30
12/26/2023,$40.46,794059,$40.00,$40.525,$39.833
12/22/2023,$40.05,1986470,$39.80,$40.40,$39.67
12/21/2023,$39.88,1849234,$39.47,$39.995,$39.47
12/20/2023,$39.07,2662215,$39.07,$39.815,$39.05
12/19/2023,$39.34,2386580,$38.87,$39.375,$38.64
12/18/2023,$38.43,1972132,$38.83,$38.91,$38.27
12/15/2023,$38.49,2712342,$39.15,$39.46,$38.385
12/14/2023,$39.15,4929691,$38.525,$40.06,$38.525
12/13/2023,$38.23,2214059,$36.34,$38.24,$35.92
12/12/2023,$36.31,1494916,$36.31,$36.35,$35.715
12/11/2023,$36.27,1308706,$35.88,$36.30,$35.66
12/08/2023,$35.91,1619973,$35.66,$36.17,$35.66
12/07/2023,$35.84,1668998,$35.74,$35.97,$35.51
12/06/2023,$35.67,1913227,$36.05,$36.35,$35.465
12/05/2023,$35.54,2440721,$35.90,$36.12,$35.44
12/04/2023,$36.16,1840951,$35.71,$36.325,$35.4715
12/01/2023,$36.16,2233058,$35.04,$36.20,$34.965
11/30/2023,$35.27,2534077,$35.76,$35.80,$35.0601
11/29/2023,$35.59,3090017,$34.87,$35.83,$34.77
11/28/2023,$34.78,2848778,$33.99,$34.86,$33.72
11/27/2023,$34.02,1830387,$34.01,$34.165,$33.74
11/24/2023,$34.32,1027104,$34.33,$34.45,$34.12
11/22/2023,$34.32,1610708,$34.11,$34.42,$33.70
11/21/2023,$33.94,1635030,$34.36,$34.66,$33.81
11/20/2023,$34.60,1658800,$33.74,$34.63,$33.61
11/17/2023,$33.87,2906650,$34.20,$34.36,$33.77
11/16/2023,$34.07,1672722,$34.39,$34.52,$33.695
11/15/2023,$34.46,3501465,$34.50,$34.72,$34.06
11/14/2023,$34.42,3292357,$33.17,$34.44,$33.09
11/13/2023,$32.19,2782565,$31.87,$32.46,$31.515
11/10/2023,$32.06,2801516,$32.31,$32.49,$31.435
11/09/2023,$32.20,3126849,$32.43,$33.19,$32.14
11/08/2023,$32.18,2277815,$32.00,$32.344,$31.895
11/07/2023,$32.00,2129100,$32.12,$32.475,$31.885
11/06/2023,$32.37,2411614,$33.22,$33.53,$32.275
11/03/2023,$33.24,3049929,$32.73,$33.715,$32.63
11/02/2023,$32.12,3300220,$31.11,$32.22,$31.05
11/01/2023,$30.53,3860745,$29.21,$30.59,$29.20
10/31/2023,$29.15,4806120,$28.98,$29.22,$28.84
10/30/2023,$29.14,5915849,$29.05,$30.06,$29.01
10/27/2023,$29.15,5526428,$30.26,$30.26,$28.94
10/26/2023,$29.89,3633343,$29.62,$30.25,$29.58
10/25/2023,$29.81,5673294,$30.64,$30.64,$29.61
10/24/2023,$30.95,2268206,$30.76,$31.295,$30.578
10/23/2023,$30.74,3302049,$30.50,$31.06,$30.40
10/20/2023,$30.71,3542703,$31.08,$31.26,$30.52
10/19/2023,$31.21,6869527,$31.87,$31.985,$30.97
10/18/2023,$32.04,6431591,$32.46,$32.80,$31.835
10/17/2023,$33.09,3028326,$32.36,$33.26,$32.24
10/16/2023,$32.81,2623963,$32.42,$33.05,$32.22
10/13/2023,$32.17,3682362,$32.69,$32.69,$31.875
10/12/2023,$32.51,3196952,$33.33,$33.44,$32.26
10/11/2023,$33.31,3892764,$32.35,$33.39,$32.34
10/10/2023,$32.22,3258826,$30.74,$32.26,$30.74
10/09/2023,$30.62,920113,$30.21,$30.68,$30.21
10/06/2023,$30.55,3668913,$29.77,$30.71,$29.43
10/05/2023,$29.97,4103564,$30.32,$30.53,$29.87
10/04/2023,$30.30,2412899,$30.24,$30.49,$29.63
10/03/2023,$30.13,3984114,$30.00,$30.16,$29.63
10/02/2023,$30.14,4845404,$31.06,$31.12,$30.06
09/29/2023,$31.27,3559233,$32.50,$32.50,$31.18
09/28/2023,$32.08,2996075,$31.53,$32.12,$31.31
09/27/2023,$31.45,3290476,$31.99,$32.24,$31.30
09/26/2023,$31.91,2987059,$32.40,$32.51,$31.13
09/25/2023,$32.76,1617053,$32.79,$32.91,$32.355
09/22/2023,$32.83,2848974,$33.50,$33.695,$32.67
