Date,Close/Last,Volume,Open,High,Low
10/20/2023,$39.61,6281282,$40.15,$40.365,$39.61
10/19/2023,$40.33,7909473,$40.17,$40.56,$39.93
10/18/2023,$40.72,7136861,$40.69,$40.84,$40.4532
10/17/2023,$40.81,8865114,$40.32,$40.82,$40.31
10/16/2023,$40.22,8508762,$40.17,$40.325,$39.69
10/13/2023,$40.01,13413700,$40.00,$40.17,$39.70
10/12/2023,$39.29,15540100,$39.43,$39.495,$38.925
10/11/2023,$38.65,7900578,$38.80,$38.91,$38.30
10/10/2023,$38.62,8930586,$38.42,$38.80,$38.31
10/09/2023,$38.38,9959098,$38.19,$38.43,$37.9725
10/06/2023,$37.27,10420630,$36.98,$37.47,$36.585
10/05/2023,$36.41,7834875,$35.88,$36.575,$35.84
10/04/2023,$36.31,11062820,$36.80,$36.87,$36.025
10/03/2023,$37.60,7532186,$37.49,$37.70,$37.23
10/02/2023,$37.82,8101836,$38.71,$38.74,$37.615
09/29/2023,$38.72,8013798,$39.38,$39.47,$38.69
09/28/2023,$39.43,6237936,$39.37,$39.66,$39.255
09/27/2023,$39.48,11049120,$39.00,$39.49,$38.91
09/26/2023,$38.64,6931212,$38.67,$38.9775,$38.5316
09/25/2023,$38.75,7964727,$38.44,$38.87,$38.19
09/22/2023,$38.44,9069167,$38.85,$38.96,$38.35
09/21/2023,$38.11,6512302,$38.81,$38.965,$38.10
09/20/2023,$38.62,7432027,$38.58,$39.08,$38.57
09/19/2023,$38.82,8477599,$39.00,$39.17,$38.7525
09/18/2023,$38.56,7068441,$38.77,$38.81,$38.44
09/15/2023,$38.75,6987019,$38.93,$39.11,$38.7365
09/14/2023,$39.10,7691821,$38.81,$39.21,$38.73
09/13/2023,$38.26,17667500,$38.72,$38.765,$37.935
09/12/2023,$38.10,35223240,$38.84,$39.73,$37.95
09/11/2023,$38.61,7062787,$39.01,$39.21,$38.565
09/08/2023,$38.67,4848418,$38.66,$38.89,$38.50
09/07/2023,$38.51,4917957,$38.62,$38.825,$38.43
09/06/2023,$38.83,6261805,$38.66,$38.975,$38.525
09/05/2023,$38.40,6156822,$38.65,$38.74,$38.325
09/01/2023,$38.13,6255242,$38.08,$38.245,$37.83
08/31/2023,$37.18,5120447,$37.36,$37.36,$36.96
08/30/2023,$37.29,5825069,$37.46,$37.59,$37.28
08/29/2023,$37.10,6164733,$36.88,$37.12,$36.56
08/28/2023,$36.64,5890118,$36.32,$36.76,$36.21
08/25/2023,$36.15,5173350,$36.19,$36.28,$35.83
08/24/2023,$35.77,4432677,$35.71,$36.12,$35.695
08/23/2023,$36.00,5535030,$35.81,$36.09,$35.535
08/22/2023,$36.37,5290276,$36.65,$36.69,$36.36
08/21/2023,$36.58,5647494,$36.71,$36.885,$36.445
08/18/2023,$36.24,4613118,$35.70,$36.32,$35.665
08/17/2023,$36.09,5115116,$36.28,$36.45,$36.0514
08/16/2023,$35.89,4891052,$35.99,$36.32,$35.84
08/15/2023,$36.07,7412054,$36.41,$36.49,$36.02
08/14/2023,$36.68,8277539,$36.58,$36.855,$36.29
08/11/2023,$37.10,5934872,$36.70,$37.18,$36.70
08/10/2023,$37.08,7750999,$37.49,$37.64,$37.01
08/09/2023,$37.42,7656207,$37.49,$37.775,$37.285
08/08/2023,$36.97,6322030,$36.28,$36.99,$36.0106
08/07/2023,$37.04,5681130,$37.02,$37.08,$36.79
08/04/2023,$36.80,6918703,$36.79,$37.33,$36.76
08/03/2023,$36.46,7859130,$36.00,$36.58,$35.78
08/02/2023,$36.03,7723210,$36.61,$36.71,$35.90
08/01/2023,$36.96,9393621,$37.556,$37.75,$36.67
07/31/2023,$37.30,8367875,$36.76,$37.355,$36.76
07/28/2023,$36.71,4743522,$36.68,$36.85,$36.365
07/27/2023,$36.66,7273433,$37.02,$37.18,$36.571
07/26/2023,$37.10,4615475,$36.85,$37.22,$36.81
07/25/2023,$37.23,4626015,$36.97,$37.2788,$36.84
07/24/2023,$37.18,7404859,$36.94,$37.37,$36.895
07/21/2023,$36.70,5170369,$36.66,$36.765,$36.44
07/20/2023,$36.54,7044495,$36.48,$36.82,$36.305
07/19/2023,$36.15,8662493,$36.06,$36.495,$36.01
07/18/2023,$35.79,8266320,$35.48,$36.0177,$35.42
07/17/2023,$35.32,10188020,$35.69,$35.71,$35.30
07/14/2023,$35.52,10107490,$36.37,$36.37,$35.49
07/13/2023,$36.53,10494520,$36.80,$36.935,$36.33
07/12/2023,$36.31,13552030,$36.92,$36.94,$36.19
07/11/2023,$35.91,5646181,$35.48,$35.92,$35.4403
07/10/2023,$35.21,4787478,$35.29,$35.455,$35.105
07/07/2023,$35.25,7189895,$34.56,$35.40,$34.525
07/06/2023,$34.79,6808233,$34.91,$35.055,$34.40
07/05/2023,$35.30,5929717,$35.75,$35.81,$35.15
07/03/2023,$35.93,4804602,$36.04,$36.12,$35.75
06/30/2023,$35.29,6768957,$35.49,$35.50,$35.20
06/29/2023,$34.97,5458565,$34.83,$35.06,$34.65
06/28/2023,$34.89,6952162,$34.60,$34.95,$34.34
06/27/2023,$34.85,7850063,$34.95,$34.98,$34.565
06/26/2023,$35.24,6721697,$34.81,$35.32,$34.775
06/23/2023,$34.81,5489088,$34.86,$34.925,$34.66
06/22/2023,$35.24,8551953,$35.08,$35.33,$34.99
06/21/2023,$35.43,4606804,$35.11,$35.6284,$35.055
