Date,Close/Last,Volume,Open,High,Low
10/23/2023,$43.19,878652,$43.00,$43.84,$42.54
10/20/2023,$43.04,1223680,$43.79,$43.95,$42.91
10/19/2023,$43.58,714662,$44.05,$44.25,$43.40
10/18/2023,$44.22,1157168,$44.80,$44.91,$44.15
10/17/2023,$44.80,1687374,$44.33,$44.91,$44.0462
10/16/2023,$44.36,1321894,$43.40,$44.555,$43.12
10/13/2023,$43.09,1151046,$42.08,$43.135,$41.84
10/12/2023,$42.08,1252773,$43.00,$43.00,$41.50
10/11/2023,$42.87,826684,$42.11,$42.88,$42.04
10/10/2023,$41.89,1038755,$41.79,$42.2348,$41.73
10/09/2023,$41.75,1016514,$41.53,$42.1364,$41.19
10/06/2023,$41.75,1408000,$40.74,$41.94,$40.63
10/05/2023,$41.01,912179,$41.30,$41.61,$40.94
10/04/2023,$41.31,953676,$41.06,$42.09,$40.625
10/03/2023,$41.03,1239379,$40.92,$41.115,$40.5737
10/02/2023,$40.99,977599,$41.03,$41.34,$40.87
09/29/2023,$41.23,1146806,$40.97,$41.36,$40.78
09/28/2023,$40.83,848072,$40.12,$40.83,$39.90
09/27/2023,$40.14,871661,$40.73,$40.96,$39.91
09/26/2023,$40.54,792611,$40.97,$41.13,$40.46
09/25/2023,$41.09,946743,$40.77,$41.47,$40.62
09/22/2023,$41.03,821791,$40.78,$41.55,$40.48
09/21/2023,$40.74,892972,$40.36,$40.965,$40.14
09/20/2023,$40.65,1150257,$40.69,$41.14,$40.25
09/19/2023,$40.48,1334212,$40.17,$40.8179,$40.17
09/18/2023,$40.32,786788,$40.62,$40.765,$40.02
09/15/2023,$40.68,2258367,$41.26,$41.36,$40.60
09/14/2023,$41.48,906159,$41.05,$41.55,$41.05
09/13/2023,$41.03,796127,$40.96,$41.14,$40.77
09/12/2023,$40.85,992706,$40.75,$41.02,$40.31
09/11/2023,$40.90,1059260,$41.03,$41.45,$40.83
09/08/2023,$40.73,670722,$40.63,$41.10,$40.515
09/07/2023,$40.65,741421,$40.98,$41.04,$40.44
09/06/2023,$40.85,689989,$40.71,$41.10,$40.55
09/05/2023,$40.85,1192249,$40.96,$41.2412,$40.2028
09/01/2023,$41.39,734421,$41.81,$41.998,$41.20
08/31/2023,$41.50,2435183,$41.12,$41.66,$40.73
08/30/2023,$41.19,526689,$41.03,$41.275,$40.87
08/29/2023,$41.10,776863,$40.40,$41.24,$40.29
08/28/2023,$40.46,797815,$40.53,$40.865,$40.115
08/25/2023,$40.53,834201,$40.00,$40.71,$39.67
08/24/2023,$39.91,979027,$40.83,$41.02,$39.90
08/23/2023,$40.84,855639,$40.42,$41.07,$40.20
08/22/2023,$40.17,1491423,$39.26,$40.32,$39.15
