Date,Close/Last,Volume,Open,High,Low
01/05/2024,$22.58,2759633,$22.56,$22.86,$22.45
01/04/2024,$22.74,2358359,$22.64,$22.875,$22.54
01/03/2024,$22.67,2300693,$23.02,$23.02,$22.54
01/02/2024,$23.22,1933423,$22.94,$23.42,$22.83
12/29/2023,$23.27,2073815,$23.59,$23.60,$23.27
12/28/2023,$23.67,1439079,$23.42,$23.69,$23.38
12/27/2023,$23.55,1371356,$23.64,$23.64,$23.375
12/26/2023,$23.57,1342107,$23.50,$23.64,$23.38
12/22/2023,$23.43,1731965,$23.61,$23.69,$23.41
12/21/2023,$23.42,3059092,$23.50,$23.50,$23.17
12/20/2023,$23.25,2967388,$23.39,$23.76,$23.245
12/19/2023,$23.35,2222570,$23.55,$23.60,$23.31
12/18/2023,$23.38,1957769,$23.62,$23.645,$23.38
12/15/2023,$23.55,5172515,$24.23,$24.29,$23.375
12/14/2023,$24.14,4096730,$24.00,$24.47,$23.945
12/13/2023,$23.66,2027528,$22.65,$23.79,$22.62
12/12/2023,$22.64,1876849,$22.88,$22.90,$22.63
12/11/2023,$22.85,2033575,$22.64,$22.86,$22.585
12/08/2023,$22.71,2746048,$22.56,$22.73,$22.205
12/07/2023,$22.60,2461191,$22.53,$22.75,$22.4011
12/06/2023,$22.52,4283921,$22.66,$22.85,$22.40
12/05/2023,$22.55,3224869,$22.51,$22.56,$22.31
12/04/2023,$22.60,3098047,$21.90,$22.64,$21.88
12/01/2023,$21.95,2936230,$21.46,$22.105,$21.36
11/30/2023,$21.52,2712346,$21.36,$21.56,$21.28
11/29/2023,$21.32,2441293,$21.65,$21.77,$21.30
11/28/2023,$21.45,1563067,$21.33,$21.52,$21.16
11/27/2023,$21.43,1699846,$21.31,$21.65,$21.22
11/24/2023,$21.38,773878,$21.32,$21.47,$21.185
11/22/2023,$21.40,995058,$21.48,$21.567,$21.32
11/21/2023,$21.26,2517822,$21.45,$21.48,$21.175
11/20/2023,$21.60,2411755,$21.62,$21.62,$21.39
11/17/2023,$21.66,1878567,$21.71,$21.79,$21.46
11/16/2023,$21.44,2935416,$21.92,$22.01,$21.42
11/15/2023,$21.93,1426354,$21.96,$22.17,$21.80
11/14/2023,$22.07,2444964,$21.47,$22.395,$21.45
11/13/2023,$20.77,1009072,$20.94,$20.9799,$20.69
11/10/2023,$21.05,1541441,$20.98,$21.09,$20.775
11/09/2023,$20.85,1403466,$21.41,$21.44,$20.76
11/08/2023,$21.35,2051393,$21.14,$21.38,$21.04
11/07/2023,$21.08,1965488,$21.30,$21.37,$21.025
11/06/2023,$21.37,2668688,$21.67,$21.68,$21.165
11/03/2023,$21.74,2944841,$21.82,$22.065,$21.715
11/02/2023,$21.37,2404101,$21.48,$21.59,$21.31
11/01/2023,$21.09,3024777,$20.80,$21.21,$20.76
10/31/2023,$20.79,3249309,$20.36,$20.925,$20.02
10/30/2023,$20.16,2247041,$20.04,$20.255,$19.875
10/27/2023,$19.89,2000575,$20.42,$20.42,$19.785
10/26/2023,$20.30,3006782,$19.66,$20.44,$19.63
10/25/2023,$19.59,1901605,$19.81,$19.96,$19.55
10/24/2023,$19.96,2166199,$19.89,$20.06,$19.755
10/23/2023,$19.71,2425614,$19.90,$20.075,$19.70
10/20/2023,$20.08,2095217,$20.35,$20.47,$20.07
10/19/2023,$20.28,2728244,$20.39,$20.74,$20.205
10/18/2023,$20.55,1600107,$20.88,$20.90,$20.44
10/17/2023,$20.93,5500314,$20.31,$21.19,$20.27
10/16/2023,$20.47,3740968,$20.42,$20.66,$20.245
10/13/2023,$20.20,3317781,$20.60,$20.66,$20.005
10/12/2023,$20.49,1876565,$20.80,$20.80,$20.40
10/11/2023,$20.88,1760992,$20.56,$20.89,$20.495
10/10/2023,$20.42,2388375,$20.20,$20.54,$20.06
10/09/2023,$20.18,2297712,$19.77,$20.31,$19.76
10/06/2023,$19.89,3931778,$20.05,$20.24,$19.7625
10/05/2023,$20.19,3571955,$20.02,$20.20,$19.815
10/04/2023,$20.07,2384087,$19.79,$20.09,$19.555
10/03/2023,$19.74,3642191,$20.04,$20.04,$19.46
10/02/2023,$20.15,1801250,$20.43,$20.63,$19.96
09/29/2023,$20.78,3604086,$21.19,$21.24,$20.595
09/28/2023,$20.89,3101563,$20.96,$21.205,$20.83
09/27/2023,$20.83,3054508,$21.00,$21.25,$20.73
09/26/2023,$20.91,2213174,$21.15,$21.275,$20.80
09/25/2023,$21.37,2565726,$21.28,$21.445,$21.215
09/22/2023,$21.40,1736273,$21.75,$21.835,$21.40
09/21/2023,$21.68,2041347,$22.04,$22.04,$21.67
09/20/2023,$22.19,1467332,$22.52,$22.715,$22.18
09/19/2023,$22.34,1854315,$22.49,$22.62,$22.32
09/18/2023,$22.49,1320875,$22.86,$22.89,$22.46
09/15/2023,$22.90,4085020,$22.79,$23.015,$22.77
09/14/2023,$22.99,1648808,$22.58,$23.01,$22.46
09/13/2023,$22.36,3600000,$22.46,$22.55,$22.25
09/12/2023,$22.48,3505262,$22.06,$22.515,$22.03
09/11/2023,$22.08,1527596,$22.11,$22.205,$21.87
09/08/2023,$22.04,2330959,$21.92,$22.13,$21.84
09/07/2023,$21.93,2539602,$21.82,$22.045,$21.765
09/06/2023,$21.88,1929028,$21.61,$21.89,$21.55
09/05/2023,$21.67,3541662,$22.05,$22.06,$21.63
09/01/2023,$21.99,2243410,$22.12,$22.245,$21.88
08/31/2023,$21.98,2339439,$22.07,$22.14,$21.87
08/30/2023,$22.10,1820928,$22.01,$22.145,$21.94
08/29/2023,$22.00,1572754,$21.72,$22.035,$21.57
08/28/2023,$21.67,2275921,$21.41,$21.87,$21.36
08/25/2023,$21.37,2541137,$21.41,$21.57,$21.29
08/24/2023,$21.34,1692813,$21.41,$21.73,$21.31
08/23/2023,$21.47,2276342,$21.06,$21.505,$20.97
08/22/2023,$20.97,1744107,$21.17,$21.27,$20.90
08/21/2023,$21.04,1286923,$21.50,$21.54,$20.955
08/18/2023,$21.58,2290638,$21.32,$21.625,$21.32
08/17/2023,$21.53,1189707,$21.87,$22.00,$21.495
08/16/2023,$21.84,1942716,$22.57,$22.615,$21.83
08/15/2023,$22.21,1409015,$22.41,$22.41,$22.185
08/14/2023,$22.58,1722531,$22.73,$22.87,$22.455
08/11/2023,$22.82,1396035,$22.76,$22.90,$22.72
08/10/2023,$22.91,1664411,$23.07,$23.295,$22.83
08/09/2023,$22.96,1816110,$22.57,$23.105,$22.45
08/08/2023,$22.61,1762898,$22.51,$22.645,$22.36
08/07/2023,$22.78,1683585,$22.59,$22.82,$22.505
08/04/2023,$22.51,1811330,$22.39,$22.92,$22.34
08/03/2023,$22.48,2548971,$22.46,$22.505,$22.22
08/02/2023,$22.55,3568223,$22.47,$22.57,$22.13
08/01/2023,$22.67,3075543,$22.45,$22.695,$22.03
07/31/2023,$22.74,2238647,$22.59,$22.80,$22.50
07/28/2023,$22.51,1545815,$22.62,$22.75,$22.445
07/27/2023,$22.41,3812660,$23.08,$23.21,$22.405
07/26/2023,$22.96,1961803,$22.74,$23.00,$22.71
07/25/2023,$22.74,1877827,$23.08,$23.245,$22.68
07/24/2023,$23.13,1214394,$23.10,$23.30,$23.05
07/21/2023,$23.14,1556182,$23.24,$23.32,$22.98
07/20/2023,$23.10,1542186,$23.12,$23.14,$22.80
07/19/2023,$23.01,2303532,$22.80,$23.06,$22.67
07/18/2023,$22.66,2018023,$22.66,$22.72,$22.33
07/17/2023,$22.65,1199677,$22.46,$22.71,$22.39
07/14/2023,$22.52,1649496,$22.54,$22.62,$22.40
07/13/2023,$22.60,2398282,$22.49,$22.64,$22.415
07/12/2023,$22.50,1966810,$22.68,$22.75,$22.495
07/11/2023,$22.40,1902760,$22.08,$22.42,$21.93
07/10/2023,$21.96,1359848,$21.89,$21.99,$21.745
07/07/2023,$21.88,1535645,$21.93,$22.18,$21.855
07/06/2023,$22.01,1228987,$21.67,$22.05,$21.52
07/05/2023,$22.02,2173282,$21.97,$22.23,$21.665
07/03/2023,$22.02,854031,$21.74,$22.11,$21.72
06/30/2023,$22.00,2923260,$22.20,$22.24,$21.70
06/29/2023,$21.98,2219449,$21.44,$22.00,$21.35
06/28/2023,$21.45,2686057,$21.61,$21.69,$21.37
06/27/2023,$21.69,1780589,$21.35,$21.73,$21.27
06/26/2023,$21.26,1480308,$20.81,$21.355,$20.76
06/23/2023,$20.77,2212491,$21.05,$21.12,$20.71
06/22/2023,$21.17,1739570,$21.33,$21.375,$20.82
06/21/2023,$21.32,2516388,$21.36,$21.48,$21.185
06/20/2023,$21.47,3815844,$21.74,$21.80,$21.38
06/16/2023,$21.80,3401276,$21.74,$21.82,$21.57
06/15/2023,$21.61,1653053,$21.49,$21.61,$21.28
06/14/2023,$21.56,1486446,$21.71,$21.84,$21.34
06/13/2023,$21.56,1502009,$21.50,$21.79,$21.46
06/12/2023,$21.51,1357745,$21.47,$21.565,$21.315
06/09/2023,$21.47,1209769,$21.38,$21.49,$21.235
06/08/2023,$21.34,1950906,$21.46,$21.68,$21.16
06/07/2023,$21.64,2405683,$20.99,$21.72,$20.89
06/06/2023,$20.82,1523215,$20.57,$20.895,$20.54
06/05/2023,$20.51,2851132,$20.55,$20.81,$20.375
06/02/2023,$20.70,3164940,$20.20,$20.77,$20.185
06/01/2023,$19.92,2037526,$20.10,$20.10,$19.765
05/31/2023,$20.03,4210174,$19.85,$20.10,$19.64
05/30/2023,$19.82,3108531,$19.80,$19.87,$19.60
05/26/2023,$19.73,2180544,$19.62,$19.76,$19.47
05/25/2023,$19.63,2889459,$19.91,$19.93,$19.40
05/24/2023,$20.01,2787846,$20.11,$20.16,$19.79
05/23/2023,$20.31,1560847,$20.55,$20.78,$20.29
05/22/2023,$20.57,1112168,$20.26,$20.655,$20.235
05/19/2023,$20.26,1987748,$20.58,$20.645,$20.11
05/18/2023,$20.40,1868995,$20.50,$20.655,$20.24
05/17/2023,$20.65,1277969,$20.26,$20.665,$20.195
05/16/2023,$20.09,1904696,$20.93,$20.93,$20.09
05/15/2023,$20.90,1369669,$20.76,$21.07,$20.65
05/12/2023,$20.64,1003740,$20.52,$20.65,$20.36
05/11/2023,$20.52,2875635,$20.52,$20.65,$20.32
05/10/2023,$20.70,1951529,$21.04,$21.108,$20.575
05/09/2023,$20.81,1572355,$21.00,$21.00,$20.57
05/08/2023,$21.18,2124878,$21.32,$21.34,$20.94
05/05/2023,$21.36,2781563,$21.17,$21.375,$21.01
05/04/2023,$20.97,1762096,$20.88,$21.05,$20.615
05/03/2023,$20.91,2132832,$21.26,$21.41,$20.90
05/02/2023,$21.09,3632001,$21.02,$21.58,$20.86
05/01/2023,$21.10,1879036,$21.22,$21.41,$21.05
04/28/2023,$21.33,2927018,$20.93,$21.48,$20.845
04/27/2023,$20.88,2040572,$20.39,$20.95,$20.39
04/26/2023,$20.39,1760525,$20.65,$20.75,$20.33
04/25/2023,$20.63,2564601,$20.41,$20.65,$20.285
04/24/2023,$20.48,1653592,$20.66,$20.79,$20.35
04/21/2023,$20.69,1745498,$20.64,$20.74,$20.39
04/20/2023,$20.52,1637748,$20.51,$20.66,$20.415
04/19/2023,$20.72,1826745,$20.51,$20.79,$20.42
04/18/2023,$20.66,1937509,$20.73,$20.795,$20.595
04/17/2023,$20.74,1363171,$20.44,$20.755,$20.36
04/14/2023,$20.35,1637020,$20.63,$20.74,$20.185
04/13/2023,$20.53,1568968,$20.53,$20.595,$20.185
04/12/2023,$20.52,1495047,$21.14,$21.17,$20.50
04/11/2023,$20.88,2095571,$20.93,$21.07,$20.815
04/10/2023,$20.85,1875886,$20.75,$20.945,$20.495
04/06/2023,$20.78,1683685,$20.96,$20.96,$20.56
04/05/2023,$20.84,3022882,$20.91,$20.99,$20.69
04/04/2023,$21.04,2837270,$21.23,$21.33,$20.83
04/03/2023,$21.29,2042615,$21.26,$21.585,$21.08
03/31/2023,$21.52,3414213,$21.16,$21.54,$20.99
03/30/2023,$20.96,1416256,$20.97,$21.15,$20.895
03/29/2023,$20.71,1453470,$20.66,$20.78,$20.49
03/28/2023,$20.41,1612673,$20.24,$20.52,$20.15
03/27/2023,$20.38,2204254,$20.56,$20.66,$20.335
03/24/2023,$20.28,2823476,$19.58,$20.37,$19.58
