Date,Close/Last,Volume,Open,High,Low
01/05/2024,$58.16,6020532,$57.99,$58.475,$57.79
01/04/2024,$58.17,6083477,$57.66,$58.52,$57.58
01/03/2024,$57.60,6593969,$57.90,$58.14,$57.33
01/02/2024,$57.84,6775540,$57.46,$57.99,$57.11
12/29/2023,$57.81,10667450,$57.00,$58.34,$56.77
12/28/2023,$56.28,3382432,$55.98,$56.47,$55.85
12/27/2023,$56.02,3186590,$55.86,$56.085,$55.75
12/26/2023,$55.99,2834287,$55.82,$56.18,$55.685
12/22/2023,$55.90,5404295,$55.85,$56.03,$55.60
12/21/2023,$55.65,5138564,$55.20,$55.70,$54.955
12/20/2023,$54.98,5843955,$55.56,$55.73,$54.95
12/19/2023,$55.82,5898163,$55.40,$55.87,$55.195
12/18/2023,$55.51,6317604,$55.80,$56.03,$55.45
12/15/2023,$55.81,10461310,$55.79,$56.04,$55.10
12/14/2023,$56.18,8267793,$56.89,$56.90,$55.785
12/13/2023,$56.48,6764536,$56.04,$56.545,$55.94
12/12/2023,$55.95,4625547,$55.41,$55.98,$55.135
12/11/2023,$55.26,3653377,$54.86,$55.33,$54.86
12/08/2023,$54.95,4300356,$54.87,$55.05,$54.52
12/07/2023,$55.03,4027818,$54.98,$55.13,$54.67
12/06/2023,$54.82,4837545,$55.03,$55.22,$54.31
12/05/2023,$54.88,5393248,$54.59,$55.01,$53.93
12/04/2023,$54.77,9420893,$55.85,$55.85,$54.52
12/01/2023,$56.14,4730456,$55.92,$56.215,$55.57
11/30/2023,$55.89,8346178,$55.46,$55.95,$54.94
11/29/2023,$55.44,4780411,$55.18,$55.64,$55.095
11/28/2023,$54.93,6450749,$55.56,$55.74,$54.91
11/27/2023,$55.69,5313739,$55.33,$55.82,$55.26
11/24/2023,$55.63,2476836,$55.50,$55.68,$55.20
11/22/2023,$55.43,5601118,$55.58,$55.83,$55.32
11/21/2023,$55.32,7228661,$54.66,$55.35,$54.475
11/20/2023,$54.46,4708685,$54.06,$54.58,$54.05
11/17/2023,$54.34,5200225,$54.70,$55.02,$54.195
11/16/2023,$54.67,10876000,$53.95,$54.90,$53.56
11/15/2023,$53.85,5759851,$54.01,$54.56,$53.84
11/14/2023,$54.02,6031360,$54.11,$54.37,$53.67
11/13/2023,$53.71,12619450,$53.50,$54.70,$52.99
11/10/2023,$51.56,7496222,$51.65,$51.86,$50.84
11/09/2023,$51.43,7135166,$52.05,$52.16,$51.315
11/08/2023,$52.11,6989884,$52.44,$52.52,$51.7343
11/07/2023,$52.17,6559534,$52.77,$52.92,$52.08
11/06/2023,$52.81,6054746,$52.61,$52.83,$52.165
11/03/2023,$52.53,9440527,$53.00,$53.10,$52.09
11/02/2023,$52.52,9901422,$51.96,$52.66,$51.80
11/01/2023,$51.66,7156141,$51.29,$51.845,$51.03
10/31/2023,$51.19,10120640,$50.40,$51.46,$50.26
10/30/2023,$50.05,8448179,$49.82,$50.355,$49.555
10/27/2023,$49.52,7452165,$50.27,$50.84,$49.145
10/26/2023,$49.78,12274230,$50.75,$51.90,$49.77
10/25/2023,$49.99,9612339,$50.86,$51.12,$49.95
10/24/2023,$50.96,10162430,$50.04,$51.23,$49.97
10/23/2023,$50.13,5745312,$50.03,$50.64,$49.99
10/20/2023,$50.05,6090909,$50.55,$50.80,$50.03
10/19/2023,$50.55,8528333,$50.70,$51.43,$50.49
10/18/2023,$50.71,7164662,$51.35,$51.38,$50.12
10/17/2023,$50.46,7423868,$49.73,$51.035,$49.49
10/16/2023,$50.10,7146982,$49.81,$50.62,$49.51
10/13/2023,$49.52,11188400,$48.46,$49.72,$48.35
10/12/2023,$48.64,19234740,$50.90,$51.035,$48.57
10/11/2023,$50.91,17763740,$53.56,$53.78,$50.25
10/10/2023,$53.80,10592690,$52.46,$53.98,$52.30
10/09/2023,$52.40,5006654,$51.83,$52.455,$51.80
10/06/2023,$52.12,6319143,$51.50,$52.50,$51.25
10/05/2023,$51.68,5477081,$51.67,$51.94,$51.275
10/04/2023,$51.55,10035700,$51.70,$51.90,$51.00
10/03/2023,$51.54,8414792,$52.66,$52.80,$51.25
10/02/2023,$52.81,5259833,$52.49,$52.81,$52.27
09/29/2023,$52.80,11501700,$53.46,$53.46,$52.695
09/28/2023,$53.37,6579614,$52.42,$53.50,$52.14
09/27/2023,$52.10,8483273,$52.78,$53.16,$51.54
09/26/2023,$52.83,7656016,$53.48,$53.89,$52.695
