Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.28,3434119,$30.23,$30.42,$30.12
01/04/2024,$30.13,3731824,$30.00,$30.335,$29.93
01/03/2024,$29.89,4327559,$29.68,$29.965,$29.535
01/02/2024,$29.80,6277617,$29.20,$29.985,$29.175
12/29/2023,$29.29,3690681,$29.20,$29.35,$29.14
12/28/2023,$29.23,3534300,$29.24,$29.325,$29.18
12/27/2023,$29.33,5851015,$29.23,$29.36,$29.17
12/26/2023,$29.18,3508563,$29.10,$29.245,$29.0116
12/22/2023,$29.15,4870257,$29.18,$29.33,$29.11
12/21/2023,$29.08,8450378,$29.04,$29.35,$28.88
12/20/2023,$29.49,7397839,$29.81,$29.83,$29.49
12/19/2023,$29.89,6444553,$29.70,$29.90,$29.64
12/18/2023,$29.59,5905147,$29.51,$29.65,$29.45
12/15/2023,$29.40,6621215,$29.63,$29.75,$29.36
12/14/2023,$29.97,7177317,$30.00,$30.33,$29.86
12/13/2023,$29.62,5457466,$28.80,$29.63,$28.665
12/12/2023,$28.95,5354843,$28.79,$28.97,$28.68
12/11/2023,$28.93,7873803,$28.98,$29.08,$28.755
12/08/2023,$29.13,6443266,$29.28,$29.42,$29.12
12/07/2023,$29.38,9367211,$28.90,$29.42,$28.885
12/06/2023,$28.86,20577740,$28.69,$29.16,$28.35
12/05/2023,$31.54,4841822,$31.55,$31.70,$31.30
12/04/2023,$31.93,3115875,$31.80,$32.10,$31.76
12/01/2023,$32.04,3512794,$31.57,$32.05,$31.55
11/30/2023,$31.89,2674815,$32.02,$32.06,$31.74
11/29/2023,$31.88,3337821,$32.22,$32.27,$31.8601
11/28/2023,$32.41,4365269,$32.24,$32.51,$32.2001
11/27/2023,$32.32,4783910,$32.25,$32.33,$32.10
11/24/2023,$32.33,3642568,$32.11,$32.34,$32.11
11/22/2023,$32.05,3230891,$31.82,$32.06,$31.72
11/21/2023,$31.80,3391624,$31.69,$31.84,$31.59
11/20/2023,$31.71,2619491,$31.39,$31.75,$31.35
11/17/2023,$31.46,2180728,$31.35,$31.56,$31.18
11/16/2023,$31.19,2702822,$31.13,$31.2998,$31.04
11/15/2023,$31.37,2132915,$31.40,$31.485,$31.24
11/14/2023,$31.43,3492771,$31.28,$31.52,$31.215
11/13/2023,$31.11,6983227,$30.86,$31.265,$30.68
11/10/2023,$30.50,4767664,$30.55,$30.60,$30.00
11/09/2023,$30.85,3155100,$30.99,$31.1256,$30.8109
11/08/2023,$30.98,3027076,$31.08,$31.17,$30.83
11/07/2023,$30.99,4438786,$31.18,$31.18,$30.885
11/06/2023,$31.03,3075514,$31.16,$31.18,$30.975
11/03/2023,$31.09,2635591,$31.12,$31.255,$31.0432
11/02/2023,$30.71,2725897,$30.28,$30.72,$30.21
11/01/2023,$30.07,2806267,$30.15,$30.3191,$29.99
10/31/2023,$29.86,4089775,$29.88,$29.94,$29.675
10/30/2023,$29.84,4289924,$29.77,$29.88,$29.64
10/27/2023,$28.97,4704124,$29.53,$29.555,$28.92
10/26/2023,$29.63,6015211,$29.88,$29.992,$29.5531
10/25/2023,$29.86,2461307,$29.70,$29.995,$29.68
10/24/2023,$29.73,3069806,$29.75,$29.88,$29.61
10/23/2023,$29.80,3566981,$29.90,$30.03,$29.77
10/20/2023,$29.82,4331318,$29.81,$29.99,$29.71
10/19/2023,$30.02,4149734,$30.13,$30.37,$29.96
10/18/2023,$30.30,3534679,$30.38,$30.62,$30.26
10/17/2023,$30.49,3171627,$30.28,$30.52,$30.215
10/16/2023,$30.44,4271804,$30.16,$30.47,$30.04
10/13/2023,$29.78,7722074,$29.66,$29.982,$29.65
10/12/2023,$30.08,13476670,$31.36,$31.38,$29.605
10/11/2023,$31.28,2980216,$31.32,$31.41,$31.15
10/10/2023,$31.03,3856168,$31.10,$31.27,$31.00
10/09/2023,$30.74,2761177,$30.54,$30.84,$30.52
10/06/2023,$30.50,4976946,$30.40,$30.605,$29.88
10/05/2023,$30.51,5945354,$30.46,$30.71,$30.3716
10/04/2023,$30.07,5555894,$30.27,$30.28,$29.80
10/03/2023,$30.19,4510124,$30.52,$30.52,$30.17
10/02/2023,$30.69,5643744,$31.25,$31.26,$30.6099
09/29/2023,$31.41,3168216,$31.69,$31.71,$31.31
09/28/2023,$31.38,4149819,$31.37,$31.47,$31.135
09/27/2023,$31.85,5005876,$32.09,$32.095,$31.77
09/26/2023,$32.05,3749002,$32.24,$32.35,$32.05
09/25/2023,$32.16,6611299,$32.32,$32.32,$31.99
09/22/2023,$33.30,3324501,$33.50,$33.53,$33.17
09/21/2023,$33.50,2542437,$33.62,$33.6882,$33.45
09/20/2023,$33.80,2090888,$33.89,$34.075,$33.80
09/19/2023,$33.69,2293759,$33.78,$33.96,$33.69
09/18/2023,$33.64,2697339,$33.75,$33.75,$33.49
09/15/2023,$33.43,2642790,$33.61,$33.75,$33.42
09/14/2023,$33.89,2251287,$33.57,$33.89,$33.54
09/13/2023,$33.49,1751471,$33.55,$33.595,$33.41
09/12/2023,$33.49,3182106,$33.32,$33.55,$33.31
09/11/2023,$33.16,2450675,$33.02,$33.32,$32.90
09/08/2023,$32.55,1842945,$32.31,$32.55,$32.25
09/07/2023,$32.32,2373747,$32.34,$32.47,$32.2199
09/06/2023,$32.32,3909707,$32.37,$32.479,$32.21
09/05/2023,$32.56,2879153,$32.74,$32.94,$32.56
09/01/2023,$32.94,3603094,$33.32,$33.36,$32.81
08/31/2023,$33.20,2669807,$33.45,$33.62,$33.16
08/30/2023,$33.50,2454857,$33.40,$33.575,$33.38
08/29/2023,$33.16,2100545,$33.04,$33.18,$32.905
08/28/2023,$32.90,1769293,$32.75,$32.99,$32.75
08/25/2023,$32.65,2150209,$32.75,$32.80,$32.49
08/24/2023,$32.53,3132342,$32.40,$32.74,$32.40
08/23/2023,$32.57,2562006,$32.27,$32.57,$32.25
08/22/2023,$32.21,3214500,$32.32,$32.33,$32.165
08/21/2023,$32.12,3012844,$32.14,$32.185,$32.00
08/18/2023,$32.17,3714276,$31.98,$32.26,$31.93
08/17/2023,$31.70,2538659,$31.76,$31.868,$31.63
08/16/2023,$31.66,2982828,$31.65,$31.85,$31.6225
08/15/2023,$31.82,3044561,$32.14,$32.14,$31.81
08/14/2023,$32.35,2768776,$32.36,$32.47,$32.21
08/11/2023,$32.44,3462807,$32.40,$32.4807,$32.25
08/10/2023,$32.80,2477977,$32.89,$33.10,$32.80
08/09/2023,$32.78,2508876,$32.70,$32.98,$32.69
08/08/2023,$32.69,2791089,$32.64,$32.715,$32.35
08/07/2023,$32.74,2255284,$32.57,$32.79,$32.54
08/04/2023,$32.58,3052448,$32.58,$32.865,$32.54
08/03/2023,$32.82,2680217,$32.61,$32.925,$32.43
08/02/2023,$32.98,3582864,$33.00,$33.09,$32.75
08/01/2023,$33.32,2913230,$33.52,$33.625,$33.25
07/31/2023,$33.68,3736809,$33.54,$33.94,$33.51
07/28/2023,$33.96,2364598,$33.96,$34.1188,$33.86
07/27/2023,$33.90,3454698,$33.77,$34.10,$33.73
07/26/2023,$33.91,4739562,$34.03,$34.15,$33.84
07/25/2023,$33.87,2244351,$34.00,$34.00,$33.68
07/24/2023,$33.96,2677658,$33.88,$34.12,$33.87
07/21/2023,$34.11,3719689,$34.23,$34.245,$33.845
07/20/2023,$34.22,4911601,$34.02,$34.28,$33.95
07/19/2023,$33.79,3400877,$33.54,$33.87,$33.49
07/18/2023,$33.09,3070285,$33.15,$33.33,$33.05
07/17/2023,$32.88,4257703,$33.06,$33.0885,$32.83
07/14/2023,$33.05,3555323,$33.32,$33.33,$32.99
07/13/2023,$33.10,3721571,$33.19,$33.27,$33.03
07/12/2023,$33.73,6184486,$33.48,$33.7695,$33.43
07/11/2023,$33.24,3800771,$32.93,$33.27,$32.87
07/10/2023,$32.83,4373357,$33.05,$33.17,$32.79
07/07/2023,$33.05,2801035,$32.92,$33.2189,$32.82
07/06/2023,$32.97,3476887,$32.98,$33.00,$32.735
