Date,Close/Last,Volume,Open,High,Low
10/23/2023,$33.25,618148,$32.94,$34.13,$32.17
10/20/2023,$33.00,953203,$33.22,$33.52,$31.87
10/19/2023,$33.62,903152,$34.00,$34.3704,$33.22
10/18/2023,$33.78,870161,$35.01,$35.3597,$33.38
10/17/2023,$35.06,1233496,$33.91,$35.20,$33.34
10/16/2023,$33.98,1035167,$33.30,$34.44,$32.34
10/13/2023,$33.14,1517750,$31.39,$33.28,$31.39
10/12/2023,$31.51,1416305,$32.50,$32.50,$31.22
10/11/2023,$32.55,2612639,$33.50,$34.55,$31.58
10/10/2023,$32.08,1212360,$31.75,$32.62,$30.94
10/09/2023,$31.41,1003939,$30.66,$31.67,$30.54
10/06/2023,$31.61,1655649,$30.63,$32.15,$30.0901
10/05/2023,$30.63,1337315,$31.03,$31.6938,$30.01
10/04/2023,$31.26,1298366,$30.00,$31.27,$29.05
10/03/2023,$29.98,1179544,$30.71,$30.738,$29.30
10/02/2023,$31.00,1179928,$30.40,$31.10,$29.77
09/29/2023,$30.63,1154751,$31.64,$32.2062,$30.11
09/28/2023,$31.19,1408624,$31.39,$31.69,$29.917
09/27/2023,$31.42,1227956,$32.19,$32.63,$31.37
09/26/2023,$32.29,1501377,$31.96,$33.4999,$31.735
09/25/2023,$32.42,1877721,$30.88,$32.68,$30.6501
09/22/2023,$30.89,1047057,$30.56,$31.36,$30.39
09/21/2023,$30.39,2079041,$31.08,$31.6999,$30.39
09/20/2023,$31.73,1271132,$33.32,$33.8881,$31.68
09/19/2023,$33.30,2133020,$34.09,$34.2578,$32.20
09/18/2023,$34.36,1085326,$35.00,$35.42,$34.13
09/15/2023,$35.42,4204691,$35.73,$35.9553,$34.42
09/14/2023,$36.06,1347526,$36.00,$36.70,$35.00
09/13/2023,$35.64,2056056,$35.50,$37.09,$34.88
09/12/2023,$35.99,4154700,$36.94,$37.2398,$35.87
09/11/2023,$37.56,1916956,$39.37,$39.58,$37.43
09/08/2023,$39.18,1385851,$40.96,$41.4499,$39.02
09/07/2023,$41.01,1653492,$41.90,$41.90,$40.32
09/06/2023,$42.53,800993,$42.06,$43.1769,$41.70
09/05/2023,$42.15,1457505,$43.30,$43.8164,$41.93
09/01/2023,$43.82,569986,$44.95,$45.37,$43.485
08/31/2023,$44.41,945102,$45.71,$45.9329,$44.13
08/30/2023,$45.50,1273927,$44.50,$46.10,$43.55
08/29/2023,$44.60,2244185,$41.76,$44.97,$41.6001
08/28/2023,$41.93,1016477,$41.62,$43.20,$41.40
08/25/2023,$41.62,1044459,$43.11,$43.44,$41.58
08/24/2023,$42.65,1345410,$44.80,$44.88,$41.82
08/23/2023,$44.84,2098589,$42.50,$45.63,$42.30
08/22/2023,$42.75,1159668,$41.75,$42.88,$40.61
08/21/2023,$41.69,1215306,$42.95,$43.78,$41.64
08/18/2023,$43.11,1939848,$42.00,$43.98,$40.89
08/17/2023,$42.37,3611636,$47.25,$47.39,$42.15
08/16/2023,$46.93,8425423,$49.50,$51.16,$44.57
08/15/2023,$46.39,2356620,$47.08,$48.467,$45.85
08/14/2023,$47.85,966801,$48.58,$48.877,$46.6201
08/11/2023,$48.48,621873,$47.75,$49.20,$47.71
08/10/2023,$48.09,872504,$48.20,$50.72,$47.87
08/09/2023,$48.06,964349,$50.51,$50.84,$47.51
08/08/2023,$50.51,1081843,$52.20,$52.20,$49.715
08/07/2023,$52.96,621050,$53.68,$54.22,$52.06
08/04/2023,$53.44,925594,$56.55,$56.81,$52.82
08/03/2023,$55.68,714208,$55.38,$57.16,$54.77
08/02/2023,$55.32,1473197,$56.00,$58.10,$54.15
08/01/2023,$56.99,957847,$56.39,$57.74,$54.50
07/31/2023,$57.11,2370310,$53.67,$57.29,$53.1103
07/28/2023,$52.91,844921,$50.525,$53.10,$50.25
07/27/2023,$49.88,1323682,$51.69,$53.249,$49.60
07/26/2023,$51.63,898269,$51.80,$52.50,$50.25
07/25/2023,$51.85,1687171,$53.23,$53.45,$51.06
07/24/2023,$53.28,2097145,$49.33,$53.3259,$49.10
07/21/2023,$48.78,865286,$49.75,$49.75,$47.65
07/20/2023,$49.56,1191328,$48.22,$50.43,$48.22
07/19/2023,$48.52,1813867,$51.84,$51.94,$47.89
07/18/2023,$51.02,1908151,$47.62,$51.49,$47.25
07/17/2023,$47.62,1261977,$47.67,$49.71,$46.54
07/14/2023,$47.67,2043090,$47.20,$49.24,$45.855
07/13/2023,$47.68,5134282,$54.22,$54.86,$46.82
07/12/2023,$52.01,4431306,$47.44,$52.25,$46.215
07/11/2023,$45.45,3043860,$45.80,$47.00,$43.37
07/10/2023,$44.00,2520176,$40.51,$44.10,$40.51
07/07/2023,$39.62,916878,$39.52,$41.60,$38.75
07/06/2023,$39.20,1305722,$37.43,$40.40,$37.26
07/05/2023,$38.04,1650293,$38.97,$39.43,$37.07
07/03/2023,$39.48,1574747,$41.00,$41.0645,$38.45
06/30/2023,$40.95,1947364,$43.70,$44.50,$40.29
06/29/2023,$43.53,947471,$42.69,$44.20,$42.6292
06/28/2023,$42.21,1984580,$45.55,$45.55,$41.23
