Date,Close/Last,Volume,Open,High,Low
01/05/2024,$64.61,1452411,$65.20,$65.41,$64.25
01/04/2024,$65.45,1219473,$65.73,$66.40,$65.43
01/03/2024,$65.76,1086293,$67.00,$67.00,$65.76
01/02/2024,$66.49,1898442,$66.58,$66.74,$66.229
12/29/2023,$66.74,1076999,$66.42,$66.94,$66.14
12/28/2023,$66.82,1197295,$66.59,$66.98,$66.57
12/27/2023,$66.74,954510,$66.21,$66.74,$66.0019
12/26/2023,$66.17,1070040,$65.89,$66.28,$65.66
12/22/2023,$65.94,1652977,$65.47,$66.23,$65.40
12/21/2023,$65.23,1875116,$65.00,$65.47,$64.75
12/20/2023,$64.47,3372909,$64.98,$65.27,$64.44
12/19/2023,$65.17,2740053,$65.42,$65.87,$64.97
12/18/2023,$65.15,2685191,$64.73,$65.2625,$64.021
12/15/2023,$64.69,30108910,$64.98,$65.245,$63.80
12/14/2023,$64.93,3150537,$64.76,$65.50,$64.65
12/13/2023,$65.31,2437179,$64.05,$65.43,$63.97
12/12/2023,$64.20,2507981,$63.60,$64.52,$62.93
12/11/2023,$63.39,3223675,$63.71,$63.945,$63.36
12/08/2023,$63.41,1424552,$63.58,$63.89,$63.205
12/07/2023,$64.02,2182133,$63.43,$64.25,$63.34
12/06/2023,$63.63,2249840,$62.31,$63.69,$62.00
12/05/2023,$62.28,1575376,$61.76,$62.30,$61.13
12/04/2023,$62.00,1739100,$61.33,$62.14,$60.90
12/01/2023,$60.33,974526,$60.44,$60.59,$59.89
11/30/2023,$60.64,2730659,$59.60,$60.68,$59.31
11/29/2023,$59.70,1259081,$60.47,$60.51,$59.45
11/28/2023,$60.04,2047945,$60.25,$60.555,$59.34
11/27/2023,$60.44,1369274,$61.07,$61.16,$60.29
11/24/2023,$61.24,693295,$61.07,$61.51,$61.03
11/22/2023,$61.01,927790,$61.10,$61.3918,$60.98
11/21/2023,$60.81,1122352,$61.20,$61.34,$60.765
11/20/2023,$61.01,1057671,$60.15,$61.20,$59.75
11/17/2023,$60.08,1069909,$60.11,$60.14,$59.65
11/16/2023,$60.16,919920,$60.07,$60.437,$59.64
11/15/2023,$61.53,1090207,$61.43,$61.56,$60.775
11/14/2023,$61.46,790674,$61.50,$61.59,$60.995
11/13/2023,$61.07,720042,$60.35,$61.49,$60.35
11/10/2023,$60.78,758820,$60.58,$60.88,$59.65
11/09/2023,$60.63,1084967,$61.25,$61.32,$60.44
11/08/2023,$60.77,1225394,$61.53,$61.53,$60.47
11/07/2023,$61.40,1884158,$60.64,$61.45,$60.51
11/06/2023,$60.67,1140744,$60.27,$60.95,$60.17
11/03/2023,$60.47,1411704,$60.86,$61.42,$60.465
11/02/2023,$60.19,1947792,$59.69,$60.23,$58.945
11/01/2023,$59.44,1894926,$57.62,$59.71,$57.48
10/31/2023,$58.51,1215994,$58.63,$58.89,$57.98
10/30/2023,$58.45,1072051,$58.40,$58.73,$58.25
10/27/2023,$57.92,527003,$58.46,$58.67,$57.72
10/26/2023,$58.64,963692,$58.82,$59.34,$58.54
10/25/2023,$58.78,812554,$58.91,$59.20,$58.58
10/24/2023,$58.66,1502087,$58.27,$59.00,$58.01
10/23/2023,$57.58,1485858,$56.80,$58.18,$56.45
10/20/2023,$57.12,1300273,$57.67,$58.045,$56.94
10/19/2023,$57.83,1313613,$57.95,$58.55,$57.29
10/18/2023,$57.82,1291163,$58.59,$58.84,$57.81
10/17/2023,$58.62,1258909,$58.26,$59.11,$58.165
10/16/2023,$58.33,1028882,$57.89,$58.80,$57.78
10/13/2023,$58.00,1155347,$57.40,$58.04,$57.23
10/12/2023,$57.75,1467033,$58.27,$58.28,$57.08
10/11/2023,$58.43,1636542,$58.71,$58.82,$57.77
10/10/2023,$58.73,1520780,$58.23,$59.03,$58.04
10/09/2023,$57.60,1762208,$58.43,$58.56,$57.01
10/06/2023,$58.88,3490679,$57.90,$59.12,$56.28
10/05/2023,$58.52,1496567,$60.59,$61.04,$58.46
10/04/2023,$61.18,1390093,$59.87,$61.205,$59.79
10/03/2023,$59.69,1421808,$60.21,$60.82,$59.47
10/02/2023,$61.01,1630248,$62.14,$62.14,$60.59
09/29/2023,$62.48,1242764,$63.13,$63.43,$62.31
09/28/2023,$62.80,1540637,$62.50,$63.28,$62.36
09/27/2023,$62.31,1253957,$63.01,$63.05,$61.96
09/26/2023,$62.67,1345198,$62.75,$62.86,$62.25
09/25/2023,$63.31,1570774,$63.00,$63.59,$62.82
09/22/2023,$63.52,1019010,$63.19,$63.895,$63.08
09/21/2023,$63.20,1394151,$63.74,$63.98,$63.101
09/20/2023,$64.13,2324843,$63.35,$64.25,$63.24
09/19/2023,$63.02,789491,$63.11,$63.32,$62.815
09/18/2023,$63.17,1084046,$62.82,$63.39,$62.55
09/15/2023,$62.60,1712816,$62.98,$62.98,$62.33
09/14/2023,$63.12,1322118,$62.10,$63.29,$61.95
09/13/2023,$62.07,888897,$61.60,$62.19,$61.57
09/12/2023,$61.76,901942,$61.74,$62.20,$61.48
09/11/2023,$62.38,943991,$61.33,$62.57,$61.29
09/08/2023,$61.33,813080,$61.22,$61.52,$61.02
09/07/2023,$61.28,1362527,$61.76,$62.25,$61.00
09/06/2023,$61.98,889278,$61.94,$62.43,$61.77
09/05/2023,$61.96,1080270,$62.06,$62.14,$61.59
09/01/2023,$62.32,1198288,$63.82,$64.11,$62.055
08/31/2023,$64.11,2354716,$64.42,$64.97,$63.87
08/30/2023,$64.62,1034177,$64.33,$64.88,$64.33
08/29/2023,$64.14,982653,$63.04,$64.24,$62.99
08/28/2023,$62.84,962738,$63.49,$63.58,$62.68
08/25/2023,$63.48,614176,$63.17,$63.56,$62.815
08/24/2023,$62.835,739635,$62.99,$63.70,$62.77
08/23/2023,$62.86,879577,$62.79,$63.22,$62.55
08/22/2023,$62.75,860390,$61.92,$62.84,$61.64
08/21/2023,$62.16,743199,$62.74,$62.78,$61.96
08/18/2023,$62.57,519642,$62.17,$62.69,$61.85
08/17/2023,$62.28,1050202,$63.02,$63.09,$62.19
08/16/2023,$62.83,1019993,$63.27,$63.55,$62.75
08/15/2023,$63.21,593196,$64.05,$64.12,$63.18
08/14/2023,$64.20,579075,$64.23,$64.52,$63.89
08/11/2023,$64.57,798057,$63.65,$64.58,$63.51
08/10/2023,$64.21,704524,$64.41,$64.89,$63.96
08/09/2023,$63.95,729567,$63.97,$64.22,$63.71
08/08/2023,$64.00,1089130,$64.85,$65.13,$63.91
08/07/2023,$65.04,1202321,$63.84,$65.08,$63.76
08/04/2023,$63.74,1223499,$64.41,$64.90,$63.73
08/03/2023,$64.02,1159769,$63.96,$64.38,$63.30
08/02/2023,$64.41,2028556,$65.61,$66.36,$64.20
08/01/2023,$63.13,1239275,$63.19,$63.605,$62.71
07/31/2023,$63.39,907983,$63.30,$63.81,$63.16
07/28/2023,$63.99,1184193,$63.94,$64.12,$63.71
07/27/2023,$63.86,1080371,$64.81,$64.81,$63.75
07/26/2023,$64.54,1213342,$64.60,$64.67,$64.06
07/25/2023,$64.99,782973,$64.82,$65.21,$64.64
07/24/2023,$64.73,771479,$64.90,$64.90,$64.00
07/21/2023,$64.91,997192,$65.27,$65.42,$64.77
07/20/2023,$65.05,793107,$64.77,$65.19,$64.71
07/19/2023,$64.76,897873,$65.00,$65.11,$64.49
07/18/2023,$64.61,831333,$65.24,$65.44,$64.09
07/17/2023,$65.14,805321,$65.37,$65.88,$64.965
07/14/2023,$65.56,1115546,$65.76,$66.00,$65.495
07/13/2023,$65.70,1041227,$64.92,$65.77,$64.69
07/12/2023,$64.47,925229,$64.79,$65.005,$64.15
07/11/2023,$63.99,968762,$64.21,$64.50,$63.14
07/10/2023,$64.18,895131,$64.78,$65.03,$64.09
07/07/2023,$64.49,1339948,$65.85,$65.95,$64.34
07/06/2023,$65.18,877100,$64.92,$65.46,$64.705
07/05/2023,$65.45,1258349,$64.54,$65.71,$64.45
07/03/2023,$64.83,546056,$64.37,$64.93,$64.03
06/30/2023,$64.43,1211179,$64.09,$64.58,$64.07
06/29/2023,$63.85,627901,$64.01,$64.11,$63.62
06/28/2023,$64.01,812992,$64.37,$64.63,$63.57
06/27/2023,$64.75,811646,$64.16,$64.80,$63.95
06/26/2023,$64.06,957766,$64.85,$64.85,$63.955
06/23/2023,$65.04,683892,$65.62,$65.71,$65.02
06/22/2023,$65.84,965391,$64.73,$65.96,$64.59
06/21/2023,$64.73,904177,$64.75,$65.04,$64.59
06/20/2023,$65.17,1897175,$65.26,$65.499,$64.80
06/16/2023,$65.35,1962455,$65.77,$65.93,$65.04
06/15/2023,$65.62,990586,$65.84,$66.42,$65.58
06/14/2023,$65.46,1169005,$64.82,$66.06,$64.81
06/13/2023,$64.81,1624826,$64.96,$65.30,$64.31
06/12/2023,$64.66,1183645,$63.86,$64.83,$63.61
06/09/2023,$63.73,845935,$63.41,$63.85,$63.38
06/08/2023,$63.73,738439,$62.66,$63.75,$62.57
06/07/2023,$62.69,882903,$62.55,$63.07,$62.55
06/06/2023,$62.31,834717,$63.45,$63.45,$62.11
06/05/2023,$63.45,777064,$63.12,$63.56,$63.06
06/02/2023,$63.48,667980,$62.59,$63.60,$62.45
06/01/2023,$62.70,939626,$62.63,$63.02,$62.30
05/31/2023,$62.39,3245669,$61.82,$62.65,$61.355
05/30/2023,$62.06,1142338,$62.43,$62.7055,$61.96
05/26/2023,$62.88,996544,$63.14,$63.37,$62.64
05/25/2023,$62.92,1298106,$63.48,$63.77,$62.70
05/24/2023,$63.88,803670,$64.08,$64.23,$63.35
05/23/2023,$64.35,1035036,$64.53,$64.60,$64.01
05/22/2023,$64.73,1518506,$65.96,$66.129,$64.47
05/19/2023,$65.76,1093637,$66.12,$66.32,$65.41
05/18/2023,$65.75,844149,$65.95,$66.035,$65.27
05/17/2023,$66.29,1036012,$66.53,$66.59,$65.76
05/16/2023,$66.69,1265982,$65.94,$66.79,$65.845
05/15/2023,$66.12,1074891,$65.78,$66.19,$65.49
05/12/2023,$65.50,1045907,$65.81,$65.925,$65.061
05/11/2023,$65.92,1326137,$65.37,$65.95,$64.84
05/10/2023,$65.99,1038939,$65.83,$66.32,$65.58
05/09/2023,$65.90,1381570,$65.13,$66.03,$65.08
05/08/2023,$65.29,657067,$65.66,$65.76,$65.19
05/05/2023,$65.60,1279060,$65.48,$65.85,$65.25
05/04/2023,$66.00,979318,$65.70,$66.35,$65.59
05/03/2023,$65.45,1273810,$65.53,$66.36,$65.38
05/02/2023,$65.26,2155828,$64.31,$65.34,$63.94
05/01/2023,$64.76,592379,$64.51,$65.40,$64.44
