Date,Close/Last,Volume,Open,High,Low
01/05/2024,$85.27,180287,$84.17,$86.77,$83.13
01/04/2024,$84.96,262574,$85.96,$86.36,$84.82
01/03/2024,$85.66,213499,$87.42,$87.605,$85.58
01/02/2024,$89.03,251614,$89.89,$90.345,$87.98
12/29/2023,$91.14,167583,$91.12,$91.9036,$90.70
12/28/2023,$91.58,100567,$91.21,$92.1198,$91.06
12/27/2023,$91.64,149013,$90.97,$92.14,$90.3114
12/26/2023,$90.50,154011,$89.66,$90.90,$89.415
12/22/2023,$89.15,157689,$89.24,$89.78,$88.56
12/21/2023,$88.18,152751,$87.97,$88.41,$86.705
12/20/2023,$86.25,216634,$87.16,$88.94,$85.97
12/19/2023,$87.12,211731,$85.71,$87.54,$84.755
12/18/2023,$84.55,215038,$84.04,$85.00,$82.51
12/15/2023,$85.18,1673498,$86.80,$86.80,$84.22
12/14/2023,$87.30,409716,$81.21,$87.49,$81.21
12/13/2023,$79.88,392907,$77.49,$80.14,$75.505
12/12/2023,$77.07,217615,$78.14,$78.415,$76.89
12/11/2023,$77.94,218383,$77.63,$78.675,$77.387
12/08/2023,$78.45,252520,$77.41,$79.39,$77.41
12/07/2023,$77.74,162904,$76.75,$77.78,$76.42
12/06/2023,$76.17,206379,$75.60,$77.44,$74.80
12/05/2023,$74.79,188904,$75.53,$75.76,$74.61
12/04/2023,$75.72,157758,$74.25,$76.03,$74.25
12/01/2023,$74.94,185787,$72.18,$74.99,$72.11
11/30/2023,$72.14,167250,$72.68,$72.68,$71.4632
11/29/2023,$72.92,285688,$71.91,$73.50,$71.71
11/28/2023,$70.91,170396,$71.32,$71.705,$70.82
11/27/2023,$71.44,124938,$71.66,$72.01,$71.34
11/24/2023,$72.12,42533,$71.93,$72.16,$71.60
11/22/2023,$71.97,113645,$72.25,$73.2146,$71.47
11/21/2023,$71.50,93329,$71.59,$72.10,$71.27
11/20/2023,$71.96,158844,$71.76,$72.0531,$71.30
11/17/2023,$72.11,263353,$72.65,$73.35,$71.99
11/16/2023,$72.13,156318,$72.89,$73.05,$71.72
11/15/2023,$72.44,200173,$73.25,$74.23,$72.20
11/14/2023,$73.68,472873,$72.00,$74.10,$71.825
11/13/2023,$68.57,171146,$68.75,$69.195,$68.25
11/10/2023,$69.21,294268,$68.20,$69.50,$67.84
11/09/2023,$67.95,149716,$69.27,$69.65,$67.49
11/08/2023,$69.03,147588,$69.07,$69.74,$68.73
11/07/2023,$68.88,133057,$68.32,$69.37,$68.32
11/06/2023,$68.43,275176,$69.84,$69.86,$68.12
11/03/2023,$69.84,340665,$68.62,$70.21,$68.62
11/02/2023,$66.57,576296,$64.09,$66.79,$63.25
11/01/2023,$62.67,593325,$61.36,$63.205,$60.90
10/31/2023,$61.50,223089,$61.50,$62.50,$61.38
10/30/2023,$61.48,181179,$61.66,$62.00,$60.54
10/27/2023,$60.85,267239,$61.28,$61.69,$60.46
10/26/2023,$61.42,429335,$62.19,$62.935,$59.69
10/25/2023,$58.04,195775,$59.17,$59.17,$58.01
10/24/2023,$59.51,153273,$59.84,$60.41,$59.22
10/23/2023,$59.59,147135,$58.62,$60.52,$58.62
10/20/2023,$58.67,176605,$59.81,$59.93,$58.62
10/19/2023,$59.50,192241,$60.71,$60.87,$59.33
10/18/2023,$60.69,134537,$60.96,$61.615,$59.80
10/17/2023,$61.85,182022,$61.35,$63.10,$61.35
10/16/2023,$62.12,187141,$62.32,$62.64,$61.56
10/13/2023,$61.71,174509,$61.88,$62.23,$61.38
10/12/2023,$61.55,206661,$63.98,$63.98,$60.40
10/11/2023,$64.37,131813,$64.21,$65.0326,$63.205
10/10/2023,$64.33,134472,$63.33,$65.07,$63.33
10/09/2023,$63.22,126242,$61.88,$63.38,$61.24
10/06/2023,$62.20,211503,$61.37,$62.535,$60.852
10/05/2023,$62.21,226120,$62.76,$63.56,$61.86
10/04/2023,$62.93,372984,$63.50,$64.023,$62.67
10/03/2023,$63.25,245947,$65.10,$65.32,$62.67
10/02/2023,$65.89,200597,$66.24,$67.33,$65.20
09/29/2023,$66.78,151906,$68.00,$68.30,$66.25
09/28/2023,$67.50,244142,$66.37,$67.84,$66.37
09/27/2023,$66.27,261755,$65.75,$66.975,$65.75
09/26/2023,$65.40,147555,$66.28,$66.90,$65.17
09/25/2023,$66.67,129833,$66.56,$67.90,$66.27
09/22/2023,$67.00,130483,$66.93,$67.37,$66.11
09/21/2023,$66.42,226308,$67.06,$67.55,$65.82
09/20/2023,$68.25,155515,$70.91,$71.40,$68.22
