Date,Close/Last,Volume,Open,High,Low
01/05/2024,$22.25,3278028,$21.46,$22.46,$21.46
01/04/2024,$21.71,3875489,$21.57,$22.00,$21.3198
01/03/2024,$21.74,5192063,$22.11,$22.56,$21.71
01/02/2024,$22.72,4549138,$23.33,$23.525,$22.49
12/29/2023,$23.40,2955092,$24.00,$24.17,$23.37
12/28/2023,$24.23,2527727,$24.00,$24.49,$23.67
12/27/2023,$24.08,2504534,$24.22,$24.45,$23.87
12/26/2023,$24.21,2355607,$24.01,$24.38,$23.91
12/22/2023,$24.27,3527983,$24.50,$24.84,$23.965
12/21/2023,$24.295,3716329,$23.96,$24.45,$23.60
12/20/2023,$23.61,3874026,$24.69,$24.82,$23.56
12/19/2023,$24.82,2358427,$24.98,$25.25,$24.66
12/18/2023,$24.63,3384158,$24.86,$25.09,$24.06
12/15/2023,$24.97,8741084,$25.65,$25.775,$24.44
12/14/2023,$25.72,8488298,$24.69,$25.81,$24.51
12/13/2023,$23.83,4983262,$22.50,$23.83,$22.22
12/12/2023,$22.41,4710134,$22.70,$22.93,$21.99
12/11/2023,$22.63,3314022,$22.40,$23.19,$22.34
12/08/2023,$22.68,3802451,$22.80,$23.13,$22.43
12/07/2023,$23.04,3125344,$23.33,$23.33,$22.51
12/06/2023,$23.21,3103782,$23.68,$23.72,$22.99
12/05/2023,$23.34,4907303,$24.00,$24.43,$23.09
12/04/2023,$24.07,9255170,$22.62,$24.18,$22.59
12/01/2023,$22.83,6469849,$21.50,$22.965,$20.81
11/30/2023,$21.22,6914454,$21.06,$21.99,$20.97
11/29/2023,$21.22,6130475,$20.56,$21.39,$20.56
11/28/2023,$20.50,8869267,$19.12,$21.07,$19.06
11/27/2023,$18.71,4003283,$19.02,$19.48,$18.69
11/24/2023,$19.20,1191325,$19.04,$19.315,$18.965
11/22/2023,$19.19,1827202,$19.21,$19.42,$18.88
11/21/2023,$18.98,3453387,$19.00,$19.03,$18.47
11/20/2023,$19.38,5385383,$19.08,$19.665,$18.68
11/17/2023,$19.01,4864877,$19.09,$19.15,$18.625
11/16/2023,$18.97,5486913,$19.67,$19.695,$18.71
11/15/2023,$19.91,6724391,$19.83,$20.55,$19.74
11/14/2023,$19.68,11481400,$18.71,$20.00,$18.71
11/13/2023,$17.96,3443804,$17.48,$18.29,$17.26
11/10/2023,$17.68,5542617,$16.80,$18.295,$16.6904
11/09/2023,$16.89,5195682,$17.95,$18.00,$16.85
11/08/2023,$17.80,5724851,$18.45,$18.46,$17.75
11/07/2023,$18.04,8380985,$18.00,$19.14,$17.66
11/06/2023,$17.64,10528620,$18.17,$18.74,$17.24
11/03/2023,$17.75,23842050,$16.97,$18.57,$16.92
11/02/2023,$16.28,57663080,$15.95,$16.48,$14.69
11/01/2023,$28.13,5716570,$28.93,$29.109,$27.76
10/31/2023,$28.91,3673354,$27.77,$29.28,$27.43
10/30/2023,$27.56,3231147,$27.64,$27.87,$26.75
10/27/2023,$27.22,3342374,$27.82,$27.9399,$26.71
10/26/2023,$26.98,3840429,$26.57,$27.405,$26.14
10/25/2023,$26.62,6073160,$28.63,$28.865,$26.43
10/24/2023,$29.20,2910075,$28.51,$29.99,$28.51
10/23/2023,$28.14,2647228,$28.17,$28.82,$27.34
10/20/2023,$28.62,3176219,$29.64,$29.90,$28.29
10/19/2023,$29.82,3109352,$30.10,$30.75,$29.545
10/18/2023,$29.70,2350121,$30.25,$30.69,$29.66
10/17/2023,$30.53,2388330,$29.61,$30.99,$29.512
10/16/2023,$30.36,2279837,$29.52,$30.94,$29.45
10/13/2023,$29.32,3059313,$31.10,$31.39,$28.965
10/12/2023,$30.89,2841063,$31.18,$32.17,$30.36
10/11/2023,$31.50,3127770,$32.00,$32.49,$31.385
10/10/2023,$31.37,3696245,$30.42,$31.86,$30.41
10/09/2023,$30.36,3313098,$28.85,$30.40,$28.80
10/06/2023,$29.76,3478581,$27.95,$29.80,$27.81
10/05/2023,$28.26,2641880,$28.81,$28.89,$27.84
