Date,Close/Last,Volume,Open,High,Low
10/23/2023,$168.94,423973,$170.00,$171.88,$168.075
10/20/2023,$170.59,531691,$171.69,$172.4715,$169.11
10/19/2023,$171.49,433440,$169.79,$172.97,$167.66
10/18/2023,$170.49,255394,$170.73,$172.19,$169.26
10/17/2023,$170.22,352065,$168.95,$171.65,$168.95
10/16/2023,$168.95,402416,$170.00,$170.30,$167.30
10/13/2023,$168.62,555231,$165.35,$169.33,$165.07
10/12/2023,$163.13,365342,$164.95,$164.95,$162.14
10/11/2023,$163.21,300180,$162.12,$164.50,$161.19
10/10/2023,$162.95,353567,$163.67,$164.47,$162.04
10/09/2023,$162.86,602886,$159.87,$164.08,$159.40
10/06/2023,$156.83,461520,$155.77,$158.72,$153.90
10/05/2023,$154.51,447153,$152.41,$154.84,$151.65
10/04/2023,$153.74,843553,$156.26,$156.34,$151.84
10/03/2023,$158.29,526460,$157.61,$158.84,$156.41
10/02/2023,$158.13,474648,$162.89,$162.89,$157.27
09/29/2023,$162.07,458824,$164.74,$165.36,$161.81
09/28/2023,$164.38,517721,$165.10,$166.20,$163.33
09/27/2023,$164.41,660554,$161.81,$165.60,$161.80
09/26/2023,$159.38,394495,$158.63,$160.61,$158.34
09/25/2023,$159.48,405851,$155.69,$159.58,$155.52
09/22/2023,$156.00,497122,$154.86,$156.53,$154.79
09/21/2023,$154.35,548770,$155.48,$156.07,$153.26
09/20/2023,$155.26,427318,$155.25,$157.89,$155.17
09/19/2023,$155.90,404036,$159.01,$159.70,$155.26
09/18/2023,$157.52,517101,$159.54,$160.24,$156.14
09/15/2023,$158.23,1012213,$160.80,$160.98,$157.835
09/14/2023,$161.50,430072,$162.89,$163.70,$161.44
09/13/2023,$159.67,540740,$161.46,$162.345,$158.54
09/12/2023,$161.27,653173,$159.44,$161.54,$159.44
09/11/2023,$157.28,755300,$162.60,$163.1599,$156.76
09/08/2023,$160.90,567323,$161.68,$163.51,$160.75
09/07/2023,$161.18,505562,$163.02,$164.5425,$160.97
09/06/2023,$163.50,360306,$164.31,$165.765,$163.08
09/05/2023,$163.84,568695,$165.89,$167.81,$163.84
09/01/2023,$165.74,875998,$162.92,$165.85,$162.86
08/31/2023,$161.50,588692,$160.00,$161.75,$158.17
08/30/2023,$158.66,371479,$158.13,$159.81,$158.13
08/29/2023,$157.93,213619,$157.76,$158.595,$156.28
08/28/2023,$157.40,294262,$158.41,$159.55,$156.45
08/25/2023,$157.70,370947,$157.16,$158.37,$156.24
08/24/2023,$156.57,338800,$156.27,$159.22,$156.27
08/23/2023,$157.75,300985,$155.92,$158.225,$154.05
08/22/2023,$157.48,436505,$157.09,$159.27,$156.66
08/21/2023,$156.67,251534,$158.26,$159.80,$155.855
08/18/2023,$157.59,406638,$153.70,$158.275,$153.57
08/17/2023,$155.01,343952,$156.63,$158.00,$154.94
08/16/2023,$154.22,384868,$153.24,$155.12,$152.38
08/15/2023,$152.80,505894,$153.94,$154.81,$151.12
08/14/2023,$155.33,262179,$156.51,$156.51,$154.4418
08/11/2023,$158.44,446952,$156.54,$158.48,$156.29
08/10/2023,$156.96,608420,$159.21,$159.69,$155.15
08/09/2023,$159.29,706025,$162.97,$163.45,$159.01
08/08/2023,$161.91,334217,$157.60,$162.495,$156.9631
08/07/2023,$160.71,371803,$160.00,$160.97,$157.38
08/04/2023,$158.85,705461,$156.51,$160.05,$155.94
08/03/2023,$156.23,936557,$156.88,$157.86,$151.12
08/02/2023,$154.17,503530,$156.50,$157.00,$153.48
08/01/2023,$157.43,344774,$155.46,$157.56,$153.80
07/31/2023,$156.84,344379,$157.22,$157.81,$156.1735
07/28/2023,$155.75,313234,$155.27,$157.235,$153.835
07/27/2023,$154.19,311922,$156.76,$157.52,$153.76
07/26/2023,$154.71,281624,$153.09,$154.868,$152.58
07/25/2023,$154.50,384749,$150.96,$154.885,$150.1475
07/24/2023,$151.32,467875,$149.36,$152.03,$149.00
07/21/2023,$148.89,367947,$149.43,$150.315,$147.40
07/20/2023,$148.78,448035,$148.63,$150.25,$147.65
07/19/2023,$147.05,970066,$147.84,$149.95,$145.53
07/18/2023,$149.02,877480,$146.99,$150.4485,$146.26
07/17/2023,$146.37,598856,$146.89,$148.00,$145.06
07/14/2023,$148.20,630466,$155.73,$155.875,$148.17
07/13/2023,$156.89,637478,$157.35,$158.89,$154.875
07/12/2023,$157.32,309174,$160.38,$160.41,$157.13
07/11/2023,$159.13,423766,$157.25,$159.82,$156.6496
07/10/2023,$156.34,308495,$156.27,$156.49,$154.67
07/07/2023,$155.44,352212,$150.54,$157.61,$149.96
07/06/2023,$150.40,375414,$154.65,$156.12,$148.90
