Date,Close/Last,Volume,Open,High,Low
01/05/2024,$88.59,1814594,$87.85,$89.71,$87.59
01/04/2024,$88.21,1614183,$87.00,$88.43,$86.91
01/03/2024,$87.34,2243375,$87.00,$89.71,$86.68
01/02/2024,$87.13,1250238,$86.43,$87.6037,$86.20
12/29/2023,$86.39,844099,$86.74,$87.30,$85.93
12/28/2023,$86.89,530845,$86.88,$87.30,$86.47
12/27/2023,$86.86,511866,$87.16,$87.41,$86.485
12/26/2023,$87.25,626102,$87.28,$87.99,$86.90
12/22/2023,$87.27,758743,$85.94,$87.62,$85.64
12/21/2023,$85.85,872946,$85.71,$86.50,$85.33
12/20/2023,$85.24,1016332,$84.42,$86.49,$84.09
12/19/2023,$85.06,1627018,$84.63,$85.53,$84.025
12/18/2023,$84.41,1289071,$85.52,$85.70,$84.20
12/15/2023,$84.95,3614664,$85.26,$86.00,$84.48
12/14/2023,$85.04,1933311,$85.63,$86.57,$84.775
12/13/2023,$84.85,1531403,$83.40,$84.86,$82.40
12/12/2023,$83.60,1265056,$84.55,$84.55,$83.43
12/11/2023,$84.42,1043780,$84.40,$84.89,$83.72
12/08/2023,$84.50,1069984,$86.08,$86.235,$84.46
12/07/2023,$86.02,781553,$85.54,$86.76,$85.035
12/06/2023,$85.51,954341,$85.22,$86.31,$85.07
12/05/2023,$85.07,1114920,$85.24,$85.49,$84.45
12/04/2023,$85.72,1941246,$83.19,$85.97,$82.99
12/01/2023,$83.26,871304,$82.53,$83.76,$81.92
11/30/2023,$82.05,3134861,$81.06,$82.08,$80.08
11/29/2023,$81.57,1131420,$82.17,$83.11,$81.38
11/28/2023,$82.39,1150201,$81.41,$82.42,$80.79
11/27/2023,$81.41,895343,$82.17,$82.17,$80.55
11/24/2023,$82.51,405675,$82.74,$82.74,$81.855
11/22/2023,$82.74,1064031,$82.34,$83.04,$82.08
11/21/2023,$82.31,1198730,$81.83,$82.4016,$81.31
11/20/2023,$82.03,852984,$82.31,$82.40,$81.42
11/17/2023,$82.60,1154390,$82.87,$83.00,$81.49
11/16/2023,$81.86,1687777,$82.90,$83.655,$81.79
11/15/2023,$83.25,1076809,$83.36,$84.47,$82.89
11/14/2023,$83.29,1234756,$80.00,$83.55,$79.805
11/13/2023,$78.97,974642,$79.85,$80.50,$78.69
11/10/2023,$79.96,1711700,$80.73,$80.73,$79.21
11/09/2023,$80.12,951029,$81.88,$81.88,$80.07
11/08/2023,$81.40,850233,$82.56,$83.05,$81.15
11/07/2023,$82.77,1152155,$81.44,$83.16,$81.06
11/06/2023,$82.00,956422,$81.80,$82.38,$80.83
11/03/2023,$81.69,1470949,$81.96,$82.45,$80.74
11/02/2023,$81.43,2481449,$83.91,$83.91,$81.14
11/01/2023,$81.46,1377182,$82.20,$82.20,$80.41
10/31/2023,$81.83,1450034,$80.70,$82.22,$80.415
10/30/2023,$80.62,1498968,$81.81,$82.295,$80.17
10/27/2023,$81.26,1511252,$81.78,$83.24,$80.95
10/26/2023,$81.02,1167644,$82.80,$82.93,$80.18
10/25/2023,$82.73,815234,$83.56,$83.56,$81.9376
10/24/2023,$83.75,959667,$84.50,$85.005,$83.43
10/23/2023,$84.19,1148516,$85.23,$85.92,$83.94
10/20/2023,$85.33,1581638,$84.04,$85.95,$83.03
10/19/2023,$83.31,1142636,$83.92,$84.25,$82.88
10/18/2023,$83.78,1465648,$83.23,$84.18,$82.46
10/17/2023,$86.21,924525,$85.75,$86.59,$85.54
10/16/2023,$85.75,1268057,$84.49,$86.20,$84.49
10/13/2023,$84.00,1233971,$84.92,$86.18,$83.93
10/12/2023,$84.74,898159,$86.17,$86.3056,$83.71
10/11/2023,$85.99,632846,$86.39,$87.14,$85.13
10/10/2023,$86.50,620216,$86.35,$87.08,$86.26
10/09/2023,$86.35,722131,$84.38,$86.80,$84.29
10/06/2023,$84.86,719869,$84.22,$85.54,$83.75
10/05/2023,$84.35,650884,$85.21,$85.51,$83.80
10/04/2023,$85.51,643763,$85.98,$86.42,$84.58
10/03/2023,$85.71,851112,$85.35,$86.43,$85.285
10/02/2023,$85.65,1030922,$85.75,$86.14,$84.53
09/29/2023,$86.13,962735,$87.56,$88.14,$85.76
09/28/2023,$87.14,908840,$86.31,$87.44,$85.115
09/27/2023,$86.29,938430,$84.94,$86.76,$84.795
09/26/2023,$84.95,1009815,$85.61,$86.38,$84.76
09/25/2023,$85.59,723855,$85.81,$86.49,$85.32
09/22/2023,$85.93,507844,$86.95,$87.135,$85.8575
09/21/2023,$86.75,656347,$87.69,$87.86,$86.74
09/20/2023,$87.58,518336,$88.58,$88.84,$87.53
09/19/2023,$88.50,1011975,$87.97,$88.75,$87.75
09/18/2023,$87.82,838409,$90.23,$90.36,$87.60
09/15/2023,$90.54,2382465,$89.89,$91.26,$89.73
09/14/2023,$89.89,1015243,$88.40,$90.07,$88.16
09/13/2023,$87.37,1177787,$87.44,$87.71,$86.43
09/12/2023,$86.98,917143,$86.19,$87.83,$85.91
09/11/2023,$86.55,651941,$86.80,$87.06,$86.115
09/08/2023,$86.32,1114481,$86.25,$86.70,$85.225
09/07/2023,$86.19,1691856,$87.24,$87.625,$86.02
09/06/2023,$87.38,1092041,$88.58,$89.32,$87.22
09/05/2023,$88.65,1143227,$88.31,$89.16,$87.52
09/01/2023,$88.35,1402466,$91.04,$91.04,$87.93
08/31/2023,$90.43,1910998,$92.66,$93.19,$90.39
08/30/2023,$94.63,983961,$94.52,$94.97,$93.92
08/29/2023,$94.38,664003,$92.89,$94.42,$92.61
08/28/2023,$93.04,648157,$94.22,$94.30,$92.62
08/25/2023,$93.76,463048,$93.26,$94.28,$93.12
08/24/2023,$93.14,529018,$92.88,$93.54,$92.44
08/23/2023,$93.19,452833,$92.86,$93.27,$92.35
08/22/2023,$92.86,581706,$93.52,$93.90,$92.415
08/21/2023,$93.52,825918,$94.91,$95.30,$93.055
08/18/2023,$94.99,850407,$92.81,$95.04,$92.62
08/17/2023,$93.33,692852,$94.74,$95.05,$93.08
08/16/2023,$94.31,659998,$94.46,$95.21,$93.91
08/15/2023,$94.56,781292,$95.12,$95.34,$94.01
08/14/2023,$95.39,923182,$95.04,$95.65,$93.85
08/11/2023,$95.23,872665,$95.89,$95.89,$94.66
08/10/2023,$96.44,874973,$98.46,$99.06,$96.11
08/09/2023,$97.96,916244,$97.79,$98.75,$97.345
08/08/2023,$97.92,1057199,$99.43,$99.6482,$97.30
08/07/2023,$100.00,916383,$99.34,$100.43,$99.24
08/04/2023,$98.52,808156,$98.50,$99.62,$98.05
08/03/2023,$98.22,1598301,$99.62,$100.01,$96.50
08/02/2023,$97.44,1387945,$98.65,$99.60,$97.10
08/01/2023,$99.39,835371,$99.90,$99.95,$98.68
07/31/2023,$100.18,1201263,$100.44,$100.88,$99.48
07/28/2023,$100.40,1176183,$98.75,$100.65,$98.29
07/27/2023,$97.66,724913,$98.80,$98.80,$97.27
07/26/2023,$98.28,982933,$98.15,$99.11,$97.73
07/25/2023,$97.92,620683,$97.97,$98.66,$97.29
07/24/2023,$97.94,874376,$97.86,$99.05,$97.28
07/21/2023,$98.60,635025,$98.41,$98.98,$97.96
07/20/2023,$98.56,1031564,$98.32,$99.44,$97.36
07/19/2023,$98.32,959695,$96.16,$98.57,$96.125
