Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.17,119926,$38.22,$38.38,$38.16
01/04/2024,$38.10,86153,$38.00,$38.175,$38.00
01/03/2024,$38.18,188197,$38.66,$38.66,$38.12
01/02/2024,$38.89,78921,$38.90,$39.02,$38.8303
12/29/2023,$39.07,110635,$38.82,$39.10,$38.82
12/28/2023,$38.84,91481,$38.70,$38.84,$38.70
12/27/2023,$38.35,78192,$38.25,$38.43,$38.25
12/26/2023,$38.28,78660,$38.15,$38.36,$38.14
12/22/2023,$37.90,63981,$37.77,$37.965,$37.77
12/21/2023,$37.73,81124,$37.65,$37.74,$37.58
12/20/2023,$37.51,88925,$37.65,$37.76,$37.51
12/19/2023,$37.69,98749,$37.62,$37.78,$37.60
12/18/2023,$37.55,81891,$37.60,$37.60,$37.44
12/15/2023,$37.51,295008,$37.67,$37.67,$37.40
12/14/2023,$37.88,106647,$37.89,$38.08,$37.855
12/13/2023,$38.00,116317,$37.65,$38.08,$37.545
12/12/2023,$37.65,162674,$37.74,$37.76,$37.59
12/11/2023,$37.60,201493,$37.93,$37.93,$37.60
12/08/2023,$38.03,91772,$38.03,$38.14,$37.995
12/07/2023,$38.20,111032,$38.26,$38.295,$38.09
12/06/2023,$38.33,180571,$38.73,$38.73,$38.30
12/05/2023,$38.53,101658,$38.31,$38.53,$38.21
12/04/2023,$38.25,88078,$38.11,$38.30,$38.10
12/01/2023,$38.07,100274,$37.93,$38.11,$37.855
11/30/2023,$37.94,150582,$38.04,$38.04,$37.875
11/29/2023,$38.09,127367,$38.10,$38.24,$38.09
11/28/2023,$37.94,116516,$37.99,$38.025,$37.84
11/27/2023,$37.97,84357,$37.81,$37.985,$37.79
11/24/2023,$37.55,58206,$37.31,$37.55,$37.31
11/22/2023,$37.25,102916,$37.34,$37.34,$37.18
11/21/2023,$37.40,130950,$37.22,$37.45,$37.22
11/20/2023,$37.11,96341,$37.02,$37.1685,$36.97
11/17/2023,$36.75,98403,$36.75,$36.84,$36.68
11/16/2023,$36.73,96746,$36.42,$36.75,$36.42
11/15/2023,$36.62,106906,$36.70,$36.705,$36.575
11/14/2023,$36.22,107601,$36.05,$36.245,$36.05
11/13/2023,$35.92,99775,$35.86,$36.00,$35.72
11/10/2023,$35.90,100476,$36.04,$36.235,$35.85
11/09/2023,$36.26,87665,$36.12,$36.45,$36.04
11/08/2023,$36.22,118289,$36.46,$36.51,$36.13
11/07/2023,$36.37,119405,$36.44,$36.5133,$36.34
11/06/2023,$36.52,138430,$36.43,$36.635,$36.3601
11/03/2023,$36.50,205310,$36.32,$36.51,$36.26
11/02/2023,$36.29,245418,$36.43,$36.55,$35.86
11/01/2023,$35.84,333870,$35.99,$36.11,$35.83
10/31/2023,$35.63,169141,$35.82,$35.87,$35.63
10/30/2023,$35.89,123310,$35.59,$35.94,$35.59
10/27/2023,$35.50,115405,$35.70,$35.77,$35.445
10/26/2023,$35.58,78562,$35.62,$35.64,$35.50
10/25/2023,$35.71,127960,$35.86,$35.86,$35.70
10/24/2023,$35.89,146359,$35.68,$35.9598,$35.68
10/23/2023,$35.53,109873,$35.65,$35.69,$35.50
10/20/2023,$35.71,113671,$35.65,$35.92,$35.65
10/19/2023,$35.78,128540,$35.79,$35.94,$35.70
10/18/2023,$35.85,97859,$36.00,$36.11,$35.84
10/17/2023,$36.21,124160,$36.15,$36.26,$36.09
10/16/2023,$36.36,125231,$36.12,$36.44,$35.95
10/13/2023,$35.89,110923,$36.16,$36.17,$35.865
10/12/2023,$36.21,150151,$36.44,$36.49,$36.088
10/11/2023,$36.63,115183,$36.56,$36.79,$36.36
10/10/2023,$36.43,112920,$36.50,$36.51,$36.365
10/09/2023,$36.42,115968,$35.95,$36.45,$35.95
10/06/2023,$36.17,159213,$35.97,$36.17,$35.87
10/05/2023,$35.99,134617,$35.92,$36.04,$35.555
10/04/2023,$35.83,116775,$35.70,$35.8736,$35.51
10/03/2023,$35.70,142244,$35.72,$35.80,$35.63
10/02/2023,$35.88,113165,$36.01,$36.01,$35.77
09/29/2023,$35.94,111915,$36.13,$36.16,$35.87
09/28/2023,$36.03,101634,$35.93,$36.125,$35.85
09/27/2023,$35.94,140819,$36.02,$36.02,$35.799
09/26/2023,$35.80,117914,$36.06,$36.06,$35.80
09/25/2023,$36.26,84333,$36.46,$36.46,$36.08
09/22/2023,$36.46,148518,$36.31,$36.54,$36.28
09/21/2023,$36.07,152100,$36.48,$36.48,$36.07
09/20/2023,$36.69,219734,$36.67,$36.80,$36.63
09/19/2023,$36.59,123367,$36.62,$36.69,$36.52
09/18/2023,$36.70,91740,$36.45,$36.74,$36.375
09/15/2023,$36.42,343984,$36.53,$36.66,$36.36
09/14/2023,$36.45,104766,$36.55,$36.62,$36.445
09/13/2023,$36.56,116186,$36.31,$36.61,$36.30
09/12/2023,$36.31,97111,$36.26,$36.335,$36.20
09/11/2023,$36.33,139765,$36.25,$36.41,$36.14
09/08/2023,$36.05,128085,$36.27,$36.28,$36.00
09/07/2023,$36.18,129019,$36.21,$36.35,$36.08
09/06/2023,$36.25,97240,$36.60,$36.60,$36.24
09/05/2023,$36.60,198340,$36.17,$36.75,$36.17
09/01/2023,$36.23,77765,$36.51,$36.56,$36.20
08/31/2023,$36.43,128148,$36.67,$36.67,$36.43
08/30/2023,$36.82,103063,$37.01,$37.05,$36.81
08/29/2023,$37.01,57758,$36.79,$37.0284,$36.79
08/28/2023,$36.74,62602,$36.59,$36.77,$36.59
08/25/2023,$36.59,139321,$36.74,$36.76,$36.50
08/24/2023,$36.90,89916,$36.91,$37.03,$36.87
08/23/2023,$36.70,110839,$36.68,$36.75,$36.5814
08/22/2023,$36.61,90872,$36.57,$36.61,$36.52
08/21/2023,$36.65,76207,$36.61,$36.67,$36.51
08/18/2023,$36.83,109409,$36.80,$36.94,$36.72
08/17/2023,$36.64,134808,$36.61,$36.75,$36.485
08/16/2023,$36.82,193035,$36.89,$36.91,$36.72
08/15/2023,$36.66,109902,$36.69,$36.72,$36.61
08/14/2023,$36.74,126762,$36.78,$36.78,$36.61
08/11/2023,$37.12,108364,$37.00,$37.12,$36.98
08/10/2023,$37.06,139111,$37.10,$37.26,$36.99
08/09/2023,$36.89,102971,$36.89,$37.02,$36.765
08/08/2023,$36.82,154501,$36.46,$36.85,$36.4325
08/07/2023,$36.64,139333,$36.46,$36.64,$36.36
08/04/2023,$36.52,78111,$36.61,$36.70,$36.50
08/03/2023,$36.52,94585,$36.58,$36.58,$36.34
08/02/2023,$36.54,95397,$36.55,$36.57,$36.34
08/01/2023,$36.62,55089,$36.68,$36.70,$36.60
07/31/2023,$36.70,77696,$37.00,$37.00,$36.58
07/28/2023,$37.10,68986,$37.12,$37.12,$37.00
07/27/2023,$37.05,113256,$36.97,$37.19,$36.97
07/26/2023,$37.18,68915,$37.06,$37.19,$37.00
07/25/2023,$36.93,68865,$36.91,$37.01,$36.83
07/24/2023,$36.79,115516,$36.74,$36.9197,$36.70
07/21/2023,$36.81,94739,$36.76,$36.84,$36.65
07/20/2023,$36.71,111932,$36.97,$37.09,$36.70
07/19/2023,$36.97,89863,$36.90,$37.02,$36.80
07/18/2023,$36.80,114528,$36.95,$36.98,$36.69
07/17/2023,$37.16,87900,$37.33,$37.33,$37.12
07/14/2023,$37.41,67588,$37.43,$37.52,$37.40
07/13/2023,$37.05,77062,$36.86,$37.05,$36.84
07/12/2023,$36.85,74568,$36.68,$36.86,$36.68
07/11/2023,$36.53,181140,$36.32,$36.55,$36.20
07/10/2023,$36.16,110918,$36.38,$36.38,$36.00
07/07/2023,$36.38,214373,$36.57,$36.57,$36.33
07/06/2023,$36.51,190551,$36.86,$36.86,$36.3284
07/05/2023,$37.03,165352,$37.04,$37.25,$36.98
07/03/2023,$37.01,67863,$36.99,$37.11,$36.855
06/30/2023,$37.29,155233,$37.54,$37.57,$37.21
06/29/2023,$37.85,83622,$38.12,$38.12,$37.80
06/28/2023,$38.07,197746,$38.19,$38.19,$37.79
06/27/2023,$39.74,117722,$39.49,$39.81,$39.38
06/26/2023,$39.90,69418,$40.00,$40.05,$39.86
06/23/2023,$40.22,71087,$40.37,$40.37,$40.19
06/22/2023,$40.42,48416,$40.49,$40.52,$40.38
06/21/2023,$40.54,58992,$40.66,$40.66,$40.4631
06/20/2023,$40.59,41937,$40.71,$40.71,$40.57
06/16/2023,$40.88,138485,$40.96,$41.01,$40.78
06/15/2023,$41.00,72271,$40.98,$41.11,$40.75
06/14/2023,$40.93,41200,$40.66,$40.938,$40.66
06/13/2023,$40.79,62238,$40.69,$40.825,$40.63
06/12/2023,$40.53,44385,$40.60,$40.60,$40.41
06/09/2023,$40.74,31422,$40.71,$40.82,$40.70
06/08/2023,$40.63,47848,$40.38,$40.73,$40.38
06/07/2023,$40.59,43489,$40.60,$40.73,$40.55
06/06/2023,$40.68,63384,$40.67,$40.81,$40.63
06/05/2023,$40.74,55713,$40.43,$40.959,$40.40
06/02/2023,$40.49,154050,$40.88,$40.95,$40.46
06/01/2023,$40.78,80816,$40.78,$40.88,$40.70
05/31/2023,$40.92,83798,$40.69,$40.925,$40.68
05/30/2023,$40.70,119789,$40.69,$40.73,$40.59
05/26/2023,$40.78,81653,$40.94,$40.99,$40.75
05/25/2023,$41.08,103848,$41.10,$41.25,$41.06
05/24/2023,$40.64,57305,$40.81,$40.81,$40.62
05/23/2023,$40.82,94850,$40.78,$40.99,$40.76
05/22/2023,$40.61,63022,$40.94,$40.94,$40.60
05/19/2023,$41.24,100018,$41.28,$41.36,$41.16
05/18/2023,$40.90,86108,$40.90,$40.96,$40.80
05/17/2023,$40.99,103161,$40.93,$41.07,$40.87
05/16/2023,$40.73,79269,$40.75,$40.81,$40.63
05/15/2023,$40.64,64955,$40.67,$40.70,$40.49
05/12/2023,$40.45,50406,$40.65,$40.65,$40.42
05/11/2023,$40.92,63327,$41.04,$41.04,$40.85
05/10/2023,$41.19,70028,$41.27,$41.27,$40.90
05/09/2023,$41.36,73312,$41.28,$41.53,$41.25
05/08/2023,$41.18,104617,$41.43,$41.43,$41.11
05/05/2023,$41.51,83751,$41.34,$41.58,$41.27
05/04/2023,$41.28,89468,$41.01,$41.30,$40.95
05/03/2023,$40.76,70477,$40.82,$40.935,$40.75
05/02/2023,$40.67,76553,$40.82,$40.82,$40.6196
05/01/2023,$41.10,55791,$41.19,$41.26,$41.02
04/28/2023,$41.22,90124,$41.51,$41.52,$41.21
04/27/2023,$41.47,96410,$41.25,$41.53,$41.25
04/26/2023,$41.39,80226,$41.23,$41.425,$41.21
04/25/2023,$41.02,106166,$40.97,$41.07,$40.89
04/24/2023,$40.99,72050,$41.29,$41.29,$40.92
04/21/2023,$41.26,93135,$41.31,$41.35,$41.12
04/20/2023,$40.98,72186,$41.03,$41.05,$40.89
04/19/2023,$40.91,88459,$40.63,$40.92,$40.59
04/18/2023,$41.07,67686,$41.02,$41.10,$40.95
04/17/2023,$40.83,72356,$40.89,$40.94,$40.80
04/14/2023,$40.73,82762,$40.98,$40.98,$40.54
04/13/2023,$40.95,113005,$40.57,$40.98,$40.56
04/12/2023,$40.42,102578,$40.30,$40.50,$40.22
04/11/2023,$40.13,103098,$40.39,$40.42,$40.09
04/10/2023,$40.14,101961,$40.23,$40.23,$39.77
04/06/2023,$39.49,134324,$39.52,$39.62,$39.412
04/05/2023,$39.47,262235,$39.73,$39.76,$39.38
04/04/2023,$39.69,90719,$39.31,$39.69,$39.1908
04/03/2023,$39.36,96907,$39.07,$39.40,$39.05
03/31/2023,$39.10,91699,$39.14,$39.16,$39.04
03/30/2023,$39.21,74887,$39.44,$39.46,$39.19
03/29/2023,$39.41,144839,$39.44,$39.60,$39.31
03/28/2023,$39.50,103150,$39.25,$39.63,$39.22
03/27/2023,$39.35,71621,$39.35,$39.44,$39.285
03/24/2023,$39.49,115862,$39.20,$39.57,$39.11
03/23/2023,$39.29,105760,$39.22,$39.455,$39.20
