Date,Close/Last,Volume,Open,High,Low
10/23/2023,$301.05,1595064,$306.41,$306.70,$300.175
10/20/2023,$306.78,1263136,$310.44,$312.02,$306.04
10/19/2023,$310.17,1190353,$311.29,$313.537,$306.83
10/18/2023,$311.94,1049408,$313.57,$315.00,$309.90
10/17/2023,$310.60,1183392,$314.00,$316.14,$309.807
10/16/2023,$312.13,2282988,$306.99,$312.71,$305.97
10/13/2023,$305.09,2387924,$299.90,$307.31,$299.90
10/12/2023,$295.80,1527590,$295.00,$298.31,$292.36
10/11/2023,$294.45,1220580,$291.18,$294.77,$289.82
10/10/2023,$291.76,1071030,$289.22,$292.42,$288.32
10/09/2023,$289.67,762165,$287.18,$290.35,$286.99
10/06/2023,$288.23,1051166,$285.92,$289.31,$285.1175
10/05/2023,$285.35,1095384,$285.30,$288.06,$283.05
10/04/2023,$285.08,992930,$284.35,$285.56,$281.695
10/03/2023,$284.41,989110,$286.11,$286.885,$283.75
10/02/2023,$287.54,978609,$285.71,$288.18,$283.57
09/29/2023,$286.07,1358470,$288.33,$288.87,$285.27
09/28/2023,$290.32,1016998,$289.41,$293.56,$289.41
09/27/2023,$288.61,1217334,$289.15,$291.26,$286.20
09/26/2023,$288.47,1051365,$293.70,$293.8051,$287.97
09/25/2023,$294.34,806585,$289.44,$294.36,$289.1901
09/22/2023,$289.44,1170952,$289.37,$292.19,$288.80
09/21/2023,$290.84,1696188,$287.30,$292.48,$286.09
09/20/2023,$287.33,768039,$285.81,$288.90,$284.29
09/19/2023,$284.64,735721,$284.66,$286.63,$283.56
09/18/2023,$285.34,626522,$285.00,$286.20,$282.82
09/15/2023,$283.22,1595034,$283.08,$287.315,$282.11
09/14/2023,$283.31,892738,$287.58,$288.83,$281.81
09/13/2023,$285.21,1177920,$287.41,$287.82,$282.50
09/12/2023,$286.53,970874,$283.34,$288.39,$281.00
09/11/2023,$284.82,1191812,$282.01,$287.27,$280.91
09/08/2023,$281.48,1065206,$280.47,$284.19,$279.38
09/07/2023,$281.29,1029549,$276.73,$282.8174,$275.93
09/06/2023,$275.63,1004092,$277.30,$278.145,$274.90
09/05/2023,$278.75,1236337,$276.45,$280.99,$276.15
09/01/2023,$276.67,1118598,$277.81,$280.12,$276.17
08/31/2023,$276.26,1747492,$282.65,$282.99,$276.13
08/30/2023,$282.67,744950,$282.94,$284.55,$282.01
08/29/2023,$281.64,1117429,$282.22,$283.94,$279.00
08/28/2023,$281.55,531891,$280.59,$282.62,$280.25
08/25/2023,$279.23,1209436,$283.35,$284.615,$279.02
08/24/2023,$282.38,1340779,$281.37,$284.64,$280.38
08/23/2023,$281.83,1203449,$280.90,$282.855,$280.44
