Date,Close/Last,Volume,Open,High,Low
01/05/2024,$79.98,2825055,$80.43,$80.52,$79.52
01/04/2024,$80.34,4441914,$79.89,$80.59,$79.76
01/03/2024,$79.89,4959619,$80.96,$81.30,$79.82
01/02/2024,$80.72,6099623,$79.63,$80.73,$79.39
12/29/2023,$79.71,2463331,$79.12,$79.78,$79.10
12/28/2023,$79.24,2317090,$79.44,$79.49,$78.915
12/27/2023,$79.10,3268763,$78.69,$79.24,$78.53
12/26/2023,$79.04,3572689,$78.47,$79.35,$78.295
12/22/2023,$78.50,4042531,$78.14,$78.715,$77.98
12/21/2023,$77.91,5266979,$77.64,$77.97,$76.96
12/20/2023,$77.35,5326849,$77.74,$78.33,$77.34
12/19/2023,$78.13,3370676,$78.01,$78.56,$77.83
12/18/2023,$78.06,4212387,$77.53,$78.30,$77.36
12/15/2023,$76.98,10225590,$75.86,$77.01,$75.50
12/14/2023,$76.27,8434099,$78.29,$78.78,$76.20
12/13/2023,$79.39,4000106,$78.42,$79.435,$78.04
12/12/2023,$78.59,3798538,$77.82,$78.60,$77.525
12/11/2023,$77.64,3958261,$77.35,$77.875,$77.26
12/08/2023,$77.17,4317839,$77.56,$77.56,$76.685
12/07/2023,$77.62,3107413,$77.62,$77.98,$77.17
12/06/2023,$77.47,3595366,$77.65,$77.85,$77.13
12/05/2023,$77.68,4075267,$79.00,$79.0334,$77.535
12/04/2023,$78.98,4154418,$78.50,$79.185,$78.50
12/01/2023,$78.70,3488447,$78.86,$78.99,$78.345
11/30/2023,$78.77,7148474,$77.88,$79.02,$77.47
11/29/2023,$77.88,4010172,$77.84,$78.055,$77.475
11/28/2023,$77.87,3471220,$77.30,$77.995,$77.082
11/27/2023,$77.11,3706593,$77.38,$77.46,$77.005
11/24/2023,$77.31,1150389,$77.48,$77.48,$77.02
11/22/2023,$77.28,3217250,$76.90,$77.50,$76.86
11/21/2023,$76.57,3669545,$75.65,$76.59,$75.39
11/20/2023,$75.47,3150443,$75.28,$75.745,$75.17
11/17/2023,$75.58,3231685,$76.00,$76.16,$75.495
11/16/2023,$75.98,4432861,$75.57,$76.45,$75.56
11/15/2023,$75.47,4811136,$76.55,$77.05,$75.37
11/14/2023,$76.66,2919903,$75.80,$76.85,$75.71
11/13/2023,$75.95,2805450,$75.80,$76.26,$75.72
11/10/2023,$75.43,3667775,$75.31,$75.60,$74.67
11/09/2023,$75.14,2631881,$75.45,$75.56,$74.80
11/08/2023,$75.24,3113107,$75.19,$75.68,$74.87
11/07/2023,$75.23,3275018,$75.08,$75.56,$74.76
11/06/2023,$75.21,4288094,$74.86,$75.435,$74.72
11/03/2023,$74.82,4362485,$74.88,$75.345,$74.57
11/02/2023,$74.80,5624714,$74.71,$75.05,$74.225
11/01/2023,$74.93,4757792,$75.15,$75.30,$74.40
10/31/2023,$75.12,7591094,$74.22,$75.28,$73.97
10/30/2023,$73.88,6534096,$72.77,$74.20,$72.363
10/27/2023,$71.79,12666500,$73.31,$74.55,$71.465
10/26/2023,$73.08,6870979,$73.29,$73.935,$72.885
10/25/2023,$73.41,5355459,$72.83,$73.46,$72.585
10/24/2023,$72.84,4163325,$72.11,$72.915,$72.09
10/23/2023,$71.96,4517617,$73.00,$73.13,$71.87
10/20/2023,$73.27,6560071,$73.18,$73.61,$72.91
10/19/2023,$73.19,8005144,$73.25,$73.72,$72.56
10/18/2023,$73.07,6058485,$72.45,$73.43,$72.29
10/17/2023,$72.08,10084510,$72.06,$72.29,$71.2203
10/16/2023,$72.15,6437620,$71.62,$72.26,$71.07
10/13/2023,$70.95,3897995,$69.87,$71.03,$69.80
10/12/2023,$69.70,7153557,$68.85,$70.16,$68.54
10/11/2023,$68.87,3310221,$69.61,$70.04,$68.55
10/10/2023,$69.49,4737877,$69.59,$70.06,$69.27
10/09/2023,$69.31,3983511,$69.20,$69.55,$68.445
10/06/2023,$69.43,6481024,$69.01,$69.57,$67.62
10/05/2023,$69.27,3565431,$70.12,$70.27,$69.162
10/04/2023,$70.56,2777185,$70.54,$70.93,$69.9997
10/03/2023,$70.47,3174450,$70.84,$71.14,$70.36
10/02/2023,$70.76,2634379,$70.91,$70.98,$70.25
09/29/2023,$71.11,3226342,$71.79,$71.79,$70.725
09/28/2023,$71.31,3364052,$71.29,$71.53,$70.87
09/27/2023,$71.05,3572782,$71.93,$72.22,$70.82
09/26/2023,$72.00,3789390,$71.98,$72.415,$71.91
09/25/2023,$72.22,3296440,$72.25,$72.67,$71.855
09/22/2023,$72.45,4242754,$73.32,$73.68,$72.34
09/21/2023,$73.22,3315184,$73.85,$73.98,$73.20
09/20/2023,$73.76,4212158,$73.47,$73.95,$73.025
09/19/2023,$73.22,3015984,$73.66,$73.69,$72.595
09/18/2023,$73.85,4042675,$73.40,$74.11,$72.85
09/15/2023,$73.17,5597119,$73.29,$73.79,$72.92
09/14/2023,$73.46,3409486,$72.89,$73.47,$72.57
09/13/2023,$72.83,3111803,$72.93,$73.22,$72.475
09/12/2023,$72.52,3639404,$73.99,$73.99,$72.485
09/11/2023,$73.95,3286646,$73.20,$74.13,$73.19
09/08/2023,$73.20,3804535,$73.57,$73.80,$73.09
09/07/2023,$73.56,5704338,$72.65,$74.18,$72.64
09/06/2023,$72.32,2869243,$72.72,$72.84,$72.28
09/05/2023,$72.78,2976157,$73.00,$73.66,$72.73
09/01/2023,$73.27,2412842,$73.95,$73.965,$73.00
08/31/2023,$73.47,5205319,$74.00,$74.11,$73.42
08/30/2023,$73.85,2415534,$73.62,$74.0338,$73.46
08/29/2023,$73.47,3566519,$73.51,$73.67,$72.45
08/28/2023,$73.64,2871159,$73.94,$74.01,$73.175
08/25/2023,$73.83,2663334,$73.48,$74.105,$73.25
08/24/2023,$73.32,3692902,$73.55,$74.305,$73.30
08/23/2023,$73.51,2615319,$73.86,$74.165,$73.13
08/22/2023,$73.51,3096498,$73.59,$73.79,$73.13
08/21/2023,$73.80,3157321,$74.30,$74.38,$73.51
08/18/2023,$74.55,3681463,$73.62,$74.665,$73.53
08/17/2023,$74.00,2873139,$74.44,$74.855,$73.9532
08/16/2023,$74.42,3639922,$74.77,$74.97,$74.205
08/15/2023,$74.64,4476344,$75.47,$75.58,$74.425
08/14/2023,$75.72,4249030,$77.10,$77.16,$75.58
08/11/2023,$76.90,2742307,$76.46,$76.92,$76.26
08/10/2023,$76.28,2552396,$76.66,$77.185,$76.12
08/09/2023,$76.49,3314861,$76.38,$77.01,$76.29
08/08/2023,$76.33,3796241,$77.02,$77.13,$76.175
08/07/2023,$76.90,2469561,$76.46,$77.195,$76.46
08/04/2023,$76.26,4575043,$76.45,$77.16,$76.205
08/03/2023,$76.58,4935536,$77.32,$77.37,$76.225
08/02/2023,$77.54,4275781,$76.64,$77.85,$76.51
08/01/2023,$76.64,4721546,$76.12,$77.10,$76.12
07/31/2023,$76.26,8106148,$75.66,$76.505,$75.42
07/28/2023,$75.62,10891400,$75.20,$75.74,$73.75
07/27/2023,$77.11,5637193,$77.93,$78.39,$77.09
07/26/2023,$77.96,4116680,$77.75,$78.36,$77.20
07/25/2023,$77.84,4787387,$77.83,$77.92,$77.17
07/24/2023,$77.48,3494487,$77.12,$77.61,$76.78
07/21/2023,$77.19,11117940,$77.25,$77.565,$76.71
07/20/2023,$77.00,4345868,$75.94,$77.17,$75.43
07/19/2023,$76.42,5717687,$76.05,$76.555,$75.65
07/18/2023,$75.84,3916249,$75.82,$76.96,$75.66
07/17/2023,$75.58,5939048,$76.29,$76.38,$75.42
07/14/2023,$76.44,2977990,$75.82,$76.63,$75.5392
07/13/2023,$75.86,4346165,$75.39,$76.025,$75.03
07/12/2023,$75.16,5291475,$75.46,$75.73,$75.01
07/11/2023,$75.39,5200151,$75.97,$75.97,$74.65
07/10/2023,$75.89,3724995,$75.79,$76.51,$75.58
07/07/2023,$75.59,4420220,$76.71,$76.75,$75.53
07/06/2023,$76.91,3287749,$76.48,$77.09,$76.28
07/05/2023,$76.87,4796448,$77.30,$77.44,$76.66
07/03/2023,$77.14,2092186,$76.65,$77.435,$76.52
06/30/2023,$77.04,4781864,$76.72,$77.41,$76.57
06/29/2023,$76.56,4419072,$75.45,$76.74,$75.14
06/28/2023,$75.91,5100429,$75.33,$75.94,$74.65
06/27/2023,$75.73,7488486,$76.41,$76.62,$75.62
06/26/2023,$76.64,4236624,$76.65,$76.905,$75.61
06/23/2023,$77.11,10964600,$78.33,$78.33,$77.04
06/22/2023,$78.00,3939084,$78.03,$78.18,$77.45
06/21/2023,$77.62,3618085,$77.63,$77.94,$77.22
06/20/2023,$77.62,5232048,$77.94,$78.53,$77.61
06/16/2023,$77.78,7369039,$77.09,$78.04,$77.09
06/15/2023,$76.80,3947553,$75.85,$76.82,$75.50
06/14/2023,$75.42,2978982,$75.23,$75.82,$74.985
06/13/2023,$75.24,4121157,$75.29,$75.51,$75.035
06/12/2023,$75.72,3374671,$76.19,$76.29,$75.18
06/09/2023,$75.84,3186703,$75.46,$76.06,$75.335
06/08/2023,$75.73,3218853,$75.27,$75.76,$75.07
06/07/2023,$75.20,3879627,$75.22,$75.43,$74.43
06/06/2023,$75.57,5154551,$76.36,$76.53,$75.29
06/05/2023,$76.25,4681302,$75.82,$77.005,$76.02
06/02/2023,$76.05,4755175,$74.75,$76.12,$74.60
06/01/2023,$74.90,4704062,$74.91,$75.27,$74.64
05/31/2023,$74.38,19133280,$75.14,$75.22,$74.30
05/30/2023,$74.95,4341371,$75.48,$75.88,$74.665
05/26/2023,$76.21,5750021,$76.20,$76.72,$76.14
05/25/2023,$76.25,6149874,$76.25,$76.63,$75.535
05/24/2023,$76.48,7584219,$77.24,$77.43,$76.47
05/23/2023,$77.04,5299335,$78.29,$78.32,$77.04
05/22/2023,$78.41,6066167,$79.58,$79.66,$78.22
05/19/2023,$79.93,3763284,$79.87,$80.04,$79.37
05/18/2023,$79.69,4043695,$80.11,$80.26,$79.01
05/17/2023,$80.51,3083045,$80.74,$81.07,$80.14
05/16/2023,$80.77,7159505,$81.15,$81.29,$80.395
05/15/2023,$81.08,4477083,$81.89,$82.09,$80.82
05/12/2023,$81.98,3483875,$81.47,$82.05,$81.31
05/11/2023,$81.63,3243344,$81.37,$81.67,$80.91
05/10/2023,$81.10,5094412,$80.55,$81.33,$80.345
