Date,Close/Last,Volume,Open,High,Low
01/05/2024,$56.51,1931198,$55.16,$57.07,$54.845
01/04/2024,$55.07,2392802,$55.14,$56.13,$54.97
01/03/2024,$54.68,2276349,$55.56,$55.57,$54.18
01/02/2024,$56.50,2342842,$55.46,$56.85,$54.93
12/29/2023,$55.81,1465531,$56.29,$56.47,$55.53
12/28/2023,$56.57,1084820,$55.94,$56.60,$55.94
12/27/2023,$56.29,930852,$56.08,$56.56,$55.73
12/26/2023,$56.28,718360,$55.27,$56.47,$54.90
12/22/2023,$55.16,1022158,$55.44,$56.30,$54.82
12/21/2023,$55.07,1744602,$54.68,$55.43,$54.22
12/20/2023,$53.84,1809213,$55.05,$55.82,$53.61
12/19/2023,$55.73,1445587,$54.76,$55.91,$54.39
12/18/2023,$54.66,1623289,$55.81,$55.81,$54.34
12/15/2023,$55.39,4433903,$56.74,$57.25,$55.10
12/14/2023,$56.81,4658157,$54.63,$57.39,$54.63
12/13/2023,$53.05,3221508,$49.51,$53.18,$49.305
12/12/2023,$49.51,1719524,$49.23,$49.64,$48.88
12/11/2023,$49.88,1260615,$49.81,$50.47,$49.635
12/08/2023,$49.97,1865446,$49.19,$50.53,$49.02
12/07/2023,$49.24,2933421,$47.71,$49.42,$47.63
12/06/2023,$47.62,4618828,$48.48,$49.92,$46.80
12/05/2023,$47.83,1837794,$48.95,$49.19,$47.66
12/04/2023,$49.45,2389682,$47.79,$49.92,$47.68
12/01/2023,$48.20,2993168,$44.83,$48.31,$44.63
11/30/2023,$45.22,1856658,$45.34,$45.865,$44.79
11/29/2023,$45.08,2391689,$44.17,$45.54,$44.17
11/28/2023,$43.58,1919821,$43.34,$43.69,$42.55
11/27/2023,$43.28,1436025,$43.28,$43.52,$42.90
11/24/2023,$43.76,400445,$43.72,$44.14,$43.41
11/22/2023,$43.63,851079,$44.24,$44.40,$43.38
11/21/2023,$43.76,1267708,$44.45,$44.515,$43.64
11/20/2023,$44.77,1232720,$45.02,$45.17,$44.44
11/17/2023,$45.23,1112746,$44.98,$45.33,$44.41
11/16/2023,$44.34,1120363,$44.87,$45.17,$43.76
11/15/2023,$45.05,1878370,$44.25,$45.81,$44.22
11/14/2023,$44.18,2654956,$43.00,$44.8158,$42.90
11/13/2023,$40.98,1313261,$41.14,$41.19,$40.41
11/10/2023,$41.35,1242203,$41.49,$41.66,$40.75
11/09/2023,$41.16,1322773,$42.47,$42.52,$40.98
11/08/2023,$42.25,1265361,$42.40,$42.47,$41.8161
11/07/2023,$42.45,1890143,$42.73,$43.24,$42.23
11/06/2023,$42.97,1860881,$44.03,$44.35,$42.61
11/03/2023,$44.08,2701931,$43.69,$44.44,$43.52
