Date,Close/Last,Volume,Open,High,Low
10/23/2023,$213.61,1497233,$213.01,$215.125,$212.50
10/20/2023,$212.81,1277636,$214.39,$215.22,$212.34
10/19/2023,$214.12,1062852,$215.22,$216.45,$213.88
10/18/2023,$215.99,1455092,$216.34,$218.37,$214.95
10/17/2023,$216.50,1496525,$218.85,$219.79,$215.05
10/16/2023,$218.82,1519455,$220.41,$221.115,$218.66
10/13/2023,$219.38,1771648,$220.82,$221.76,$217.555
10/12/2023,$220.06,1951655,$218.52,$221.13,$217.17
10/11/2023,$217.10,1345103,$216.71,$217.285,$216.11
10/10/2023,$216.09,2171469,$215.76,$218.43,$215.1099
10/09/2023,$215.76,1621011,$211.69,$215.81,$211.69
10/06/2023,$211.93,1789554,$207.91,$212.43,$207.70
10/05/2023,$207.40,1595085,$203.61,$207.79,$203.09
10/04/2023,$203.24,1519969,$201.66,$203.54,$200.85
10/03/2023,$201.66,1636826,$201.03,$203.765,$199.41
10/02/2023,$200.15,952538,$199.63,$200.35,$197.93
09/29/2023,$200.22,1325579,$201.96,$202.50,$199.35
09/28/2023,$201.66,1090653,$200.68,$201.87,$199.86
09/27/2023,$200.36,1222142,$199.83,$200.84,$198.06
09/26/2023,$199.83,1125994,$200.61,$200.61,$198.88
09/25/2023,$200.85,829402,$201.49,$201.76,$200.01
09/22/2023,$201.72,1197280,$202.36,$203.764,$200.75
09/21/2023,$202.21,1425468,$206.09,$206.97,$201.96
09/20/2023,$205.91,880838,$206.45,$207.085,$205.09
09/19/2023,$206.48,1084184,$207.00,$207.89,$205.95
09/18/2023,$206.55,737770,$207.32,$207.66,$206.04
09/15/2023,$206.82,1659944,$207.81,$208.57,$206.43
09/14/2023,$207.81,922338,$206.55,$208.28,$206.55
09/13/2023,$207.42,1370041,$206.52,$207.60,$205.81
09/12/2023,$206.15,921186,$205.73,$206.81,$205.43
09/11/2023,$205.92,1053407,$204.55,$206.78,$204.35
09/08/2023,$204.99,946511,$205.95,$206.04,$204.13
09/07/2023,$205.29,1346989,$203.66,$206.31,$201.77
09/06/2023,$203.66,1797551,$203.00,$206.11,$201.97
09/05/2023,$202.53,1192323,$202.97,$203.54,$201.52
09/01/2023,$202.89,838071,$202.80,$203.44,$201.74
08/31/2023,$202.68,1039410,$202.83,$203.23,$201.90
08/30/2023,$202.45,1056229,$203.41,$203.80,$201.736
08/29/2023,$202.71,1352516,$203.77,$204.77,$201.61
08/28/2023,$203.32,1169737,$203.31,$203.79,$202.52
08/25/2023,$203.22,1297614,$200.31,$204.56,$199.72
08/24/2023,$200.11,1198552,$200.07,$202.135,$199.70
08/23/2023,$200.75,2113130,$200.02,$201.34,$199.86
08/22/2023,$199.49,1671328,$201.83,$202.18,$199.00
08/21/2023,$202.60,1019004,$202.60,$203.45,$201.02
08/18/2023,$203.73,1478580,$202.95,$204.835,$202.1169
08/17/2023,$204.03,1683162,$206.48,$206.76,$203.97
08/16/2023,$206.00,1091106,$205.00,$206.68,$204.825
08/15/2023,$205.17,1341037,$206.01,$206.42,$204.48
08/14/2023,$206.45,1206873,$206.74,$207.53,$205.28
08/11/2023,$205.77,1014877,$204.59,$206.63,$204.16
08/10/2023,$204.80,1595212,$206.60,$207.00,$203.89
08/09/2023,$206.52,1777058,$205.01,$209.31,$204.79
08/08/2023,$205.09,1063945,$208.04,$208.04,$204.61
08/07/2023,$208.36,1303036,$205.97,$209.24,$205.5353
08/04/2023,$205.07,2427312,$206.08,$208.43,$204.50
08/03/2023,$202.84,1650777,$199.13,$203.26,$198.005
08/02/2023,$199.67,999745,$199.52,$200.58,$198.82
08/01/2023,$199.825,1162773,$199.31,$200.27,$198.50
07/31/2023,$198.96,1465179,$199.81,$200.00,$198.08
07/28/2023,$199.42,1151198,$199.91,$200.81,$198.91
07/27/2023,$198.66,2198254,$199.80,$202.355,$197.855
07/26/2023,$198.75,2618989,$192.13,$199.46,$191.44
07/25/2023,$191.22,1368699,$191.00,$191.36,$189.855
07/24/2023,$191.04,1300084,$189.25,$191.24,$188.36
07/21/2023,$189.26,1172414,$187.59,$189.31,$186.39
07/20/2023,$187.41,945583,$186.38,$188.25,$186.11
07/19/2023,$186.38,1910488,$187.70,$189.91,$186.27
07/18/2023,$187.05,1194495,$185.44,$187.20,$184.96
07/17/2023,$185.25,1435997,$186.00,$187.45,$185.04
07/14/2023,$186.13,1635977,$183.77,$186.745,$183.12
07/13/2023,$183.22,1931683,$181.03,$183.67,$180.875
07/12/2023,$181.31,1331328,$181.90,$182.20,$180.11
07/11/2023,$182.33,968714,$181.70,$182.43,$180.895
07/10/2023,$181.30,1253782,$182.48,$182.82,$181.125
07/07/2023,$181.95,905969,$182.91,$183.73,$181.84
07/06/2023,$183.25,1458161,$183.68,$184.00,$182.36
07/05/2023,$183.85,1362578,$185.50,$185.53,$181.95
07/03/2023,$186.16,480551,$185.26,$186.59,$183.75
06/30/2023,$185.29,1768231,$183.85,$186.41,$183.85
06/29/2023,$183.36,1394776,$183.15,$183.93,$182.28
06/28/2023,$183.14,1936589,$180.55,$183.24,$179.44
06/27/2023,$178.95,1442030,$179.79,$180.48,$177.975
06/26/2023,$178.89,1300747,$180.99,$181.05,$177.97
06/23/2023,$181.67,2211097,$182.10,$182.96,$180.94
06/22/2023,$182.10,917406,$181.01,$182.49,$180.40
06/21/2023,$181.60,1332609,$182.165,$183.18,$180.32
06/20/2023,$182.69,1739178,$183.52,$184.28,$182.22
06/16/2023,$184.11,3639647,$183.05,$184.93,$182.77
06/15/2023,$182.22,1454367,$182.56,$183.70,$181.01
06/14/2023,$181.51,1565963,$177.89,$181.98,$177.37
06/13/2023,$177.74,2574473,$179.65,$180.06,$177.04
06/12/2023,$179.35,2220237,$183.25,$183.25,$177.55
06/09/2023,$184.84,831583,$185.76,$186.12,$184.51
06/08/2023,$185.45,1389513,$181.43,$185.57,$180.98
06/07/2023,$182.55,1670823,$185.07,$185.07,$181.94
06/06/2023,$184.35,1408445,$186.61,$187.3225,$183.10
06/05/2023,$186.27,1653682,$186.50,$189.165,$185.58
06/02/2023,$185.30,1581154,$180.44,$185.68,$180.02
06/01/2023,$180.02,1384007,$179.25,$180.46,$178.56
05/31/2023,$178.75,6501507,$178.67,$180.53,$177.235
05/30/2023,$178.20,1501297,$176.00,$178.32,$175.73
05/26/2023,$176.67,1105211,$176.70,$177.85,$176.40
05/25/2023,$177.02,1212708,$178.99,$179.145,$176.55
05/24/2023,$180.07,1345769,$178.65,$180.41,$178.09
05/23/2023,$179.08,1316394,$181.81,$182.39,$178.87
05/22/2023,$181.93,1158512,$181.39,$182.15,$179.95
05/19/2023,$181.82,1080838,$181.59,$183.23,$181.04
05/18/2023,$181.81,940526,$182.21,$182.4974,$180.285
05/17/2023,$182.51,1326070,$181.52,$182.765,$179.86
05/16/2023,$181.59,733055,$183.44,$184.83,$181.55
05/15/2023,$184.37,934965,$184.95,$185.555,$184.00
05/12/2023,$184.95,862454,$184.44,$185.30,$184.02
05/11/2023,$183.48,938913,$185.25,$185.55,$182.56
05/10/2023,$185.31,1002839,$184.87,$185.89,$182.96
05/09/2023,$184.63,722194,$185.69,$186.38,$184.56
05/08/2023,$185.69,641453,$184.75,$186.19,$184.20
05/05/2023,$185.13,984521,$184.93,$186.20,$183.2801
05/04/2023,$183.93,1468619,$180.06,$184.51,$179.90
05/03/2023,$181.33,1235220,$186.34,$187.11,$181.145
05/02/2023,$185.53,1181260,$185.38,$185.87,$182.4413
05/01/2023,$186.63,1091624,$185.79,$187.41,$185.74
04/28/2023,$185.77,1158950,$183.95,$185.87,$183.22
04/27/2023,$184.41,1533440,$184.75,$184.87,$182.65
04/26/2023,$184.93,2170800,$186.20,$188.52,$183.51
04/25/2023,$187.79,1655822,$186.75,$188.59,$186.32
04/24/2023,$187.22,1272265,$189.73,$190.11,$186.87
04/21/2023,$189.73,1168913,$190.02,$191.28,$188.305
04/20/2023,$190.35,1131640,$193.14,$193.50,$189.42
04/19/2023,$192.27,1004891,$191.83,$193.63,$190.88
04/18/2023,$191.38,1217085,$192.09,$192.395,$190.82
04/17/2023,$192.12,1158678,$190.27,$192.40,$189.0678
04/14/2023,$190.48,1174986,$189.94,$190.80,$188.705
04/13/2023,$189.93,1364878,$191.40,$192.50,$189.47
04/12/2023,$191.74,1404145,$192.18,$193.38,$191.14
04/11/2023,$191.58,1562151,$193.14,$193.68,$191.02
04/10/2023,$192.74,1003065,$194.43,$195.00,$192.32
04/06/2023,$195.10,1370087,$195.30,$196.30,$193.78
04/05/2023,$195.19,1586073,$193.38,$195.50,$193.15
04/04/2023,$193.04,1276939,$189.61,$193.47,$189.61
04/03/2023,$190.31,1669610,$190.80,$192.17,$190.17
03/31/2023,$191.52,2047224,$188.99,$192.00,$188.80
03/30/2023,$188.93,1309231,$188.30,$189.09,$187.29
03/29/2023,$187.05,1615374,$188.00,$188.69,$186.155
03/28/2023,$187.32,1629312,$185.54,$187.58,$184.64
03/27/2023,$185.02,2108945,$185.35,$185.92,$183.96
03/24/2023,$183.55,1382947,$180.05,$183.99,$178.12
03/23/2023,$180.03,2100149,$178.87,$181.90,$176.51
03/22/2023,$179.48,1861659,$182.81,$183.245,$179.43
03/21/2023,$182.71,2753199,$185.34,$186.14,$181.75
03/20/2023,$184.78,1952532,$186.86,$187.70,$183.07
03/17/2023,$185.98,5039463,$187.21,$190.235,$185.28
03/16/2023,$187.21,2176619,$182.75,$189.11,$182.57
03/15/2023,$182.67,2785412,$182.45,$185.58,$180.65
03/14/2023,$185.37,2340260,$181.08,$185.49,$180.60
03/13/2023,$179.71,3158679,$174.01,$182.515,$174.01
03/10/2023,$174.67,2024545,$177.02,$178.30,$174.15
03/09/2023,$177.47,1644956,$181.11,$181.57,$176.70
03/08/2023,$181.92,1271678,$182.10,$183.085,$180.405
03/07/2023,$182.22,1696816,$184.81,$185.02,$181.20
03/06/2023,$184.90,1455176,$185.76,$186.78,$184.31
03/03/2023,$185.29,1416318,$186.59,$188.00,$184.92
03/02/2023,$186.50,1345554,$183.50,$186.55,$182.50
03/01/2023,$184.23,1713796,$185.00,$185.47,$183.16
02/28/2023,$185.36,2140527,$183.82,$186.11,$182.40
02/27/2023,$184.14,1435245,$188.14,$188.51,$183.94
02/24/2023,$187.17,1640571,$186.40,$187.685,$185.92
02/23/2023,$187.10,1382829,$186.745,$189.14,$186.15
02/22/2023,$187.00,1336743,$187.59,$188.54,$186.395
02/21/2023,$187.89,1674548,$187.80,$188.9271,$186.73
02/17/2023,$188.64,1662536,$188.08,$189.42,$187.58
02/16/2023,$188.50,1556421,$188.29,$189.43,$187.285
02/15/2023,$188.29,1144825,$185.14,$188.37,$184.95
02/14/2023,$186.39,1225517,$186.07,$187.44,$184.9325
