Date,Close/Last,Volume,Open,High,Low
01/05/2024,$59.34,1675097,$59.27,$59.80,$59.015
01/04/2024,$59.38,1829593,$59.35,$59.90,$59.0365
01/03/2024,$59.29,1908004,$59.31,$59.485,$58.89
01/02/2024,$59.21,2188051,$57.84,$59.29,$57.78
12/29/2023,$58.07,1538869,$57.93,$58.285,$57.75
12/28/2023,$58.00,2828526,$57.20,$58.02,$57.20
12/27/2023,$57.46,1847922,$57.28,$57.57,$57.03
12/26/2023,$57.50,1067194,$57.20,$57.68,$57.08
12/22/2023,$57.23,1602203,$57.23,$57.84,$57.08
12/21/2023,$56.91,2022631,$57.06,$57.52,$56.54
12/20/2023,$57.10,2005224,$57.88,$58.015,$57.065
12/19/2023,$58.04,2055557,$58.25,$58.34,$57.75
12/18/2023,$58.10,3406652,$58.34,$58.47,$57.87
12/15/2023,$57.98,4149255,$58.27,$58.56,$57.495
12/14/2023,$58.96,3043747,$60.30,$60.36,$58.74
12/13/2023,$59.91,2646313,$58.04,$59.91,$57.50
12/12/2023,$57.97,2640640,$58.21,$58.21,$57.51
12/11/2023,$58.08,2559107,$57.95,$58.40,$57.655
12/08/2023,$58.15,2281686,$57.87,$58.265,$57.41
12/07/2023,$57.94,2082376,$57.85,$58.175,$57.37
12/06/2023,$57.83,2280914,$57.49,$57.98,$57.34
12/05/2023,$57.33,2511472,$58.43,$58.43,$57.22
12/04/2023,$58.33,1843689,$58.02,$58.735,$57.84
12/01/2023,$58.40,3880113,$56.71,$58.42,$56.62
11/30/2023,$56.76,3234670,$56.87,$57.00,$56.22
11/29/2023,$56.75,2296949,$57.53,$57.85,$56.665
11/28/2023,$57.44,2457972,$57.30,$58.12,$57.18
11/27/2023,$57.33,2950264,$57.57,$57.57,$57.015
11/24/2023,$57.59,858234,$57.29,$57.59,$56.96
11/22/2023,$57.07,2233639,$57.02,$57.219,$56.62
11/21/2023,$56.83,2274151,$57.26,$57.31,$56.46
11/20/2023,$57.14,1958318,$57.21,$57.25,$56.35
11/17/2023,$57.40,2110659,$57.87,$57.87,$57.14
11/16/2023,$57.50,3112638,$57.65,$57.90,$57.11
11/15/2023,$57.08,2037984,$57.10,$58.01,$56.875
11/14/2023,$57.25,2470340,$56.58,$57.28,$56.38
11/13/2023,$55.31,3264982,$55.54,$55.67,$54.99
11/10/2023,$55.60,2755622,$55.11,$55.90,$54.97
11/09/2023,$54.74,2691145,$55.41,$55.785,$54.70
11/08/2023,$55.40,4098115,$55.05,$55.47,$54.27
11/07/2023,$55.26,3038586,$55.06,$55.28,$54.52
11/06/2023,$55.07,2378295,$55.70,$55.98,$55.04
11/03/2023,$55.74,2426906,$56.39,$56.44,$55.71
11/02/2023,$55.51,2053602,$54.16,$55.895,$54.13
11/01/2023,$54.73,2481187,$54.46,$55.065,$53.79
10/31/2023,$54.34,2582297,$54.34,$54.51,$53.6388
10/30/2023,$54.09,2833690,$54.28,$54.85,$53.53
10/27/2023,$54.27,3007185,$55.04,$55.295,$54.21
10/26/2023,$55.18,5237073,$54.46,$55.73,$54.04
10/25/2023,$54.45,4649449,$53.43,$54.51,$53.38
10/24/2023,$53.64,3971937,$53.14,$53.76,$52.99
