Date,Close/Last,Volume,Open,High,Low
01/05/2024,$43.38,475065,$43.15,$43.71,$43.15
01/04/2024,$42.95,422049,$42.68,$43.30,$42.35
01/03/2024,$42.42,347631,$42.70,$42.93,$42.395
01/02/2024,$42.74,220572,$42.42,$42.8833,$42.42
12/29/2023,$42.31,154533,$42.39,$42.69,$42.02
12/28/2023,$42.27,151969,$41.86,$42.315,$41.86
12/27/2023,$41.86,125051,$41.98,$42.095,$41.83
12/26/2023,$42.02,91584,$42.05,$42.1504,$41.845
12/22/2023,$42.03,103543,$42.16,$42.34,$41.85
12/21/2023,$41.91,135011,$42.13,$42.25,$41.425
12/20/2023,$42.12,260873,$42.24,$42.45,$41.99
12/19/2023,$42.33,202056,$41.75,$42.37,$41.70
12/18/2023,$41.85,147937,$41.25,$41.905,$40.985
12/15/2023,$41.22,377898,$41.39,$41.625,$40.92
12/14/2023,$41.26,231387,$42.28,$42.28,$41.13
12/13/2023,$42.25,644958,$41.70,$42.25,$41.31
12/12/2023,$41.78,154283,$41.51,$41.92,$41.45
12/11/2023,$41.67,136698,$41.65,$41.91,$41.56
12/08/2023,$41.55,184850,$41.53,$41.56,$41.20
12/07/2023,$41.65,143102,$42.49,$42.49,$41.61
12/06/2023,$42.28,213460,$43.02,$43.42,$41.97
12/05/2023,$43.24,217448,$42.69,$43.5789,$42.60
12/04/2023,$42.69,158387,$42.18,$42.875,$42.18
12/01/2023,$42.22,141622,$42.08,$42.42,$41.99
11/30/2023,$42.13,144969,$41.41,$42.17,$41.41
11/29/2023,$41.40,119411,$41.51,$41.64,$41.1901
11/28/2023,$41.45,110311,$41.99,$42.065,$41.35
11/27/2023,$41.92,143661,$41.81,$42.055,$41.5901
11/24/2023,$41.81,67983,$41.64,$42.21,$41.64
11/22/2023,$41.51,138752,$41.16,$41.61,$40.98
11/21/2023,$41.25,190835,$40.75,$41.45,$40.75
11/20/2023,$40.66,210848,$39.97,$40.82,$39.75
11/17/2023,$40.12,193135,$39.80,$40.29,$39.80
11/16/2023,$39.74,154943,$39.35,$39.77,$39.35
11/15/2023,$39.22,112024,$39.45,$39.57,$39.185
11/14/2023,$39.51,161039,$38.99,$39.65,$38.8722
11/13/2023,$39.09,101057,$38.99,$39.23,$38.87
11/10/2023,$38.96,150097,$38.98,$39.025,$38.32
11/09/2023,$39.44,138799,$39.21,$39.52,$39.01
11/08/2023,$39.20,104862,$39.48,$39.64,$39.11
11/07/2023,$39.56,143587,$39.77,$39.77,$39.48
11/06/2023,$39.91,262764,$39.97,$40.17,$39.71
11/03/2023,$40.04,151346,$40.60,$40.625,$40.01
11/02/2023,$40.42,235836,$40.77,$40.91,$40.01
11/01/2023,$40.75,164980,$40.40,$41.10,$40.1929
10/31/2023,$40.40,169313,$39.42,$40.67,$39.42
