Date,Close/Last,Volume,Open,High,Low
10/25/2023,$15.49,2457081,$15.35,$15.64,$15.1142
10/24/2023,$15.37,2794988,$15.48,$15.68,$15.29
10/23/2023,$15.53,4855393,$15.70,$16.11,$15.41
10/20/2023,$15.75,2741614,$16.10,$16.2355,$15.71
10/19/2023,$16.19,2427710,$16.27,$16.77,$16.17
10/18/2023,$16.22,2922944,$16.39,$16.79,$16.19
10/17/2023,$16.50,2790302,$16.32,$16.99,$16.29
10/16/2023,$16.32,4626460,$17.09,$17.10,$16.29
10/13/2023,$17.00,3316623,$17.70,$17.84,$16.955
10/12/2023,$17.96,2988334,$18.50,$18.59,$17.52
10/11/2023,$18.45,3457876,$18.89,$19.20,$18.32
10/10/2023,$18.89,2038558,$19.12,$19.415,$18.89
10/09/2023,$19.07,2863936,$19.41,$19.66,$18.95
10/06/2023,$19.66,5255328,$18.71,$19.85,$18.67
10/05/2023,$18.68,2718376,$18.50,$18.785,$18.41
10/04/2023,$18.60,3260897,$18.06,$18.63,$17.92
10/03/2023,$18.22,4803321,$18.32,$18.8071,$18.18
10/02/2023,$18.49,3755175,$18.37,$18.745,$18.37
09/29/2023,$18.35,2502817,$18.23,$18.595,$18.155
09/28/2023,$18.19,1873040,$18.18,$18.47,$18.02
09/27/2023,$18.09,2036320,$18.01,$18.22,$17.765
09/26/2023,$18.01,2965068,$18.08,$18.52,$18.00
09/25/2023,$18.11,2964379,$17.70,$18.56,$17.58
09/22/2023,$17.64,2982669,$17.92,$18.42,$17.59
09/21/2023,$17.77,4774739,$17.19,$18.34,$17.18
09/20/2023,$17.23,1548995,$17.46,$17.705,$17.20
09/19/2023,$17.41,2480793,$16.86,$17.48,$16.75
09/18/2023,$16.90,2027440,$16.74,$17.16,$16.41
09/15/2023,$16.77,4545834,$16.40,$16.95,$16.40
09/14/2023,$16.52,1449246,$16.68,$16.92,$16.39
09/13/2023,$16.54,1720591,$16.48,$16.68,$16.13
09/12/2023,$16.38,1226503,$15.98,$16.38,$15.93
