Date,Close/Last,Volume,Open,High,Low
10/20/2023,$31.01,988530,$31.86,$31.99,$30.99
10/19/2023,$31.94,1379815,$32.43,$32.64,$31.58
10/18/2023,$32.50,1237133,$33.30,$33.60,$32.37
10/17/2023,$33.98,1157004,$32.64,$34.40,$32.629
10/16/2023,$33.94,1183144,$32.72,$34.16,$32.56
10/13/2023,$32.72,1399875,$34.04,$34.18,$32.56
10/12/2023,$33.97,1614948,$34.83,$34.84,$33.38
10/11/2023,$34.79,4331684,$34.80,$36.09,$34.05
10/10/2023,$33.06,7260848,$35.01,$35.439,$32.92
10/09/2023,$31.00,1287369,$30.56,$31.15,$30.16
10/06/2023,$31.21,1416842,$30.14,$31.55,$29.83
10/05/2023,$30.54,1390655,$30.52,$30.91,$30.115
10/04/2023,$30.89,1425419,$31.44,$31.44,$30.33
10/03/2023,$31.29,2485457,$31.76,$32.00,$31.12
10/02/2023,$32.33,1131467,$32.71,$32.82,$31.961
09/29/2023,$32.64,1420305,$32.87,$33.24,$32.57
09/28/2023,$32.11,2568168,$32.04,$32.65,$31.6221
09/27/2023,$31.97,1320770,$31.81,$32.295,$31.23
09/26/2023,$31.76,1699731,$31.68,$32.25,$31.57
09/25/2023,$32.18,3209630,$30.81,$32.53,$30.81
09/22/2023,$31.27,9173671,$29.79,$32.43,$29.53
09/21/2023,$28.92,3034282,$29.59,$29.90,$28.47
09/20/2023,$30.15,2626657,$30.91,$31.1564,$30.11
09/19/2023,$30.74,3499615,$31.84,$31.84,$30.52
09/18/2023,$32.00,2115368,$32.18,$32.505,$31.73
09/15/2023,$32.41,4474847,$33.26,$33.26,$32.10
09/14/2023,$33.75,2401704,$33.01,$33.86,$32.41
09/13/2023,$32.72,1606304,$32.97,$33.04,$32.47
09/12/2023,$32.76,1952853,$32.87,$33.32,$32.2094
09/11/2023,$32.83,2517088,$33.72,$33.82,$32.245
09/08/2023,$33.20,1671996,$33.16,$33.68,$33.15
09/07/2023,$33.55,2711949,$34.57,$34.57,$33.11
09/06/2023,$34.88,2236927,$35.23,$35.48,$34.49
09/05/2023,$35.66,3377928,$36.02,$36.60,$35.38
09/01/2023,$37.54,1218230,$38.12,$38.31,$37.30
08/31/2023,$37.63,1922078,$36.79,$37.99,$36.78
08/30/2023,$36.45,1570691,$36.30,$37.225,$36.01
08/29/2023,$36.86,2177015,$35.99,$37.13,$35.79
08/28/2023,$35.96,1588832,$35.53,$36.545,$35.48
