Date,Close/Last,Volume,Open,High,Low
01/05/2024,$29.88,2531358,$29.32,$29.95,$28.872
01/04/2024,$29.48,2184639,$29.30,$29.85,$29.20
01/03/2024,$29.52,1195936,$29.93,$29.93,$29.43
01/02/2024,$30.30,807032,$30.05,$30.42,$30.03
12/29/2023,$30.27,1200515,$30.27,$30.53,$30.16
12/28/2023,$30.58,1004154,$30.15,$30.59,$30.15
12/27/2023,$30.36,781103,$30.33,$30.45,$30.13
12/26/2023,$30.26,672366,$30.08,$30.285,$30.0629
12/22/2023,$30.13,1108553,$29.98,$30.50,$29.91
12/21/2023,$29.86,2433468,$29.74,$29.87,$29.27
12/20/2023,$29.46,2785731,$29.73,$30.01,$29.39
12/19/2023,$29.69,3071389,$29.60,$29.93,$29.52
12/18/2023,$29.42,1575739,$29.69,$29.83,$29.36
12/15/2023,$29.76,4164725,$30.35,$30.55,$29.68
12/14/2023,$30.46,2229412,$30.42,$30.92,$30.275
12/13/2023,$29.82,2184373,$28.60,$30.25,$28.50
12/12/2023,$28.59,2136661,$28.60,$28.80,$28.48
12/11/2023,$28.62,3079428,$28.29,$28.70,$28.23
12/08/2023,$28.38,1927432,$28.13,$28.49,$28.04
12/07/2023,$28.35,5159626,$28.39,$28.57,$28.14
12/06/2023,$28.41,3282824,$28.72,$28.795,$28.07
12/05/2023,$28.57,1617200,$28.74,$28.8099,$28.45
12/04/2023,$28.90,1600365,$28.52,$29.07,$28.36
12/01/2023,$28.71,2083588,$28.07,$28.85,$27.85
11/30/2023,$28.23,3120853,$28.11,$28.32,$27.60
11/29/2023,$28.18,1684712,$28.44,$28.74,$28.17
11/28/2023,$28.16,1583295,$28.14,$28.36,$27.91
11/27/2023,$28.22,2410846,$28.12,$28.73,$28.03
11/24/2023,$28.20,439799,$27.81,$28.2299,$27.78
11/22/2023,$27.84,1424860,$28.23,$28.325,$27.685
11/21/2023,$27.93,2271969,$27.80,$28.485,$27.64
11/20/2023,$28.02,2425222,$27.24,$28.27,$27.13
11/17/2023,$27.39,2270116,$27.52,$27.53,$27.03
11/16/2023,$27.15,2553265,$26.65,$27.26,$26.43
11/15/2023,$26.64,2818768,$25.95,$26.91,$25.92
11/14/2023,$26.01,2546089,$25.30,$26.55,$25.15
11/13/2023,$24.39,2386776,$24.82,$25.00,$24.31
11/10/2023,$25.03,2311493,$25.16,$25.21,$24.83
11/09/2023,$25.11,2113271,$25.47,$25.49,$24.81
11/08/2023,$25.36,1812630,$25.42,$25.68,$25.33
11/07/2023,$25.35,2956609,$26.04,$26.19,$25.33
11/06/2023,$26.06,2665592,$26.78,$26.94,$25.91
11/03/2023,$26.80,4504214,$26.32,$27.57,$25.88
11/02/2023,$27.64,2778971,$27.43,$27.785,$27.14
11/01/2023,$26.80,1876620,$26.28,$26.81,$26.13
10/31/2023,$26.22,1832673,$26.06,$26.24,$25.875
10/30/2023,$25.87,1237366,$25.45,$25.87,$25.215
10/27/2023,$25.33,1702551,$25.79,$25.79,$25.15
10/26/2023,$25.64,1418642,$25.64,$25.92,$25.525
10/25/2023,$25.58,1239396,$26.05,$26.24,$25.44
10/24/2023,$26.16,1714711,$26.07,$26.35,$25.91
10/23/2023,$25.90,2841948,$26.58,$26.65,$25.8401
10/20/2023,$26.84,1645046,$27.27,$27.45,$26.82
10/19/2023,$27.08,2102969,$27.47,$27.64,$27.055
10/18/2023,$27.60,1310796,$28.52,$28.70,$27.40
10/17/2023,$28.74,3224915,$27.67,$29.32,$27.66
10/16/2023,$27.85,1872222,$27.38,$27.93,$27.23
10/13/2023,$27.18,5750776,$27.55,$27.56,$25.72
10/12/2023,$27.46,4644558,$29.21,$29.29,$27.29
10/11/2023,$29.28,3313594,$30.13,$30.24,$29.24
10/10/2023,$29.80,1569338,$29.52,$30.11,$29.49
10/09/2023,$29.61,1323795,$29.04,$29.70,$29.04
10/06/2023,$29.32,1826158,$29.21,$29.635,$28.84
10/05/2023,$29.52,2243870,$29.30,$29.55,$28.62
10/04/2023,$29.35,2181668,$28.86,$29.36,$28.43
10/03/2023,$28.73,2139059,$29.40,$29.60,$28.65
10/02/2023,$29.59,1505691,$30.26,$30.40,$29.145
09/29/2023,$30.41,1416866,$30.85,$30.99,$30.31
09/28/2023,$30.52,952895,$30.33,$30.74,$30.19
09/27/2023,$30.48,1489191,$30.77,$30.87,$30.31
09/26/2023,$30.61,1833636,$31.27,$31.37,$30.40
09/25/2023,$31.52,690925,$31.69,$31.8772,$31.44
09/22/2023,$31.86,1219469,$31.74,$32.29,$31.64
09/21/2023,$31.65,1242251,$32.31,$32.34,$31.64
09/20/2023,$32.56,1014887,$32.84,$33.24,$32.47
09/19/2023,$32.57,801171,$32.51,$32.84,$32.41
09/18/2023,$32.65,749350,$32.98,$33.0379,$32.635
09/15/2023,$33.01,3744158,$32.51,$33.11,$32.29
09/14/2023,$32.67,1542917,$32.75,$32.93,$32.47
09/13/2023,$32.44,1073785,$32.70,$32.82,$32.32
09/12/2023,$32.75,1144893,$32.79,$33.06,$32.675
09/11/2023,$32.89,666361,$32.89,$33.18,$32.701
09/08/2023,$32.87,846016,$33.10,$33.27,$32.76
09/07/2023,$33.03,1336793,$32.53,$33.15,$32.38
09/06/2023,$32.62,1781141,$32.80,$33.16,$32.54
09/05/2023,$32.86,1489380,$33.31,$33.72,$32.80
09/01/2023,$33.53,1802746,$33.85,$33.90,$33.31
08/31/2023,$33.65,1089471,$33.77,$33.88,$33.63
08/30/2023,$33.73,1473901,$33.47,$33.875,$33.305
08/29/2023,$33.38,1002573,$32.96,$33.41,$32.86
08/28/2023,$33.05,1108507,$32.92,$33.20,$32.90
08/25/2023,$32.82,1070868,$32.94,$32.975,$32.605
08/24/2023,$32.71,918428,$32.97,$33.46,$32.535
08/23/2023,$33.01,1244325,$32.48,$33.095,$32.30
08/22/2023,$32.24,1155595,$32.16,$32.38,$31.98
08/21/2023,$31.89,1191495,$31.93,$31.96,$31.50
08/18/2023,$32.01,1521590,$31.19,$32.0675,$31.19
08/17/2023,$31.28,724378,$31.66,$31.86,$31.27
08/16/2023,$31.65,894718,$31.70,$31.92,$31.54
08/15/2023,$31.61,1044791,$32.20,$32.34,$31.59
08/14/2023,$32.37,795395,$31.93,$32.38,$31.90
08/11/2023,$31.96,691911,$31.74,$32.12,$31.62
08/10/2023,$31.97,1516534,$32.21,$32.41,$31.79
08/09/2023,$32.05,1275616,$32.00,$32.32,$31.75
08/08/2023,$32.03,1346407,$32.03,$32.195,$31.84
08/07/2023,$32.37,1489607,$32.25,$32.50,$31.83
