Date,Close/Last,Volume,Open,High,Low
01/05/2024,$11.52,5515547,$11.42,$11.67,$11.39
01/04/2024,$11.54,3829548,$11.50,$11.66,$11.435
01/03/2024,$11.55,4634204,$12.08,$12.10,$11.515
01/02/2024,$12.22,3765102,$12.26,$12.27,$12.07
12/29/2023,$12.42,2466899,$12.46,$12.54,$12.40
12/28/2023,$12.52,2580822,$12.43,$12.56,$12.43
12/27/2023,$12.43,2875381,$12.49,$12.51,$12.37
12/26/2023,$12.47,3238065,$12.47,$12.52,$12.40
12/22/2023,$12.45,2284918,$12.47,$12.54,$12.365
12/21/2023,$12.48,2864629,$12.48,$12.57,$12.36
12/20/2023,$12.29,4822491,$12.57,$12.61,$12.2814
12/19/2023,$12.66,3308347,$12.60,$12.79,$12.60
12/18/2023,$12.56,3170808,$12.56,$12.665,$12.48
12/15/2023,$12.52,13825960,$12.67,$12.70,$12.435
12/14/2023,$12.64,9038253,$12.14,$12.74,$12.14
12/13/2023,$12.19,4704468,$11.86,$12.235,$11.79
12/12/2023,$11.91,8828196,$11.80,$11.97,$11.78
12/11/2023,$11.78,2646048,$11.69,$11.82,$11.60
12/08/2023,$11.62,3307371,$11.62,$11.785,$11.59
12/07/2023,$11.66,2853800,$11.54,$11.68,$11.525
12/06/2023,$11.55,3088464,$11.59,$11.84,$11.51
12/05/2023,$11.52,4213455,$11.73,$11.82,$11.49
12/04/2023,$11.86,5173122,$11.52,$11.875,$11.48
12/01/2023,$11.58,4145780,$11.41,$11.605,$11.33
11/30/2023,$11.40,4904094,$11.38,$11.50,$11.17
11/29/2023,$11.34,3465038,$11.34,$11.485,$11.34
11/28/2023,$11.31,4349318,$11.18,$11.505,$11.18
11/27/2023,$11.23,3960390,$11.33,$11.40,$11.205
11/24/2023,$11.36,2484519,$11.05,$11.36,$11.05
11/22/2023,$11.04,3798338,$10.95,$11.16,$10.93
11/21/2023,$10.86,4137513,$10.84,$10.98,$10.84
11/20/2023,$10.93,4965727,$11.06,$11.07,$10.85
11/17/2023,$11.06,4581524,$10.94,$11.16,$10.83
11/16/2023,$10.82,4692604,$10.64,$10.945,$10.61
11/15/2023,$10.83,5099658,$10.80,$10.995,$10.72
11/14/2023,$10.81,8688169,$10.15,$10.85,$10.14
11/13/2023,$9.87,3271553,$9.72,$9.95,$9.70
11/10/2023,$9.79,2216563,$9.78,$9.8375,$9.66
11/09/2023,$9.77,6873799,$10.03,$10.06,$9.62
11/08/2023,$10.03,6366930,$9.66,$10.39,$9.41
11/07/2023,$9.91,4166555,$9.81,$10.00,$9.745
11/06/2023,$9.85,7034293,$9.82,$9.91,$9.69
11/03/2023,$9.81,5064534,$9.81,$9.94,$9.71
11/02/2023,$9.63,5349250,$9.59,$9.68,$9.46
11/01/2023,$9.32,6314760,$9.15,$9.335,$9.015
10/31/2023,$9.37,3717433,$9.26,$9.44,$9.21
10/30/2023,$9.23,7604571,$9.26,$9.35,$9.115
10/27/2023,$9.14,4744257,$9.41,$9.46,$9.095
10/26/2023,$9.38,5269157,$9.68,$9.75,$9.34
10/25/2023,$9.67,5503306,$9.64,$9.805,$9.495
10/24/2023,$9.63,4571471,$9.50,$9.685,$9.42
10/23/2023,$9.44,5412720,$9.46,$9.59,$9.31
10/20/2023,$9.49,6256274,$9.64,$9.675,$9.445
10/19/2023,$9.63,6775822,$9.79,$9.94,$9.58
10/18/2023,$9.77,4859305,$9.91,$9.965,$9.76
10/17/2023,$9.95,4152288,$9.61,$10.02,$9.51
10/16/2023,$9.75,5920337,$9.72,$9.85,$9.66
10/13/2023,$9.67,5633494,$9.40,$9.71,$9.33
10/12/2023,$9.43,7677169,$9.82,$9.855,$9.39
10/11/2023,$9.91,9887832,$10.42,$10.45,$9.73
10/10/2023,$10.39,3890789,$10.38,$10.58,$10.38
10/09/2023,$10.47,3528278,$10.48,$10.56,$10.22
10/06/2023,$10.55,8185326,$10.18,$10.64,$10.16
10/05/2023,$10.30,6256795,$10.32,$10.40,$10.21
10/04/2023,$10.31,8964614,$10.29,$10.365,$10.06
10/03/2023,$10.30,7550013,$10.70,$10.855,$10.27
10/02/2023,$10.74,6227626,$10.95,$11.01,$10.70
09/29/2023,$10.97,6228572,$11.17,$11.25,$10.91
09/28/2023,$11.14,23279450,$11.00,$11.15,$10.90
09/27/2023,$11.02,9170396,$11.58,$11.61,$10.865
09/26/2023,$11.58,7162397,$11.49,$11.75,$11.33
09/25/2023,$11.79,3237426,$11.78,$11.89,$11.63
09/22/2023,$11.87,4302778,$12.38,$12.525,$11.85
09/21/2023,$12.27,5336172,$11.90,$12.28,$11.79
09/20/2023,$11.98,4896096,$12.13,$12.3994,$11.98
09/19/2023,$11.47,3999179,$11.45,$11.65,$11.22
09/18/2023,$11.59,4611663,$11.26,$11.87,$11.13
09/15/2023,$11.91,9805685,$11.58,$11.94,$11.5501
09/14/2023,$11.48,3016378,$11.34,$11.49,$11.295
09/13/2023,$11.27,3336014,$11.39,$11.53,$11.25
09/12/2023,$11.41,3011701,$11.60,$11.665,$11.375
09/11/2023,$11.63,3756023,$11.50,$11.73,$11.415
09/08/2023,$11.31,5455719,$11.35,$11.36,$11.195
09/07/2023,$11.36,3335827,$11.08,$11.385,$11.065
09/06/2023,$11.16,2478435,$11.15,$11.23,$11.07
09/05/2023,$11.16,4078569,$11.46,$11.50,$11.065
09/01/2023,$11.57,2583827,$11.68,$11.78,$11.55
08/31/2023,$11.56,2569233,$11.65,$11.69,$11.52
08/30/2023,$11.55,2808355,$11.51,$11.64,$11.46
08/29/2023,$11.56,2603985,$11.25,$11.615,$11.22
08/28/2023,$11.26,3792862,$11.11,$11.32,$11.10
08/25/2023,$11.02,3761167,$11.03,$11.14,$11.005
08/24/2023,$11.04,3261821,$11.21,$11.34,$11.0001
08/23/2023,$11.25,6336723,$10.72,$11.34,$10.565
08/22/2023,$10.72,8051808,$10.87,$10.97,$10.45
08/21/2023,$10.97,9174079,$11.40,$11.40,$10.88
08/18/2023,$11.28,5735471,$10.97,$11.48,$10.93
08/17/2023,$11.15,2985551,$11.54,$11.54,$11.13
08/16/2023,$11.45,2299146,$11.60,$11.67,$11.44
08/15/2023,$11.66,2262983,$11.79,$11.80,$11.57
08/14/2023,$11.87,3856465,$11.71,$11.90,$11.62
08/11/2023,$11.72,1918665,$11.72,$11.83,$11.64
08/10/2023,$11.82,2397520,$11.85,$12.13,$11.77
08/09/2023,$11.70,3355338,$11.98,$12.03,$11.665
08/08/2023,$11.95,2819430,$12.09,$12.09,$11.90
08/07/2023,$12.20,2255728,$12.19,$12.355,$12.065
08/04/2023,$12.07,3943359,$12.16,$12.215,$12.01
08/03/2023,$12.08,2284856,$12.04,$12.1775,$11.9321
08/02/2023,$12.12,3381382,$11.61,$12.16,$11.60
08/01/2023,$11.71,3188086,$11.91,$11.975,$11.68
07/31/2023,$12.04,2489996,$12.00,$12.12,$11.935
07/28/2023,$11.98,2740256,$11.76,$12.02,$11.76
07/27/2023,$11.61,6192671,$12.05,$12.13,$11.55
07/26/2023,$12.41,3608356,$12.60,$12.60,$12.345
07/25/2023,$12.55,5160185,$12.18,$12.57,$12.14
07/24/2023,$12.13,3843396,$12.06,$12.21,$11.98
07/21/2023,$12.05,4483343,$12.10,$12.25,$12.03
07/20/2023,$11.95,3877456,$12.28,$12.28,$11.8504
07/19/2023,$12.33,3521485,$12.44,$12.485,$12.21
07/18/2023,$12.47,2554116,$12.34,$12.52,$12.2501
07/17/2023,$12.37,2843873,$12.15,$12.51,$12.12
