Date,Close/Last,Volume,Open,High,Low
10/23/2023,$39.03,1545087,$38.74,$39.70,$38.37
10/20/2023,$39.23,1675910,$39.43,$39.64,$38.58
10/19/2023,$39.43,2414496,$39.28,$40.19,$38.7681
10/18/2023,$39.44,1499171,$39.29,$40.0789,$39.10
10/17/2023,$38.81,1433569,$38.34,$39.31,$38.34
10/16/2023,$38.58,1344292,$38.71,$38.85,$37.80
10/13/2023,$38.39,2026181,$38.31,$39.10,$38.03
10/12/2023,$37.23,1505055,$37.16,$37.2899,$36.53
10/11/2023,$36.94,1701575,$36.14,$37.11,$35.55
10/10/2023,$36.85,1384023,$36.86,$37.25,$36.5901
10/09/2023,$36.78,2715175,$35.69,$36.91,$35.31
10/06/2023,$33.64,1638324,$33.34,$34.21,$33.02
10/05/2023,$33.27,1902148,$33.18,$34.035,$32.91
10/04/2023,$33.64,2890528,$35.75,$35.78,$33.36
10/03/2023,$36.43,1607435,$36.57,$36.9699,$36.03
10/02/2023,$36.83,1935946,$39.28,$39.28,$36.42
09/29/2023,$39.12,1127354,$39.61,$39.61,$38.80
09/28/2023,$39.51,1677760,$39.80,$40.30,$39.205
09/27/2023,$39.71,3167027,$38.70,$40.41,$38.50
09/26/2023,$37.85,1210917,$37.61,$38.4199,$37.53
09/25/2023,$38.13,992567,$37.20,$38.14,$36.925
09/22/2023,$37.10,1408354,$37.79,$38.17,$36.91
09/21/2023,$37.39,1434830,$37.89,$38.32,$37.19
09/20/2023,$37.86,2029428,$37.54,$38.55,$37.50
09/19/2023,$38.00,1304722,$39.12,$39.12,$37.65
09/18/2023,$38.51,1589872,$39.29,$39.38,$38.19
09/15/2023,$38.58,6473472,$39.20,$39.22,$37.94
09/14/2023,$39.57,1601446,$40.54,$40.76,$39.425
09/13/2023,$39.88,1373178,$40.16,$40.27,$39.17
09/12/2023,$40.11,1896421,$38.90,$40.18,$38.87
09/11/2023,$38.36,1965396,$40.06,$40.25,$37.89
09/08/2023,$39.76,1301118,$40.50,$40.87,$39.62
09/07/2023,$40.31,1236377,$40.66,$41.24,$40.16
09/06/2023,$40.80,1179329,$40.50,$41.06,$40.28
09/05/2023,$40.56,1668951,$40.86,$41.36,$40.39
09/01/2023,$40.68,1480044,$39.84,$40.88,$39.79
08/31/2023,$39.23,1734132,$39.08,$39.39,$38.50
08/30/2023,$38.82,1194148,$38.09,$38.92,$37.95
08/29/2023,$37.94,880940,$37.84,$38.37,$37.18
08/28/2023,$37.58,1190576,$37.31,$37.87,$37.18
08/25/2023,$36.81,1292033,$36.34,$37.14,$35.96
08/24/2023,$35.90,1212632,$35.73,$36.39,$35.66
08/23/2023,$36.27,1078134,$36.11,$36.46,$35.41
08/22/2023,$36.52,1127849,$36.98,$37.43,$36.385
08/21/2023,$36.94,1942630,$37.30,$37.98,$36.54
08/18/2023,$36.77,1254692,$35.56,$36.93,$35.54
08/17/2023,$35.99,1433966,$36.20,$36.8747,$35.65
08/16/2023,$35.37,1376001,$35.99,$36.6216,$35.21
08/15/2023,$35.59,1368447,$36.14,$36.40,$35.55
08/14/2023,$36.62,987166,$36.39,$36.745,$35.825
08/11/2023,$36.82,1032732,$36.90,$37.55,$36.715
08/10/2023,$37.03,1109071,$37.58,$38.06,$36.65
08/09/2023,$37.69,1953191,$38.14,$38.70,$37.51
08/08/2023,$37.55,1275892,$35.76,$37.66,$35.4384
08/07/2023,$36.76,1451706,$36.98,$37.055,$35.91
08/04/2023,$36.75,1978747,$36.34,$37.47,$35.975
08/03/2023,$35.91,2445880,$36.44,$37.38,$35.10
08/02/2023,$35.83,1916916,$36.36,$36.77,$35.48
08/01/2023,$36.74,2094338,$37.00,$37.1682,$35.93
