Date,Close/Last,Volume,Open,High,Low
10/23/2023,$17.70,3239084,$17.49,$17.98,$17.46
10/20/2023,$17.65,4938842,$17.61,$17.92,$17.435
10/19/2023,$17.69,7314282,$17.28,$17.88,$17.175
10/18/2023,$17.31,5023230,$17.75,$17.805,$17.24
10/17/2023,$17.83,4056750,$17.71,$17.98,$17.63
10/16/2023,$17.83,4259383,$17.51,$17.915,$17.45
10/13/2023,$17.54,5094155,$17.35,$17.65,$17.35
10/12/2023,$17.46,5591052,$17.76,$17.76,$17.25
10/11/2023,$17.73,5703268,$17.73,$17.76,$17.5501
10/10/2023,$17.53,9385836,$17.67,$17.75,$17.33
10/09/2023,$17.68,4133643,$17.39,$17.84,$17.39
10/06/2023,$17.62,5371232,$17.00,$17.68,$16.995
10/05/2023,$17.18,6617891,$16.90,$17.27,$16.73
10/04/2023,$16.90,6356344,$16.75,$16.975,$16.725
10/03/2023,$16.66,5420189,$16.86,$17.00,$16.55
10/02/2023,$16.96,4904828,$16.95,$17.11,$16.83
09/29/2023,$17.00,7747707,$17.18,$17.245,$16.97
09/28/2023,$16.94,10004840,$16.67,$17.10,$16.295
09/27/2023,$16.77,12107190,$17.00,$17.11,$16.69
09/26/2023,$16.90,5671707,$17.10,$17.215,$16.89
09/25/2023,$17.27,5590767,$16.92,$17.30,$16.92
09/22/2023,$17.14,5634855,$17.26,$17.39,$17.06
09/21/2023,$17.00,6006108,$17.25,$17.32,$16.99
09/20/2023,$17.63,5355631,$17.79,$17.90,$17.55
09/19/2023,$17.81,11094430,$18.26,$18.395,$17.71
09/18/2023,$18.50,5666203,$18.33,$18.93,$18.28
09/15/2023,$18.34,6675376,$18.48,$18.64,$18.33
09/14/2023,$18.57,6179994,$19.02,$19.33,$18.57
09/13/2023,$18.88,8457832,$18.67,$19.055,$18.57
09/12/2023,$18.86,4195544,$18.71,$18.978,$18.64
09/11/2023,$18.90,4202887,$18.73,$18.97,$18.66
09/08/2023,$18.52,3178829,$18.45,$18.64,$18.415
09/07/2023,$18.52,4455816,$18.11,$18.65,$18.01
09/06/2023,$18.43,3744971,$18.60,$18.67,$18.28
09/05/2023,$18.58,6042638,$18.99,$18.99,$18.55
09/01/2023,$19.15,7020645,$19.15,$19.195,$18.685
08/31/2023,$18.98,5682176,$18.58,$19.0198,$18.54
08/30/2023,$18.61,4497134,$18.47,$18.715,$18.325
08/29/2023,$18.61,5824168,$18.32,$18.63,$18.25
08/28/2023,$18.32,3806310,$18.62,$18.65,$18.20
08/25/2023,$18.49,6880983,$18.45,$18.61,$18.185
08/24/2023,$18.31,3908657,$18.86,$18.885,$18.28
08/23/2023,$18.76,4707386,$18.64,$18.99,$18.59
08/22/2023,$18.65,5960198,$18.85,$18.98,$18.525
08/21/2023,$18.68,9361485,$18.05,$18.885,$18.01
08/18/2023,$17.97,4573488,$17.75,$18.03,$17.715
08/17/2023,$18.10,4381859,$18.71,$18.715,$18.025
08/16/2023,$18.50,5330356,$18.80,$18.80,$18.46
08/15/2023,$18.93,4672137,$19.04,$19.10,$18.895
08/14/2023,$19.19,5861299,$19.00,$19.35,$18.95
08/11/2023,$19.31,6436459,$19.05,$19.42,$18.84
08/10/2023,$19.31,10567730,$19.52,$19.92,$19.20
08/09/2023,$19.30,27222510,$19.545,$19.99,$19.19
08/08/2023,$17.89,9310756,$17.82,$18.14,$17.57
08/07/2023,$18.00,7863134,$18.00,$18.01,$17.67
08/04/2023,$17.88,6462518,$18.10,$18.12,$17.88
08/03/2023,$17.88,4549009,$17.68,$17.99,$17.5509
08/02/2023,$17.63,5587824,$17.90,$18.05,$17.42
08/01/2023,$18.20,4248216,$18.07,$18.25,$17.99
07/31/2023,$18.15,5724585,$18.10,$18.30,$17.87
07/28/2023,$18.01,13044600,$17.33,$18.06,$17.32
07/27/2023,$16.98,7305185,$17.37,$17.52,$16.83
07/26/2023,$17.18,8922176,$17.09,$17.35,$17.01
07/25/2023,$17.03,4404809,$17.34,$17.34,$16.865
07/24/2023,$17.20,6280289,$17.05,$17.42,$16.95
07/21/2023,$17.09,6964266,$17.28,$17.40,$17.045
07/20/2023,$17.08,7676374,$17.65,$17.80,$17.02
07/19/2023,$17.94,4997150,$18.10,$18.19,$17.90
07/18/2023,$17.97,6019336,$17.90,$18.1985,$17.8296
07/17/2023,$17.92,5890907,$17.54,$17.99,$17.40
07/14/2023,$17.61,6780126,$17.82,$18.00,$17.58
07/13/2023,$17.75,12200570,$17.81,$17.92,$17.43
07/12/2023,$17.56,4855974,$17.54,$17.63,$17.43
07/11/2023,$17.27,4686942,$16.90,$17.40,$16.885
07/10/2023,$16.83,4057074,$16.62,$17.02,$16.52
07/07/2023,$16.72,4172838,$16.79,$17.025,$16.67
07/06/2023,$16.77,5100128,$16.81,$17.015,$16.71
07/05/2023,$17.15,7625547,$17.48,$17.695,$16.98
07/03/2023,$17.34,3779743,$17.60,$17.74,$17.34
06/30/2023,$17.40,5066940,$17.46,$17.60,$17.31
06/29/2023,$17.26,4863347,$17.16,$17.39,$17.03
06/28/2023,$17.20,8858025,$17.09,$17.7601,$17.06
06/27/2023,$17.32,15507830,$16.26,$17.44,$16.16
06/26/2023,$16.07,10075760,$16.51,$16.90,$16.06
06/23/2023,$16.60,78863150,$16.595,$16.76,$16.29
06/22/2023,$16.72,8327116,$17.10,$17.23,$16.59
06/21/2023,$17.16,6919591,$17.14,$17.245,$16.84
06/20/2023,$17.20,9683330,$16.90,$17.32,$16.71
06/16/2023,$17.28,9379266,$16.93,$17.32,$16.86
06/15/2023,$16.97,6087569,$16.64,$17.08,$16.57
06/14/2023,$16.78,4889458,$16.52,$16.81,$16.4469
06/13/2023,$16.60,5629770,$16.75,$17.00,$16.54
06/12/2023,$16.54,6828519,$16.09,$16.57,$15.955
06/09/2023,$16.01,6746028,$16.11,$16.20,$15.93
06/08/2023,$16.02,5316288,$15.94,$16.20,$15.87
06/07/2023,$15.88,7627748,$16.11,$16.17,$15.70
06/06/2023,$15.98,10415470,$15.68,$16.03,$15.68
06/05/2023,$15.66,8540469,$16.35,$15.80,$15.43
06/02/2023,$16.53,6959577,$16.30,$16.69,$16.30
06/01/2023,$16.11,11154980,$15.54,$16.40,$15.44
05/31/2023,$15.60,5642585,$15.24,$15.715,$15.12
05/30/2023,$15.40,8167489,$15.82,$15.885,$15.085
05/26/2023,$15.73,9818960,$15.40,$15.85,$15.23
05/25/2023,$15.35,7308696,$15.85,$16.015,$15.2548
05/24/2023,$15.73,7238739,$15.69,$15.805,$15.33
05/23/2023,$15.72,12045900,$15.72,$16.135,$15.54
05/22/2023,$16.01,7270997,$16.45,$16.75,$15.98
05/19/2023,$16.29,8633082,$15.95,$16.33,$15.825
05/18/2023,$15.99,11350300,$16.07,$16.555,$15.72
05/17/2023,$16.04,6479247,$15.85,$16.23,$15.675
05/16/2023,$15.84,7677094,$16.30,$16.54,$15.805
05/15/2023,$16.54,6944094,$16.00,$16.82,$15.7862
05/12/2023,$16.05,5782056,$16.21,$16.39,$16.01
05/11/2023,$16.39,9093462,$16.70,$16.79,$15.895
05/10/2023,$16.61,14800370,$16.61,$16.79,$15.905
05/09/2023,$17.39,15445080,$17.56,$17.815,$17.04
05/08/2023,$17.78,8465036,$17.41,$17.85,$17.025
05/05/2023,$17.44,6638846,$17.38,$17.60,$16.98
05/04/2023,$17.21,9239561,$17.06,$17.36,$16.91
05/03/2023,$16.95,7875415,$16.78,$17.11,$16.74
05/02/2023,$16.79,7653881,$16.73,$16.86,$16.47
05/01/2023,$16.92,3979784,$16.61,$16.94,$16.52
04/28/2023,$16.76,6278342,$16.25,$16.82,$16.22
04/27/2023,$16.42,4568400,$16.17,$16.43,$16.10
04/26/2023,$15.94,6575429,$15.75,$16.00,$15.72
04/25/2023,$15.69,5616279,$15.49,$15.79,$15.47
04/24/2023,$15.81,5834564,$15.685,$15.825,$15.46
04/21/2023,$15.64,3207014,$15.74,$15.74,$15.394
04/20/2023,$15.75,2078921,$15.63,$15.83,$15.61
04/19/2023,$15.90,3399511,$15.71,$16.215,$15.65
04/18/2023,$15.87,4143053,$16.37,$16.45,$15.7807
04/17/2023,$16.24,4816124,$16.01,$16.31,$15.88
04/14/2023,$16.03,4274180,$15.67,$16.08,$15.59
04/13/2023,$15.58,5919965,$15.19,$15.70,$15.19
04/12/2023,$15.13,5804366,$15.70,$15.769,$15.01
04/11/2023,$15.45,6797055,$15.56,$15.62,$15.425
04/10/2023,$15.60,3363686,$15.45,$15.67,$15.345
04/06/2023,$15.74,4133381,$15.54,$15.91,$15.43
04/05/2023,$15.64,7624348,$16.35,$16.355,$15.35
04/04/2023,$16.31,7049745,$16.12,$16.53,$15.985
04/03/2023,$16.07,5096378,$15.81,$16.21,$15.62
03/31/2023,$16.00,9688233,$15.79,$16.04,$15.65
03/30/2023,$15.70,6269266,$15.75,$15.90,$15.615
03/29/2023,$15.67,4639430,$15.33,$15.72,$15.25
03/28/2023,$15.22,5143025,$15.27,$15.39,$15.1715
03/27/2023,$15.27,6242665,$15.29,$15.42,$15.14
03/24/2023,$15.29,9970271,$14.68,$15.32,$14.621
03/23/2023,$14.61,11665020,$14.58,$14.9215,$14.51
03/22/2023,$14.23,12066210,$13.96,$14.38,$13.76
03/21/2023,$13.64,13172770,$13.38,$13.71,$13.33
03/20/2023,$13.17,9465695,$13.14,$13.37,$12.96
03/17/2023,$13.16,6410242,$13.13,$13.30,$13.005
03/16/2023,$13.28,5792858,$12.93,$13.405,$12.80
03/15/2023,$12.91,6887103,$12.91,$13.02,$12.665
03/14/2023,$13.22,7112231,$13.35,$13.37,$13.10
03/13/2023,$13.18,10486450,$13.00,$13.62,$12.84
03/10/2023,$13.29,5425861,$13.50,$13.585,$13.01
03/09/2023,$13.64,4893325,$13.98,$14.17,$13.56
03/08/2023,$14.22,6155230,$13.90,$14.30,$13.45
03/07/2023,$13.95,7194950,$14.28,$14.37,$13.905
03/06/2023,$14.34,7298966,$14.59,$14.68,$14.26
03/03/2023,$14.58,12539970,$14.35,$14.60,$14.16
03/02/2023,$14.00,14860480,$14.36,$14.4075,$13.75
03/01/2023,$14.67,18085740,$15.39,$15.40,$14.29
02/28/2023,$15.51,13005340,$15.32,$16.0669,$15.32
02/27/2023,$15.22,10679140,$14.90,$15.415,$14.75
02/24/2023,$14.77,6843901,$14.75,$14.83,$14.55
02/23/2023,$15.08,6689014,$15.06,$15.225,$14.74
02/22/2023,$14.94,9623533,$15.24,$15.34,$14.69
02/21/2023,$14.89,8826011,$15.53,$15.65,$14.86
02/17/2023,$15.77,5378198,$15.88,$16.02,$15.59
02/16/2023,$16.17,5426260,$16.05,$16.72,$16.05
02/15/2023,$16.42,8793403,$15.50,$16.54,$15.4201
02/14/2023,$15.54,5809866,$15.29,$15.84,$15.26
02/13/2023,$15.44,6554036,$15.70,$15.92,$15.325
02/10/2023,$15.65,4762277,$15.68,$15.94,$15.33
02/09/2023,$15.79,7221897,$16.77,$17.03,$15.73
02/08/2023,$16.34,4806010,$16.41,$16.56,$16.19
02/07/2023,$16.45,5961730,$16.43,$16.685,$16.12
02/06/2023,$16.51,5800545,$16.30,$16.71,$16.13
02/03/2023,$16.19,9017127,$17.10,$17.50,$16.18
02/02/2023,$17.56,5893296,$17.45,$17.69,$17.08
02/01/2023,$17.04,4603060,$16.80,$17.2371,$16.46
01/31/2023,$16.89,4770275,$16.57,$16.95,$16.57
01/30/2023,$16.48,5452910,$16.37,$16.76,$16.025
01/27/2023,$16.71,4865123,$16.28,$16.95,$16.175
01/26/2023,$16.12,4455588,$16.49,$16.58,$16.025
01/25/2023,$16.08,8197314,$16.00,$16.09,$15.17
01/24/2023,$16.42,4628011,$16.60,$16.70,$16.12
01/23/2023,$16.69,5745895,$16.82,$17.245,$16.66
01/20/2023,$16.69,4879776,$16.38,$16.88,$16.20
01/19/2023,$16.20,7450305,$16.82,$16.91,$16.06
01/18/2023,$17.00,5680586,$17.27,$17.39,$16.945
01/17/2023,$17.00,3621750,$16.93,$17.18,$16.7416
01/13/2023,$16.91,5529892,$16.55,$17.01,$16.49
01/12/2023,$16.91,6233318,$17.46,$17.63,$16.805
01/11/2023,$17.25,7511754,$18.17,$18.50,$17.115
01/10/2023,$18.13,8495004,$17.96,$18.42,$17.73
01/09/2023,$17.87,11764990,$17.00,$17.95,$16.8399
01/06/2023,$16.71,8118772,$15.96,$16.95,$15.84
01/05/2023,$15.81,7161618,$15.40,$16.00,$15.40
01/04/2023,$15.63,8263244,$15.27,$15.725,$15.02
01/03/2023,$14.92,7391520,$15.03,$15.37,$14.71
12/30/2022,$14.71,11069270,$14.31,$14.72,$14.10
12/29/2022,$14.66,6351554,$14.73,$14.83,$14.46
12/28/2022,$14.60,5791134,$15.02,$15.15,$14.525
12/27/2022,$15.16,4298084,$15.15,$15.42,$14.935
12/23/2022,$15.13,3996871,$15.46,$15.55,$15.055
