Date,Close/Last,Volume,Open,High,Low
01/05/2024,$98.19,998642,$97.02,$98.69,$96.30
01/04/2024,$97.81,840233,$97.38,$99.01,$97.1811
01/03/2024,$97.81,657256,$99.76,$99.76,$97.64
01/02/2024,$100.38,960283,$99.16,$100.60,$98.71
12/29/2023,$99.29,753517,$100.00,$100.30,$99.22
12/28/2023,$100.43,810966,$98.54,$100.51,$98.45
12/27/2023,$98.88,762168,$98.52,$99.54,$98.0669
12/26/2023,$98.46,693348,$98.09,$98.89,$97.76
12/22/2023,$97.79,1602751,$97.86,$98.57,$97.55
12/21/2023,$97.24,854956,$97.85,$98.11,$96.39
12/20/2023,$96.79,940568,$98.25,$98.98,$96.78
12/19/2023,$98.47,1901327,$99.87,$100.195,$98.07
12/18/2023,$99.44,1201963,$99.47,$99.96,$98.58
12/15/2023,$98.95,2253274,$100.20,$100.98,$98.00
12/14/2023,$101.61,1430460,$99.40,$102.40,$99.39
12/13/2023,$98.11,1136454,$94.22,$98.84,$94.14
12/12/2023,$94.10,753919,$93.60,$94.57,$92.81
12/11/2023,$93.42,698017,$93.25,$93.94,$92.78
12/08/2023,$93.65,1075360,$93.01,$94.35,$92.85
12/07/2023,$93.40,667365,$93.40,$94.08,$92.7219
12/06/2023,$93.39,939192,$93.49,$94.53,$92.92
12/05/2023,$93.04,1087363,$92.61,$93.10,$91.41
12/04/2023,$93.04,804120,$91.83,$93.23,$91.55
12/01/2023,$92.62,795627,$90.33,$93.18,$90.33
11/30/2023,$90.26,1913713,$89.65,$90.34,$89.0146
11/29/2023,$89.75,1881191,$90.35,$91.61,$89.55
11/28/2023,$89.40,1255126,$88.10,$89.69,$87.609
11/27/2023,$88.34,848261,$88.67,$89.16,$88.115
11/24/2023,$88.73,186081,$88.00,$88.75,$87.97
11/22/2023,$88.42,503642,$88.76,$88.90,$87.90
11/21/2023,$87.70,1040889,$88.32,$88.69,$87.51
11/20/2023,$88.60,1760220,$87.09,$88.88,$86.495
11/17/2023,$87.35,1306401,$88.35,$88.625,$86.78
11/16/2023,$87.57,1356674,$89.37,$89.505,$87.52
11/15/2023,$88.89,1413789,$89.52,$90.62,$88.83
