Date,Close/Last,Volume,Open,High,Low
01/05/2024,$114.42,236985,$114.74,$115.25,$113.07
01/04/2024,$115.42,312460,$114.98,$116.625,$114.50
01/03/2024,$113.70,297392,$116.41,$116.41,$113.12
01/02/2024,$116.92,210839,$116.87,$117.58,$114.995
12/29/2023,$118.14,243262,$117.99,$118.705,$117.2385
12/28/2023,$118.33,145868,$116.92,$118.33,$116.92
12/27/2023,$117.87,123051,$117.18,$118.055,$116.795
12/26/2023,$116.96,136277,$116.09,$117.52,$115.94
12/22/2023,$116.01,134355,$114.57,$116.31,$114.57
12/21/2023,$114.03,190212,$113.41,$115.00,$112.50
12/20/2023,$112.60,192968,$112.99,$114.4299,$111.845
12/19/2023,$113.54,93892,$114.00,$114.53,$112.68
12/18/2023,$112.23,208027,$110.28,$112.75,$110.20
12/15/2023,$110.36,917439,$109.34,$112.24,$109.25
12/14/2023,$109.15,327115,$108.81,$110.98,$106.89
12/13/2023,$107.82,250801,$107.45,$108.92,$107.27
12/12/2023,$107.56,201724,$107.48,$109.145,$106.33
12/11/2023,$107.40,214555,$106.89,$108.85,$106.89
12/08/2023,$106.67,288516,$103.93,$106.74,$103.495
12/07/2023,$104.00,269320,$104.91,$105.54,$102.80
12/06/2023,$104.95,171092,$105.62,$106.3975,$104.36
12/05/2023,$105.09,188325,$106.90,$107.675,$104.78
12/04/2023,$106.80,340823,$105.57,$107.325,$105.57
12/01/2023,$106.03,231913,$105.83,$107.43,$105.40
11/30/2023,$105.68,240793,$104.59,$105.72,$103.55
11/29/2023,$104.05,240370,$104.78,$104.78,$103.1296
11/28/2023,$104.31,331164,$110.14,$110.16,$104.00
11/27/2023,$109.99,233043,$108.37,$110.19,$107.49
11/24/2023,$108.85,68078,$107.74,$108.97,$107.44
11/22/2023,$107.59,143708,$106.75,$107.98,$106.49
11/21/2023,$106.67,235520,$106.70,$107.92,$104.78
11/20/2023,$107.09,238100,$105.00,$107.61,$104.86
11/17/2023,$106.21,233595,$105.61,$106.585,$104.34
11/16/2023,$105.68,113944,$104.68,$106.00,$103.79
11/15/2023,$104.88,190183,$105.10,$106.21,$104.16
11/14/2023,$104.59,95307,$103.23,$104.61,$102.43
11/13/2023,$101.84,103755,$101.93,$102.70,$99.98
11/10/2023,$102.17,84604,$101.31,$102.93,$100.8301
11/09/2023,$101.01,167905,$101.75,$102.46,$100.94
11/08/2023,$100.90,157769,$100.00,$101.27,$98.95
11/07/2023,$99.92,226502,$99.36,$101.95,$99.18
11/06/2023,$99.86,132872,$99.58,$100.08,$98.06
11/03/2023,$99.97,210684,$101.21,$102.42,$99.825
11/02/2023,$99.61,157207,$99.00,$100.15,$98.675
11/01/2023,$97.71,244988,$97.50,$99.00,$95.975
10/31/2023,$97.33,314830,$93.67,$97.57,$93.53
10/30/2023,$93.96,207859,$92.55,$94.26,$91.35
10/27/2023,$91.24,211169,$93.16,$93.62,$90.91
10/26/2023,$93.59,190414,$92.94,$94.95,$92.37
10/25/2023,$92.22,393713,$93.90,$94.18,$90.78
10/24/2023,$93.90,1010126,$83.70,$94.78,$83.70
10/23/2023,$82.68,287923,$83.90,$84.71,$82.57
10/20/2023,$84.11,176322,$84.22,$84.85,$82.855
10/19/2023,$84.00,210808,$83.31,$85.095,$82.59
10/18/2023,$84.02,183810,$86.19,$86.19,$83.88
10/17/2023,$87.03,321830,$86.13,$88.24,$86.13
10/16/2023,$86.69,154912,$87.38,$88.15,$86.28
10/13/2023,$86.70,166383,$88.16,$88.869,$86.55
10/12/2023,$88.06,192708,$90.63,$90.97,$87.50
10/11/2023,$90.28,94326,$89.66,$90.45,$89.0277
10/10/2023,$89.61,140159,$91.32,$91.35,$88.91
10/09/2023,$91.22,177311,$88.80,$92.17,$88.02
10/06/2023,$89.31,161029,$86.16,$89.56,$85.925
10/05/2023,$86.45,120577,$87.83,$88.32,$86.28
10/04/2023,$87.85,132339,$85.94,$87.949,$85.21
10/03/2023,$86.10,192194,$86.02,$86.77,$85.205
10/02/2023,$86.81,153174,$88.68,$89.34,$86.65
09/29/2023,$88.84,297010,$89.80,$90.00,$88.31
09/28/2023,$89.31,256603,$89.00,$90.52,$87.515
09/27/2023,$86.40,119993,$85.87,$86.625,$85.39
09/26/2023,$85.43,144183,$86.03,$86.52,$85.38
09/25/2023,$86.33,75897,$85.76,$86.94,$85.76
09/22/2023,$85.96,131003,$85.71,$86.76,$85.56
09/21/2023,$85.82,127284,$85.31,$86.41,$85.01
09/20/2023,$86.08,78292,$87.18,$88.26,$85.925
09/19/2023,$86.46,164302,$87.24,$87.88,$85.79
09/18/2023,$87.41,145665,$87.04,$88.55,$87.03
09/15/2023,$86.88,560502,$87.11,$87.34,$85.02
09/14/2023,$87.15,158763,$86.56,$88.90,$86.02
09/13/2023,$86.18,210495,$86.10,$87.00,$85.55
09/12/2023,$86.18,91974,$85.02,$86.95,$85.02
09/11/2023,$85.56,133628,$85.67,$86.14,$85.01
