Date,Close/Last,Volume,Open,High,Low
10/23/2023,$20.49,1616642,$20.51,$20.77,$20.38
10/20/2023,$20.65,2550903,$21.14,$21.285,$20.595
10/19/2023,$21.20,2120914,$21.62,$21.735,$21.19
10/18/2023,$21.60,1633134,$21.49,$21.71,$21.41
10/17/2023,$21.60,2152907,$20.89,$21.67,$20.88
10/16/2023,$21.10,2009537,$20.79,$21.3375,$20.79
10/13/2023,$20.62,1287757,$20.56,$20.86,$20.535
10/12/2023,$20.56,1632171,$20.80,$20.85,$20.405
10/11/2023,$20.74,2849726,$20.74,$20.875,$20.3108
10/10/2023,$20.63,1880903,$20.46,$20.78,$20.46
10/09/2023,$20.36,1849665,$19.87,$20.58,$19.81
10/06/2023,$20.02,2894420,$19.52,$20.16,$19.52
10/05/2023,$19.65,1783186,$18.89,$19.67,$18.89
10/04/2023,$19.14,2529106,$19.45,$19.64,$18.89
10/03/2023,$19.57,1912526,$19.80,$19.965,$19.315
10/02/2023,$19.94,1687152,$19.69,$20.005,$19.67
09/29/2023,$19.75,2328171,$19.81,$20.20,$19.71
09/28/2023,$19.83,2239376,$19.69,$20.055,$19.69
09/27/2023,$19.69,1463541,$19.69,$19.77,$19.44
09/26/2023,$19.64,2618214,$20.00,$20.258,$19.58
09/25/2023,$20.17,2218010,$19.23,$20.215,$19.23
09/22/2023,$19.43,3212815,$19.03,$19.50,$19.015
09/21/2023,$18.92,1765777,$19.04,$19.15,$18.885
09/20/2023,$19.12,1972680,$18.95,$19.315,$18.88
09/19/2023,$18.83,1486576,$18.71,$18.97,$18.71
09/18/2023,$18.65,1408942,$18.70,$18.75,$18.44
09/15/2023,$18.76,6864198,$18.55,$19.015,$18.53
09/14/2023,$18.60,1496858,$18.40,$18.63,$18.40
09/13/2023,$18.32,1952728,$18.79,$18.985,$18.235
09/12/2023,$18.71,2008256,$18.34,$18.7375,$18.26
09/11/2023,$18.37,2014976,$18.42,$18.73,$18.30
09/08/2023,$18.20,1393466,$17.84,$18.33,$17.80
09/07/2023,$17.92,2297796,$18.03,$18.21,$17.82
09/06/2023,$18.19,2237922,$18.01,$18.30,$17.97
09/05/2023,$18.04,1825300,$18.09,$18.40,$18.02
09/01/2023,$18.05,804319,$18.04,$18.28,$18.04
08/31/2023,$17.83,1346061,$17.70,$17.88,$17.66
08/30/2023,$17.75,1374155,$17.71,$17.87,$17.65
08/29/2023,$17.75,1289947,$17.91,$18.08,$17.74
08/28/2023,$17.91,1069262,$17.74,$18.05,$17.69
08/25/2023,$17.64,983412,$17.84,$17.9654,$17.585
08/24/2023,$17.86,964628,$17.76,$18.06,$17.75
08/23/2023,$17.75,984324,$17.53,$17.82,$17.425
08/22/2023,$17.48,1061135,$17.91,$17.915,$17.40
08/21/2023,$17.85,894451,$17.98,$18.06,$17.79
08/18/2023,$17.92,1223310,$17.60,$17.94,$17.60
08/17/2023,$17.68,1328229,$17.94,$18.02,$17.575
08/16/2023,$17.90,1506201,$17.78,$18.03,$17.74
08/15/2023,$17.83,2199347,$18.37,$18.37,$17.735
08/14/2023,$18.37,946080,$18.15,$18.42,$18.04
08/11/2023,$18.32,901291,$18.01,$18.395,$18.01
08/10/2023,$18.14,1945490,$18.61,$18.84,$18.045
08/09/2023,$18.45,2503921,$19.35,$19.35,$18.37
08/08/2023,$19.39,1235621,$19.10,$19.46,$19.10
08/07/2023,$19.66,2127468,$19.53,$19.705,$19.25
08/04/2023,$19.49,2727609,$19.58,$19.94,$19.12
08/03/2023,$19.48,4198177,$18.96,$19.555,$18.87
08/02/2023,$18.97,1842023,$18.53,$18.98,$18.43
08/01/2023,$18.74,1510097,$18.62,$18.77,$18.50
07/31/2023,$18.71,1802337,$18.93,$19.165,$18.59
07/28/2023,$18.92,1198540,$18.99,$19.12,$18.74
07/27/2023,$18.82,894211,$19.36,$19.415,$18.785
07/26/2023,$19.27,759579,$19.15,$19.43,$19.15
07/25/2023,$19.18,1421540,$19.29,$19.47,$19.15
07/24/2023,$19.35,1233921,$19.22,$19.515,$19.14
07/21/2023,$19.22,986836,$19.38,$19.45,$19.05
07/20/2023,$19.30,1632350,$19.37,$19.40,$19.10
07/19/2023,$19.34,1123468,$19.14,$19.41,$19.005
07/18/2023,$19.20,1715721,$18.86,$19.29,$18.79
07/17/2023,$18.78,1576499,$18.65,$19.06,$18.63
07/14/2023,$18.64,1063765,$19.14,$19.18,$18.59
07/13/2023,$18.99,1345256,$18.63,$19.005,$18.57
07/12/2023,$18.57,2234316,$19.05,$19.24,$18.55
07/11/2023,$18.70,2319949,$18.33,$18.79,$18.185
07/10/2023,$18.16,1923026,$18.06,$18.305,$18.02
07/07/2023,$18.02,2633038,$17.77,$18.13,$17.76
07/06/2023,$17.74,1850058,$17.74,$17.81,$17.425
07/05/2023,$17.98,1849297,$17.62,$17.98,$17.41
07/03/2023,$17.79,582836,$17.69,$17.95,$17.69
06/30/2023,$17.66,1163052,$17.83,$17.95,$17.59
06/29/2023,$17.68,3351243,$17.50,$17.72,$17.37
06/28/2023,$17.25,2170797,$17.15,$17.31,$16.99
06/27/2023,$17.21,5303449,$16.99,$17.57,$16.80
06/26/2023,$16.86,3046095,$16.57,$17.01,$16.53
06/23/2023,$16.76,7232546,$16.36,$16.79,$16.25
06/22/2023,$16.57,2057438,$16.48,$16.575,$16.315
06/21/2023,$16.41,1627300,$16.45,$16.59,$16.38
06/20/2023,$16.53,1709868,$16.39,$16.6199,$16.145
06/16/2023,$16.47,2869042,$16.81,$16.81,$16.43
06/15/2023,$16.71,2537396,$16.24,$16.795,$16.13
06/14/2023,$17.06,3952644,$17.16,$17.33,$16.87
06/13/2023,$17.16,4099425,$16.75,$17.24,$16.745
06/12/2023,$16.72,7352497,$16.78,$17.09,$16.70
06/09/2023,$16.66,6424816,$16.93,$17.105,$16.44
06/08/2023,$16.89,24542800,$16.99,$17.255,$16.89
06/07/2023,$16.59,4405569,$17.09,$17.22,$16.48
06/06/2023,$17.22,2579708,$16.70,$17.45,$16.60
06/05/2023,$17.69,1387548,$18.08,$18.13,$17.655
06/02/2023,$18.06,2183605,$17.52,$18.16,$17.39
06/01/2023,$17.09,1880524,$16.96,$17.35,$16.71
05/31/2023,$16.62,1280352,$17.06,$17.06,$16.55
05/30/2023,$17.18,1513351,$17.05,$17.24,$16.615
05/26/2023,$16.99,1838046,$17.26,$17.37,$16.96
05/25/2023,$17.24,2266101,$16.92,$17.265,$16.68
05/24/2023,$16.98,1361334,$17.25,$17.43,$16.70
05/23/2023,$17.47,1954488,$17.40,$17.98,$17.26
05/22/2023,$17.24,1445447,$17.09,$17.31,$16.99
05/19/2023,$16.99,1331799,$17.01,$17.14,$16.85
05/18/2023,$16.94,1159370,$17.09,$17.13,$16.805
05/17/2023,$17.24,859683,$16.77,$17.29,$16.67
05/16/2023,$16.55,1102914,$16.63,$16.83,$16.491
05/15/2023,$16.64,1793729,$16.50,$16.815,$16.29
05/12/2023,$16.29,1453717,$16.84,$16.84,$16.16
05/11/2023,$16.74,1000484,$16.39,$16.79,$16.32
05/10/2023,$16.59,1420378,$16.84,$16.9599,$16.27
05/09/2023,$16.80,1646545,$16.99,$17.16,$16.45
05/08/2023,$16.73,2135938,$16.70,$16.94,$16.585
05/05/2023,$16.64,4589248,$16.00,$16.665,$15.74
05/04/2023,$15.39,3011588,$15.95,$15.95,$14.91
05/03/2023,$16.04,1730600,$16.27,$16.65,$15.9825
05/02/2023,$16.11,1980870,$16.74,$16.83,$15.88
05/01/2023,$16.83,1002344,$16.80,$16.88,$16.605
04/28/2023,$16.86,1058699,$16.27,$16.92,$16.17
04/27/2023,$16.58,1538877,$16.21,$16.71,$16.20
04/26/2023,$16.01,928493,$16.18,$16.40,$15.91
04/25/2023,$16.21,1045386,$16.57,$16.645,$16.12
04/24/2023,$16.82,1903597,$16.53,$16.985,$16.53
04/21/2023,$16.64,1485920,$16.58,$16.70,$16.20
04/20/2023,$16.56,772746,$16.74,$16.82,$16.41
04/19/2023,$17.00,1229229,$16.62,$17.195,$16.605
04/18/2023,$16.67,1178787,$16.66,$16.79,$16.54
04/17/2023,$16.67,1469186,$16.25,$16.74,$16.14
04/14/2023,$16.16,1598242,$16.34,$16.54,$16.015
04/13/2023,$16.25,709294,$15.95,$16.33,$15.93
04/12/2023,$16.00,1355358,$16.04,$16.19,$15.825
04/11/2023,$15.94,1171223,$15.97,$16.19,$15.61
04/10/2023,$15.82,3134182,$15.75,$15.895,$15.58
04/06/2023,$15.94,2109745,$15.66,$16.07,$15.59
04/05/2023,$15.68,2646249,$15.10,$15.78,$15.10
04/04/2023,$15.34,3118698,$16.17,$16.35,$15.23
04/03/2023,$15.56,2063053,$16.06,$16.11,$15.495
03/31/2023,$16.02,3547330,$16.07,$16.17,$15.50
03/30/2023,$15.91,1374316,$15.90,$16.17,$15.75
03/29/2023,$15.71,1973940,$15.62,$15.76,$15.51
03/28/2023,$15.29,1840371,$15.15,$15.55,$15.06
03/27/2023,$15.22,2258599,$14.97,$15.30,$14.75
03/24/2023,$14.56,2429300,$14.50,$14.67,$14.01
03/23/2023,$14.75,2750789,$15.73,$15.74,$14.46
03/22/2023,$15.63,1862321,$16.61,$16.665,$15.62
03/21/2023,$16.68,1943724,$16.27,$16.92,$15.96
03/20/2023,$15.80,1392480,$15.89,$16.19,$15.78
03/17/2023,$15.63,2374381,$16.38,$16.475,$15.62
03/16/2023,$16.56,2106044,$16.10,$16.71,$15.45
03/15/2023,$16.39,2436126,$16.70,$16.76,$15.95
03/14/2023,$17.24,2299983,$17.36,$17.91,$17.17
03/13/2023,$16.84,2870002,$17.56,$17.56,$16.71
03/10/2023,$17.87,2714582,$18.37,$18.575,$17.81
03/09/2023,$18.60,2226042,$19.56,$19.60,$18.53
03/08/2023,$19.65,1709628,$19.99,$20.16,$19.50
03/07/2023,$20.04,1346998,$20.53,$20.63,$19.925
03/06/2023,$20.58,1500305,$20.66,$20.917,$20.43
03/03/2023,$20.73,1788691,$20.45,$20.78,$20.405
03/02/2023,$20.50,2324071,$20.30,$20.57,$20.30
03/01/2023,$20.47,1847930,$20.49,$20.63,$20.26
02/28/2023,$20.22,1498380,$20.18,$20.445,$20.00
02/27/2023,$20.13,1478414,$20.50,$20.67,$20.07
02/24/2023,$20.33,1908974,$20.20,$20.40,$19.96
02/23/2023,$20.32,1528580,$20.39,$20.61,$20.185
02/22/2023,$20.24,1805806,$20.23,$20.48,$20.10
02/21/2023,$20.30,3152869,$20.20,$20.585,$19.86
02/17/2023,$20.82,2284983,$20.52,$21.01,$19.89
02/16/2023,$20.70,3476193,$21.32,$21.72,$20.54
02/15/2023,$21.56,1040716,$21.37,$21.59,$21.22
02/14/2023,$21.59,1326606,$21.46,$21.88,$21.41
02/13/2023,$21.65,1175581,$21.36,$21.65,$21.18
02/10/2023,$21.36,1103243,$21.24,$21.50,$21.16
02/09/2023,$21.41,1298761,$21.98,$22.09,$21.235
02/08/2023,$21.85,1649986,$21.93,$22.115,$21.715
02/07/2023,$22.00,1694552,$21.64,$22.05,$21.54
02/06/2023,$21.70,1576125,$21.21,$21.71,$21.105
02/03/2023,$21.32,1084629,$21.35,$21.675,$21.25
02/02/2023,$21.49,1821892,$21.62,$21.83,$21.15
02/01/2023,$21.60,1702597,$21.51,$22.00,$21.22
01/31/2023,$21.76,1318260,$21.32,$21.81,$21.14
01/30/2023,$21.39,730935,$21.43,$21.83,$21.39
01/27/2023,$21.58,756388,$21.76,$21.86,$21.52
01/26/2023,$21.74,921523,$21.69,$21.79,$21.48
01/25/2023,$21.50,938599,$21.23,$21.64,$21.185
01/24/2023,$21.40,1115772,$21.03,$21.51,$20.92
01/23/2023,$21.19,1870536,$20.81,$21.23,$20.585
01/20/2023,$20.74,874154,$20.24,$20.84,$20.23
01/19/2023,$20.22,1196758,$20.12,$20.53,$19.96
01/18/2023,$20.35,923843,$21.25,$21.29,$20.35
01/17/2023,$21.24,1600190,$20.78,$21.33,$20.66
01/13/2023,$20.89,1359261,$20.61,$21.15,$20.49
01/12/2023,$21.10,1928442,$20.95,$21.25,$20.72
01/11/2023,$20.89,1164875,$20.32,$20.96,$20.25
01/10/2023,$20.35,1028418,$20.49,$20.675,$20.285
01/09/2023,$20.44,2639291,$20.23,$20.76,$20.15
01/06/2023,$20.09,1852320,$20.20,$20.20,$19.845
01/05/2023,$19.97,1570173,$20.72,$20.72,$19.88
01/04/2023,$20.68,2679491,$20.22,$20.77,$20.145
01/03/2023,$20.14,1340616,$20.07,$20.205,$19.87
12/30/2022,$20.06,966983,$20.09,$20.20,$19.85
12/29/2022,$20.21,490735,$19.86,$20.27,$19.86
12/28/2022,$19.83,1014603,$19.89,$20.00,$19.72
12/27/2022,$19.96,679106,$20.37,$20.48,$19.89
12/23/2022,$20.27,1077972,$20.14,$20.36,$19.82
12/22/2022,$20.09,1288677,$20.32,$20.47,$19.67
12/21/2022,$20.54,2127303,$19.86,$20.64,$19.78
12/20/2022,$19.70,2170325,$19.43,$20.03,$19.43
12/19/2022,$19.41,1502991,$18.94,$19.53,$18.94
12/16/2022,$18.87,8299671,$19.64,$20.05,$18.81
12/15/2022,$19.68,1785233,$19.78,$20.10,$19.66
12/14/2022,$20.34,1172667,$20.32,$20.85,$20.06
12/13/2022,$20.41,1368382,$20.78,$20.95,$20.23
12/12/2022,$20.38,1149539,$19.95,$20.46,$19.59
12/09/2022,$19.84,1072645,$19.92,$20.37,$19.78
12/08/2022,$20.01,2436931,$20.28,$20.52,$19.83
12/07/2022,$20.10,1425989,$20.51,$20.87,$20.045
12/06/2022,$20.66,1198216,$21.16,$21.43,$20.51
12/05/2022,$21.22,818000,$21.90,$22.09,$21.19
12/02/2022,$22.06,569202,$21.84,$22.36,$21.82
12/01/2022,$22.20,648754,$22.31,$22.42,$22.14
11/30/2022,$22.24,764607,$21.73,$22.34,$21.55
11/29/2022,$21.71,685071,$21.61,$22.00,$21.57
11/28/2022,$21.58,809025,$22.34,$22.34,$21.56
11/25/2022,$22.39,211430,$22.40,$22.44,$22.13
11/23/2022,$22.41,796217,$22.07,$22.62,$22.07
11/22/2022,$22.15,609374,$21.97,$22.46,$21.97
11/21/2022,$21.92,447687,$21.86,$21.99,$21.60
11/18/2022,$21.93,634873,$21.86,$22.14,$21.66
11/17/2022,$21.83,1831227,$22.00,$22.15,$21.83
11/16/2022,$22.14,762982,$22.11,$22.429,$22.05
11/15/2022,$22.25,1078332,$22.07,$22.83,$22.07
11/14/2022,$22.03,1040055,$22.62,$22.85,$22.03
11/11/2022,$22.54,1200326,$22.92,$23.26,$22.47
11/10/2022,$22.85,2726277,$22.35,$23.50,$21.90
11/09/2022,$21.93,1191846,$22.00,$22.59,$21.51
11/08/2022,$21.73,967871,$21.55,$22.21,$21.4701
11/07/2022,$21.67,666916,$21.74,$21.985,$21.57
11/04/2022,$21.77,986931,$21.52,$21.83,$21.23
11/03/2022,$21.41,1636790,$22.39,$22.495,$21.39
11/02/2022,$22.64,1194904,$22.77,$23.13,$22.5587
11/01/2022,$22.74,1026960,$22.50,$22.845,$22.28
10/31/2022,$22.67,1135027,$23.00,$23.26,$22.63
10/28/2022,$23.01,1420327,$22.59,$23.02,$22.40
10/27/2022,$22.62,947483,$22.58,$22.85,$22.46
10/26/2022,$22.48,1577178,$22.19,$22.71,$22.1163
10/25/2022,$22.37,1216821,$22.05,$22.58,$22.00
10/24/2022,$22.07,1769141,$21.60,$22.0825,$21.56
10/21/2022,$21.64,2576425,$20.45,$21.69,$20.287
10/20/2022,$20.59,949370,$20.69,$21.01,$20.46
10/19/2022,$20.90,1400102,$21.11,$21.43,$20.70
10/18/2022,$21.28,2124792,$20.87,$21.37,$20.87
10/17/2022,$20.69,1373941,$20.18,$20.705,$20.12
10/14/2022,$20.02,1401236,$20.28,$20.67,$19.95
10/13/2022,$20.32,3049301,$19.49,$20.40,$19.42
10/12/2022,$19.81,1897644,$19.56,$19.87,$19.27
10/11/2022,$19.48,2478794,$19.58,$19.77,$19.18
10/10/2022,$19.69,1774224,$19.99,$20.35,$19.37
10/07/2022,$19.94,1709481,$19.89,$20.02,$19.58
10/06/2022,$19.89,1268072,$20.10,$20.54,$19.87
10/05/2022,$20.45,1677064,$20.86,$20.91,$20.40
10/04/2022,$20.84,2019216,$20.31,$21.01,$20.26
10/03/2022,$20.23,1484684,$19.81,$20.46,$19.6576
09/30/2022,$19.69,4030493,$19.67,$20.23,$19.14
09/29/2022,$19.56,2786060,$20.45,$20.45,$19.48
09/28/2022,$20.43,2707507,$20.21,$20.58,$20.06
09/27/2022,$20.19,2115176,$20.32,$20.80,$20.00
09/26/2022,$20.04,1132264,$20.10,$20.41,$19.94
09/23/2022,$20.25,2401162,$20.76,$20.83,$20.20
09/22/2022,$20.85,1974543,$21.00,$21.16,$20.57
09/21/2022,$21.19,8229091,$21.65,$21.83,$21.03
09/20/2022,$21.55,3881699,$21.29,$21.87,$20.68
09/19/2022,$21.62,6419554,$20.60,$22.00,$20.48
09/16/2022,$20.72,4981652,$20.56,$20.81,$20.00
09/15/2022,$20.73,21174770,$20.50,$21.05,$20.31
