Date,Close/Last,Volume,Open,High,Low
01/05/2024,$86.455,2857360,$89.00,$89.475,$85.71
01/04/2024,$89.78,2094703,$88.19,$91.20,$87.91
01/03/2024,$88.69,2243455,$92.12,$92.22,$88.43
01/02/2024,$93.77,1670305,$92.70,$95.68,$92.18
12/29/2023,$93.41,1277012,$95.00,$95.94,$92.88
12/28/2023,$95.27,1169072,$94.36,$95.29,$93.98
12/27/2023,$94.51,1570998,$96.75,$96.96,$94.20
12/26/2023,$96.70,1220278,$98.50,$98.67,$96.605
12/22/2023,$98.18,2336964,$99.69,$99.80,$97.09
12/21/2023,$102.33,957659,$102.61,$103.905,$101.55
12/20/2023,$100.88,1259057,$105.07,$106.50,$100.83
12/19/2023,$105.26,1319394,$104.46,$106.60,$104.09
12/18/2023,$103.63,1479858,$107.60,$107.60,$103.46
12/15/2023,$107.11,1384202,$107.93,$108.93,$107.04
12/14/2023,$107.86,1359303,$108.94,$110.90,$107.80
12/13/2023,$106.80,1101126,$104.50,$107.23,$102.79
12/12/2023,$104.92,921955,$106.05,$106.05,$103.79
12/11/2023,$104.60,651653,$103.26,$105.47,$103.26
12/08/2023,$103.74,928222,$103.40,$105.95,$103.132
12/07/2023,$104.11,943758,$103.15,$104.29,$102.92
12/06/2023,$103.67,1037709,$103.06,$105.485,$102.71
12/05/2023,$102.20,1563814,$104.32,$104.56,$101.67
12/04/2023,$105.06,1346660,$106.07,$107.3799,$104.035
12/01/2023,$106.56,1697104,$104.99,$106.72,$102.95
11/30/2023,$105.61,1630647,$104.00,$106.03,$101.77
11/29/2023,$103.70,1983449,$102.32,$106.12,$102.18
11/28/2023,$101.09,2508032,$99.20,$101.49,$97.06
11/27/2023,$96.16,2288370,$93.73,$98.71,$93.47
11/24/2023,$94.59,437545,$93.73,$94.86,$93.395
11/22/2023,$93.70,718388,$93.64,$94.56,$92.63
11/21/2023,$92.60,1074432,$93.87,$94.49,$91.84
11/20/2023,$94.57,1506350,$91.10,$94.70,$90.92
11/17/2023,$91.18,1139362,$89.49,$91.50,$88.58
11/16/2023,$87.82,1065067,$88.50,$88.97,$86.744
11/15/2023,$89.51,2352416,$86.69,$91.61,$86.50
11/14/2023,$85.14,1908163,$79.50,$85.19,$79.445
11/13/2023,$77.27,1608607,$79.10,$79.63,$77.16
11/10/2023,$79.69,1223139,$79.30,$79.71,$78.11
11/09/2023,$79.24,1425440,$83.57,$83.57,$79.19
11/08/2023,$82.98,1322281,$84.40,$84.65,$81.63
11/07/2023,$84.40,1194455,$82.29,$84.47,$82.20
11/06/2023,$82.20,1495199,$84.28,$84.48,$81.025
11/03/2023,$83.93,2183701,$84.00,$87.425,$82.585
11/02/2023,$82.79,6414436,$74.20,$82.85,$74.00
11/01/2023,$87.41,2640325,$89.32,$89.67,$84.69
10/31/2023,$89.32,1398541,$87.40,$90.03,$87.40
10/30/2023,$87.48,1242573,$87.00,$88.84,$87.00
10/27/2023,$85.98,1113317,$87.08,$89.55,$85.84
10/26/2023,$86.35,1271706,$87.16,$88.68,$85.714
10/25/2023,$87.52,1076265,$88.89,$89.395,$87.47
10/24/2023,$89.16,1540024,$86.27,$89.92,$86.27
10/23/2023,$84.85,1087821,$85.28,$86.32,$84.275
10/20/2023,$85.56,1290814,$86.80,$88.52,$85.06
10/19/2023,$84.45,1292814,$85.30,$86.3071,$84.135
10/18/2023,$85.30,1209628,$86.18,$86.97,$85.05
10/17/2023,$87.23,1600453,$85.59,$88.99,$85.59
10/16/2023,$85.73,1610534,$83.20,$86.48,$83.19
10/13/2023,$82.73,1161956,$84.78,$84.78,$82.25
10/12/2023,$84.80,1370357,$87.90,$88.52,$84.59
10/11/2023,$86.58,1068183,$86.80,$87.89,$85.22
10/10/2023,$86.94,1042641,$85.66,$88.06,$85.485
10/09/2023,$85.20,946262,$83.69,$85.62,$82.59
10/06/2023,$84.82,927106,$83.33,$85.70,$82.75
10/05/2023,$84.27,993273,$85.73,$86.57,$83.92
10/04/2023,$85.49,1437215,$85.15,$86.19,$83.64
10/03/2023,$85.94,1339491,$86.94,$87.42,$84.50
10/02/2023,$87.88,1461932,$88.23,$89.98,$87.80
09/29/2023,$88.23,1800559,$89.82,$90.63,$87.49
09/28/2023,$85.87,1270538,$84.72,$85.91,$83.74
09/27/2023,$84.56,1074084,$84.40,$85.87,$83.39
09/26/2023,$83.86,1115873,$85.51,$86.40,$83.785
09/25/2023,$86.31,880361,$85.53,$86.79,$85.01
09/22/2023,$86.45,784341,$87.24,$87.5328,$85.45
09/21/2023,$86.08,1073796,$86.77,$87.4999,$86.00
09/20/2023,$87.94,910798,$90.07,$90.6985,$87.89
09/19/2023,$89.68,1633879,$88.04,$90.36,$88.00
09/18/2023,$87.62,1506048,$87.76,$88.98,$86.63
09/15/2023,$87.99,3329759,$90.11,$90.66,$87.27
09/14/2023,$90.72,1153648,$90.66,$90.77,$88.24
09/13/2023,$89.51,2033756,$91.70,$91.9069,$87.12
09/12/2023,$91.86,844556,$92.27,$93.48,$91.75
09/11/2023,$92.75,978062,$94.29,$95.41,$92.36
09/08/2023,$93.37,1035655,$96.28,$96.465,$93.26
09/07/2023,$96.28,1822107,$93.48,$97.145,$92.29
09/06/2023,$96.36,1185202,$98.00,$98.92,$96.31
09/05/2023,$98.39,1079182,$99.71,$100.00,$96.96
09/01/2023,$99.86,1010358,$98.69,$100.42,$98.48
08/31/2023,$97.34,853538,$96.84,$98.79,$96.84
08/30/2023,$96.84,917549,$97.67,$98.305,$95.64
08/29/2023,$97.35,961404,$96.40,$97.69,$95.6115
08/28/2023,$96.84,1178880,$96.24,$97.3454,$95.97
08/25/2023,$95.56,974426,$95.78,$96.76,$93.94
08/24/2023,$95.10,1485152,$99.16,$99.56,$94.81
08/23/2023,$99.21,1755634,$95.36,$100.40,$94.82
08/22/2023,$98.51,1642477,$96.65,$98.95,$96.51
08/21/2023,$98.08,1850081,$95.888,$98.70,$95.63
08/18/2023,$94.80,1820718,$91.25,$95.00,$91.14
08/17/2023,$92.47,2417940,$94.15,$95.31,$92.38
08/16/2023,$94.01,2570766,$97.79,$98.45,$93.87
08/15/2023,$97.80,1967364,$98.25,$99.23,$97.08
08/14/2023,$99.22,1912443,$101.98,$102.02,$98.27
08/11/2023,$100.59,1511248,$102.10,$102.56,$99.96
08/10/2023,$103.00,1379782,$103.38,$106.19,$102.11
08/09/2023,$102.95,1061146,$103.20,$104.375,$101.73
08/08/2023,$104.06,1646946,$102.39,$104.24,$101.21
08/07/2023,$104.48,1384648,$106.16,$106.79,$103.30
08/04/2023,$105.91,2301963,$105.13,$108.25,$104.4722
08/03/2023,$103.77,1794133,$104.79,$105.76,$103.355
08/02/2023,$104.30,2137141,$105.83,$106.3655,$102.83
08/01/2023,$107.00,1685710,$107.09,$108.00,$105.80
07/31/2023,$108.35,3093903,$108.49,$108.69,$105.91
07/28/2023,$108.14,4594082,$105.16,$108.76,$103.71
07/27/2023,$102.30,10487050,$110.38,$111.1385,$101.011
07/26/2023,$119.80,2410927,$121.00,$122.5544,$118.39
07/25/2023,$121.87,1479820,$122.58,$124.69,$121.69
07/24/2023,$122.66,1571417,$123.82,$126.42,$122.14
07/21/2023,$122.81,1105547,$124.05,$125.6312,$122.62
07/20/2023,$121.84,1702843,$129.68,$129.68,$121.77
07/19/2023,$129.89,1115723,$128.45,$130.36,$127.215
07/18/2023,$127.34,1285902,$126.83,$128.855,$125.15
07/17/2023,$127.10,1183926,$124.07,$127.49,$122.35
07/14/2023,$124.04,1370740,$125.99,$126.78,$123.52
07/13/2023,$125.99,1786158,$127.73,$129.89,$123.755
07/12/2023,$126.42,1833950,$122.97,$126.68,$122.1493
07/11/2023,$120.44,1584707,$118.00,$121.42,$117.17
07/10/2023,$117.37,1591290,$112.76,$117.74,$112.45
07/07/2023,$112.43,1559740,$111.43,$113.585,$110.97
07/06/2023,$111.43,1852002,$112.13,$113.10,$109.11
07/05/2023,$114.26,1269888,$116.20,$116.37,$114.14
07/03/2023,$117.06,1216552,$113.24,$117.34,$113.24
06/30/2023,$112.44,1432211,$109.00,$113.03,$107.73
06/29/2023,$108.21,1112772,$108.21,$110.67,$107.49
06/28/2023,$107.13,1601236,$107.04,$107.585,$105.08
06/27/2023,$107.08,1418921,$106.01,$109.20,$106.01
06/26/2023,$104.79,1484060,$106.69,$110.35,$104.71
06/23/2023,$106.01,8150029,$105.45,$107.785,$104.60
06/22/2023,$107.06,1223809,$108.22,$109.4299,$106.56
06/21/2023,$108.58,1882392,$105.95,$110.23,$105.49
06/20/2023,$105.95,2634454,$109.19,$109.38,$104.14
06/16/2023,$109.95,2171193,$116.39,$116.61,$109.57
06/15/2023,$115.09,908886,$113.17,$115.72,$112.50
06/14/2023,$114.72,1505528,$114.78,$116.48,$112.61
06/13/2023,$114.80,1480821,$116.71,$117.83,$114.39
06/12/2023,$115.605,1200876,$117.00,$117.84,$114.8229
06/09/2023,$116.19,1033186,$117.49,$119.98,$115.97
06/08/2023,$116.57,1194940,$120.61,$122.195,$115.82
06/07/2023,$121.09,2568483,$115.60,$122.82,$114.90
06/06/2023,$115.96,1795624,$109.66,$116.03,$109.48
06/05/2023,$109.66,1046955,$110.04,$110.39,$107.2515
06/02/2023,$110.04,1849157,$107.83,$110.58,$105.25
06/01/2023,$105.16,2094747,$111.16,$111.60,$104.07
05/31/2023,$112.28,2070824,$112.94,$113.30,$110.11
05/30/2023,$114.33,2157393,$108.12,$114.63,$108.00
05/26/2023,$106.74,1416807,$104.20,$108.41,$103.36
05/25/2023,$104.32,2955257,$104.35,$108.92,$101.65
05/24/2023,$104.09,1413663,$105.95,$106.44,$102.71
05/23/2023,$106.14,1552102,$107.17,$107.66,$104.91
05/22/2023,$107.11,1900134,$109.21,$110.21,$106.50
05/19/2023,$109.00,3238930,$113.50,$113.50,$107.80
05/18/2023,$115.37,1064268,$116.38,$118.74,$114.76
05/17/2023,$116.67,1235662,$113.73,$116.90,$111.67
05/16/2023,$113.45,1425390,$117.35,$117.35,$113.401
05/15/2023,$118.39,1093262,$117.30,$120.34,$116.1701
05/12/2023,$115.40,753411,$117.30,$118.61,$113.90
05/11/2023,$116.80,883311,$116.20,$117.60,$114.675
05/10/2023,$116.46,1151004,$118.68,$119.04,$114.37
05/09/2023,$116.91,1312336,$115.03,$117.065,$113.36
05/08/2023,$116.75,1198137,$115.11,$117.08,$113.53
05/05/2023,$114.48,1535804,$111.70,$115.6139,$110.0367
05/04/2023,$109.85,2266707,$119.08,$119.61,$109.40
05/03/2023,$120.13,1526736,$119.84,$121.93,$118.83
05/02/2023,$120.16,1668651,$120.67,$120.735,$116.50
05/01/2023,$120.98,1744906,$123.88,$125.50,$119.44
04/28/2023,$123.67,3114309,$123.01,$124.80,$118.53
04/27/2023,$124.32,10529490,$135.80,$136.495,$116.61
04/26/2023,$147.78,2089010,$145.35,$150.28,$143.83
04/25/2023,$145.33,1457259,$149.06,$150.5622,$144.73
04/24/2023,$151.13,1947640,$146.68,$151.32,$146.68
04/21/2023,$147.18,1055755,$145.83,$148.179,$144.0667
04/20/2023,$145.73,1189461,$142.33,$146.85,$142.12
04/19/2023,$144.37,1691079,$142.69,$146.23,$142.01
04/18/2023,$143.75,1923568,$140.60,$145.19,$138.92
04/17/2023,$139.04,1980616,$135.55,$140.16,$135.345
04/14/2023,$134.30,1256243,$131.45,$134.80,$131.01
04/13/2023,$130.78,909145,$128.00,$131.28,$126.88
04/12/2023,$126.19,970825,$129.46,$130.41,$126.00
04/11/2023,$128.07,1147500,$128.16,$129.14,$125.06
04/10/2023,$127.97,1226258,$121.34,$128.1765,$120.78
04/06/2023,$121.86,714204,$122.55,$122.80,$119.61
04/05/2023,$123.58,1334839,$125.22,$125.92,$121.04
04/04/2023,$127.02,1180892,$129.58,$129.59,$124.60
04/03/2023,$128.67,1065532,$125.63,$128.77,$125.25
03/31/2023,$126.44,1736661,$126.04,$130.80,$125.85
03/30/2023,$125.06,2264228,$121.54,$125.36,$121.32
03/29/2023,$119.26,1043941,$120.31,$120.55,$117.32
03/28/2023,$117.99,772969,$118.12,$119.40,$115.98
