Date,Close/Last,Volume,Open,High,Low
01/03/2024,$62.56,1992625,$64.58,$65.2689,$62.15
01/02/2024,$66.06,3632716,$61.84,$68.48,$61.50
12/29/2023,$62.60,1875464,$64.16,$64.60,$62.58
12/28/2023,$64.30,1801154,$65.45,$65.76,$63.41
12/27/2023,$64.96,1609414,$66.40,$67.16,$63.80
12/26/2023,$65.33,1724153,$64.83,$65.89,$64.03
12/22/2023,$63.67,2843788,$61.01,$64.7799,$60.75
12/21/2023,$60.60,2542278,$61.65,$62.68,$59.29
12/20/2023,$60.81,3763361,$66.43,$66.43,$60.74
12/19/2023,$66.83,3917706,$61.59,$67.47,$61.59
12/18/2023,$61.40,1646164,$62.54,$63.58,$61.27
12/15/2023,$62.08,2637519,$63.47,$64.28,$61.5504
12/14/2023,$62.94,3475508,$62.84,$63.90,$59.86
12/13/2023,$61.43,4654707,$57.70,$61.49,$55.2131
12/12/2023,$58.12,3655897,$60.51,$60.70,$57.58
12/11/2023,$60.28,8818303,$62.95,$63.00,$56.08
12/08/2023,$64.54,17230200,$71.07,$76.97,$61.55
12/07/2023,$70.21,2144951,$70.74,$71.00,$69.09
12/06/2023,$71.14,2461506,$71.45,$74.4223,$70.0601
12/05/2023,$70.60,1863913,$70.65,$72.69,$68.30
12/04/2023,$71.51,2815394,$69.10,$72.97,$68.55
12/01/2023,$68.65,3675377,$66.22,$68.70,$63.39
11/30/2023,$66.73,2515802,$70.49,$71.1799,$66.51
11/29/2023,$69.09,2215093,$71.38,$73.55,$68.93
11/28/2023,$70.66,1861191,$71.17,$71.7399,$69.44
11/27/2023,$71.61,2162749,$69.75,$71.85,$67.82
11/24/2023,$69.97,1886974,$70.49,$73.40,$69.65
11/22/2023,$70.49,2574202,$68.69,$71.18,$68.00
11/21/2023,$67.57,3992919,$71.44,$71.70,$67.18
11/20/2023,$72.18,8013750,$69.57,$76.19,$68.10
11/17/2023,$67.89,6546249,$61.18,$68.935,$60.80
11/16/2023,$59.22,3379613,$58.06,$60.41,$55.76
11/15/2023,$56.23,1808422,$55.68,$57.10,$54.27
11/14/2023,$55.30,1992973,$55.38,$56.785,$53.60
11/13/2023,$52.01,2855182,$52.03,$52.4199,$48.5501
11/10/2023,$53.16,2266697,$51.42,$53.61,$49.5401
11/09/2023,$51.26,2470580,$55.09,$55.93,$50.77
11/08/2023,$54.72,3057516,$58.32,$58.32,$54.24
11/07/2023,$58.58,3867123,$52.44,$58.81,$51.80
11/06/2023,$51.58,2818998,$53.20,$53.9431,$51.25
11/03/2023,$50.99,3071221,$47.76,$52.355,$47.50
11/02/2023,$46.18,3067398,$45.30,$48.82,$44.045
11/01/2023,$43.75,4750120,$43.45,$44.16,$39.76
10/31/2023,$38.93,N/A,$38.93,$38.93,$38.93
10/30/2023,$38.93,1883470,$38.96,$40.00,$38.1578
10/27/2023,$38.74,3692082,$42.50,$43.115,$38.2871
10/26/2023,$39.11,1919444,$39.18,$40.42,$38.40
10/25/2023,$39.18,1229540,$41.00,$41.295,$38.905
10/24/2023,$41.51,1651938,$40.75,$42.71,$40.75
10/23/2023,$40.10,1765445,$38.31,$40.555,$37.55
10/20/2023,$38.62,1501915,$39.50,$39.65,$38.24
10/19/2023,$39.78,1285321,$40.46,$41.02,$39.69
10/18/2023,$40.43,1434703,$43.43,$43.43,$40.20
10/17/2023,$43.66,1235468,$43.39,$44.44,$42.51
10/16/2023,$44.81,710975,$44.31,$45.0499,$43.61
10/13/2023,$44.31,1001088,$43.01,$44.50,$42.63
10/12/2023,$43.03,900968,$44.82,$44.82,$42.655
10/11/2023,$44.73,962685,$44.26,$45.55,$43.67
10/10/2023,$43.84,806220,$42.63,$44.3399,$42.25
10/09/2023,$42.51,930776,$42.43,$42.53,$41.32
10/06/2023,$43.06,1010332,$43.00,$43.62,$42.36
10/05/2023,$43.00,1028760,$41.39,$43.26,$41.1959
10/04/2023,$41.62,1534132,$42.95,$43.00,$40.715
10/03/2023,$42.94,1497181,$42.19,$43.32,$41.46
10/02/2023,$42.41,1888726,$45.25,$45.35,$42.35
09/29/2023,$45.39,845714,$46.54,$46.97,$45.22
09/28/2023,$45.74,819752,$47.10,$47.10,$44.90
09/27/2023,$47.13,839362,$46.86,$47.79,$46.68
09/26/2023,$46.11,706429,$45.78,$47.0869,$45.62
09/25/2023,$45.86,801114,$45.18,$46.12,$44.5278
09/22/2023,$45.49,660112,$46.606,$46.95,$45.47
09/21/2023,$46.06,1057338,$45.932,$46.61,$45.18
09/20/2023,$46.56,717581,$47.43,$48.18,$46.51
09/19/2023,$47.42,740715,$47.75,$48.345,$47.2501
09/18/2023,$47.64,1303953,$50.33,$50.58,$47.46
09/15/2023,$50.58,1428619,$51.39,$51.92,$50.52
09/14/2023,$51.28,1004417,$49.70,$51.53,$49.11
09/13/2023,$49.36,565611,$50.20,$51.1268,$49.29
09/12/2023,$50.37,510842,$51.27,$51.6036,$50.25
09/11/2023,$51.07,717523,$50.06,$51.51,$49.93
09/08/2023,$49.94,559534,$49.39,$50.045,$48.68
09/07/2023,$49.34,1309949,$48.99,$50.29,$47.58
09/06/2023,$51.09,550535,$50.30,$51.36,$50.03
09/05/2023,$50.26,623499,$50.30,$51.26,$49.93
09/01/2023,$50.53,729331,$50.66,$51.68,$50.44
08/31/2023,$50.01,616641,$50.68,$50.9899,$49.73
08/30/2023,$50.52,562828,$50.56,$50.65,$49.74
08/29/2023,$50.57,637632,$49.93,$51.3855,$49.51
08/28/2023,$49.96,528164,$50.08,$50.50,$49.031
08/25/2023,$49.69,957584,$49.82,$50.90,$49.11
08/24/2023,$49.65,729103,$50.59,$50.68,$49.1778
08/23/2023,$50.50,1029383,$49.065,$50.71,$49.065
08/22/2023,$48.97,959449,$48.36,$49.25,$47.84
08/21/2023,$47.93,768184,$48.05,$48.22,$47.21
08/18/2023,$48.14,1207759,$46.66,$49.18,$46.55
08/17/2023,$47.09,1618231,$47.21,$48.72,$46.05
08/16/2023,$47.20,1084274,$48.50,$48.68,$47.00
08/15/2023,$48.68,955295,$48.03,$49.19,$47.83
08/14/2023,$48.42,1224122,$49.15,$49.37,$47.20
08/11/2023,$49.65,704242,$49.95,$50.62,$49.34
08/10/2023,$50.07,1099408,$51.42,$51.63,$49.53
08/09/2023,$50.95,1131266,$53.28,$53.48,$50.5375
08/08/2023,$53.05,2390309,$49.27,$54.6099,$48.95
08/07/2023,$48.34,1748819,$50.75,$50.99,$48.25
08/04/2023,$50.96,934897,$51.61,$52.24,$50.70
08/03/2023,$51.35,1147230,$52.47,$52.8075,$51.24
08/02/2023,$53.01,1474026,$55.20,$55.42,$52.88
08/01/2023,$56.41,757614,$56.95,$56.95,$55.58
07/31/2023,$57.33,596166,$57.02,$58.02,$56.74
07/28/2023,$56.89,705405,$55.99,$57.50,$55.99
07/27/2023,$55.44,1100211,$58.12,$58.20,$55.16
07/26/2023,$57.28,1174139,$55.33,$57.99,$55.20
07/25/2023,$55.44,1025251,$55.73,$56.38,$55.25
07/24/2023,$55.52,777062,$56.73,$57.27,$55.4464
07/21/2023,$56.73,1027473,$57.05,$57.705,$56.11
07/20/2023,$56.54,915414,$57.20,$57.75,$56.11
07/19/2023,$58.12,1539587,$58.39,$59.40,$57.70
07/18/2023,$57.75,614822,$58.75,$58.91,$57.01
07/17/2023,$58.22,779609,$56.79,$59.165,$56.56
07/14/2023,$56.91,1006934,$59.29,$59.57,$56.50
07/13/2023,$59.00,1030854,$57.75,$59.6699,$57.15
07/12/2023,$57.48,812722,$58.53,$59.11,$56.99
07/11/2023,$57.62,784571,$58.135,$58.135,$56.82
07/10/2023,$57.66,1288451,$54.41,$58.38,$53.93
07/07/2023,$54.37,687360,$54.02,$55.08,$53.8483
07/06/2023,$54.02,1243268,$56.07,$56.49,$53.20
07/05/2023,$56.78,645199,$56.21,$57.14,$55.91
07/03/2023,$56.25,549616,$56.17,$57.08,$56.17
06/30/2023,$56.14,1099296,$57.72,$58.00,$55.83
06/29/2023,$57.02,830724,$57.10,$57.47,$56.04
06/28/2023,$57.16,854000,$55.83,$57.782,$55.29
06/27/2023,$55.82,1011879,$56.71,$56.71,$55.23
06/26/2023,$56.23,949368,$56.01,$56.94,$55.31
06/23/2023,$56.03,1153650,$56.00,$56.6899,$55.24
06/22/2023,$56.94,724743,$56.88,$57.32,$56.005
06/21/2023,$56.97,1159836,$56.41,$57.47,$55.01
06/20/2023,$56.89,1094236,$57.61,$57.80,$56.07
06/16/2023,$57.75,2055437,$59.40,$59.81,$57.61
06/15/2023,$58.94,963056,$58.60,$59.47,$58.10
06/14/2023,$58.96,1543682,$61.31,$61.4279,$58.45
06/13/2023,$60.79,1485328,$60.00,$61.60,$59.20
06/12/2023,$59.90,1904765,$61.80,$63.209,$59.43
06/09/2023,$61.24,2741423,$67.91,$68.26,$60.68
06/08/2023,$62.59,1047209,$62.50,$63.70,$61.01
06/07/2023,$62.78,1460567,$64.53,$65.28,$60.33
06/06/2023,$64.58,1514358,$63.04,$65.688,$61.66
06/05/2023,$63.04,1070021,$65.22,$65.50,$62.95
06/02/2023,$65.00,987581,$65.37,$65.92,$63.38
06/01/2023,$64.52,1260532,$64.06,$65.60,$62.835
05/31/2023,$64.04,1324633,$65.15,$67.26,$63.02
05/30/2023,$64.63,990942,$65.00,$66.97,$62.75
05/26/2023,$64.66,1016310,$63.78,$65.50,$62.90
05/25/2023,$63.85,997424,$66.26,$66.4985,$62.16
05/24/2023,$65.88,1186986,$66.35,$66.75,$64.30
05/23/2023,$67.20,2014238,$65.72,$72.00,$65.57
05/22/2023,$65.80,1208353,$62.86,$66.40,$62.22
05/19/2023,$62.13,1002494,$63.85,$65.25,$61.58
05/18/2023,$63.45,1051048,$64.23,$64.97,$62.38
05/17/2023,$64.41,1177046,$62.07,$64.6999,$60.68
05/16/2023,$61.70,1746483,$65.00,$65.00,$61.1018
05/15/2023,$65.95,1666818,$64.12,$68.9599,$63.85
05/12/2023,$63.90,1898381,$66.34,$67.08,$63.52
05/11/2023,$66.01,2010065,$68.00,$68.81,$65.12
05/10/2023,$67.77,4342329,$64.48,$71.20,$63.64
05/09/2023,$63.42,3431034,$56.47,$64.25,$55.72
05/08/2023,$55.96,998040,$55.94,$56.20,$54.03
05/05/2023,$55.79,1872675,$54.12,$57.89,$53.885
05/04/2023,$53.12,1666795,$48.69,$53.85,$48.64
05/03/2023,$49.19,1088003,$48.17,$50.00,$47.60
05/02/2023,$48.05,750894,$49.07,$49.32,$47.84
05/01/2023,$49.08,716883,$48.65,$50.13,$48.40
04/28/2023,$48.94,604122,$48.96,$49.96,$47.81
04/27/2023,$49.11,939674,$48.85,$50.65,$48.10
04/26/2023,$48.65,1085651,$49.60,$50.00,$48.55
04/25/2023,$49.43,886701,$50.97,$51.70,$49.05
04/24/2023,$51.08,900532,$52.21,$52.26,$50.00
04/21/2023,$52.01,1194362,$49.89,$52.39,$49.61
04/20/2023,$49.89,1477984,$52.53,$52.98,$49.67
