Date,Close/Last,Volume,Open,High,Low
10/20/2023,$17.71,7244,$17.90,$17.93,$17.55
10/19/2023,$17.56,19147,$18.75,$18.77,$17.54
10/18/2023,$18.93,25974,$18.77,$19.34,$18.42
10/17/2023,$18.86,46746,$17.91,$19.20,$17.91
10/16/2023,$18.33,27732,$18.20,$18.45,$17.88
10/13/2023,$17.88,38598,$17.70,$18.1898,$17.271
10/12/2023,$17.74,43855,$17.67,$18.33,$17.15
10/11/2023,$17.53,66215,$19.00,$19.00,$17.311
10/10/2023,$18.90,29013,$19.02,$19.20,$18.63
10/09/2023,$19.07,8860,$19.00,$19.20,$18.815
10/06/2023,$19.30,23942,$18.37,$19.6099,$18.37
10/05/2023,$18.79,22221,$18.23,$18.91,$17.92
10/04/2023,$18.09,36274,$18.10,$18.53,$17.61
10/03/2023,$17.94,29225,$18.07,$18.64,$17.79
10/02/2023,$18.07,22884,$18.07,$18.739,$17.87
09/29/2023,$18.14,22653,$18.50,$18.50,$17.60
09/28/2023,$18.14,14381,$18.7301,$18.90,$18.0836
09/27/2023,$18.57,17785,$19.00,$19.00,$18.545
09/26/2023,$19.19,14027,$19.00,$19.4986,$19.00
09/25/2023,$19.14,27675,$18.91,$19.25,$18.63
09/22/2023,$18.71,11017,$19.40,$19.40,$18.71
09/21/2023,$19.07,43244,$19.221,$19.41,$19.05
09/20/2023,$19.47,43856,$19.52,$19.96,$19.32
09/19/2023,$19.84,129431,$19.42,$19.84,$18.8778
09/18/2023,$19.76,154224,$19.06,$19.95,$18.6192
09/15/2023,$19.45,191880,$17.95,$19.70,$17.95
09/14/2023,$18.76,124786,$17.60,$18.81,$17.60
09/13/2023,$17.85,82505,$17.112,$17.85,$17.01
09/12/2023,$17.37,13850,$17.41,$17.91,$17.11
09/11/2023,$17.37,43907,$17.598,$18.15,$17.35
09/08/2023,$17.68,11182,$17.97,$17.99,$17.65
09/07/2023,$17.85,25881,$18.02,$18.02,$17.70
09/06/2023,$18.20,24298,$18.269,$18.27,$17.82
09/05/2023,$18.29,40900,$18.48,$18.7699,$18.00
09/01/2023,$18.58,46667,$18.46,$18.80,$18.43
08/31/2023,$18.23,24534,$18.60,$18.6674,$18.01
08/30/2023,$18.51,51478,$18.04,$18.805,$18.04
08/29/2023,$18.50,13161,$18.56,$18.56,$18.26
08/28/2023,$18.53,39976,$18.25,$18.53,$18.125
08/25/2023,$18.39,17317,$18.43,$18.47,$18.26
08/24/2023,$18.36,48559,$18.00,$18.46,$17.43
08/23/2023,$18.10,32395,$18.00,$18.25,$18.00
08/22/2023,$18.03,75489,$18.75,$18.90,$17.75
08/21/2023,$18.51,60244,$18.15,$18.8596,$18.15
08/18/2023,$18.31,51179,$17.76,$18.52,$17.75
08/17/2023,$17.71,56574,$17.80,$18.1505,$17.70
08/16/2023,$17.81,50651,$17.97,$18.17,$17.70
08/15/2023,$18.01,59051,$18.44,$18.44,$17.50
08/14/2023,$18.20,43063,$18.666,$18.69,$18.11
08/11/2023,$18.51,23761,$18.50,$18.70,$18.42
08/10/2023,$18.38,22524,$18.70,$18.7791,$18.30
08/09/2023,$18.28,58620,$18.42,$18.51,$17.90
08/08/2023,$18.30,17545,$18.20,$18.575,$18.20
08/07/2023,$18.21,29826,$18.31,$18.535,$18.19
08/04/2023,$18.30,34298,$18.83,$18.84,$18.28
08/03/2023,$18.83,24131,$18.58,$19.03,$18.58
08/02/2023,$18.48,67647,$18.45,$18.80,$17.75
08/01/2023,$18.37,44841,$18.65,$18.85,$18.21
07/31/2023,$18.60,88358,$18.85,$19.15,$18.57
07/28/2023,$18.75,57469,$18.56,$18.80,$18.25
07/27/2023,$18.50,67616,$18.46,$18.70,$18.22
07/26/2023,$18.37,209440,$18.45,$18.64,$18.10
07/25/2023,$18.66,144150,$19.00,$19.10,$18.46
07/24/2023,$18.70,624975,$19.81,$20.00,$18.70
07/21/2023,$26.50,39000,$26.24,$26.76,$25.89
07/20/2023,$26.91,17653,$27.00,$27.38,$26.09
07/19/2023,$26.88,4998,$27.20,$27.59,$26.4558
07/18/2023,$27.20,37008,$27.20,$28.51,$26.17
07/17/2023,$27.00,30938,$26.2842,$28.11,$26.2842
07/14/2023,$27.26,49802,$24.90,$27.98,$24.71
07/13/2023,$25.35,9639,$24.37,$26.02,$24.20
07/12/2023,$24.21,9908,$24.36,$24.40,$23.33
07/11/2023,$24.40,12276,$23.30,$24.98,$23.10
07/10/2023,$23.18,7415,$23.74,$24.25,$22.63
07/07/2023,$23.08,8607,$22.96,$23.50,$22.75
07/06/2023,$23.01,10710,$22.95,$23.34,$22.375
07/05/2023,$22.92,20303,$24.36,$25.20,$22.92
07/03/2023,$25.28,6752,$23.75,$25.28,$23.75
06/30/2023,$25.48,4473,$24.6187,$25.48,$24.6187
06/29/2023,$25.00,11007,$24.54,$25.00,$24.07
06/28/2023,$24.72,6630,$24.16,$24.94,$23.00
06/27/2023,$24.51,24115,$24.20,$24.75,$23.33
06/26/2023,$24.25,53603,$25.15,$25.905,$23.66
06/23/2023,$24.50,456848,$29.94,$30.25,$24.265
06/22/2023,$30.00,20986,$29.559,$30.245,$29.559
06/21/2023,$30.17,18182,$30.00,$30.50,$29.80
06/20/2023,$29.74,27835,$30.75,$31.40,$29.46
06/16/2023,$31.46,61449,$30.10,$31.79,$29.425
06/15/2023,$29.79,8572,$29.32,$29.95,$29.075
06/14/2023,$29.40,10484,$30.90,$31.115,$29.40
06/13/2023,$30.00,18898,$32.00,$32.45,$29.90
06/12/2023,$31.99,9099,$32.50,$32.50,$30.92
06/09/2023,$31.50,12754,$33.18,$33.18,$31.50
06/08/2023,$32.70,21780,$31.69,$33.67,$31.5914
06/07/2023,$31.60,10609,$30.02,$31.60,$30.02
06/06/2023,$30.69,13590,$30.40,$31.20,$29.85
06/05/2023,$30.0001,9420,$29.27,$30.85,$29.27
06/02/2023,$28.375,3815,$27.10,$28.38,$26.60
06/01/2023,$26.00,2883,$25.9524,$26.00,$25.9524
05/31/2023,$25.38,5629,$26.10,$26.40,$25.3001
05/30/2023,$26.09,2781,$25.905,$26.4554,$25.905
05/26/2023,$25.31,3400,$26.20,$26.20,$25.31
05/25/2023,$25.42,6062,$26.20,$26.92,$25.42
05/24/2023,$26.60,4553,$28.01,$28.01,$26.06
05/23/2023,$27.40,7622,$25.00,$27.40,$25.00
05/22/2023,$25.01,16566,$28.00,$28.00,$24.80
05/19/2023,$28.065,2612,$28.41,$28.41,$28.065
05/18/2023,$28.21,5333,$29.28,$29.28,$28.21
05/17/2023,$29.30,7234,$30.005,$30.1314,$29.13
05/16/2023,$29.895,9974,$29.52,$30.235,$28.7535
05/15/2023,$29.65,5296,$30.00,$30.39,$29.65
05/12/2023,$30.00,3664,$30.00,$30.05,$29.63
05/11/2023,$29.97,6330,$29.55,$30.01,$29.1188
05/10/2023,$30.00,4067,$30.00,$30.11,$29.655
05/09/2023,$30.00,3688,$30.00,$30.00,$29.915
05/08/2023,$30.30,11731,$29.51,$30.30,$29.50
05/05/2023,$29.99,4780,$29.99,$29.99,$29.811
05/04/2023,$29.40,2592,$29.42,$30.00,$29.40
05/03/2023,$29.46,6157,$29.675,$29.99,$29.46
05/02/2023,$29.89,6067,$29.50,$29.89,$29.42
05/01/2023,$29.70,4964,$30.00,$30.14,$29.6261
04/28/2023,$29.90,4021,$29.90,$29.90,$29.89
04/27/2023,$29.99,4879,$30.00,$30.00,$29.97
04/26/2023,$30.00,9549,$29.80,$30.05,$29.40
04/25/2023,$29.80,10531,$29.82,$30.25,$29.49
04/24/2023,$29.84,7687,$30.16,$30.16,$29.69
04/21/2023,$30.16,5589,$30.98,$30.9965,$29.90
04/20/2023,$31.03,21090,$30.55,$32.94,$28.57
04/19/2023,$31.0981,18795,$30.00,$31.20,$29.01
04/18/2023,$31.10,8846,$30.45,$31.20,$30.40
04/17/2023,$30.05,10079,$30.50,$30.50,$29.51
04/14/2023,$30.45,18609,$29.67,$30.84,$28.40
04/13/2023,$29.60,7896,$29.09,$29.60,$28.95
04/12/2023,$28.62,4692,$29.10,$29.29,$28.495
04/11/2023,$29.19,3167,$28.50,$29.29,$28.50
04/10/2023,$28.49,9832,$29.10,$29.225,$27.50
