Date,Close/Last,Volume,Open,High,Low
01/05/2024,$45.73,2359858,$43.23,$45.855,$43.05
01/04/2024,$43.45,1668631,$42.65,$43.59,$42.11
01/03/2024,$42.56,1880108,$44.65,$44.65,$42.44
01/02/2024,$45.05,1215163,$44.49,$45.5764,$44.27
12/29/2023,$44.93,634803,$45.42,$45.62,$44.76
12/28/2023,$45.54,865786,$45.38,$45.92,$45.12
12/27/2023,$45.50,1803542,$45.47,$45.84,$45.173
12/26/2023,$45.25,642878,$44.19,$45.26,$44.19
12/22/2023,$44.08,813915,$44.07,$44.79,$43.73
12/21/2023,$43.90,1675147,$43.47,$44.41,$43.30
12/20/2023,$42.87,1628578,$44.51,$44.65,$42.83
12/19/2023,$44.64,2979533,$42.63,$44.86,$42.07
12/18/2023,$41.89,1647876,$41.61,$42.05,$41.15
12/15/2023,$41.48,4711954,$41.41,$42.1155,$40.85
12/14/2023,$41.36,2384345,$40.75,$42.7375,$40.295
12/13/2023,$39.65,2892720,$37.30,$39.68,$37.03
12/12/2023,$37.30,1878567,$37.74,$37.74,$36.7387
12/11/2023,$37.93,2114249,$37.11,$38.17,$36.90
12/08/2023,$37.18,1247523,$37.21,$37.87,$37.11
12/07/2023,$37.45,1600368,$37.91,$38.3875,$37.37
12/06/2023,$37.95,1132818,$39.28,$39.40,$37.94
12/05/2023,$38.91,1320142,$39.65,$40.06,$38.42
12/04/2023,$39.97,3493114,$39.69,$40.38,$39.09
12/01/2023,$40.15,2105821,$38.74,$40.27,$38.44
11/30/2023,$38.85,1456316,$39.70,$39.70,$38.66
11/29/2023,$39.57,844049,$39.77,$40.27,$39.40
11/28/2023,$39.46,1656529,$39.12,$39.81,$38.29
11/27/2023,$39.11,1229795,$39.59,$39.97,$39.06
11/24/2023,$39.99,677234,$39.40,$40.22,$39.40
11/22/2023,$39.60,922582,$40.15,$40.435,$39.46
11/21/2023,$39.84,2168787,$39.70,$40.44,$39.435
11/20/2023,$39.93,1936021,$39.68,$40.74,$39.45
11/17/2023,$39.87,2265993,$40.39,$40.76,$39.18
11/16/2023,$39.74,2998314,$40.40,$40.40,$38.81
11/15/2023,$39.56,5844728,$36.11,$40.58,$36.00
11/14/2023,$35.53,3726905,$34.92,$35.94,$34.92
11/13/2023,$33.10,1994945,$33.18,$33.61,$32.38
11/10/2023,$33.55,1701247,$33.61,$33.93,$32.925
11/09/2023,$33.67,1717919,$34.18,$34.37,$33.475
11/08/2023,$34.09,1940742,$34.97,$35.25,$33.9835
11/07/2023,$34.82,2162400,$34.21,$34.93,$33.615
11/06/2023,$34.28,2469313,$35.42,$35.50,$34.22
11/03/2023,$35.27,4161107,$33.49,$35.73,$33.485
11/02/2023,$32.89,2479072,$32.87,$33.83,$32.535
11/01/2023,$32.18,5295652,$34.02,$34.50,$31.8001
10/31/2023,$34.39,11547730,$34.825,$35.32,$31.905
10/30/2023,$39.92,3195879,$39.89,$40.28,$39.0675
10/27/2023,$39.32,2235045,$39.32,$39.99,$38.88
10/26/2023,$39.27,3645991,$39.32,$40.11,$38.99
10/25/2023,$39.43,3986031,$41.86,$42.01,$39.18
10/24/2023,$42.48,1877662,$42.46,$42.695,$41.85
10/23/2023,$42.22,2280409,$41.72,$43.60,$41.48
10/20/2023,$42.16,1884130,$43.10,$43.44,$42.05
10/19/2023,$43.14,3522109,$44.99,$45.23,$43.14
10/18/2023,$45.01,2954542,$45.15,$45.41,$44.28
10/17/2023,$45.71,2334987,$45.97,$46.16,$44.19
10/16/2023,$46.52,1113493,$46.62,$47.08,$45.93
10/13/2023,$46.40,1349105,$46.61,$47.30,$46.10
10/12/2023,$46.32,2150066,$46.70,$47.795,$45.83
10/11/2023,$46.57,3144690,$44.20,$46.63,$44.04
10/10/2023,$44.11,2656606,$44.38,$44.85,$44.09
10/09/2023,$44.30,1710107,$43.65,$44.35,$43.62
10/06/2023,$43.87,1870317,$42.45,$44.005,$42.20
10/05/2023,$42.86,1369041,$43.07,$43.52,$42.60
10/04/2023,$43.19,1360429,$44.21,$44.34,$42.85
10/03/2023,$43.95,1320901,$43.99,$44.77,$43.615
10/02/2023,$44.58,2089029,$45.20,$45.52,$43.95
09/29/2023,$45.53,1979632,$46.16,$46.36,$45.30
09/28/2023,$45.71,1878392,$45.64,$46.05,$45.21
09/27/2023,$45.78,1932157,$45.71,$46.1753,$45.12
09/26/2023,$45.63,902296,$45.44,$46.46,$45.19
09/25/2023,$45.79,1962607,$45.05,$46.23,$44.65
09/22/2023,$45.34,1642151,$46.77,$46.77,$45.215
09/21/2023,$46.55,1628993,$47.87,$47.87,$46.40
09/20/2023,$48.25,1242778,$48.03,$49.155,$47.57
09/19/2023,$47.52,1893107,$47.10,$47.995,$46.79
09/18/2023,$47.19,2220985,$49.05,$49.21,$47.00
09/15/2023,$49.16,3824187,$49.57,$50.32,$49.10
