Date,Close/Last,Volume,Open,High,Low
10/23/2023,$28.40,5862420,$28.67,$28.75,$28.30
10/20/2023,$28.93,5296813,$29.49,$29.55,$28.84
10/19/2023,$29.60,4504980,$29.71,$29.79,$29.4406
10/18/2023,$29.71,4969513,$29.64,$29.89,$29.50
10/17/2023,$29.40,5023100,$29.17,$29.585,$29.17
10/16/2023,$29.21,4124247,$29.10,$29.24,$28.865
10/13/2023,$29.09,6191968,$28.99,$29.325,$28.81
10/12/2023,$28.57,4916691,$28.31,$28.60,$28.20
10/11/2023,$28.25,5721598,$28.00,$28.33,$27.69
10/10/2023,$28.09,4565542,$28.20,$28.36,$28.05
10/09/2023,$28.15,7501613,$27.31,$28.17,$27.31
10/06/2023,$26.80,7578334,$26.45,$27.13,$26.361
10/05/2023,$26.11,6375788,$25.66,$26.2099,$25.62
10/04/2023,$25.83,7253843,$26.18,$26.29,$25.44
10/03/2023,$26.34,5016347,$26.315,$26.43,$26.00
10/02/2023,$26.32,7588879,$26.95,$26.99,$26.13
09/29/2023,$27.05,4998839,$27.47,$27.60,$27.01
09/28/2023,$27.53,4868118,$27.06,$27.635,$27.04
09/27/2023,$27.14,4937271,$26.84,$27.30,$26.655
09/26/2023,$26.34,5263252,$26.20,$26.685,$26.17
09/25/2023,$26.57,6054961,$26.10,$26.75,$26.10
09/22/2023,$26.05,8301600,$26.31,$26.715,$26.025
09/21/2023,$26.10,7257949,$27.01,$27.07,$25.98
09/20/2023,$26.92,4994062,$27.26,$27.625,$26.895
09/19/2023,$27.54,5212297,$28.22,$28.22,$27.43
09/18/2023,$27.90,5810159,$28.07,$28.16,$27.54
09/15/2023,$27.92,10826260,$28.29,$28.55,$27.90
09/14/2023,$28.55,4584268,$28.64,$28.815,$28.425
09/13/2023,$28.31,3597819,$28.50,$28.56,$28.12
09/12/2023,$28.47,4032312,$28.02,$28.47,$28.00
09/11/2023,$27.75,4412034,$28.34,$28.47,$27.63
09/08/2023,$28.20,5627923,$28.25,$28.59,$28.13
09/07/2023,$27.96,7031917,$27.91,$28.26,$27.83
09/06/2023,$28.07,5123255,$27.95,$28.225,$27.78
09/05/2023,$28.15,6228095,$28.46,$28.72,$28.13
09/01/2023,$28.46,4288892,$28.50,$28.69,$28.395
08/31/2023,$28.19,5752251,$28.15,$28.28,$27.96
08/30/2023,$28.14,4256736,$28.11,$28.35,$28.03
08/29/2023,$28.05,3676355,$27.90,$28.05,$27.67
08/28/2023,$27.89,2822256,$27.97,$28.23,$27.72
08/25/2023,$27.74,4703002,$27.96,$28.00,$27.562
08/24/2023,$27.80,5657496,$27.42,$27.88,$27.39
08/23/2023,$27.63,5460556,$27.59,$27.695,$27.28
08/22/2023,$27.90,3862545,$28.17,$28.27,$27.84
08/21/2023,$28.20,4656730,$28.10,$28.245,$27.74
08/18/2023,$27.78,7004202,$27.63,$27.90,$27.57
08/17/2023,$27.93,4689479,$28.00,$28.335,$27.86
08/16/2023,$27.56,4581781,$27.53,$27.835,$27.53
08/15/2023,$27.65,5507850,$27.75,$27.85,$27.51
08/14/2023,$27.97,5336364,$28.34,$28.405,$27.82
08/11/2023,$28.05,5615746,$27.72,$28.18,$27.72
08/10/2023,$27.82,5906934,$28.17,$28.46,$27.68
08/09/2023,$28.29,10552900,$28.15,$28.91,$28.03
08/08/2023,$27.60,10956200,$26.65,$27.655,$26.41
08/07/2023,$27.80,7636766,$27.73,$28.125,$27.71
08/04/2023,$27.57,7128847,$27.89,$28.025,$27.55
08/03/2023,$27.70,4977919,$27.18,$27.84,$27.055
08/02/2023,$27.03,5195928,$27.51,$27.55,$26.74
08/01/2023,$27.60,6412058,$27.29,$27.645,$27.18
07/31/2023,$27.54,5418796,$27.54,$27.63,$27.40
07/28/2023,$27.41,4725263,$27.29,$27.44,$26.94
07/27/2023,$26.97,4717245,$27.35,$27.465,$26.89
07/26/2023,$27.15,4569034,$26.88,$27.32,$26.75
07/25/2023,$27.15,6534284,$26.92,$27.26,$26.7101
07/24/2023,$26.87,5640834,$26.77,$27.06,$26.65
07/21/2023,$26.71,4798521,$26.99,$27.00,$26.64
07/20/2023,$26.88,5084372,$26.75,$27.09,$26.54
07/19/2023,$26.50,4749493,$26.50,$26.695,$26.365
07/18/2023,$26.46,8460115,$25.64,$26.68,$25.56
07/17/2023,$25.52,5691777,$25.48,$25.69,$25.3022
07/14/2023,$25.47,5554998,$26.34,$26.35,$25.43
07/13/2023,$26.45,7066233,$26.43,$26.81,$26.285
07/12/2023,$26.48,6940361,$26.43,$26.68,$26.34
07/11/2023,$26.39,6829570,$25.59,$26.41,$25.48
07/10/2023,$25.52,4722884,$25.16,$25.54,$25.05
07/07/2023,$25.24,10299390,$24.71,$25.63,$24.66
07/06/2023,$24.82,5336457,$25.00,$25.04,$24.325
07/05/2023,$25.19,5016541,$25.32,$25.41,$24.955
07/03/2023,$25.17,3043824,$25.22,$25.48,$25.13
06/30/2023,$25.30,6511018,$25.29,$25.44,$24.84
06/29/2023,$25.13,6283962,$24.645,$25.14,$24.44
06/28/2023,$24.47,5422262,$24.46,$24.55,$24.11
06/27/2023,$24.27,7948494,$24.23,$24.5275,$24.06
06/26/2023,$23.96,5935000,$23.72,$24.22,$23.65
06/23/2023,$23.72,9643386,$23.65,$23.90,$23.605
06/22/2023,$23.92,5098967,$24.26,$24.305,$23.84
06/21/2023,$24.42,7232257,$24.56,$24.76,$24.31
06/20/2023,$24.44,6658629,$25.15,$25.16,$24.36
06/16/2023,$25.21,21775580,$25.12,$25.45,$25.01
06/15/2023,$25.08,9597978,$24.41,$25.17,$24.34
06/14/2023,$24.26,7413546,$24.92,$24.93,$23.99
06/13/2023,$24.75,7347636,$24.61,$25.01,$24.52
06/12/2023,$24.47,5810031,$24.20,$24.545,$24.13
06/09/2023,$24.57,5431219,$24.50,$24.78,$24.40
06/08/2023,$24.55,5886611,$24.71,$24.86,$24.27
06/07/2023,$24.84,6021191,$24.35,$24.98,$24.29
06/06/2023,$24.17,4943656,$23.40,$24.25,$23.385
06/05/2023,$23.73,6499410,$24.38,$24.155,$23.695
