Date,Close/Last,Volume,Open,High,Low
10/20/2023,$69.05,7618611,$71.12,$71.18,$69.02
10/19/2023,$70.61,6453897,$70.19,$71.61,$70.09
10/18/2023,$71.09,8486149,$72.29,$72.40,$70.84
10/17/2023,$72.01,5953366,$71.18,$72.84,$71.14
10/16/2023,$71.49,8149820,$72.75,$73.34,$71.0201
10/13/2023,$71.54,6614994,$71.39,$72.75,$71.19
10/12/2023,$70.92,6656358,$72.00,$72.20,$70.655
10/11/2023,$71.73,4775959,$72.41,$72.85,$71.26
10/10/2023,$71.73,6532117,$71.15,$72.0293,$70.87
10/09/2023,$71.25,5634062,$69.80,$71.2875,$69.78
10/06/2023,$69.90,4278921,$69.54,$70.5172,$69.14
10/05/2023,$69.75,4498936,$68.56,$69.81,$68.56
10/04/2023,$68.98,6017090,$69.20,$69.42,$68.09
10/03/2023,$69.25,4392284,$69.26,$69.80,$68.98
10/02/2023,$69.69,5342250,$69.54,$69.76,$68.53
09/29/2023,$69.82,5365825,$70.07,$70.45,$69.59
09/28/2023,$70.03,5676359,$70.16,$71.05,$69.745
09/27/2023,$69.78,8214235,$71.09,$71.15,$68.86
09/26/2023,$71.33,5821666,$72.20,$72.24,$71.32
09/25/2023,$72.57,5272120,$71.17,$72.60,$70.88
09/22/2023,$71.15,6126120,$71.50,$72.20,$71.12
09/21/2023,$71.89,9296961,$71.35,$72.41,$71.08
09/20/2023,$71.41,11582170,$72.25,$72.30,$70.42
09/19/2023,$71.99,9193810,$70.98,$72.27,$70.92
09/18/2023,$70.70,9099888,$70.93,$71.095,$70.31
09/15/2023,$70.87,12757510,$70.01,$71.275,$69.92
09/14/2023,$69.95,8425201,$70.85,$71.03,$69.79
09/13/2023,$70.24,10486450,$70.70,$71.48,$70.16
09/12/2023,$70.52,13581360,$69.10,$70.915,$68.83
09/11/2023,$68.75,15636300,$65.96,$68.99,$65.77
09/08/2023,$65.84,5486971,$65.41,$65.89,$65.10
09/07/2023,$65.60,7181408,$65.65,$66.17,$65.05
09/06/2023,$65.51,7064785,$65.41,$65.97,$65.27
09/05/2023,$65.61,7043859,$65.58,$66.53,$65.48
09/01/2023,$65.67,6321419,$65.40,$65.95,$65.39
08/31/2023,$65.17,9829026,$66.83,$67.02,$65.13
08/30/2023,$66.83,4467440,$67.33,$67.50,$66.76
08/29/2023,$67.13,7430920,$67.24,$67.82,$66.62
08/28/2023,$67.24,5939826,$67.93,$68.025,$66.89
08/25/2023,$67.32,7383043,$66.72,$67.71,$66.554
08/24/2023,$66.49,7244761,$66.28,$67.1514,$66.17
08/23/2023,$66.40,8131210,$67.23,$67.48,$66.03
08/22/2023,$67.05,6799782,$66.99,$67.70,$66.73
08/21/2023,$67.08,8643711,$66.60,$67.17,$66.26
08/18/2023,$66.81,15005030,$66.80,$67.75,$66.53
08/17/2023,$66.80,44490060,$68.30,$70.00,$64.62
08/16/2023,$72.72,4890176,$73.23,$73.59,$72.68
08/15/2023,$73.33,6222326,$74.09,$74.28,$73.24
08/14/2023,$74.34,7156760,$74.70,$74.77,$74.00
08/11/2023,$74.87,5978397,$73.76,$74.995,$73.69
08/10/2023,$73.96,6057689,$74.83,$75.35,$73.68
08/09/2023,$74.60,6914717,$73.92,$75.31,$73.8301
08/08/2023,$74.00,6612039,$73.19,$74.19,$72.65
08/07/2023,$73.91,5615209,$72.98,$73.92,$72.78
08/04/2023,$72.89,8318852,$74.20,$74.5564,$72.605
08/03/2023,$74.32,12772470,$76.40,$76.68,$73.58
08/02/2023,$76.41,22305140,$72.49,$77.38,$72.23
08/01/2023,$73.95,9025236,$74.76,$75.14,$73.61
07/31/2023,$74.69,7659322,$74.86,$75.00,$74.30
07/28/2023,$74.61,9476605,$75.93,$75.93,$74.30
07/27/2023,$75.47,8764272,$75.32,$75.985,$75.26
07/26/2023,$75.10,9856630,$75.57,$76.221,$75.01
07/25/2023,$75.66,8630134,$75.75,$75.98,$75.405
07/24/2023,$75.95,7495780,$75.23,$76.21,$75.20
07/21/2023,$75.05,9625368,$75.18,$75.56,$74.67
07/20/2023,$74.87,9869621,$74.115,$75.03,$73.8207
07/19/2023,$74.38,12922670,$73.26,$74.57,$73.16
07/18/2023,$72.31,8480478,$71.54,$72.67,$71.41
07/17/2023,$71.17,7808511,$71.22,$71.53,$70.50
07/14/2023,$71.38,9700216,$72.00,$72.30,$71.31
07/13/2023,$71.22,13087410,$70.78,$71.62,$70.7201
07/12/2023,$70.47,13736100,$71.57,$71.68,$70.21
07/11/2023,$71.27,7182746,$69.65,$71.32,$69.65
07/10/2023,$69.36,8087135,$69.00,$69.525,$68.70
07/07/2023,$69.17,6694273,$69.54,$70.24,$69.01
07/06/2023,$69.54,7953361,$68.87,$69.64,$68.7611
07/05/2023,$69.59,8948967,$69.50,$70.38,$69.24
07/03/2023,$69.77,3489860,$69.12,$70.275,$68.88
06/30/2023,$69.13,7889312,$68.96,$69.51,$68.53
06/29/2023,$68.76,5941441,$68.14,$68.80,$67.952
06/28/2023,$68.14,8893806,$68.68,$68.68,$67.81
06/27/2023,$68.68,12286010,$67.96,$69.0387,$67.53
06/26/2023,$69.85,9453024,$69.83,$70.62,$69.26
06/23/2023,$69.60,8568970,$69.37,$69.86,$69.16
