Date,Close/Last,Volume,Open,High,Low
10/23/2023,$19.11,1086426,$18.91,$19.42,$18.81
10/20/2023,$18.95,839529,$19.47,$19.47,$18.86
10/19/2023,$19.50,548068,$19.58,$19.925,$19.3916
10/18/2023,$19.45,332074,$19.98,$20.07,$19.45
10/17/2023,$20.01,538022,$19.64,$20.30,$19.61
10/16/2023,$19.74,621574,$19.68,$19.82,$19.4485
10/13/2023,$19.54,726470,$20.42,$20.42,$19.28
10/12/2023,$20.24,482570,$20.56,$20.73,$20.03
10/11/2023,$20.56,449888,$20.50,$20.735,$20.395
10/10/2023,$20.41,528078,$20.12,$20.60,$20.06
10/09/2023,$20.11,368716,$20.04,$20.16,$19.81
10/06/2023,$20.18,826256,$19.72,$20.35,$19.72
10/05/2023,$19.89,773338,$19.14,$19.89,$19.14
10/04/2023,$19.14,1800325,$19.12,$19.23,$18.87
10/03/2023,$19.10,1014914,$19.32,$19.549,$19.09
10/02/2023,$19.38,723121,$19.29,$19.47,$19.215
09/29/2023,$19.34,915651,$19.82,$19.97,$19.305
09/28/2023,$19.64,751974,$19.71,$19.9694,$19.525
09/27/2023,$19.72,626224,$19.57,$19.84,$19.46
09/26/2023,$19.46,651494,$19.75,$19.90,$19.46
09/25/2023,$19.91,987639,$20.13,$20.15,$19.6417
09/22/2023,$19.67,897751,$19.40,$19.67,$19.30
09/21/2023,$19.27,679572,$19.42,$19.47,$19.245
09/20/2023,$19.51,781443,$19.32,$19.70,$19.31
09/19/2023,$19.31,1566301,$19.36,$19.41,$19.155
09/18/2023,$19.40,790335,$19.31,$19.46,$19.215
09/15/2023,$19.32,1595698,$19.10,$19.37,$18.94
09/14/2023,$19.17,1130826,$18.75,$19.23,$18.715
09/13/2023,$18.72,869746,$18.85,$18.89,$18.50
09/12/2023,$18.81,870806,$19.04,$19.28,$18.71
09/11/2023,$19.05,1374472,$19.03,$19.315,$18.965
09/08/2023,$19.00,1510615,$19.60,$19.75,$19.00
09/07/2023,$19.41,1817990,$19.00,$19.54,$18.96
09/06/2023,$19.08,1697606,$18.73,$19.22,$18.655
09/05/2023,$18.84,985658,$18.22,$18.89,$18.195
09/01/2023,$18.26,753999,$18.23,$18.33,$18.11
08/31/2023,$18.15,1129823,$18.04,$18.25,$18.025
