Date,Close/Last,Volume,Open,High,Low
01/05/2024,$7.68,4320297,$7.37,$7.69,$7.37
01/04/2024,$7.43,2916384,$7.35,$7.4873,$7.34
01/03/2024,$7.42,4559535,$7.49,$7.55,$7.38
01/02/2024,$7.61,4621112,$7.69,$7.77,$7.57
12/29/2023,$7.75,4938070,$7.90,$7.91,$7.74
12/28/2023,$7.89,6053575,$8.04,$8.10,$7.78
12/27/2023,$8.10,2072452,$8.12,$8.16,$8.07
12/26/2023,$8.13,3229193,$8.19,$8.27,$8.09
12/22/2023,$8.21,5995020,$8.10,$8.225,$8.07
12/21/2023,$8.09,3772679,$7.98,$8.09,$7.85
12/20/2023,$7.83,6488718,$7.95,$8.03,$7.83
12/19/2023,$7.99,4235202,$7.92,$8.00,$7.90
12/18/2023,$7.87,4440722,$7.83,$7.905,$7.765
12/15/2023,$7.81,7975262,$7.86,$7.96,$7.765
12/14/2023,$7.85,10228790,$7.43,$7.93,$7.43
12/13/2023,$7.46,6134534,$7.08,$7.47,$7.08
12/12/2023,$7.12,1935002,$7.14,$7.175,$7.07
12/11/2023,$7.11,2321859,$7.10,$7.215,$7.06
12/08/2023,$7.09,2712107,$6.99,$7.12,$6.94
12/07/2023,$7.00,2859364,$6.98,$7.02,$6.90
12/06/2023,$6.99,3180877,$7.03,$7.10,$6.99
12/05/2023,$6.95,4090809,$6.95,$7.02,$6.84
12/04/2023,$7.04,3658470,$7.12,$7.175,$6.99
12/01/2023,$7.20,6549817,$6.96,$7.21,$6.8719
11/30/2023,$6.91,6304524,$6.93,$7.00,$6.775
11/29/2023,$6.93,5661586,$6.80,$6.96,$6.72
11/28/2023,$6.77,5010150,$6.65,$6.90,$6.65
11/27/2023,$6.70,9764016,$6.79,$6.89,$6.67
11/24/2023,$6.72,3554262,$6.83,$6.85,$6.68
11/22/2023,$6.76,3205859,$6.87,$6.91,$6.75
11/21/2023,$6.82,5537890,$6.81,$6.93,$6.705
11/20/2023,$6.73,6634487,$6.92,$6.92,$6.55
11/17/2023,$6.98,2871062,$6.88,$7.075,$6.88
11/16/2023,$6.88,4318612,$7.00,$7.08,$6.85
11/15/2023,$7.00,3683059,$7.12,$7.17,$6.97
11/14/2023,$7.09,4531560,$7.01,$7.1656,$7.00
11/13/2023,$6.84,2377760,$6.90,$6.97,$6.84
11/10/2023,$6.94,2481574,$6.89,$6.96,$6.835
11/09/2023,$6.82,6462788,$6.97,$7.06,$6.82
11/08/2023,$6.88,6124465,$6.79,$6.925,$6.76
11/07/2023,$6.79,5333739,$6.66,$6.825,$6.6409
