Date,Close/Last,Volume,Open,High,Low
01/05/2024,$54.23,417304,$53.63,$54.58,$53.507
01/04/2024,$53.99,749515,$54.40,$54.95,$53.91
01/03/2024,$54.39,441816,$56.84,$56.84,$54.35
01/02/2024,$57.09,472338,$56.48,$57.37,$56.11
12/29/2023,$56.87,315462,$57.44,$57.54,$56.65
12/28/2023,$57.69,249677,$58.15,$58.32,$57.45
12/27/2023,$58.35,171736,$58.98,$58.98,$58.20
12/26/2023,$58.80,270222,$59.20,$59.47,$58.76
12/22/2023,$59.24,303871,$58.80,$59.355,$58.59
12/21/2023,$58.30,311644,$57.56,$58.35,$57.02
12/20/2023,$57.10,374379,$56.99,$57.85,$56.5265
12/19/2023,$56.93,416209,$56.95,$57.1999,$55.95
12/18/2023,$56.95,971488,$53.35,$57.27,$53.125
12/15/2023,$53.51,2376591,$52.93,$53.53,$52.93
12/14/2023,$53.11,311172,$52.79,$53.33,$52.08
12/13/2023,$51.85,473610,$50.83,$52.15,$50.3709
12/12/2023,$50.66,266286,$51.05,$51.28,$50.638
12/11/2023,$51.18,379730,$50.93,$51.50,$50.31
12/08/2023,$51.09,354159,$51.40,$51.95,$50.76
12/07/2023,$51.24,605510,$50.92,$51.26,$50.315
12/06/2023,$50.54,351230,$52.28,$52.55,$50.50
12/05/2023,$51.96,420453,$52.90,$54.09,$51.95
12/04/2023,$53.15,398809,$52.60,$53.62,$52.33
12/01/2023,$52.95,453962,$51.40,$53.29,$51.36
11/30/2023,$51.46,309362,$51.50,$51.64,$51.0101
11/29/2023,$51.06,319628,$51.33,$51.585,$50.4088
11/28/2023,$51.05,221638,$52.03,$52.08,$50.97
11/27/2023,$52.07,257159,$52.60,$52.82,$51.92
11/24/2023,$52.83,87505,$52.80,$52.98,$52.39
11/22/2023,$52.63,150056,$52.90,$53.205,$52.11
11/21/2023,$52.45,191277,$52.78,$53.23,$52.365
11/20/2023,$52.93,222545,$53.24,$53.2499,$52.57
11/17/2023,$53.20,445445,$51.72,$53.31,$51.25
11/16/2023,$51.56,395544,$52.47,$53.19,$51.43
11/15/2023,$52.34,547279,$53.07,$53.95,$51.84
11/14/2023,$53.30,263204,$52.06,$53.32,$51.78
11/13/2023,$51.10,209235,$51.00,$51.64,$50.855
11/10/2023,$51.06,264014,$50.44,$51.12,$49.88
11/09/2023,$49.98,287693,$50.25,$50.72,$49.66
11/08/2023,$49.53,352916,$49.94,$50.83,$49.40
11/07/2023,$49.77,732982,$53.30,$53.30,$48.42
