Date,Close/Last,Volume,Open,High,Low
01/05/2024,28.93,N/A,29.37,29.57,28.90
01/04/2024,29.37,N/A,29.22,30.17,29.02
01/03/2024,29.28,N/A,32.95,29.33,28.39
01/02/2024,32.91,N/A,33.84,32.95,32.59
01/01/2024,33.80,N/A,31.33,33.87,33.03
12/31/2023,31.28,N/A,32.63,32.03,31.14
12/30/2023,32.67,N/A,32.91,32.99,32.23
12/29/2023,32.90,N/A,36.59,33.30,32.58
12/28/2023,36.59,N/A,37.58,36.99,35.78
12/27/2023,37.57,N/A,34.74,38.22,37.33
12/26/2023,34.74,N/A,35.10,36.08,34.37
12/25/2023,35.07,N/A,34.59,35.29,34.88
12/24/2023,34.57,N/A,33.23,34.76,33.94
12/23/2023,33.14,N/A,32.22,33.24,32.72
12/22/2023,32.09,N/A,32.39,33.04,31.99
12/21/2023,32.31,N/A,31.22,32.45,31.76
12/20/2023,31.19,N/A,30.92,31.27,30.85
12/19/2023,30.93,N/A,31.68,30.97,30.27
12/18/2023,31.65,N/A,31.43,32.08,31.40
12/17/2023,31.38,N/A,32.50,32.07,31.01
12/16/2023,32.45,N/A,32.40,32.82,32.27
12/15/2023,32.40,N/A,33.54,32.50,31.57
12/14/2023,33.53,N/A,33.11,33.94,33.46
12/13/2023,33.13,N/A,32.41,33.57,33.05
12/12/2023,32.30,N/A,32.30,33.01,31.71
12/11/2023,32.46,N/A,32.73,32.98,32.26
12/10/2023,32.72,N/A,35.43,34.93,30.93
12/09/2023,35.46,N/A,34.68,35.53,34.59
12/08/2023,34.67,N/A,32.59,34.71,34.11
12/07/2023,32.65,N/A,32.33,32.79,32.45
12/06/2023,32.28,N/A,32.19,32.37,31.59
12/05/2023,31.67,N/A,31.85,32.64,31.42
12/04/2023,32.06,N/A,32.21,32.64,31.90
12/03/2023,32.15,N/A,31.30,32.17,31.30
12/02/2023,31.54,N/A,30.49,31.64,30.36
12/01/2023,30.57,N/A,30.31,30.77,30.36
11/30/2023,30.25,N/A,29.85,30.30,29.96
11/29/2023,29.83,N/A,30.06,30.09,29.73
11/28/2023,30.06,N/A,29.46,30.08,29.71
11/27/2023,29.48,N/A,30.47,29.91,29.40
11/26/2023,30.38,N/A,31.04,30.96,30.14
11/25/2023,31.00,N/A,30.59,31.18,30.82
11/24/2023,30.47,N/A,29.74,30.84,29.99
11/23/2023,29.71,N/A,29.38,29.88,29.52
11/22/2023,29.52,N/A,28.55,29.53,29.05
11/21/2023,28.50,N/A,30.80,28.58,27.99
11/20/2023,30.75,N/A,30.71,31.21,30.49
11/19/2023,30.71,N/A,29.95,30.73,30.39
11/18/2023,29.94,N/A,30.06,29.95,29.21
11/17/2023,30.12,N/A,30.89,30.74,29.93
11/16/2023,30.88,N/A,32.42,31.31,30.55
11/15/2023,32.42,N/A,31.31,32.56,32.18
11/14/2023,31.15,N/A,32.15,31.35,30.87
11/13/2023,32.13,N/A,32.96,32.15,31.41
11/12/2023,32.88,N/A,32.43,34.27,32.88
11/11/2023,32.42,N/A,31.60,33.24,31.80
11/10/2023,31.54,N/A,31.26,32.47,31.14
11/09/2023,31.21,N/A,32.05,31.69,30.43
11/08/2023,32.03,N/A,31.02,32.12,31.18
11/07/2023,31.00,N/A,31.21,31.05,30.59
11/06/2023,31.23,N/A,30.26,31.25,30.49
11/05/2023,30.26,N/A,30.11,30.86,30.16
11/04/2023,30.18,N/A,29.04,30.21,29.78
11/03/2023,28.98,N/A,28.31,29.11,28.78
11/02/2023,28.31,N/A,30.00,28.62,27.75
11/01/2023,30.03,N/A,29.00,30.25,29.76
10/31/2023,29.05,N/A,29.88,29.47,28.93
10/30/2023,29.90,N/A,28.35,30.91,29.48
10/29/2023,28.38,N/A,28.21,28.90,28.25
10/28/2023,28.31,N/A,27.98,28.64,28.08
10/27/2023,27.96,N/A,27.68,27.99,27.59
10/26/2023,27.61,N/A,28.28,28.00,27.28
10/25/2023,28.20,N/A,27.93,28.24,27.57
10/24/2023,27.90,N/A,27.85,28.33,27.82
10/23/2023,28.12,N/A,26.59,28.68,27.57
10/22/2023,26.60,N/A,26.07,26.62,26.15
10/21/2023,26.03,N/A,25.44,26.32,25.99
10/20/2023,25.44,N/A,25.30,25.44,25.27
10/19/2023,25.30,N/A,24.72,25.49,24.84
10/18/2023,24.72,N/A,25.01,24.86,24.42
10/17/2023,24.95,N/A,25.75,25.02,24.82
10/16/2023,25.74,N/A,25.77,25.85,25.68
10/15/2023,25.73,N/A,25.60,25.83,25.59
10/14/2023,25.61,N/A,25.54,25.66,25.39
10/13/2023,25.54,N/A,24.94,25.58,25.35
10/12/2023,24.94,N/A,25.22,25.10,24.94
10/11/2023,25.21,N/A,25.42,25.53,25.20
10/10/2023,25.51,N/A,26.08,25.80,25.32
10/09/2023,26.08,N/A,26.61,26.14,25.89
10/08/2023,26.64,N/A,26.81,26.65,26.40
10/07/2023,26.92,N/A,26.68,26.94,26.73
10/06/2023,26.74,N/A,27.14,26.98,26.68
10/05/2023,27.04,N/A,26.99,27.17,26.87
10/04/2023,26.96,N/A,26.84,27.20,26.92
10/03/2023,26.84,N/A,27.58,27.10,26.24
10/02/2023,27.52,N/A,28.57,27.62,27.30
10/01/2023,28.47,N/A,27.96,28.60,28.08
09/30/2023,27.94,N/A,27.25,27.95,27.71
09/29/2023,27.17,N/A,26.91,27.54,27.15
09/28/2023,27.00,N/A,26.32,27.05,26.82
09/27/2023,26.33,N/A,26.58,26.58,26.30
09/26/2023,26.53,N/A,27.24,26.66,26.41
09/25/2023,27.28,N/A,26.67,27.28,26.89
09/24/2023,26.73,N/A,26.84,26.80,26.11
09/23/2023,26.84,N/A,26.61,26.85,26.58
09/22/2023,26.64,N/A,26.42,26.89,26.58
09/21/2023,26.41,N/A,26.60,26.49,26.02
09/20/2023,26.56,N/A,26.18,26.77,26.50
09/19/2023,26.22,N/A,26.05,26.47,26.18
09/18/2023,26.01,N/A,26.09,26.04,25.76
09/17/2023,26.06,N/A,26.47,26.15,25.52
09/16/2023,26.43,N/A,26.84,26.79,26.16
09/15/2023,26.83,N/A,25.83,27.23,26.47
09/14/2023,25.81,N/A,25.57,25.91,25.45
09/13/2023,25.54,N/A,25.21,25.92,25.52
09/12/2023,25.15,N/A,25.35,25.41,25.14
09/11/2023,25.32,N/A,25.44,25.50,24.67
09/10/2023,25.47,N/A,26.23,25.69,25.22
09/09/2023,26.24,N/A,26.23,26.58,26.20
09/08/2023,26.23,N/A,26.34,26.31,26.12
09/07/2023,26.36,N/A,25.92,26.38,25.99
09/06/2023,25.87,N/A,25.72,25.87,25.58
09/05/2023,25.72,N/A,25.42,25.87,25.66
09/04/2023,25.42,N/A,25.69,25.62,25.29
09/03/2023,25.73,N/A,25.47,25.97,25.54
09/02/2023,25.47,N/A,25.21,25.52,25.30
09/01/2023,25.19,N/A,26.16,25.40,25.15
08/31/2023,26.15,N/A,26.89,26.21,25.94
08/30/2023,26.87,N/A,26.89,26.96,26.71
08/29/2023,26.85,N/A,25.87,27.18,26.66
08/28/2023,25.82,N/A,25.80,26.17,25.74
08/27/2023,25.82,N/A,25.33,25.86,25.57
08/26/2023,25.33,N/A,25.58,25.39,25.16
08/25/2023,25.61,N/A,24.74,25.72,25.41
08/24/2023,24.65,N/A,26.40,25.19,24.46
08/23/2023,26.44,N/A,26.57,26.57,26.31
08/22/2023,26.58,N/A,26.46,26.62,26.33
08/21/2023,26.43,N/A,26.92,26.50,26.30
08/20/2023,26.72,N/A,26.75,27.06,26.71
08/19/2023,26.74,N/A,26.54,27.04,26.69
08/18/2023,26.54,N/A,25.77,26.69,26.33
08/17/2023,25.98,N/A,28.57,26.35,25.67
08/16/2023,28.62,N/A,29.87,28.73,27.88
08/15/2023,29.81,N/A,31.64,29.91,29.48
08/14/2023,31.62,N/A,32.13,31.93,31.53
08/13/2023,32.11,N/A,32.21,32.31,31.79
08/12/2023,32.22,N/A,32.44,32.31,32.15
08/11/2023,32.34,N/A,32.19,32.56,32.33
08/10/2023,32.32,N/A,32.84,32.52,32.18
08/09/2023,32.82,N/A,33.00,33.01,32.66
08/08/2023,33.00,N/A,32.63,33.20,32.76
08/07/2023,32.64,N/A,33.37,32.72,32.22
08/06/2023,33.28,N/A,31.19,33.53,32.44
08/05/2023,31.11,N/A,30.62,31.26,30.75
08/04/2023,30.65,N/A,31.22,30.93,30.44
08/03/2023,31.19,N/A,31.72,31.45,31.19
08/02/2023,31.69,N/A,31.70,32.00,31.67
08/01/2023,31.71,N/A,30.89,31.89,31.58
07/31/2023,30.94,N/A,31.96,31.73,30.45
07/30/2023,32.02,N/A,32.34,32.35,31.97
07/29/2023,32.26,N/A,31.92,32.58,32.14
07/28/2023,32.23,N/A,31.92,32.58,32.14
07/27/2023,31.86,N/A,31.70,32.03,31.74
07/26/2023,31.74,N/A,31.21,31.81,31.34
07/25/2023,31.18,N/A,31.73,31.45,30.77
07/24/2023,31.72,N/A,33.18,32.07,31.65
07/23/2023,33.11,N/A,33.09,33.81,33.10
07/22/2023,33.13,N/A,33.33,33.15,32.41
07/21/2023,33.39,N/A,32.77,33.66,33.13
